player_id,player_name,team,opponent,position,depth_chart_position,rushing_depth_role,receiving_depth_role,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_receiving_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,prob_5_plus,prob_10_plus,prob_15_plus,prob_20_plus,prob_25_plus,prob_30_plus,prob_35_plus,prob_40_plus,prob_45_plus,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,prob_75_plus,prob_80_plus,prob_85_plus,prob_90_plus,prob_95_plus,prob_100_plus,prob_105_plus,prob_110_plus,prob_115_plus,prob_120_plus,prob_125_plus,prob_130_plus,prob_135_plus,prob_140_plus,prob_145_plus,prob_150_plus,projected_targets,target_share,projected_receptions,catch_rate,yards_per_target,yards_per_reception,team_target_budget,team_receiving_yard_budget,receiving_allocation_source,target_projection_mean,target_projection_median,target_projection_floor,target_projection_ceiling,target_model_std,target_model_source,target_prob_1_plus,target_prob_2_plus,target_prob_3_plus,target_prob_4_plus,target_prob_5_plus,target_prob_6_plus,target_prob_7_plus,target_prob_8_plus,target_prob_9_plus,target_prob_10_plus
00-0039075,Puka Nacua,LAR,DEN,WR,WR,,WR1,ACT,3.0,2026,REG,3,2026 REG W3,401872962,2026-09-28T00:20Z,away,109.108,109.304,109.075,46.58,171.451,48.251,45,120.6,107.8,104.533,74.0,11.4,1.0,0.893,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,98.37,97.9,97.34,96.63,95.79,94.83,93.68,92.25,90.59,88.72,86.63,84.28,81.63,78.79,75.63,72.27,68.77,65.05,61.23,57.33,53.31,49.23,45.2,41.1,37.13,33.42,29.9,26.46,23.17,20.18,11.774,33.93,8.052,68.39,9.89,13.551,31.92,257.53,PRIMARY_ROTATION_TEAM_CONSTRAINED,11.765,12.0,7.0,16.0,3.454,PLAYER_HISTORY_BLEND,99.94,99.85,99.64,99.18,98.29,96.59,93.68,89.22,82.81,74.45
00-0037239,Chris Olave,NO,LV,WR,WR,,WR1,ACT,4.0,2026,REG,3,2026 REG W3,401872961,2026-09-27T20:25Z,home,94.078,94.236,94.133,40.5,147.489,41.33,42,124.0,92.8,84.4,134.0,11.8,1.0,0.973,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,98.39,97.81,97.08,96.22,95.14,93.79,92.2,90.21,87.93,85.37,82.49,79.26,75.69,71.83,67.56,63.21,58.59,53.94,49.18,44.36,39.6,34.97,30.79,26.64,22.85,19.3,16.24,13.45,11.08,8.98,11.422,32.02,7.641,66.9,8.915,12.312,32.82,256.01,PRIMARY_ROTATION_TEAM_CONSTRAINED,11.427,11.0,7.0,16.0,3.364,PLAYER_HISTORY_BLEND,99.94,99.84,99.62,99.11,98.03,96.09,92.83,87.94,80.95,71.72
00-0038543,Jaxon Smith-Njigba,SEA,WAS,WR,WR,,WR1,ACT,3.0,2026,REG,3,2026 REG W3,401872955,2026-09-27T17:00Z,away,92.47,92.615,92.546,41.16,143.708,39.585,53,105.8,102.9,111.2,138.5,11.0,1.0,1.15,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,98.56,98.07,97.43,96.56,95.42,94.06,92.46,90.52,88.22,85.61,82.59,79.19,75.4,71.31,66.92,62.3,57.5,52.52,47.64,42.52,37.58,32.94,28.57,24.44,20.68,17.31,14.39,11.75,9.49,7.5,9.358,33.3,6.836,73.05,10.284,13.527,25.86,204.85,PRIMARY_ROTATION_TEAM_CONSTRAINED,9.357,9.0,6.0,13.0,2.813,PLAYER_HISTORY_BLEND,99.92,99.74,99.26,98.09,95.88,91.62,84.75,74.77,61.92,47.94
00-0036358,CeeDee Lamb,DAL,BAL,WR,WR,,WR1,ACT,6.0,2026,REG,3,2026 REG W3,401872960,2026-09-27T20:25Z,home,79.529,79.708,79.546,33.988,125.343,35.244,47,59.6,78.3,84.933,98.5,7.0,1.0,1.053,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,98.12,97.37,96.43,95.22,93.64,91.76,89.47,86.61,83.38,79.68,75.55,70.95,65.94,60.6,55.02,49.52,43.87,38.48,33.26,28.31,23.75,19.59,16.02,12.82,10.15,7.92,6.07,4.52,3.33,2.41,8.973,27.31,5.892,65.67,9.507,13.497,30.23,229.87,PRIMARY_ROTATION_TEAM_CONSTRAINED,8.971,9.0,5.0,13.0,2.881,PLAYER_HISTORY_BLEND,99.84,99.53,98.79,97.21,94.02,88.69,80.6,69.44,56.43,42.84
00-0036963,Amon-Ra St. Brown,DET,NYJ,WR,WR,,WR1,ACT,5.0,2026,REG,3,2026 REG W3,401872954,2026-09-27T17:00Z,home,79.307,79.578,79.044,27.413,131.22,39.665,52,94.0,91.7,86.867,104.5,12.8,1.0,0.914,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,96.69,95.63,94.37,92.86,90.99,88.82,86.26,83.31,80.0,76.3,72.39,68.15,63.6,58.93,54.06,49.1,44.19,39.35,34.77,30.43,26.23,22.38,18.92,15.74,12.98,10.51,8.42,6.64,5.21,4.02,11.219,30.92,7.322,65.27,7.802,10.831,33.38,253.79,PRIMARY_ROTATION_TEAM_CONSTRAINED,11.235,11.0,6.0,16.0,3.743,PLAYER_HISTORY_BLEND,99.81,99.56,99.02,98.08,96.42,93.67,89.75,84.19,76.85,67.95
00-0039064,Zay Flowers,BAL,DAL,WR,WR,,WR1,ACT,3.0,2026,REG,3,2026 REG W3,401872960,2026-09-27T20:25Z,away,79.235,79.757,79.134,25.404,133.386,40.916,51,94.0,81.1,75.333,150.0,5.8,1.0,1.069,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,96.14,95.0,93.7,92.14,90.15,87.94,85.44,82.63,79.41,75.78,71.89,67.76,63.33,58.72,53.98,49.12,44.37,39.79,35.28,31.0,26.92,23.27,19.73,16.59,13.91,11.44,9.33,7.52,5.97,4.68,6.787,28.28,5.04,74.26,11.188,15.722,22.08,189.28,PRIMARY_ROTATION_TEAM_CONSTRAINED,6.782,7.0,4.0,10.0,2.164,PLAYER_HISTORY_BLEND,99.84,99.34,97.64,93.59,85.63,72.5,55.31,36.95,21.22,10.14
00-0038606,Parker Washington,JAX,NE,WR,WR,,WR1,ACT,3.0,2026,REG,3,2026 REG W3,401872957,2026-09-27T17:00Z,home,78.584,78.802,78.632,30.347,126.731,36.961,35,105.6,73.1,61.2,90.5,9.4,1.0,0.953,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,97.51,96.6,95.48,94.01,92.25,90.17,87.68,84.73,81.44,77.65,73.43,68.92,64.13,58.98,53.76,48.52,43.25,38.15,33.0,28.32,23.97,20.09,16.59,13.54,10.85,8.59,6.7,5.11,3.84,2.84,8.738,28.85,5.553,63.55,9.579,14.151,27.87,216.16,PRIMARY_ROTATION_TEAM_CONSTRAINED,8.754,9.0,5.0,13.0,3.288,PLAYER_HISTORY_BLEND,99.35,98.62,97.11,94.42,90.15,83.88,75.33,65.01,53.15,40.97
00-0036900,Ja'Marr Chase,CIN,PIT,WR,WR,,WR1,ACT,5.0,2026,REG,3,2026 REG W3,401872950,2026-09-27T17:00Z,away,77.214,77.642,77.001,22.43,131.856,41.338,51,70.4,77.9,83.867,43.5,8.6,1.0,1.136,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,95.49,94.27,92.76,91.01,88.88,86.48,83.75,80.72,77.27,73.56,69.65,65.47,61.1,56.49,51.9,47.21,42.59,38.05,33.69,29.59,25.61,22.0,18.77,15.74,13.2,10.82,8.78,7.01,5.53,4.36,10.476,29.94,6.923,66.08,7.357,11.154,32.19,236.0,PRIMARY_ROTATION_TEAM_CONSTRAINED,10.486,10.0,5.0,16.0,4.325,PLAYER_HISTORY_BLEND,98.92,98.1,96.69,94.55,91.52,87.32,81.95,75.31,67.44,58.9
00-0036554,Nico Collins,HOU,IND,WR,WR,,WR1,ACT,5.0,2026,REG,3,2026 REG W3,401872951,2026-09-27T17:00Z,away,76.612,76.68,76.526,36.411,116.784,31.087,43,79.4,85.3,77.8,75.0,7.0,1.0,1.15,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,98.92,98.37,97.56,96.52,95.08,93.14,90.77,87.91,84.35,80.3,75.59,70.28,64.59,58.48,52.07,45.53,39.35,33.4,27.62,22.58,18.1,14.23,10.97,8.33,6.19,4.46,3.19,2.21,1.49,0.97,9.276,26.03,5.656,60.98,9.236,13.545,32.78,226.47,PRIMARY_ROTATION_TEAM_CONSTRAINED,9.285,9.0,5.0,13.0,3.227,PLAYER_HISTORY_BLEND,99.66,99.2,98.23,96.36,93.13,88.01,80.57,71.07,59.7,47.33
00-0037247,George Pickens,DAL,BAL,WR,WR,,WR2,ACT,4.0,2026,REG,3,2026 REG W3,401872960,2026-09-27T20:25Z,home,71.877,73.185,72.279,14.873,129.531,42.612,49,57.0,73.3,79.8,34.0,6.2,1.0,1.053,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,93.37,91.78,89.94,87.84,85.45,82.69,79.71,76.35,72.83,68.94,64.94,60.72,56.36,52.02,47.58,43.2,38.95,34.77,30.57,26.76,23.19,19.87,16.84,14.26,11.86,9.82,7.99,6.41,5.1,4.0,7.6,23.13,5.217,68.64,10.144,13.777,30.23,229.87,PRIMARY_ROTATION_TEAM_CONSTRAINED,7.612,8.0,4.0,11.0,2.791,PLAYER_HISTORY_BLEND,99.49,98.65,96.69,93.02,86.74,77.48,65.58,51.57,37.43,24.88
