rank,date,game_pk,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_starts,last7_start_rate_pct,last7_most_recent_order,starter_id,starter,starter_hand,expected_pa,starter_pa_share,bullpen_k_pa_pct,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds,proj_k,line,play,true_probability_pct,fair_odds,confidence,ai_score,l5_k_per_game,l10_k_per_game,l15_k_per_game,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,bvp_pa,bvp_k,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_pitches,bvp_whiff_pct,bvp_csw_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,bvp_reliability,split_pa,split_k_rate_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,top_pitch,top_pitch_usage_pct,top_pitch_batter_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw_pct,velo_band_source,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct
1,2026-09-21,824221,WSH,DET,660688,Keibert Ruiz,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,2,28.6,7.01,689981,River Ryan,R,1.15,0.6,21.6,,,,,,,,,,,,,,0.3151,1.5,LESS,97.3,-3631,60,84,0.0,0.3,0.2,0.0,30.0,20.0,0.0,0.0,0.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,186,5.9,22.5,11.5,28.5,,,,11.5,28.5,,,0,0,0,,LEAGUE_FALLBACK,28.8,71.2,2.7,97.3,0.0,100.0,0.0,100.0,71.2,26.1,2.7,0.0,0.0
2,2026-09-21,824221,DET,WSH,656716,Zach McKinstry,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,3,42.9,8.02,687792,DJ Herz,L,1.15,0.6,20.3,,,,,,,,,,,,,,0.3966,1.5,LESS,95.8,-2256,59,84,0.8,0.7,0.6667,60.0,50.0,46.7,20.0,20.0,20.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,76,15.8,22.5,11.5,28.5,,,,11.5,28.5,,,0,0,0,,LEAGUE_FALLBACK,35.4,64.6,4.2,95.8,0.0,100.0,0.0,100.0,64.6,31.2,4.2,0.0,0.0
3,2026-09-21,823169,MIN,SF,702176,Alan Roden,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,1,14.3,5.0,694918,Blade Tidwell,R,1.15,0.78,19.5,,,,,,,,,,,,,,0.3975,1.5,LESS,95.7,-2236,64,85,0.4,0.4,0.4,40.0,40.0,40.0,0.0,0.0,0.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,66,13.6,18.3,18.6,25.9,4-Seam,30.9,14.0,13.7,27.2,94.0549,1.5,56,29,3,10.3,VELO_BAND_1.5,35.5,64.5,4.3,95.7,0.0,100.0,0.0,100.0,64.5,31.2,4.3,0.0,0.0
4,2026-09-21,823169,MIN,SF,680777,Ryan Jeffers,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,4,57.1,3.0,694918,Blade Tidwell,R,1.15,0.78,19.5,,,,,,,,,,,,,,0.4136,1.5,LESS,95.6,-2148,69,86,0.8,0.8,0.8,40.0,50.0,60.0,20.0,20.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,129,17.8,18.3,18.6,25.9,4-Seam,30.9,7.3,14.9,29.4,94.0549,1.5,169,73,7,9.6,VELO_BAND_1.5,36.9,63.1,4.4,95.6,0.0,100.0,0.0,100.0,63.1,32.5,4.4,0.0,0.0
5,2026-09-21,824221,DET,WSH,690993,Colt Keith,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,1,14.3,9.01,687792,DJ Herz,L,1.15,0.6,20.3,,,,,,,,,,,,,,0.4263,1.5,LESS,95.2,-1997,56,83,0.4,0.6,0.7333,40.0,50.0,53.3,0.0,10.0,20.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,15,20.0,22.5,11.5,28.5,,,,11.5,28.5,,,0,0,0,,LEAGUE_FALLBACK,37.9,62.1,4.8,95.2,0.0,100.0,0.0,100.0,62.1,33.1,4.8,0.0,0.0
6,2026-09-21,824787,BAL,TOR,650968,Yohel Pozo,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,2,28.6,9.02,702056,Trey Yesavage,R,1.15,0.7407,23.0,,,,,,,,,,,,,,0.4413,1.5,LESS,94.8,-1829,61,84,0.0,0.2,0.3077,0.0,20.0,30.8,0.0,0.0,0.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,19,21.1,21.8,28.4,27.9,4-Seam,46.2,21.1,13.7,28.7,94.352,2.5,29,16,3,18.8,VELO_BAND_2.5,38.9,61.1,5.2,94.8,0.0,100.0,0.0,100.0,61.1,33.8,5.2,0.0,0.0
7,2026-09-21,824221,WSH,DET,691781,Brady House,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,4,57.1,5.0,689981,River Ryan,R,1.15,0.6,21.6,,,,,,,,,,,,,,0.4562,1.5,LESS,94.6,-1767,55,82,0.6,0.5,0.5333,60.0,40.0,46.7,0.0,10.0,6.7,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,105,22.9,22.5,11.5,28.5,,,,11.5,28.5,,,0,0,0,,LEAGUE_FALLBACK,40.3,59.7,5.4,94.6,0.0,100.0,0.0,100.0,59.7,34.9,5.3,0.0,0.0
8,2026-09-21,824221,DET,WSH,595879,Javier Báez,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,1,14.3,6.03,687792,DJ Herz,L,1.15,0.6,20.3,,,,,,,,,,,,,,0.4534,1.5,LESS,94.6,-1766,52,82,1.2,0.9,0.8,60.0,60.0,53.3,40.0,20.0,20.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,34,14.7,22.5,11.5,28.5,,,,11.5,28.5,,,0,0,0,,LEAGUE_FALLBACK,40.0,60.0,5.4,94.6,0.0,100.0,0.0,100.0,60.0,34.6,5.4,0.0,0.0
9,2026-09-21,824221,WSH,DET,665953,Andrés Chaparro,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,2,28.6,3.0,689981,River Ryan,R,1.15,0.6,21.6,,,,,,,,,,,,,,0.4592,1.5,LESS,94.6,-1763,56,83,0.2,0.8,0.8667,20.0,50.0,53.3,0.0,30.0,26.7,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,73,20.5,22.5,11.5,28.5,,,,11.5,28.5,,,0,0,0,,LEAGUE_FALLBACK,40.5,59.5,5.4,94.6,0.0,100.0,0.0,100.0,59.5,35.2,5.4,0.0,0.0
10,2026-09-21,824787,BAL,TOR,676480,José Barrero,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0.0,,702056,Trey Yesavage,R,1.15,0.7407,23.0,,,,,,,,,,,,,,0.4541,1.5,LESS,94.6,-1750,54,82,,,,,,,,,,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,0,22.5,21.8,28.4,27.9,,,,11.5,28.5,,,0,0,0,,LEAGUE_FALLBACK,40.0,60.0,5.4,94.6,0.0,100.0,0.0,100.0,60.0,34.6,5.4,0.0,0.0
