Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
340,2026-07-26,822870,2026-07-26T18:35:00Z,Pre-Game,Globe Life Field,Seattle Mariners @ Texas Rangers,Home,670032,Nicky Lopez,Texas Rangers,Seattle Mariners,2B,L,No,,51,154,140,44,3,0,1,16,16,5,2,21,0.314,0.347,0.357,0.704,8,28,24,8,0,0.333,0.0,22,70,62,20,0,0.323,0.0,26,26,0.0,19.2,28.6,50.0,21.4,3.8,26.9,28.6,30.8,3.8,0.0,3.8,,75.0,3.0,0.483,64.5,8.3,Weak,1.5,Contact-First Profile,D,Ground-ball heavy,8.3,Weak,0.883,Good,0.27,-0.73,Near expected,Weak Contact-First Profile profile. 0.0% barrel rate; 75.0 mph average exit velocity; 26.9% air-ball rate; 28.6% pull-air rate; 3.8% HR-launch rate.,0.0065,0.0177,3.99,125,44,140.0,0.89,89.3,Near normal interval,669302,Logan Gilbert,R,LHB vs RHP,20,20,120.0,3.38,0.98,15,1.13,9.68,1.88,0.758,1.005,1.025,1.0,0.883,0.883,1.0,6.86,4.77,68.6,18.7,F,Lineup unconfirmed
341,2026-07-26,824730,2026-07-26T17:35:00Z,Pre-Game,Fenway Park,Toronto Blue Jays @ Boston Red Sox,Home,657136,Connor Wong,Boston Red Sox,Toronto Blue Jays,C,R,No,,49,152,128,34,8,0,1,14,15,15,4,37,0.266,0.358,0.352,0.71,8,18,17,2,0,0.118,0.0,15,45,37,9,0,0.243,0.0,16,16,0.0,31.2,66.7,16.7,16.7,0.0,0.0,,6.2,0.0,0.0,0.0,,81.0,23.8,0.364,73.2,21.4,Weak,2.0,Contact-First Profile,A-,Elevated power plane,21.4,Weak,0.92,Small Statcast sample,0.0,-1.0,Near expected,Weak Contact-First Profile profile. 0.0% barrel rate; 81.0 mph average exit velocity; 0.0% air-ball rate; 0.0% HR-launch rate; 0.0% ideal HR-contact rate.,0.0066,0.0178,3.99,39,16,128.0,0.3,30.5,Very recent HR,592332,Kevin Gausman,R,RHB vs RHP,21,21,115.2,4.51,1.28,15,1.17,9.1,2.65,0.758,1.011,0.985,1.0,0.92,0.92,0.98,6.91,4.75,66.5,17.8,F,Lineup unconfirmed
342,2026-07-26,823840,2026-07-26T17:40:00Z,Pre-Game,loanDepot park,San Diego Padres @ Miami Marlins,Home,691594,Javier Sanoja,Miami Marlins,San Diego Padres,3B,R,No,,87,275,259,69,20,2,3,25,35,14,0,22,0.266,0.303,0.394,0.697,8,31,31,7,0,0.226,0.0,23,85,82,25,1,0.305,0.0118,33,33,0.0,15.2,19.0,33.3,47.6,18.2,33.3,9.1,24.2,3.0,0.0,3.0,,76.3,27.2,0.242,66.9,3.4,Weak,1.0,Contact-First Profile,A-,Elevated power plane,3.4,Weak,0.88,Good,0.17,-2.83,Negative regression,Weak Contact-First Profile profile. 0.0% barrel rate; 76.3 mph average exit velocity; 33.3% air-ball rate; 9.1% pull-air rate; 3.0% HR-launch rate.,0.0109,0.0173,3.99,66,19,86.3,0.76,76.4,Recently homered,621111,Walker Buehler,R,RHB vs RHP,20,20,94.2,5.23,1.43,12,1.14,7.99,3.8,0.799,1.006,0.985,1.0,0.88,0.88,1.0,6.73,4.73,78.4,19.3,F,Lineup unconfirmed
343,2026-07-26,823028,2026-07-26T18:15:00Z,Pre-Game,Busch Stadium,Cincinnati Reds @ St. Louis Cardinals,Home,691026,Masyn Winn,St. Louis Cardinals,Cincinnati Reds,SS,R,Yes,5.0,96,392,345,81,12,2,4,40,42,34,7,76,0.235,0.311,0.316,0.627,9,35,28,4,0,0.143,0.0,25,92,81,17,1,0.21,0.0109,25,25,4.0,16.0,6.2,37.5,56.2,32.0,44.0,9.1,36.0,8.0,0.0,8.0,0.0,81.1,22.6,0.42,72.5,16.1,Weak,1.5,Contact-First Profile,A-,Elevated power plane,16.1,Weak,0.905,Good,0.84,-3.16,Negative regression,Weak Contact-First Profile profile. 4.0% barrel rate; 81.1 mph average exit velocity; 44.0% air-ball rate; 9.1% pull-air rate; 8.0% HR-launch rate.,0.0102,0.0153,4.29,60,19,86.2,0.7,69.6,Recently homered,671096,Andrew Abbott,L,RHB vs LHP,21,21,111.0,3.89,1.4,16,1.3,7.3,4.05,0.805,1.032,1.025,0.94,0.905,0.851,1.0,6.41,4.67,95.0,20.8,F,Good
344,2026-07-26,822950,2026-07-26T16:15:00Z,Warmup,Tropicana Field,Cleveland Guardians @ Tampa Bay Rays,Home,810938,Ben Williamson,Tampa Bay Rays,Cleveland Guardians,2B,R,Yes,6.0,76,248,226,56,10,1,2,29,25,20,1,47,0.248,0.312,0.327,0.639,8,29,28,6,0,0.214,0.0,17,59,56,16,1,0.286,0.0169,20,20,0.0,25.0,21.4,50.0,28.6,0.0,20.0,25.0,20.0,0.0,0.0,0.0,,80.7,2.1,0.492,65.9,4.0,Weak,1.0,Contact-First Profile,D,Ground-ball heavy,4.0,Weak,0.88,Good,0.11,-1.89,Near expected,Weak Contact-First Profile profile. 0.0% barrel rate; 80.7 mph average exit velocity; 20.0% air-ball rate; 25.0% pull-air rate; 0.0% HR-launch rate.,0.0081,0.0159,4.14,52,16,113.0,0.46,46.0,Recently homered,800048,Parker Messick,L,RHB vs LHP,20,20,117.2,2.68,1.05,11,0.84,8.87,2.75,0.869,0.958,1.025,0.94,0.88,0.84,1.0,6.41,4.63,86.4,19.5,F,Good
345,2026-07-26,822870,2026-07-26T18:35:00Z,Pre-Game,Globe Life Field,Seattle Mariners @ Texas Rangers,Home,696030,Alejandro Osuna,Texas Rangers,Seattle Mariners,LF,L,No,,67,205,179,47,5,0,1,23,23,17,8,29,0.263,0.353,0.307,0.66,6,15,15,5,0,0.333,0.0,19,57,52,15,1,0.288,0.0175,16,16,0.0,18.8,27.3,36.4,36.4,25.0,37.5,0.0,50.0,0.0,0.0,0.0,,83.8,9.3,0.404,68.3,17.4,Weak,1.5,Contact-First Profile,C,Low line-drive plane,17.4,Weak,0.909,Small Statcast sample,0.0,-1.0,Near expected,Weak Contact-First Profile profile. 0.0% barrel rate; 83.8 mph average exit velocity; 37.5% air-ball rate; 0.0% pull-air rate; 0.0% HR-launch rate.,0.0049,0.0149,3.99,20,10,179.0,0.11,11.2,Very recent HR,669302,Logan Gilbert,R,LHB vs RHP,20,20,120.0,3.38,0.98,15,1.13,9.68,1.88,0.893,1.005,1.025,0.965,0.909,0.877,0.98,5.81,4.61,71.2,17.5,F,Lineup unconfirmed
346,2026-07-26,823840,2026-07-26T17:40:00Z,Pre-Game,loanDepot park,San Diego Padres @ Miami Marlins,Home,805300,Jakob Marsee,Miami Marlins,San Diego Padres,CF,L,No,,100,409,343,67,11,3,5,48,25,52,9,92,0.195,0.316,0.289,0.605,6,20,18,3,0,0.167,0.0,20,77,65,12,1,0.185,0.013,25,25,0.0,16.0,62.5,25.0,12.5,0.0,8.0,50.0,16.0,0.0,0.0,0.0,,78.7,21.3,0.358,67.4,17.5,Weak,1.5,Pull Power,A-,Elevated power plane,17.5,Weak,0.909,Good,0.28,-4.72,Strong negative regression,Weak Pull Power profile. 0.0% barrel rate; 78.7 mph average exit velocity; 8.0% air-ball rate; 50.0% pull-air rate; 0.0% HR-launch rate.,0.0122,0.0167,3.87,41,14,68.6,0.6,59.8,Recently homered,621111,Walker Buehler,R,LHB vs RHP,20,20,94.2,5.23,1.43,12,1.14,7.99,3.8,0.817,1.006,1.025,0.94,0.909,0.854,1.0,6.31,4.58,83.2,19.0,F,Lineup unconfirmed
347,2026-07-26,823354,2026-07-26T17:35:00Z,Pre-Game,PNC Park,Chicago Cubs @ Pittsburgh Pirates,Home,669707,Jared Triolo,Pittsburgh Pirates,Chicago Cubs,SS,R,No,,70,238,214,52,12,0,1,23,19,18,3,53,0.243,0.311,0.313,0.624,7,23,21,7,0,0.333,0.0,21,74,67,19,1,0.284,0.0135,22,22,4.5,27.3,38.5,38.5,23.1,18.2,22.7,40.0,22.7,4.5,4.5,4.5,0.0,77.7,5.1,0.429,67.9,17.5,Weak,1.5,Contact-First Profile,C,Low line-drive plane,17.5,Weak,0.909,Good,0.88,-0.12,Near expected,Weak Contact-First Profile profile. 4.5% barrel rate; 77.7 mph average exit velocity; 22.7% air-ball rate; 40.0% pull-air rate; 4.5% HR-launch rate.,0.0042,0.0135,3.87,59,18,214.0,0.28,27.6,Very recent HR,592791,Jameson Taillon,R,RHB vs RHP,14,14,72.0,5.38,1.32,22,2.75,8.13,3.13,0.857,1.2,0.985,0.94,0.909,0.854,0.98,5.13,4.37,74.9,17.5,F,Lineup unconfirmed
348,2026-07-26,823755,2026-07-26T18:10:00Z,Pre-Game,American Family Field,Colorado Rockies @ Milwaukee Brewers,Away,671289,Tyler Freeman,Colorado Rockies,Milwaukee Brewers,RF,R,No,,71,269,237,60,6,1,3,27,23,11,15,33,0.253,0.327,0.325,0.652,5,18,18,2,0,0.111,0.0,18,65,60,11,0,0.183,0.0,19,19,0.0,31.6,36.4,36.4,27.3,15.8,26.3,40.0,21.1,5.3,5.3,5.3,,84.3,20.9,0.428,71.0,21.2,Weak,2.0,Contact-First Profile,A-,Elevated power plane,21.2,Weak,0.919,Small Statcast sample,0.29,-2.71,Negative regression,Weak Contact-First Profile profile. 0.0% barrel rate; 84.3 mph average exit velocity; 26.3% air-ball rate; 40.0% pull-air rate; 5.3% HR-launch rate.,0.0112,0.0176,4.05,100,30,79.0,1.27,126.6,Near normal interval,694819,Jacob Misiorowski,R,RHB vs RHP,19,19,115.0,1.57,0.77,9,0.7,13.54,2.19,0.758,0.936,0.985,0.965,0.919,0.887,1.0,6.93,4.34,76.4,20.0,F,Lineup unconfirmed
349,2026-07-26,823194,2026-07-26T20:05:00Z,Scheduled,Oracle Park,Los Angeles Angels @ San Francisco Giants,Home,691740,Daniel Susac,San Francisco Giants,Los Angeles Angels,C,R,No,,42,130,116,29,6,1,0,6,15,6,3,30,0.25,0.297,0.319,0.616,5,15,13,2,0,0.154,0.0,5,15,13,2,0,0.154,0.0,25,25,0.0,16.0,40.0,40.0,20.0,8.0,24.0,50.0,36.0,8.0,0.0,8.0,,78.0,21.5,0.613,64.1,25.2,Weak,2.0,Pull Power,A-,Elevated power plane,25.2,Weak,0.931,Good,0.49,0.49,Near expected,Weak Pull Power profile. 0.0% barrel rate; 78.0 mph average exit velocity; 24.0% air-ball rate; 50.0% pull-air rate; 8.0% HR-launch rate.,0.0,0.0154,3.87,116,42,,,,No season HR,667755,José Soriano,R,RHB vs RHP,21,21,118.0,3.43,1.25,12,0.92,9.31,4.12,0.861,0.971,0.985,0.94,0.931,0.875,1.0,5.81,4.21,62.5,15.5,F,Lineup unconfirmed
