Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Median HRR,Floor HRR,Ceiling HRR,Simulation Dispersion,Projected Zero HRR %,Recent Games Used,Season Games Used,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-11,Colorado Rockies @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Gabriel Moreno,Tomoyuki Sugano,0.0,0,3,4.3,1.06,1.21,0.58,0.75,2.51,2.0,1.0,5.0,30.0,9.5,40,91,70.0,2.8,4|3|2|1|4,08/10|08/09|08/08|08/07|08/06,2.5,4|3|2|1|4|3|0|1|2|5,08/10|08/09|08/08|08/07|08/06|08/05|08/02|08/01|07/31|07/29,2.67,4|3|2|1|4|3|0|1|2|5|4|0|5|3|3,08/10|08/09|08/08|08/07|08/06|08/05|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24,90.5,70.2,45.7,25.1,12.0,4.9,1.8,3.0,69.1
2026-08-11,Colorado Rockies @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Colorado Rockies,Jake McCarthy,Mitch Bratt,0.0,0,0,4.3,1.03,1.37,0.73,0.7,2.86,2.0,0.0,6.0,1.66,16.8,40,100,62.5,3.8,1|3|11|3|1,08/10|08/09|08/08|08/07|08/05,3.7,1|3|11|3|1|5|4|5|4|0,08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31,3.0,1|3|11|3|1|5|4|5|4|0|0|3|0|3|2,08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/26|07/25|07/24,83.2,61.3,44.4,31.1,21.8,14.8,9.8,3.31,65.3
2026-08-11,Houston Astros @ San Francisco Giants,Oracle Park,0.965,0.999,66.0,75.0,17.2,WSW,257.0,1.0,Overcast,-0.4,-0.6,49.1,C,67.0,Houston Astros,Jeremy Peña,Unknown,0.0,0,0,4.7,1.0,1.14,0.76,0.59,2.49,2.0,0.0,5.0,2.82,17.2,40,71,60.0,0.8,3|0|0|0|1,08/10|08/09|08/08|08/07|08/05,2.1,3|0|0|0|1|0|2|5|3|7,08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31,2.6,3|0|0|0|1|0|2|5|3|7|3|1|3|6|5,08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25,82.8,60.7,41.3,26.3,15.9,9.4,5.4,3.08,62.8
2026-08-11,Boston Red Sox @ Toronto Blue Jays,Rogers Centre,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Boston Red Sox,Ceddanne Rafaela,Dylan Cease,0.267,4,15,4.5,0.85,1.2,0.61,0.68,2.36,2.0,0.0,5.0,5.94,17.3,40,112,72.5,2.2,3|0|1|5|2,08/10|08/09|08/08|08/07|08/06,3.4,3|0|1|5|2|0|5|5|6|7,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31,3.27,3|0|1|5|2|0|5|5|6|7|4|2|1|6|2,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26,82.7,62.2,40.8,24.4,13.3,6.8,3.3,3.31,68.2
2026-08-11,Chicago Cubs @ Washington Nationals,Nationals Park,1.0,1.008,90.2,40.0,8.5,S,177.0,19.0,Partly cloudy,3.6,5.2,57.9,B,92.0,Chicago Cubs,Pete Crow-Armstrong,Unknown,0.0,0,0,4.6,1.0,1.07,0.9,0.71,2.54,2.0,0.0,6.0,1.95,22.5,40,119,60.0,4.2,3|0|5|4|9,08/09|08/08|08/07|08/06|08/05,3.2,3|0|5|4|9|4|3|0|4|0,08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31,2.73,3|0|5|4|9|4|3|0|4|0|2|4|1|0|2,08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26,77.5,57.4,40.2,27.8,18.1,12.1,7.5,3.29,62.8
2026-08-11,Tampa Bay Rays @ Athletics,Sutter Health Park,1.01,1.008,92.4,22.0,11.6,SW,220.0,1.0,Clear,3.8,5.4,58.3,B,75.0,Tampa Bay Rays,Jonathan Aranda,Mason Barnett,0.0,0,0,4.5,1.18,1.29,0.57,0.65,2.36,2.0,0.0,5.0,3.23,21.4,40,115,57.5,2.6,4|1|1|4|3,08/10|08/09|08/08|08/07|08/05,2.8,4|1|1|4|3|5|8|1|0|1,08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|07/31|07/30,2.4,4|1|1|4|3|5|8|1|0|1|2|2|2|2|0,08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|07/31|07/30|07/29|07/28|07/25|07/24|07/23,78.6,58.5,39.8,24.9,14.7,8.6,5.0,2.71,58.8
2026-08-11,Milwaukee Brewers @ San Diego Padres,Petco Park,0.965,1.004,79.8,67.0,8.8,WSW,251.0,2.0,Clear,1.9,2.8,54.3,C,75.0,San Diego Padres,Jackson Merrill,Kyle Harrison,0.333,1,3,4.2,0.85,1.08,0.63,0.75,2.39,2.0,0.0,5.0,2.83,18.9,40,116,62.5,3.8,4|4|4|3|4,08/10|08/09|08/08|08/07|08/06,3.6,4|4|4|3|4|1|7|1|5|3,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01,3.27,4|4|4|3|4|1|7|1|5|3|1|1|2|5|4,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/26,81.2,59.2,39.7,24.5,15.0,8.4,4.8,3.37,64.7
2026-08-11,Tampa Bay Rays @ Athletics,Sutter Health Park,1.01,1.008,92.4,22.0,11.6,SW,220.0,1.0,Clear,3.8,5.4,58.3,B,75.0,Tampa Bay Rays,Chandler Simpson,Mason Barnett,0.0,0,0,4.3,1.18,1.57,0.51,0.31,2.29,2.0,0.0,5.0,7.48,15.7,40,108,57.5,2.8,4|5|3|0|2,08/10|08/09|08/08|08/07|08/05,2.6,4|5|3|0|2|2|5|3|1|1,08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31,2.33,4|5|3|0|2|2|5|3|1|1|0|0|3|2|4,08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/26|07/25|07/24,84.4,61.5,39.7,22.7,11.4,5.3,2.4,2.45,58.4
2026-08-11,Milwaukee Brewers @ San Diego Padres,Petco Park,0.965,1.004,79.8,67.0,8.8,WSW,251.0,2.0,Clear,1.9,2.8,54.3,C,75.0,Milwaukee Brewers,Jackson Chourio,Walker Buehler,1.0,1,1,4.4,1.18,1.21,0.66,0.52,2.26,2.0,0.0,5.0,6.95,17.4,40,85,57.5,2.4,3|3|0|3|3,08/10|08/09|08/08|08/07|08/06,2.3,3|3|0|3|3|0|6|1|2|2,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01,2.33,3|3|0|3|3|0|6|1|2|2|2|0|4|1|5,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26,82.6,60.8,39.3,22.3,11.5,5.4,2.5,2.64,59.3
2026-08-11,Cleveland Guardians @ Detroit Tigers,Comerica Park,0.982,1.003,71.6,91.0,9.6,S,177.0,43.0,Rain,1.2,1.7,52.6,C,92.0,Detroit Tigers,Kevin McGonigle,Tanner Bibee,0.0,0,5,4.9,0.92,1.16,0.75,0.48,2.41,2.0,0.0,5.0,2.62,16.2,40,114,52.5,3.0,1|3|4|7|0,08/09|08/08|08/07|08/06|08/05,3.0,1|3|4|7|0|1|1|7|5|1,08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/29,3.0,1|3|4|7|0|1|1|7|5|1|9|2|3|0|1,08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/23,83.8,58.8,39.1,24.8,14.7,8.8,4.8,3.04,59.9
