rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,opponent,home_away,game_date,roster_status,years_exp,jersey_number,projection_source,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,preseason_expected_to_play,preseason_game_plan_role,preseason_game_plan_source,preseason_game_plan_note,preseason_game_plan_factor,preseason_attempt_share,projected_ypa,projected_passing_yards,model_std,last_5_avg,last_10_avg,last_15_avg,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,ladder_yards,probability_pct,grade
2,2026,PRE,3,Preseason Week 3,00-0026498,Matthew Stafford,LAR,LAC,away,,ACT,17,9.0,NFL_HISTORY,TEAM_BLEND,30.9,7.06,220.0,48,36.6,12.8,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.95,102.0,42.9,326.8,284.1,277.6,46.9,73.5,102.5,130.8,157.2,81.4,78.5,71.7,60.4,43.5,33.9,QB_3_SEASON_GAME_BOOTSTRAP,1962,100,52.3,LEAN
2,2026,PRE,3,Preseason Week 3,00-0026498,Matthew Stafford,LAR,LAC,away,,ACT,17,9.0,NFL_HISTORY,TEAM_BLEND,30.9,7.06,220.0,48,36.6,12.8,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.95,102.0,42.9,326.8,284.1,277.6,46.9,73.5,102.5,130.8,157.2,81.4,78.5,71.7,60.4,43.5,33.9,QB_3_SEASON_GAME_BOOTSTRAP,1962,110,42.7,COIN FLIP
2,2026,PRE,3,Preseason Week 3,00-0026498,Matthew Stafford,LAR,LAC,away,,ACT,17,9.0,NFL_HISTORY,TEAM_BLEND,30.9,7.06,220.0,48,36.6,12.8,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.95,102.0,42.9,326.8,284.1,277.6,46.9,73.5,102.5,130.8,157.2,81.4,78.5,71.7,60.4,43.5,33.9,QB_3_SEASON_GAME_BOOTSTRAP,1962,120,34.0,LOW
2,2026,PRE,3,Preseason Week 3,00-0026498,Matthew Stafford,LAR,LAC,away,,ACT,17,9.0,NFL_HISTORY,TEAM_BLEND,30.9,7.06,220.0,48,36.6,12.8,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.95,102.0,42.9,326.8,284.1,277.6,46.9,73.5,102.5,130.8,157.2,81.4,78.5,71.7,60.4,43.5,33.9,QB_3_SEASON_GAME_BOOTSTRAP,1962,130,25.7,LOW
2,2026,PRE,3,Preseason Week 3,00-0026498,Matthew Stafford,LAR,LAC,away,,ACT,17,9.0,NFL_HISTORY,TEAM_BLEND,30.9,7.06,220.0,48,36.6,12.8,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.95,102.0,42.9,326.8,284.1,277.6,46.9,73.5,102.5,130.8,157.2,81.4,78.5,71.7,60.4,43.5,33.9,QB_3_SEASON_GAME_BOOTSTRAP,1962,140,18.7,VERY LOW
2,2026,PRE,3,Preseason Week 3,00-0026498,Matthew Stafford,LAR,LAC,away,,ACT,17,9.0,NFL_HISTORY,TEAM_BLEND,30.9,7.06,220.0,48,36.6,12.8,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.95,102.0,42.9,326.8,284.1,277.6,46.9,73.5,102.5,130.8,157.2,81.4,78.5,71.7,60.4,43.5,33.9,QB_3_SEASON_GAME_BOOTSTRAP,1962,150,13.1,VERY LOW
2,2026,PRE,3,Preseason Week 3,00-0026498,Matthew Stafford,LAR,LAC,away,,ACT,17,9.0,NFL_HISTORY,TEAM_BLEND,30.9,7.06,220.0,48,36.6,12.8,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.95,102.0,42.9,326.8,284.1,277.6,46.9,73.5,102.5,130.8,157.2,81.4,78.5,71.7,60.4,43.5,33.9,QB_3_SEASON_GAME_BOOTSTRAP,1962,160,8.9,VERY LOW
2,2026,PRE,3,Preseason Week 3,00-0026498,Matthew Stafford,LAR,LAC,away,,ACT,17,9.0,NFL_HISTORY,TEAM_BLEND,30.9,7.06,220.0,48,36.6,12.8,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.95,102.0,42.9,326.8,284.1,277.6,46.9,73.5,102.5,130.8,157.2,81.4,78.5,71.7,60.4,43.5,33.9,QB_3_SEASON_GAME_BOOTSTRAP,1962,170,5.6,VERY LOW
2,2026,PRE,3,Preseason Week 3,00-0026498,Matthew Stafford,LAR,LAC,away,,ACT,17,9.0,NFL_HISTORY,TEAM_BLEND,30.9,7.06,220.0,48,36.6,12.8,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.95,102.0,42.9,326.8,284.1,277.6,46.9,73.5,102.5,130.8,157.2,81.4,78.5,71.7,60.4,43.5,33.9,QB_3_SEASON_GAME_BOOTSTRAP,1962,180,3.4,VERY LOW
2,2026,PRE,3,Preseason Week 3,00-0026498,Matthew Stafford,LAR,LAC,away,,ACT,17,9.0,NFL_HISTORY,TEAM_BLEND,30.9,7.06,220.0,48,36.6,12.8,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.95,102.0,42.9,326.8,284.1,277.6,46.9,73.5,102.5,130.8,157.2,81.4,78.5,71.7,60.4,43.5,33.9,QB_3_SEASON_GAME_BOOTSTRAP,1962,190,2.0,VERY LOW
