Top 30 Rank,Overall Rank,Date,Player,Team,Opponent,Game,Side,Position,Projected FS,Sim Mean,Last 5 Avg FS,Last 10 Avg FS,Last 15 Avg FS,Last 5 Fantasy Scores,Last 10 Fantasy Scores,Last 15 Fantasy Scores,P Over 2.5 FS %,P Over 3.0 FS %,P Over 3.5 FS %,P Over 4.0 FS %,P Over 4.5 FS %,P Over 5.0 FS %,P Over 5.5 FS %,P Over 6.0 FS %,P Over 6.5 FS %,P Over 7.0 FS %,P Over 7.5 FS %,P Over 8.0 FS %,P Over 8.5 FS %,P Over 9.0 FS %,P Over 9.5 FS %,AI Score,Grade,Suggested Lean,Lineup Spot,Lineup Source,Today Lineup Spot,Last 7 Mode Spot,Starts in Last 7,Last 7 Lineup Spots,Lineup Consistency %,Expected PA,Rest/Usage Note,Recent Start Guess 14,Usage Factor,Opp Pitcher,Opp Pitcher Hand,Pitcher ERA,Pitcher WHIP,Pitcher H/BF,Pitcher HR/BF,Pitcher BB/BF,Bullpen ERA,Bullpen WHIP,Bullpen H/BF,Bullpen HR/BF,Venue,Park Factor,Weather Factor,Temp F,Wind MPH,Wind Direction,Precip %,Weather Note,PA,AB,AVG,OBP,SLG,OPS,Hand Split PA,Hand Split OPS,Season H,Season 2B,Season 3B,Season HR,Season R,Season RBI,Season BB,Season HBP,Season SB,Last 5 Fantasy Score Details,Last 10 Fantasy Score Details,Last 15 Fantasy Score Details,Recent FS Games Available,Last 7 FS/G,Last 14 FS/G,Last 14 AVG,14-Game Batter Status,Last 30 FS/G,Last 14 FS/PA,Last 14 Hit Rate,Last 14 XBH Rate,Last 14 HR Rate,Last 14 BB Rate,Last 14 SB Rate,Sim Median,Sim Std,P25,P75,P90,Single Rate,Double Rate,Triple Rate,HR Rate,BB Rate,HBP Rate,Run Rate Model,RBI Rate Model,SB Rate,Confidence
1,1,2026-07-12,Wyatt Langford,TEX,HOU,HOU @ TEX,HOME,LF,12.14,12.39,10.2,12.1,12.53,5|5|18|5|18,5|5|18|5|18|18|22|7|2|21,5|5|18|5|18|18|22|7|2|21|14|24|19|5|5,90.0,83.6,83.6,80.7,80.7,73.0,73.0,69.7,69.7,63.0,63.0,58.1,58.1,54.1,54.1,299.64,A+,Forecast 12.1 FS | Sim 12.4,2,Today Posted,2.0,2.0,2,2-2,100.0,4.94,Regular,14,1.04,Cristian Javier,R,9.98,2.28,0.2532,0.038,0.1899,4.81,1.41,0.2093,0.0363,Globe Life Field,1.02,1.0,,,,,Indoor/retractable neutral,191,178,0.275,0.325,0.494,0.819,138,0.817,49,8,2,9,26,22,12,1,6,2026-07-12 vs Houston Astros: 5 FS|2026-07-11 vs Houston Astros: 5 FS|2026-07-10 vs Houston Astros: 18 FS|2026-07-09 vs Los Angeles Angels: 5 FS|2026-06-26 @ Toronto Blue Jays: 18 FS,2026-07-12 vs Houston Astros: 5 FS|2026-07-11 vs Houston Astros: 5 FS|2026-07-10 vs Houston Astros: 18 FS|2026-07-09 vs Los Angeles Angels: 5 FS|2026-06-26 @ Toronto Blue Jays: 18 FS|2026-06-25 @ Toronto Blue Jays: 18 FS|2026-06-24 @ Miami Marlins: 22 FS|2026-06-23 @ Miami Marlins: 7 FS|2026-06-22 @ Miami Marlins: 2 FS|2026-06-21 vs San Diego Padres: 21 FS,2026-07-12 vs Houston Astros: 5 FS|2026-07-11 vs Houston Astros: 5 FS|2026-07-10 vs Houston Astros: 18 FS|2026-07-09 vs Los Angeles Angels: 5 FS|2026-06-26 @ Toronto Blue Jays: 18 FS|2026-06-25 @ Toronto Blue Jays: 18 FS|2026-06-24 @ Miami Marlins: 22 FS|2026-06-23 @ Miami Marlins: 7 FS|2026-06-22 @ Miami Marlins: 2 FS|2026-06-21 vs San Diego Padres: 21 FS|2026-06-20 vs San Diego Padres: 14 FS|2026-06-19 vs San Diego Padres: 24 FS|2026-06-18 vs Minnesota Twins: 19 FS|2026-06-16 vs Minnesota Twins: 5 FS|2026-06-15 vs Minnesota Twins: 5 FS,15,13.0,13.07,0.362,Hot,10.57,2.859,0.3281,0.1406,0.0938,0.0781,0.0312,10.0,9.08,5.0,18.0,25.0,0.1971,0.0572,0.0061,0.0621,0.1041,0.0135,0.1528,0.1422,0.0172,High
2,2,2026-07-12,James Wood,WSH,NYY,NYY @ WSH,HOME,RF,11.05,11.1,19.6,19.9,16.4,18|20|24|15|21,18|20|24|15|21|35|6|18|15|27,18|20|24|15|21|35|6|18|15|27|15|14|11|2|5,83.8,78.9,78.9,73.6,73.6,65.6,65.6,62.1,62.1,54.7,54.7,50.9,50.9,46.4,46.4,290.15,A+,Forecast 11.1 FS | Sim 11.1,1,Today Posted,1.0,1.0,7,1-1-1-1-1-1-1,100.0,5.13,Regular,14,1.04,Will Warren,R,4.03,1.36,0.2354,0.0326,0.0769,3.37,1.19,0.2043,0.0273,Nationals Park,1.0,1.03,82.8,8.1,58.0,8.0,warm,454,369,0.279,0.41,0.575,0.985,303,1.024,103,23,1,28,89,64,79,4,15,2026-07-12 vs New York Yankees: 18 FS|2026-07-11 vs New York Yankees: 20 FS|2026-07-10 vs New York Yankees: 24 FS|2026-07-08 vs Houston Astros: 15 FS|2026-07-07 vs Houston Astros: 21 FS,2026-07-12 vs New York Yankees: 18 FS|2026-07-11 vs New York Yankees: 20 FS|2026-07-10 vs New York Yankees: 24 FS|2026-07-08 vs Houston Astros: 15 FS|2026-07-07 vs Houston Astros: 21 FS|2026-07-06 vs Houston Astros: 35 FS|2026-07-05 vs Pittsburgh Pirates: 6 FS|2026-07-04 vs Pittsburgh Pirates: 18 FS|2026-07-03 vs Pittsburgh Pirates: 15 FS|2026-07-01 @ Boston Red Sox: 27 FS,2026-07-12 vs New York Yankees: 18 FS|2026-07-11 vs New York Yankees: 20 FS|2026-07-10 vs New York Yankees: 24 FS|2026-07-08 vs Houston Astros: 15 FS|2026-07-07 vs Houston Astros: 21 FS|2026-07-06 vs Houston Astros: 35 FS|2026-07-05 vs Pittsburgh Pirates: 6 FS|2026-07-04 vs Pittsburgh Pirates: 18 FS|2026-07-03 vs Pittsburgh Pirates: 15 FS|2026-07-01 @ Boston Red Sox: 27 FS|2026-06-30 @ Boston Red Sox: 15 FS|2026-06-29 @ Boston Red Sox: 14 FS|2026-06-28 @ Baltimore Orioles: 11 FS|2026-06-27 @ Baltimore Orioles: 2 FS|2026-06-26 @ Baltimore Orioles: 5 FS,15,19.86,17.21,0.4,Hot,12.8,3.544,0.2941,0.1765,0.1176,0.2647,0.0294,9.0,8.94,4.0,17.0,24.0,0.1241,0.048,0.0041,0.056,0.138,0.0085,0.1643,0.1175,0.0186,Medium
3,3,2026-07-12,Pete Crow-Armstrong,CHC,CIN,CHC @ CIN,AWAY,CF,11.49,11.71,12.6,13.3,12.33,18|4|0|9|32,18|4|0|9|32|8|20|9|5|28,18|4|0|9|32|8|20|9|5|28|18|12|18|0|4,87.6,82.9,82.9,78.0,78.0,70.4,70.4,66.1,66.1,59.1,59.1,55.7,55.7,50.5,50.5,289.23,A+,Forecast 11.5 FS | Sim 11.7,1,Today Posted,1.0,1.0,7,1-1-1-1-1-1-1,100.0,5.13,Regular,14,1.04,Andrew Abbott,L,4.11,1.42,0.221,0.035,0.105,4.52,1.44,0.2127,0.034,Great American Ball Park,1.08,1.03,81.4,7.6,50.0,7.0,warm,418,358,0.291,0.386,0.531,0.917,141,0.864,104,15,4,21,63,53,47,10,24,2026-07-12 @ Cincinnati Reds: 18 FS|2026-07-11 @ Cincinnati Reds: 4 FS|2026-07-10 @ Cincinnati Reds: 0 FS|2026-07-09 @ Baltimore Orioles: 9 FS|2026-07-08 @ Baltimore Orioles: 32 FS,2026-07-12 @ Cincinnati Reds: 18 FS|2026-07-11 @ Cincinnati Reds: 4 FS|2026-07-10 @ Cincinnati Reds: 0 FS|2026-07-09 @ Baltimore Orioles: 9 FS|2026-07-08 @ Baltimore Orioles: 32 FS|2026-07-07 @ Baltimore Orioles: 8 FS|2026-07-05 vs St. Louis Cardinals: 20 FS|2026-07-04 vs St. Louis Cardinals: 9 FS|2026-07-03 vs St. Louis Cardinals: 5 FS|2026-07-01 vs San Diego Padres: 28 FS,2026-07-12 @ Cincinnati Reds: 18 FS|2026-07-11 @ Cincinnati Reds: 4 FS|2026-07-10 @ Cincinnati Reds: 0 FS|2026-07-09 @ Baltimore Orioles: 9 FS|2026-07-08 @ Baltimore Orioles: 32 FS|2026-07-07 @ Baltimore Orioles: 8 FS|2026-07-05 vs St. Louis Cardinals: 20 FS|2026-07-04 vs St. Louis Cardinals: 9 FS|2026-07-03 vs St. Louis Cardinals: 5 FS|2026-07-01 vs San Diego Padres: 28 FS|2026-06-30 vs San Diego Padres: 18 FS|2026-06-29 vs San Diego Padres: 12 FS|2026-06-28 @ Milwaukee Brewers: 18 FS|2026-06-27 @ Milwaukee Brewers: 0 FS|2026-06-26 @ Milwaukee Brewers: 4 FS,15,13.0,12.93,0.312,Hot,13.77,2.828,0.2344,0.0938,0.0625,0.2188,0.0938,10.0,8.84,5.0,17.0,24.0,0.1509,0.0426,0.0059,0.0536,0.1442,0.0224,0.1464,0.1049,0.031,Medium
4,4,2026-07-12,Esmerlyn Valdez,PIT,MIL,MIL @ PIT,HOME,RF,10.98,10.4,16.8,13.4,14.4,13|16|39|16|0,13|16|39|16|0|11|0|5|15|19,13|16|39|16|0|11|0|5|15|19|5|8|27|28|14,81.4,73.6,73.6,70.0,70.0,59.8,59.8,56.9,56.9,50.7,50.7,47.0,47.0,43.9,43.9,274.73,A+,Forecast 11.0 FS | Sim 10.4,4,Today Posted,4.0,4.0,5,4-4-4-4-4,100.0,4.73,Regular,14,1.04,Robert Gasser,L,5.24,1.27,0.2239,0.0498,0.0697,3.48,1.17,0.1958,0.0268,PNC Park,0.97,1.03,80.7,2.7,114.0,1.0,warm,105,94,0.309,0.371,0.713,1.084,34,1.412,29,6,1,10,21,27,10,0,0,2026-07-12 vs Milwaukee Brewers: 13 FS|2026-07-11 vs Milwaukee Brewers: 16 FS|2026-07-11 vs Milwaukee Brewers: 39 FS|2026-07-09 vs Atlanta Braves: 16 FS|2026-07-08 vs Atlanta Braves: 0 FS,2026-07-12 vs Milwaukee Brewers: 13 FS|2026-07-11 vs Milwaukee Brewers: 16 FS|2026-07-11 vs Milwaukee Brewers: 39 FS|2026-07-09 vs Atlanta Braves: 16 FS|2026-07-08 vs Atlanta Braves: 0 FS|2026-07-07 vs Atlanta Braves: 11 FS|2026-07-05 @ Washington Nationals: 0 FS|2026-07-04 @ Washington Nationals: 5 FS|2026-07-03 @ Washington Nationals: 15 FS|2026-07-02 @ Philadelphia Phillies: 19 FS,2026-07-12 vs Milwaukee Brewers: 13 FS|2026-07-11 vs Milwaukee Brewers: 16 FS|2026-07-11 vs Milwaukee Brewers: 39 FS|2026-07-09 vs Atlanta Braves: 16 FS|2026-07-08 vs Atlanta Braves: 0 FS|2026-07-07 vs Atlanta Braves: 11 FS|2026-07-05 @ Washington Nationals: 0 FS|2026-07-04 @ Washington Nationals: 5 FS|2026-07-03 @ Washington Nationals: 15 FS|2026-07-02 @ Philadelphia Phillies: 19 FS|2026-07-01 @ Philadelphia Phillies: 5 FS|2026-06-30 @ Philadelphia Phillies: 8 FS|2026-06-29 @ Philadelphia Phillies: 27 FS|2026-06-28 vs Cincinnati Reds: 28 FS|2026-06-27 vs Cincinnati Reds: 14 FS,15,13.57,14.43,0.375,Hot,10.36,3.108,0.3231,0.1692,0.0923,0.1231,0.0,8.0,8.89,3.0,16.0,23.0,0.132,0.0483,0.0052,0.0699,0.0808,0.0078,0.1537,0.203,0.01,Low
5,5,2026-07-12,Joc Pederson,TEX,HOU,HOU @ TEX,HOME,DH,11.48,12.26,6.8,5.8,8.6,9|2|16|0|7,9|2|16|0|7|0|5|3|0|16,9|2|16|0|7|0|5|3|0|16|14|0|23|14|20,88.1,82.6,82.6,78.5,78.5,70.8,70.8,67.0,67.0,60.5,60.5,56.1,56.1,51.7,51.7,272.42,A+,Forecast 11.5 FS | Sim 12.3,1,Last 7 Confirmed,,1.0,3,1-1-1,100.0,5.04,Regular,12,1.04,Cristian Javier,R,9.98,2.28,0.2532,0.038,0.1899,4.81,1.41,0.2093,0.0363,Globe Life Field,1.02,1.0,,,,,Indoor/retractable neutral,294,251,0.235,0.334,0.462,0.796,270,0.8,59,8,2,15,35,34,36,3,1,2026-07-12 vs Houston Astros: 9 FS|2026-07-11 vs Houston Astros: 2 FS|2026-07-10 vs Houston Astros: 16 FS|2026-07-09 vs Los Angeles Angels: 0 FS|2026-07-08 vs Los Angeles Angels: 7 FS,2026-07-12 vs Houston Astros: 9 FS|2026-07-11 vs Houston Astros: 2 FS|2026-07-10 vs Houston Astros: 16 FS|2026-07-09 vs Los Angeles Angels: 0 FS|2026-07-08 vs Los Angeles Angels: 7 FS|2026-07-07 vs Los Angeles Angels: 0 FS|2026-07-05 vs Detroit Tigers: 5 FS|2026-07-04 vs Detroit Tigers: 3 FS|2026-07-01 @ Cleveland Guardians: 0 FS|2026-06-30 @ Cleveland Guardians: 16 FS,2026-07-12 vs Houston Astros: 9 FS|2026-07-11 vs Houston Astros: 2 FS|2026-07-10 vs Houston Astros: 16 FS|2026-07-09 vs Los Angeles Angels: 0 FS|2026-07-08 vs Los Angeles Angels: 7 FS|2026-07-07 vs Los Angeles Angels: 0 FS|2026-07-05 vs Detroit Tigers: 5 FS|2026-07-04 vs Detroit Tigers: 3 FS|2026-07-01 @ Cleveland Guardians: 0 FS|2026-06-30 @ Cleveland Guardians: 16 FS|2026-06-28 @ Toronto Blue Jays: 14 FS|2026-06-27 @ Toronto Blue Jays: 0 FS|2026-06-25 @ Toronto Blue Jays: 23 FS|2026-06-24 @ Miami Marlins: 14 FS|2026-06-23 @ Miami Marlins: 20 FS,15,5.57,7.79,0.205,Neutral,6.17,2.18,0.18,0.12,0.1,0.12,0.02,10.0,9.27,5.0,18.0,25.0,0.1599,0.0454,0.0053,0.0668,0.1395,0.0134,0.1352,0.1168,0.0097,Medium
6,6,2026-07-12,Shohei Ohtani,LAD,ARI,ARI @ LAD,HOME,TWP,10.91,10.98,10.8,9.4,9.47,21|3|14|0|16,21|3|14|0|16|28|7|0|5|0,21|3|14|0|16|28|7|0|5|0|5|21|9|10|3,84.4,79.2,79.2,73.5,73.5,65.3,65.3,61.3,61.3,54.4,54.4,50.3,50.3,45.4,45.4,269.14,A+,Forecast 10.9 FS | Sim 11.0,1,Today Posted,1.0,1.0,5,1-1-1-1-1,100.0,5.13,Regular,14,1.04,Mitch Bratt,L,6.0,1.67,0.1786,0.0357,0.1786,4.21,1.27,0.2245,0.0325,UNIQLO Field at Dodger Stadium,1.0,1.0,,,,,Weather unavailable,406,335,0.293,0.403,0.549,0.952,124,0.936,98,16,2,22,65,58,60,5,6,2026-07-12 vs Arizona Diamondbacks: 21 FS|2026-07-11 vs Arizona Diamondbacks: 3 FS|2026-07-10 vs Arizona Diamondbacks: 14 FS|2026-07-08 vs Colorado Rockies: 0 FS|2026-07-07 vs Colorado Rockies: 16 FS,2026-07-12 vs Arizona Diamondbacks: 21 FS|2026-07-11 vs Arizona Diamondbacks: 3 FS|2026-07-10 vs Arizona Diamondbacks: 14 FS|2026-07-08 vs Colorado Rockies: 0 FS|2026-07-07 vs Colorado Rockies: 16 FS|2026-07-06 vs Colorado Rockies: 28 FS|2026-07-05 vs San Diego Padres: 7 FS|2026-07-03 vs San Diego Padres: 0 FS|2026-07-02 vs San Diego Padres: 5 FS|2026-07-01 @ Athletics: 0 FS,2026-07-12 vs Arizona Diamondbacks: 21 FS|2026-07-11 vs Arizona Diamondbacks: 3 FS|2026-07-10 vs Arizona Diamondbacks: 14 FS|2026-07-08 vs Colorado Rockies: 0 FS|2026-07-07 vs Colorado Rockies: 16 FS|2026-07-06 vs Colorado Rockies: 28 FS|2026-07-05 vs San Diego Padres: 7 FS|2026-07-03 vs San Diego Padres: 0 FS|2026-07-02 vs San Diego Padres: 5 FS|2026-07-01 @ Athletics: 0 FS|2026-06-30 @ Athletics: 5 FS|2026-06-29 @ Athletics: 21 FS|2026-06-28 @ San Diego Padres: 9 FS|2026-06-27 @ San Diego Padres: 10 FS|2026-06-26 @ San Diego Padres: 3 FS,15,12.71,9.93,0.286,Neutral,10.6,2.242,0.2581,0.0968,0.0806,0.0968,0.0,9.0,8.89,4.0,16.0,23.0,0.1352,0.0367,0.0034,0.0581,0.1451,0.015,0.1517,0.1248,0.0113,Medium
7,7,2026-07-12,Jordan Walker,STL,ATL,ATL @ STL,HOME,RF,11.16,10.71,12.2,12.0,12.07,14|5|5|18|19,14|5|5|18|19|8|16|4|22|9,14|5|5|18|19|8|16|4|22|9|15|27|10|2|7,82.1,76.1,76.1,70.7,70.7,62.2,62.2,58.9,58.9,51.9,51.9,48.3,48.3,44.2,44.2,268.74,A+,Forecast 11.2 FS | Sim 10.7,3,Today Posted,3.0,3.0,7,4-3-4-3-3-4-3,57.1,4.92,Regular,14,1.04,Danny Young,L,4.5,1.5,0.1765,0.0588,0.1765,3.6,1.23,0.2033,0.0301,Busch Stadium,0.99,1.03,84.9,7.8,357.0,0.0,warm,395,357,0.294,0.354,0.532,0.886,104,0.954,105,19,0,22,62,74,32,3,13,2026-07-12 vs Atlanta Braves: 14 FS|2026-07-11 vs Atlanta Braves: 5 FS|2026-07-10 vs Atlanta Braves: 5 FS|2026-07-09 vs Milwaukee Brewers: 18 FS|2026-07-08 vs Milwaukee Brewers: 19 FS,2026-07-12 vs Atlanta Braves: 14 FS|2026-07-11 vs Atlanta Braves: 5 FS|2026-07-10 vs Atlanta Braves: 5 FS|2026-07-09 vs Milwaukee Brewers: 18 FS|2026-07-08 vs Milwaukee Brewers: 19 FS|2026-07-07 vs Milwaukee Brewers: 8 FS|2026-07-07 vs Milwaukee Brewers: 16 FS|2026-07-06 vs Milwaukee Brewers: 4 FS|2026-07-05 @ Chicago Cubs: 22 FS|2026-07-04 @ Chicago Cubs: 9 FS,2026-07-12 vs Atlanta Braves: 14 FS|2026-07-11 vs Atlanta Braves: 5 FS|2026-07-10 vs Atlanta Braves: 5 FS|2026-07-09 vs Milwaukee Brewers: 18 FS|2026-07-08 vs Milwaukee Brewers: 19 FS|2026-07-07 vs Milwaukee Brewers: 8 FS|2026-07-07 vs Milwaukee Brewers: 16 FS|2026-07-06 vs Milwaukee Brewers: 4 FS|2026-07-05 @ Chicago Cubs: 22 FS|2026-07-04 @ Chicago Cubs: 9 FS|2026-07-03 @ Chicago Cubs: 15 FS|2026-07-02 @ Atlanta Braves: 27 FS|2026-07-01 @ Atlanta Braves: 10 FS|2026-06-30 @ Atlanta Braves: 2 FS|2026-06-27 vs Miami Marlins: 7 FS,15,12.14,12.43,0.319,Hot,9.0,3.053,0.2632,0.1228,0.0702,0.1404,0.0526,8.0,9.02,4.0,16.0,23.0,0.1289,0.0398,0.0022,0.0649,0.1237,0.0133,0.1474,0.1736,0.02,Medium
8,8,2026-07-12,Rafael Devers,SF,COL,COL @ SF,HOME,1B,10.71,10.79,10.0,11.3,11.73,4|2|26|16|2,4|2|26|16|2|5|8|28|5|17,4|2|26|16|2|5|8|28|5|17|7|18|3|3|32,86.5,79.2,79.2,76.3,76.3,66.8,66.8,62.7,62.7,55.9,55.9,50.7,50.7,46.8,46.8,265.86,A+,Forecast 10.7 FS | Sim 10.8,4,Today Posted,4.0,4.0,7,4-4-4-4-4-4-4,100.0,4.82,Regular,14,1.04,Michael Lorenzen,R,6.22,1.77,0.2894,0.0302,0.0821,5.44,1.52,0.2549,0.0343,Oracle Park,0.94,1.0,75.8,2.9,279.0,0.0,neutral,407,365,0.249,0.319,0.479,0.798,273,0.926,91,25,1,19,49,52,38,1,0,2026-07-12 vs Colorado Rockies: 4 FS|2026-07-11 vs Colorado Rockies: 2 FS|2026-07-10 vs Colorado Rockies: 26 FS|2026-07-09 vs Colorado Rockies: 16 FS|2026-07-08 vs Toronto Blue Jays: 2 FS,2026-07-12 vs Colorado Rockies: 4 FS|2026-07-11 vs Colorado Rockies: 2 FS|2026-07-10 vs Colorado Rockies: 26 FS|2026-07-09 vs Colorado Rockies: 16 FS|2026-07-08 vs Toronto Blue Jays: 2 FS|2026-07-07 vs Toronto Blue Jays: 5 FS|2026-07-06 vs Toronto Blue Jays: 8 FS|2026-07-05 @ Colorado Rockies: 28 FS|2026-07-04 @ Colorado Rockies: 5 FS|2026-07-03 @ Colorado Rockies: 17 FS,2026-07-12 vs Colorado Rockies: 4 FS|2026-07-11 vs Colorado Rockies: 2 FS|2026-07-10 vs Colorado Rockies: 26 FS|2026-07-09 vs Colorado Rockies: 16 FS|2026-07-08 vs Toronto Blue Jays: 2 FS|2026-07-07 vs Toronto Blue Jays: 5 FS|2026-07-06 vs Toronto Blue Jays: 8 FS|2026-07-05 @ Colorado Rockies: 28 FS|2026-07-04 @ Colorado Rockies: 5 FS|2026-07-03 @ Colorado Rockies: 17 FS|2026-07-01 @ Arizona Diamondbacks: 7 FS|2026-06-30 @ Arizona Diamondbacks: 18 FS|2026-06-29 @ Arizona Diamondbacks: 3 FS|2026-06-28 vs Atlanta Braves: 3 FS|2026-06-27 vs Atlanta Braves: 32 FS,15,9.0,10.29,0.312,Hot,9.67,2.4,0.25,0.1,0.0833,0.1833,0.0,9.0,8.37,5.0,16.0,22.1,0.1772,0.0667,0.0043,0.0495,0.0984,0.0067,0.1277,0.1647,0.007,Medium
9,9,2026-07-12,Luis Arraez,SF,COL,COL @ SF,HOME,2B,10.59,10.88,8.4,8.4,8.8,2|8|18|14|0,2|8|18|14|0|10|10|2|13|7,2|8|18|14|0|10|10|2|13|7|0|25|8|10|5,91.6,83.5,83.5,81.8,81.8,72.4,72.4,67.1,67.1,61.5,61.5,54.0,54.0,50.8,50.8,263.18,A+,Forecast 10.6 FS | Sim 10.9,2,Today Posted,2.0,2.0,7,2-2-2-2-2-2-1,85.7,5.02,Regular,14,1.04,Michael Lorenzen,R,6.22,1.77,0.2894,0.0302,0.0821,5.44,1.52,0.2549,0.0343,Oracle Park,0.94,1.0,75.8,2.9,279.0,0.0,neutral,402,361,0.33,0.369,0.46,0.829,281,0.831,119,21,7,4,48,35,24,3,8,2026-07-12 vs Colorado Rockies: 2 FS|2026-07-11 vs Colorado Rockies: 8 FS|2026-07-10 vs Colorado Rockies: 18 FS|2026-07-09 vs Colorado Rockies: 14 FS|2026-07-08 vs Toronto Blue Jays: 0 FS,2026-07-12 vs Colorado Rockies: 2 FS|2026-07-11 vs Colorado Rockies: 8 FS|2026-07-10 vs Colorado Rockies: 18 FS|2026-07-09 vs Colorado Rockies: 14 FS|2026-07-08 vs Toronto Blue Jays: 0 FS|2026-07-07 vs Toronto Blue Jays: 10 FS|2026-07-06 vs Toronto Blue Jays: 10 FS|2026-07-05 @ Colorado Rockies: 2 FS|2026-07-04 @ Colorado Rockies: 13 FS|2026-07-03 @ Colorado Rockies: 7 FS,2026-07-12 vs Colorado Rockies: 2 FS|2026-07-11 vs Colorado Rockies: 8 FS|2026-07-10 vs Colorado Rockies: 18 FS|2026-07-09 vs Colorado Rockies: 14 FS|2026-07-08 vs Toronto Blue Jays: 0 FS|2026-07-07 vs Toronto Blue Jays: 10 FS|2026-07-06 vs Toronto Blue Jays: 10 FS|2026-07-05 @ Colorado Rockies: 2 FS|2026-07-04 @ Colorado Rockies: 13 FS|2026-07-03 @ Colorado Rockies: 7 FS|2026-07-01 @ Arizona Diamondbacks: 0 FS|2026-06-30 @ Arizona Diamondbacks: 25 FS|2026-06-29 @ Arizona Diamondbacks: 8 FS|2026-06-28 vs Atlanta Braves: 10 FS|2026-06-27 vs Atlanta Braves: 5 FS,15,8.86,9.07,0.382,Hot,8.37,2.082,0.3443,0.0984,0.0164,0.082,0.0328,10.0,7.46,5.0,15.0,21.0,0.259,0.0654,0.0115,0.0221,0.0728,0.0082,0.1241,0.1027,0.0149,Medium
10,10,2026-07-12,Josh Jung,TEX,HOU,HOU @ TEX,HOME,3B,10.89,11.22,8.0,9.7,7.47,17|2|9|7|5,17|2|9|7|5|18|4|17|10|8,17|2|9|7|5|18|4|17|10|8|9|4|0|2|0,89.8,83.6,83.6,80.3,80.3,71.6,71.6,67.6,67.6,60.4,60.4,54.9,54.9,50.0,50.0,262.73,A+,Forecast 10.9 FS | Sim 11.2,3,Today Posted,3.0,3.0,4,3-3-4-3,75.0,4.92,Regular,14,1.04,Cristian Javier,R,9.98,2.28,0.2532,0.038,0.1899,4.81,1.41,0.2093,0.0363,Globe Life Field,1.02,1.0,,,,,Indoor/retractable neutral,376,336,0.298,0.367,0.452,0.819,290,0.788,100,23,1,9,45,34,32,6,1,2026-07-12 vs Houston Astros: 17 FS|2026-07-11 vs Houston Astros: 2 FS|2026-07-10 vs Houston Astros: 9 FS|2026-07-09 vs Los Angeles Angels: 7 FS|2026-07-04 vs Detroit Tigers: 5 FS,2026-07-12 vs Houston Astros: 17 FS|2026-07-11 vs Houston Astros: 2 FS|2026-07-10 vs Houston Astros: 9 FS|2026-07-09 vs Los Angeles Angels: 7 FS|2026-07-04 vs Detroit Tigers: 5 FS|2026-07-02 vs Detroit Tigers: 18 FS|2026-07-01 @ Cleveland Guardians: 4 FS|2026-06-30 @ Cleveland Guardians: 17 FS|2026-06-29 @ Cleveland Guardians: 10 FS|2026-06-28 @ Toronto Blue Jays: 8 FS,2026-07-12 vs Houston Astros: 17 FS|2026-07-11 vs Houston Astros: 2 FS|2026-07-10 vs Houston Astros: 9 FS|2026-07-09 vs Los Angeles Angels: 7 FS|2026-07-04 vs Detroit Tigers: 5 FS|2026-07-02 vs Detroit Tigers: 18 FS|2026-07-01 @ Cleveland Guardians: 4 FS|2026-06-30 @ Cleveland Guardians: 17 FS|2026-06-29 @ Cleveland Guardians: 10 FS|2026-06-28 @ Toronto Blue Jays: 8 FS|2026-06-27 @ Toronto Blue Jays: 9 FS|2026-06-26 @ Toronto Blue Jays: 4 FS|2026-06-24 @ Miami Marlins: 0 FS|2026-06-23 @ Miami Marlins: 2 FS|2026-06-22 @ Miami Marlins: 0 FS,15,8.86,8.0,0.264,Neutral,7.13,1.75,0.2188,0.125,0.0156,0.1406,0.0,10.0,8.04,5.0,16.0,23.0,0.1967,0.0726,0.0056,0.0391,0.1193,0.0194,0.1335,0.1213,0.0077,Medium
