player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_pass_tds,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,projected_attempts,pass_td_rate_per_attempt,red_zone_pass_rate,goal_to_go_pass_rate,end_zone_target_rate,qb_pressure_rate,qb_interception_rate,recent_pass_td_per_game,last_5_pass_td_avg,last_10_pass_td_avg,last_15_pass_td_avg,attempt_stability,opp_pass_td_allowed_pg,opp_rz_pass_td_rate,opp_goal_to_go_pass_td_rate,opp_pressure_rate,opp_int_rate_forced,opp_pass_td_factor,preseason_usage_multiplier,data_source,simulations,model_version,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,prob_5_plus
00-0026498,Matthew Stafford,LAR,SF,QB,QB,ACT,17.0,2026,REG,1,2026 REG W1,401872657,2026-09-11T00:35Z,home,3.152,3.152,3.0,0.0,7.0,2.17,37.98,6.93,16.56,8.51,7.59,14.27,1.43,2.5,2.4,2.5,2.733,91.3,1.446,21.72,30.99,13.62,2.08,0.99,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,89.44,73.29,55.58,39.51,27.33
00-0036442,Joe Burrow,CIN,TB,QB,QB,ACT,6.0,2026,REG,1,2026 REG W1,401872925,2026-09-13T17:00Z,home,3.033,3.033,3.0,0.0,7.0,2.156,35.77,6.26,17.17,9.5,8.25,16.95,1.46,2.4,2.6,2.1,2.4,82.6,1.574,20.37,31.67,14.64,1.59,1.078,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,88.48,71.42,52.97,37.09,25.57
00-0033106,Jared Goff,DET,NO,QB,QB,ACT,10.0,2026,REG,1,2026 REG W1,401872923,2026-09-13T17:00Z,home,2.274,2.274,2.0,0.0,5.0,1.89,37.78,5.55,16.31,7.6,6.64,16.41,1.76,1.855,1.8,1.9,1.867,88.4,1.294,17.86,31.58,13.46,2.38,0.886,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,82.07,58.27,38.12,23.29,13.64
00-0034855,Baker Mayfield,TB,CIN,QB,QB,ACT,8.0,2026,REG,1,2026 REG W1,401872925,2026-09-13T17:00Z,away,2.267,2.267,2.0,0.0,5.0,1.882,30.83,5.47,13.43,6.9,6.06,10.72,2.04,1.405,1.4,1.3,1.4,84.6,1.686,25.32,33.33,16.09,2.52,1.154,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,81.87,58.75,37.58,23.26,13.52
00-0037834,Brock Purdy,SF,LAR,QB,QB,ACT,4.0,2026,REG,1,2026 REG W1,401872657,2026-09-11T00:35Z,away,2.153,2.153,2.0,0.0,5.0,1.82,30.68,5.29,16.22,7.55,6.36,14.2,2.59,1.955,2.0,2.0,1.933,93.3,1.526,20.74,30.83,15.17,2.09,1.045,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,81.27,56.04,35.29,20.81,12.04
00-0023459,Aaron Rodgers,PIT,ATL,QB,QB,ACT,21.0,2026,REG,1,2026 REG W1,401872658,2026-09-13T17:00Z,home,2.075,2.075,2.0,0.0,5.0,1.781,34.33,4.61,14.84,7.42,6.18,12.19,1.41,0.935,0.8,0.8,1.267,83.9,1.667,21.27,31.53,14.65,2.01,1.141,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,79.84,54.46,34.33,19.79,10.5
00-0036971,Trevor Lawrence,JAX,CLE,QB,QB,ACT,5.0,2026,REG,1,2026 REG W1,401872922,2026-09-13T17:00Z,home,2.057,2.057,2.0,0.0,5.0,1.789,31.68,5.0,13.55,6.36,5.9,13.04,2.27,2.39,2.8,2.3,1.867,91.1,1.481,26.84,40.22,18.85,1.94,1.014,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,79.5,53.51,33.79,19.46,10.82
00-0039918,Caleb Williams,CHI,CAR,QB,QB,ACT,2.0,2026,REG,1,2026 REG W1,401872661,2026-09-13T17:00Z,away,2.085,2.085,2.0,0.0,5.0,1.802,37.58,4.64,13.63,5.8,5.27,14.23,1.36,1.83,2.0,1.8,1.533,91.2,1.481,24.08,36.63,11.72,1.99,1.014,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,79.49,54.64,34.6,19.75,11.03
00-0036389,Jalen Hurts,PHI,WAS,QB,QB,ACT,6.0,2026,REG,1,2026 REG W1,401872929,2026-09-13T20:25Z,home,2.006,2.006,2.0,0.0,4.0,1.737,29.28,5.11,11.52,4.51,3.9,12.43,1.65,1.485,1.4,1.5,1.733,85.1,1.87,24.55,30.2,14.38,1.45,1.18,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,79.27,53.91,32.09,18.01,9.57
00-0033873,Patrick Mahomes,KC,DEN,QB,QB,ACT,9.0,2026,REG,1,2026 REG W1,401872931,2026-09-15T00:15Z,home,1.96,1.96,2.0,0.0,4.0,1.719,36.39,4.68,17.55,8.95,7.57,17.45,1.92,1.315,1.0,1.5,1.667,90.8,1.37,18.15,26.24,19.72,1.85,0.938,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,78.63,52.11,31.5,17.74,9.13
