Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
1,2026-07-24,823352,2026-07-24T22:40:00Z,Scheduled,PNC Park,Chicago Cubs @ Pittsburgh Pirates,Home,699013,Esmerlyn Valdez,Pittsburgh Pirates,Chicago Cubs,RF,R,No,,34,131,113,33,7,1,13,24,34,17,0,50,0.292,0.382,0.717,1.099,9,39,31,9,6,0.29,0.1538,23,99,83,28,11,0.337,0.1111,19,19,10.5,31.6,42.9,28.6,28.6,26.3,31.6,50.0,31.6,5.3,0.0,5.3,150.0,87.4,25.1,1.115,74.8,40.0,Below Average,2.5,Pull Power,A-,Elevated power plane,40.0,Below Average,0.972,Small Statcast sample,1.66,-11.34,Strong negative regression,Below Average Pull Power profile. 10.5% barrel rate; 87.4 mph average exit velocity; 31.6% air-ball rate; 50.0% pull-air rate; 5.3% HR-launch rate.,0.0992,0.0671,4.25,5,2,8.7,0.58,57.5,Recently homered,571510.0,Matthew Boyd,L,RHB vs LHP,10,10,52.0,4.15,1.21,6,1.04,8.83,2.42,1.35,0.993,1.025,1.08,0.972,1.05,1.0,25.56,35.11,69.3,71.9,B,Lineup unconfirmed
2,2026-07-24,823759,2026-07-24T20:10:00Z,Scheduled,American Family Field,Colorado Rockies @ Milwaukee Brewers,Away,696100,Hunter Goodman,Colorado Rockies,Milwaukee Brewers,C,R,No,,95,397,357,92,16,0,31,64,57,34,4,129,0.258,0.327,0.563,0.89,7,29,27,9,4,0.333,0.1379,20,83,73,24,10,0.329,0.1205,22,22,18.2,36.4,36.4,27.3,36.4,27.3,31.8,28.6,36.4,18.2,13.6,18.2,100.0,83.2,22.3,1.346,73.7,59.8,Average,3.5,Barrel Machine,A-,Elevated power plane,59.8,Average,1.027,Good,2.99,-28.01,Strong negative regression,Average Barrel Machine profile. 18.2% barrel rate; 83.2 mph average exit velocity; 31.8% air-ball rate; 28.6% pull-air rate; 18.2% HR-launch rate.,0.0781,0.0674,4.15,3,1,11.5,0.26,26.1,Very recent HR,675660.0,Shane Drohan,L,RHB vs LHP,20,10,76.0,3.2,1.18,6,0.71,9.0,2.49,1.35,0.938,1.025,1.03,1.027,1.058,0.98,25.14,32.6,83.6,67.5,B,Lineup unconfirmed
3,2026-07-24,824573,2026-07-24T23:40:00Z,Scheduled,Rate Field,Houston Astros @ Chicago White Sox,Away,670541,Yordan Alvarez,Houston Astros,Chicago White Sox,DH,L,No,,102,446,372,122,20,0,34,69,77,66,5,76,0.328,0.433,0.656,1.089,8,36,29,15,4,0.517,0.1111,21,92,80,28,9,0.35,0.0978,26,26,15.4,34.6,55.6,22.2,22.2,23.1,38.5,60.0,30.8,11.5,7.7,11.5,75.0,87.9,17.7,0.954,74.7,57.4,Average,3.5,Pull Power,A,Excellent HR swing plane,57.4,Average,1.021,Good,3.39,-30.61,Strong negative regression,Average Pull Power profile. 15.4% barrel rate; 87.9 mph average exit velocity; 38.5% air-ball rate; 60.0% pull-air rate; 11.5% HR-launch rate.,0.0762,0.0669,4.31,0,0,10.9,0.0,0.0,Very recent HR,663436.0,Davis Martin,R,LHB vs RHP,19,19,106.0,3.31,1.27,6,0.51,8.24,2.8,1.229,0.906,1.025,1.08,1.021,1.102,0.98,25.79,30.97,84.4,67.4,B,Lineup unconfirmed
4,2026-07-24,823843,2026-07-24T23:10:00Z,Scheduled,loanDepot park,San Diego Padres @ Miami Marlins,Home,665052,Griffin Conine,Miami Marlins,San Diego Padres,LF,L,No,,36,110,97,26,5,0,7,16,16,11,2,34,0.268,0.355,0.536,0.891,8,25,24,7,3,0.292,0.12,22,74,64,19,5,0.297,0.0676,29,29,13.8,24.1,54.5,27.3,18.2,13.8,24.1,42.9,41.4,13.8,6.9,13.8,50.0,83.0,11.4,1.06,72.4,48.4,Average,3.0,Pull Power,A,Excellent HR swing plane,48.4,Average,0.996,Good,3.12,-3.88,Negative regression,Average Pull Power profile. 13.8% barrel rate; 83.0 mph average exit velocity; 24.1% air-ball rate; 42.9% pull-air rate; 13.8% HR-launch rate.,0.0636,0.0471,4.09,14,4,13.9,1.01,101.0,Near normal interval,608566.0,Germán Márquez,R,LHB vs RHP,10,9,44.2,5.24,1.54,11,2.22,6.04,4.43,1.342,1.113,1.025,1.03,0.996,1.025,1.0,17.92,26.98,65.8,57.2,C+,Lineup unconfirmed
5,2026-07-24,822707,2026-07-24T22:45:00Z,Scheduled,Nationals Park,Arizona Diamondbacks @ Washington Nationals,Home,682928,CJ Abrams,Washington Nationals,Arizona Diamondbacks,SS,L,No,,99,423,371,106,20,2,24,62,76,36,10,91,0.286,0.359,0.544,0.903,8,36,34,13,4,0.382,0.1111,21,91,82,23,7,0.28,0.0769,30,30,13.3,40.0,52.6,21.1,26.3,26.7,40.0,58.3,40.0,20.0,16.7,20.0,100.0,85.5,16.0,0.961,70.4,67.8,Above Average,3.5,Pull Power,A,Excellent HR swing plane,67.8,Above Average,1.05,Good,3.63,-20.37,Strong negative regression,Above Average Pull Power profile. 13.3% barrel rate; 85.5 mph average exit velocity; 40.0% air-ball rate; 58.3% pull-air rate; 20.0% HR-launch rate.,0.0567,0.0513,4.17,5,1,15.5,0.32,32.3,Very recent HR,593958.0,Eduardo Rodriguez,L,LHB vs LHP,20,20,116.2,2.62,1.22,12,0.93,6.33,3.16,1.347,0.973,0.985,1.03,1.05,1.081,0.98,19.71,26.15,84.3,57.4,C+,Lineup unconfirmed
6,2026-07-24,823843,2026-07-24T23:10:00Z,Scheduled,loanDepot park,San Diego Padres @ Miami Marlins,Away,664034,Ty France,San Diego Padres,Miami Marlins,1B,R,No,,77,261,236,65,12,2,16,30,43,13,8,63,0.275,0.331,0.547,0.878,9,41,35,13,6,0.371,0.1463,20,85,73,24,7,0.329,0.0824,39,39,7.7,41.0,77.8,5.6,16.7,12.8,30.8,66.7,33.3,7.7,7.7,7.7,100.0,87.1,18.6,0.671,70.8,46.5,Below Average,3.0,Pull Power,A,Excellent HR swing plane,46.5,Below Average,0.99,Good,2.94,-13.06,Strong negative regression,Below Average Pull Power profile. 7.7% barrel rate; 87.1 mph average exit velocity; 30.8% air-ball rate; 66.7% pull-air rate; 7.7% HR-launch rate.,0.0613,0.0521,4.15,0,0,14.8,0.0,0.0,Very recent HR,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.35,1.0,1.0,1.03,0.99,1.02,0.98,19.9,26.09,67.4,54.6,C+,Probable SP unavailable; Lineup unconfirmed
7,2026-07-24,822872,2026-07-25T00:05:00Z,Scheduled,Globe Life Field,Seattle Mariners @ Texas Rangers,Home,592626,Joc Pederson,Texas Rangers,Seattle Mariners,DH,L,No,,91,305,262,64,9,2,17,40,36,36,3,70,0.244,0.339,0.489,0.828,5,18,17,6,2,0.353,0.1111,16,57,51,13,6,0.255,0.1053,11,11,18.2,36.4,57.1,14.3,28.6,18.2,45.5,80.0,45.5,9.1,9.1,9.1,100.0,87.1,28.9,1.213,70.3,56.5,Average,3.5,Pull Power,C+,High fly-ball plane,56.5,Average,1.018,Small Statcast sample,1.63,-15.37,Strong negative regression,Average Pull Power profile. 18.2% barrel rate; 87.1 mph average exit velocity; 45.5% air-ball rate; 80.0% pull-air rate; 9.1% HR-launch rate.,0.0557,0.049,4.09,0,0,15.4,0.0,0.0,Very recent HR,682243.0,Bryce Miller,R,LHB vs RHP,11,10,63.1,2.27,0.88,9,1.28,10.09,1.42,1.35,1.026,1.025,1.0,1.018,1.018,0.98,18.59,25.51,78.3,54.4,C+,Lineup unconfirmed
8,2026-07-24,824733,2026-07-24T23:15:00Z,Scheduled,Fenway Park,Toronto Blue Jays @ Boston Red Sox,Home,575929,Willson Contreras,Boston Red Sox,Toronto Blue Jays,1B,R,No,,94,388,331,97,18,2,22,52,66,37,17,95,0.293,0.389,0.559,0.948,6,24,19,8,2,0.421,0.0833,18,71,60,21,6,0.35,0.0845,24,24,12.5,37.5,42.9,21.4,35.7,25.0,50.0,50.0,37.5,8.3,4.2,8.3,66.7,89.2,22.0,0.802,75.5,53.4,Average,3.0,Pull Power,A-,Elevated power plane,53.4,Average,1.01,Good,2.58,-19.42,Strong negative regression,Average Pull Power profile. 12.5% barrel rate; 89.2 mph average exit velocity; 50.0% air-ball rate; 50.0% pull-air rate; 8.3% HR-launch rate.,0.0567,0.0509,4.25,10,3,15.0,0.66,66.5,Recently homered,702056.0,Trey Yesavage,R,RHB vs RHP,15,15,81.0,3.78,1.16,8,0.89,8.67,4.56,1.259,0.966,0.985,1.03,1.01,1.04,1.0,19.9,24.3,82.7,54.9,C+,Lineup unconfirmed
9,2026-07-24,822952,2026-07-24T23:10:00Z,Scheduled,Tropicana Field,Cleveland Guardians @ Tampa Bay Rays,Home,691406,Junior Caminero,Tampa Bay Rays,Cleveland Guardians,3B,R,No,,102,447,387,111,16,0,29,65,62,57,1,83,0.287,0.378,0.553,0.931,10,44,37,13,1,0.351,0.0227,25,110,97,30,13,0.309,0.1182,37,37,8.1,40.5,65.2,8.7,26.1,8.1,29.7,72.7,32.4,5.4,5.4,5.4,33.3,89.1,6.9,0.699,77.2,43.6,Below Average,2.5,Pull Power,C,Low line-drive plane,43.6,Below Average,0.982,Good,2.95,-26.05,Strong negative regression,Below Average Pull Power profile. 8.1% barrel rate; 89.1 mph average exit velocity; 29.7% air-ball rate; 72.7% pull-air rate; 5.4% HR-launch rate.,0.0649,0.0579,4.17,24,6,13.3,1.8,179.8,Above normal drought,676282.0,Joey Cantillo,L,RHB vs LHP,21,21,106.0,3.74,1.42,12,1.02,9.51,4.42,1.019,0.987,1.025,1.03,0.982,1.012,1.035,22.03,23.61,85.0,58.7,C+,Lineup unconfirmed
10,2026-07-24,823680,2026-07-25T00:10:00Z,Scheduled,Target Field,Athletics @ Minnesota Twins,Home,680777,Ryan Jeffers,Minnesota Twins,Athletics,C,R,No,,44,177,148,42,9,1,9,29,32,26,1,29,0.284,0.392,0.541,0.933,6,24,22,5,2,0.227,0.0833,7,29,26,6,2,0.231,0.069,14,14,7.1,14.3,60.0,30.0,10.0,21.4,28.6,75.0,28.6,7.1,7.1,7.1,200.0,81.5,25.5,0.596,71.9,40.0,Below Average,2.5,Pull Power,A-,Elevated power plane,40.0,Below Average,0.972,Small Statcast sample,0.92,-8.08,Strong negative regression,Below Average Pull Power profile. 7.1% barrel rate; 81.5 mph average exit velocity; 28.6% air-ball rate; 75.0% pull-air rate; 7.1% HR-launch rate.,0.0508,0.0432,4.25,5,1,16.4,0.3,30.4,Very recent HR,682052.0,Jacob Lopez,L,RHB vs LHP,15,12,59.2,6.64,1.73,11,1.66,7.39,5.43,1.311,1.076,1.025,1.03,0.972,1.001,0.98,17.12,23.58,67.0,51.4,C,Lineup unconfirmed
11,2026-07-24,822952,2026-07-24T23:10:00Z,Scheduled,Tropicana Field,Cleveland Guardians @ Tampa Bay Rays,Home,683748,Victor Mesa Jr.,Tampa Bay Rays,Cleveland Guardians,RF,L,No,,39,123,107,24,2,0,8,16,17,14,0,29,0.224,0.311,0.467,0.778,8,23,21,5,3,0.238,0.1304,20,67,60,16,6,0.267,0.0896,24,24,12.5,16.7,63.6,18.2,18.2,16.7,29.2,71.4,41.7,8.3,8.3,8.3,100.0,80.5,11.4,0.989,72.4,48.4,Average,3.0,Pull Power,A,Excellent HR swing plane,48.4,Average,0.996,Good,2.33,-5.67,Strong negative regression,Average Pull Power profile. 12.5% barrel rate; 80.5 mph average exit velocity; 29.2% air-ball rate; 71.4% pull-air rate; 8.3% HR-launch rate.,0.065,0.0487,3.99,6,2,13.4,0.45,44.9,Recently homered,676282.0,Joey Cantillo,L,LHB vs LHP,21,21,106.0,3.74,1.42,12,1.02,9.51,4.42,1.35,0.987,0.985,1.0,0.996,0.996,1.0,18.07,23.09,66.1,48.1,C,Lineup unconfirmed
12,2026-07-24,823680,2026-07-25T00:10:00Z,Scheduled,Target Field,Athletics @ Minnesota Twins,Away,669127,Shea Langeliers,Athletics,Minnesota Twins,C,R,No,,92,412,372,98,18,0,23,55,51,34,5,95,0.263,0.333,0.497,0.83,8,34,30,9,3,0.3,0.0882,20,83,74,19,4,0.257,0.0482,32,32,9.4,21.9,54.5,18.2,27.3,9.4,18.8,66.7,31.2,6.2,3.1,6.2,33.3,82.2,25.5,0.923,75.2,35.5,Below Average,2.5,Pull Power,A-,Elevated power plane,35.5,Below Average,0.959,Good,2.46,-20.54,Strong negative regression,Below Average Pull Power profile. 9.4% barrel rate; 82.2 mph average exit velocity; 18.8% air-ball rate; 66.7% pull-air rate; 6.2% HR-launch rate.,0.0558,0.0505,4.15,3,1,16.2,0.19,18.5,Very recent HR,805673.0,Zebby Matthews,R,RHB vs RHP,12,12,70.0,5.4,1.34,15,1.93,7.46,2.7,1.157,1.133,0.985,1.0,0.959,0.959,0.98,19.33,23.06,83.6,51.3,C,Lineup unconfirmed
13,2026-07-24,823843,2026-07-24T23:10:00Z,Scheduled,loanDepot park,San Diego Padres @ Miami Marlins,Home,691788,Joe Mack,Miami Marlins,San Diego Padres,C,L,No,,59,190,173,42,6,0,9,26,29,12,2,48,0.243,0.299,0.434,0.733,8,24,23,6,2,0.261,0.0833,21,62,57,12,5,0.211,0.0806,13,13,15.4,30.8,55.6,11.1,33.3,23.1,30.8,50.0,23.1,15.4,15.4,15.4,100.0,82.8,8.3,1.118,69.8,54.5,Average,3.0,Barrel Machine,C,Low line-drive plane,54.5,Average,1.013,Small Statcast sample,1.56,-7.44,Strong negative regression,Average Barrel Machine profile. 15.4% barrel rate; 82.8 mph average exit velocity; 30.8% air-ball rate; 50.0% pull-air rate; 15.4% HR-launch rate.,0.0474,0.0414,3.99,4,1,19.2,0.21,20.8,Very recent HR,608566.0,Germán Márquez,R,LHB vs RHP,10,9,44.2,5.24,1.54,11,2.22,6.04,4.43,1.35,1.113,1.025,1.0,1.013,1.013,0.98,15.53,22.97,70.5,47.9,C-,Lineup unconfirmed
14,2026-07-24,823843,2026-07-24T23:10:00Z,Scheduled,loanDepot park,San Diego Padres @ Miami Marlins,Away,592518,Manny Machado,San Diego Padres,Miami Marlins,3B,R,No,,100,422,366,75,16,0,22,51,59,49,0,93,0.205,0.295,0.429,0.724,9,41,35,10,3,0.286,0.0732,23,99,83,23,8,0.277,0.0808,30,30,16.7,33.3,55.6,27.8,16.7,26.7,33.3,50.0,33.3,20.0,16.7,20.0,60.0,84.8,26.8,0.887,72.3,65.1,Above Average,3.5,Barrel Machine,A-,Elevated power plane,65.1,Above Average,1.042,Good,4.14,-17.86,Strong negative regression,Above Average Barrel Machine profile. 16.7% barrel rate; 84.8 mph average exit velocity; 33.3% air-ball rate; 50.0% pull-air rate; 20.0% HR-launch rate.,0.0521,0.0477,4.05,8,2,16.6,0.48,48.1,Recently homered,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.243,1.0,1.0,1.0,1.042,1.042,1.0,17.95,22.75,74.9,48.0,C,Probable SP unavailable; Lineup unconfirmed
