player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_pass_tds,model_version
00-0023459,Aaron Rodgers,PIT,BUF,QB,2026,PRE,3,1,51.25,ELITE,0.821,NFL_PASS_TD_V1
00-0023459,Aaron Rodgers,PIT,BUF,QB,2026,PRE,3,2,20.48,ELITE,0.821,NFL_PASS_TD_V1
00-0023459,Aaron Rodgers,PIT,BUF,QB,2026,PRE,3,3,6.96,ELITE,0.821,NFL_PASS_TD_V1
00-0023459,Aaron Rodgers,PIT,BUF,QB,2026,PRE,3,4,2.34,ELITE,0.821,NFL_PASS_TD_V1
00-0023459,Aaron Rodgers,PIT,BUF,QB,2026,PRE,3,5,0.72,HIGH,0.821,NFL_PASS_TD_V1
00-0026158,Joe Flacco,CIN,PHI,QB,2026,PRE,3,1,46.85,ELITE,0.719,NFL_PASS_TD_V1
00-0026158,Joe Flacco,CIN,PHI,QB,2026,PRE,3,2,17.33,ELITE,0.719,NFL_PASS_TD_V1
00-0026158,Joe Flacco,CIN,PHI,QB,2026,PRE,3,3,5.39,ELITE,0.719,NFL_PASS_TD_V1
00-0026158,Joe Flacco,CIN,PHI,QB,2026,PRE,3,4,1.71,ELITE,0.719,NFL_PASS_TD_V1
00-0026158,Joe Flacco,CIN,PHI,QB,2026,PRE,3,5,0.45,COIN FLIP,0.719,NFL_PASS_TD_V1
00-0026300,Josh Johnson,CIN,PHI,QB,2026,PRE,3,1,18.34,ELITE,0.214,NFL_PASS_TD_V1
00-0026300,Josh Johnson,CIN,PHI,QB,2026,PRE,3,2,2.67,ELITE,0.214,NFL_PASS_TD_V1
00-0026300,Josh Johnson,CIN,PHI,QB,2026,PRE,3,3,0.38,LOW,0.214,NFL_PASS_TD_V1
00-0026300,Josh Johnson,CIN,PHI,QB,2026,PRE,3,4,0.03,VERY LOW,0.214,NFL_PASS_TD_V1
00-0026300,Josh Johnson,CIN,PHI,QB,2026,PRE,3,5,0.0,VERY LOW,0.214,NFL_PASS_TD_V1
00-0026498,Matthew Stafford,LAR,LAC,QB,2026,PRE,3,1,68.39,ELITE,1.439,NFL_PASS_TD_V1
00-0026498,Matthew Stafford,LAR,LAC,QB,2026,PRE,3,2,39.27,ELITE,1.439,NFL_PASS_TD_V1
00-0026498,Matthew Stafford,LAR,LAC,QB,2026,PRE,3,3,19.64,ELITE,1.439,NFL_PASS_TD_V1
00-0026498,Matthew Stafford,LAR,LAC,QB,2026,PRE,3,4,9.39,ELITE,1.439,NFL_PASS_TD_V1
00-0026498,Matthew Stafford,LAR,LAC,QB,2026,PRE,3,5,4.4,ELITE,1.439,NFL_PASS_TD_V1
00-0027973,Andy Dalton,PHI,CIN,QB,2026,PRE,3,1,39.42,ELITE,0.556,NFL_PASS_TD_V1
00-0027973,Andy Dalton,PHI,CIN,QB,2026,PRE,3,2,11.78,ELITE,0.556,NFL_PASS_TD_V1
00-0027973,Andy Dalton,PHI,CIN,QB,2026,PRE,3,3,3.15,ELITE,0.556,NFL_PASS_TD_V1
00-0027973,Andy Dalton,PHI,CIN,QB,2026,PRE,3,4,0.86,VERY HIGH,0.556,NFL_PASS_TD_V1
00-0027973,Andy Dalton,PHI,CIN,QB,2026,PRE,3,5,0.27,LOW,0.556,NFL_PASS_TD_V1
00-0028118,Tyrod Taylor,GB,ARI,QB,2026,PRE,3,1,39.33,ELITE,0.554,NFL_PASS_TD_V1
00-0028118,Tyrod Taylor,GB,ARI,QB,2026,PRE,3,2,11.84,ELITE,0.554,NFL_PASS_TD_V1
00-0028118,Tyrod Taylor,GB,ARI,QB,2026,PRE,3,3,3.18,ELITE,0.554,NFL_PASS_TD_V1
00-0028118,Tyrod Taylor,GB,ARI,QB,2026,PRE,3,4,0.8,VERY HIGH,0.554,NFL_PASS_TD_V1
00-0028118,Tyrod Taylor,GB,ARI,QB,2026,PRE,3,5,0.2,VERY LOW,0.554,NFL_PASS_TD_V1
00-0028986,Case Keenum,CHI,TEN,QB,2026,PRE,3,1,36.79,ELITE,0.517,NFL_PASS_TD_V1
00-0028986,Case Keenum,CHI,TEN,QB,2026,PRE,3,2,10.83,ELITE,0.517,NFL_PASS_TD_V1
00-0028986,Case Keenum,CHI,TEN,QB,2026,PRE,3,3,3.0,ELITE,0.517,NFL_PASS_TD_V1
00-0028986,Case Keenum,CHI,TEN,QB,2026,PRE,3,4,0.82,VERY HIGH,0.517,NFL_PASS_TD_V1
00-0028986,Case Keenum,CHI,TEN,QB,2026,PRE,3,5,0.19,VERY LOW,0.517,NFL_PASS_TD_V1
00-0029604,Kirk Cousins,LV,SF,QB,2026,PRE,3,1,43.62,ELITE,0.642,NFL_PASS_TD_V1
00-0029604,Kirk Cousins,LV,SF,QB,2026,PRE,3,2,14.91,ELITE,0.642,NFL_PASS_TD_V1
00-0029604,Kirk Cousins,LV,SF,QB,2026,PRE,3,3,4.25,ELITE,0.642,NFL_PASS_TD_V1
00-0029604,Kirk Cousins,LV,SF,QB,2026,PRE,3,4,1.07,ELITE,0.642,NFL_PASS_TD_V1
00-0029604,Kirk Cousins,LV,SF,QB,2026,PRE,3,5,0.3,LOW,0.642,NFL_PASS_TD_V1
00-0030565,Geno Smith,NYJ,NYG,QB,2026,PRE,3,1,45.04,ELITE,0.666,NFL_PASS_TD_V1
00-0030565,Geno Smith,NYJ,NYG,QB,2026,PRE,3,2,15.43,ELITE,0.666,NFL_PASS_TD_V1
00-0030565,Geno Smith,NYJ,NYG,QB,2026,PRE,3,3,4.52,ELITE,0.666,NFL_PASS_TD_V1
00-0030565,Geno Smith,NYJ,NYG,QB,2026,PRE,3,4,1.18,ELITE,0.666,NFL_PASS_TD_V1
00-0030565,Geno Smith,NYJ,NYG,QB,2026,PRE,3,5,0.37,LOW,0.666,NFL_PASS_TD_V1
00-0031237,Teddy Bridgewater,DET,IND,QB,2026,PRE,3,1,9.18,ELITE,0.098,NFL_PASS_TD_V1
00-0031237,Teddy Bridgewater,DET,IND,QB,2026,PRE,3,2,0.61,SOLID,0.098,NFL_PASS_TD_V1
00-0031237,Teddy Bridgewater,DET,IND,QB,2026,PRE,3,3,0.05,VERY LOW,0.098,NFL_PASS_TD_V1
00-0031237,Teddy Bridgewater,DET,IND,QB,2026,PRE,3,4,0.0,VERY LOW,0.098,NFL_PASS_TD_V1
00-0031237,Teddy Bridgewater,DET,IND,QB,2026,PRE,3,5,0.0,VERY LOW,0.098,NFL_PASS_TD_V1
00-0031503,Jameis Winston,NYG,NYJ,QB,2026,PRE,3,1,43.48,ELITE,0.636,NFL_PASS_TD_V1
00-0031503,Jameis Winston,NYG,NYJ,QB,2026,PRE,3,2,14.24,ELITE,0.636,NFL_PASS_TD_V1
00-0031503,Jameis Winston,NYG,NYJ,QB,2026,PRE,3,3,4.13,ELITE,0.636,NFL_PASS_TD_V1
00-0031503,Jameis Winston,NYG,NYJ,QB,2026,PRE,3,4,1.28,ELITE,0.636,NFL_PASS_TD_V1
00-0031503,Jameis Winston,NYG,NYJ,QB,2026,PRE,3,5,0.37,LOW,0.636,NFL_PASS_TD_V1
00-0032156,Trevor Siemian,ATL,MIA,QB,2026,PRE,3,1,28.83,ELITE,0.366,NFL_PASS_TD_V1
00-0032156,Trevor Siemian,ATL,MIA,QB,2026,PRE,3,2,6.54,ELITE,0.366,NFL_PASS_TD_V1
00-0032156,Trevor Siemian,ATL,MIA,QB,2026,PRE,3,3,1.03,ELITE,0.366,NFL_PASS_TD_V1
00-0032156,Trevor Siemian,ATL,MIA,QB,2026,PRE,3,4,0.2,VERY LOW,0.366,NFL_PASS_TD_V1
00-0032156,Trevor Siemian,ATL,MIA,QB,2026,PRE,3,5,0.03,VERY LOW,0.366,NFL_PASS_TD_V1
00-0032268,Marcus Mariota,WAS,BAL,QB,2026,PRE,3,1,41.18,ELITE,0.581,NFL_PASS_TD_V1
00-0032268,Marcus Mariota,WAS,BAL,QB,2026,PRE,3,2,12.36,ELITE,0.581,NFL_PASS_TD_V1
00-0032268,Marcus Mariota,WAS,BAL,QB,2026,PRE,3,3,3.28,ELITE,0.581,NFL_PASS_TD_V1
00-0032268,Marcus Mariota,WAS,BAL,QB,2026,PRE,3,4,0.93,ELITE,0.581,NFL_PASS_TD_V1
00-0032268,Marcus Mariota,WAS,BAL,QB,2026,PRE,3,5,0.29,LOW,0.581,NFL_PASS_TD_V1
00-0032434,Brandon Allen,NYG,NYJ,QB,2026,PRE,3,1,28.24,ELITE,0.358,NFL_PASS_TD_V1
00-0032434,Brandon Allen,NYG,NYJ,QB,2026,PRE,3,2,6.13,ELITE,0.358,NFL_PASS_TD_V1
00-0032434,Brandon Allen,NYG,NYJ,QB,2026,PRE,3,3,1.21,ELITE,0.358,NFL_PASS_TD_V1
00-0032434,Brandon Allen,NYG,NYJ,QB,2026,PRE,3,4,0.2,VERY LOW,0.358,NFL_PASS_TD_V1
00-0032434,Brandon Allen,NYG,NYJ,QB,2026,PRE,3,5,0.02,VERY LOW,0.358,NFL_PASS_TD_V1
00-0032950,Carson Wentz,MIN,DEN,QB,2026,PRE,3,1,43.35,ELITE,0.636,NFL_PASS_TD_V1
00-0032950,Carson Wentz,MIN,DEN,QB,2026,PRE,3,2,14.14,ELITE,0.636,NFL_PASS_TD_V1
00-0032950,Carson Wentz,MIN,DEN,QB,2026,PRE,3,3,4.43,ELITE,0.636,NFL_PASS_TD_V1
00-0032950,Carson Wentz,MIN,DEN,QB,2026,PRE,3,4,1.22,ELITE,0.636,NFL_PASS_TD_V1
00-0032950,Carson Wentz,MIN,DEN,QB,2026,PRE,3,5,0.37,LOW,0.636,NFL_PASS_TD_V1
00-0033077,Dak Prescott,DAL,NO,QB,2026,PRE,3,1,51.18,ELITE,0.832,NFL_PASS_TD_V1
00-0033077,Dak Prescott,DAL,NO,QB,2026,PRE,3,2,20.47,ELITE,0.832,NFL_PASS_TD_V1
00-0033077,Dak Prescott,DAL,NO,QB,2026,PRE,3,3,7.62,ELITE,0.832,NFL_PASS_TD_V1
00-0033077,Dak Prescott,DAL,NO,QB,2026,PRE,3,4,2.77,ELITE,0.832,NFL_PASS_TD_V1
00-0033077,Dak Prescott,DAL,NO,QB,2026,PRE,3,5,0.74,HIGH,0.832,NFL_PASS_TD_V1
00-0033106,Jared Goff,DET,IND,QB,2026,PRE,3,1,63.04,ELITE,1.194,NFL_PASS_TD_V1
00-0033106,Jared Goff,DET,IND,QB,2026,PRE,3,2,31.85,ELITE,1.194,NFL_PASS_TD_V1
00-0033106,Jared Goff,DET,IND,QB,2026,PRE,3,3,14.51,ELITE,1.194,NFL_PASS_TD_V1
00-0033106,Jared Goff,DET,IND,QB,2026,PRE,3,4,6.21,ELITE,1.194,NFL_PASS_TD_V1
00-0033106,Jared Goff,DET,IND,QB,2026,PRE,3,5,2.48,ELITE,1.194,NFL_PASS_TD_V1
00-0033319,Nick Mullens,JAX,TB,QB,2026,PRE,3,1,29.74,ELITE,0.38,NFL_PASS_TD_V1
00-0033319,Nick Mullens,JAX,TB,QB,2026,PRE,3,2,6.76,ELITE,0.38,NFL_PASS_TD_V1
00-0033319,Nick Mullens,JAX,TB,QB,2026,PRE,3,3,1.26,ELITE,0.38,NFL_PASS_TD_V1
00-0033319,Nick Mullens,JAX,TB,QB,2026,PRE,3,4,0.19,VERY LOW,0.38,NFL_PASS_TD_V1
00-0033319,Nick Mullens,JAX,TB,QB,2026,PRE,3,5,0.05,VERY LOW,0.38,NFL_PASS_TD_V1
00-0033537,Deshaun Watson,CLE,NE,QB,2026,PRE,3,1,33.25,ELITE,0.438,NFL_PASS_TD_V1
00-0033537,Deshaun Watson,CLE,NE,QB,2026,PRE,3,2,8.23,ELITE,0.438,NFL_PASS_TD_V1
00-0033537,Deshaun Watson,CLE,NE,QB,2026,PRE,3,3,1.89,ELITE,0.438,NFL_PASS_TD_V1
00-0033537,Deshaun Watson,CLE,NE,QB,2026,PRE,3,4,0.37,LOW,0.438,NFL_PASS_TD_V1
