player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_receiving_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,prob_0_plus,prob_5_plus,prob_10_plus,prob_15_plus,prob_20_plus,prob_25_plus,prob_30_plus,prob_35_plus,prob_40_plus,prob_45_plus,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,prob_75_plus,prob_80_plus,prob_85_plus,prob_90_plus,prob_95_plus,prob_100_plus,prob_105_plus,prob_110_plus,prob_115_plus,prob_120_plus,prob_125_plus,prob_130_plus,prob_135_plus,prob_140_plus,prob_145_plus,prob_150_plus,prob_155_plus,prob_160_plus,prob_165_plus,prob_170_plus,prob_175_plus,prob_180_plus,prob_185_plus,prob_190_plus,prob_195_plus,prob_200_plus
00-0039075,Puka Nacua,LAR,KC,WR,WR,ACT,3.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_LAR_KC,,away,59.79,59.79,53.585,0.0,130.76,50.791,44,139.2,109.9,105.667,107.188,11.8,0.5,0.917,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,79.1,76.55,73.96,71.2,68.4,65.38,62.22,58.92,55.67,52.35,49.03,45.78,42.5,39.28,36.12,33.06,30.1,27.27,24.61,22.1,19.66,17.43,15.37,13.59,11.82,10.23,8.81,7.55,6.5,5.47,4.62,3.86,3.21,2.67,2.18,1.79,1.47,1.17,0.94,0.74
00-0038543,Jaxon Smith-Njigba,SEA,DAL,WR,WR,ACT,3.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_DAL_SEA,,home,54.502,54.502,50.767,0.0,112.821,42.327,51,91.4,97.4,104.4,105.471,10.4,0.5,1.096,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,83.08,80.32,77.28,73.92,70.41,66.75,62.95,58.89,54.75,50.64,46.48,42.4,38.29,34.48,30.78,27.25,23.95,20.86,18.07,15.5,13.15,11.1,9.3,7.66,6.24,5.09,4.05,3.24,2.56,1.99,1.55,1.18,0.91,0.71,0.53,0.39,0.28,0.2,0.15,0.11
00-0036900,Ja'Marr Chase,CIN,DET,WR,WR,ACT,5.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_DET_CIN,,home,53.39,53.39,49.639,0.0,110.882,41.78,49,88.2,94.4,92.4,88.25,10.8,0.5,1.087,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,82.64,79.81,76.67,73.34,69.77,65.93,62.12,58.04,53.91,49.69,45.52,41.43,37.36,33.55,29.81,26.26,22.88,19.89,17.16,14.65,12.37,10.32,8.55,7.02,5.71,4.63,3.7,2.96,2.35,1.82,1.44,1.1,0.8,0.61,0.44,0.32,0.24,0.17,0.12,0.09
00-0039337,Malik Nabers,NYG,MIN,WR,WR,ACT,2.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_MIN_NYG,,home,52.316,52.316,48.048,0.0,111.259,42.506,19,67.0,80.4,72.6,67.75,8.6,0.68,0.974,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,80.76,77.88,74.78,71.45,67.95,64.2,60.44,56.53,52.44,48.4,44.42,40.39,36.47,32.75,29.16,25.89,22.61,19.71,17.02,14.55,12.41,10.47,8.74,7.23,5.94,4.83,3.86,3.1,2.47,1.91,1.47,1.18,0.88,0.68,0.53,0.4,0.3,0.22,0.14,0.1
00-0036963,Amon-Ra St. Brown,DET,CIN,WR,WR,ACT,5.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_DET_CIN,,away,49.1,49.1,44.931,0.0,104.581,40.032,50,103.4,86.3,82.733,82.412,12.8,0.5,1.009,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,80.59,77.4,73.99,70.4,66.58,62.61,58.51,54.23,49.94,45.69,41.43,37.27,33.37,29.5,25.92,22.54,19.45,16.68,14.16,11.89,9.83,8.08,6.56,5.32,4.25,3.42,2.68,2.08,1.6,1.22,0.94,0.68,0.53,0.38,0.27,0.19,0.13,0.08,0.06,0.05
00-0035676,A.J. Brown,NE,IND,WR,WR,ACT,7.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_IND_NE,,home,47.986,47.986,43.602,0.0,103.876,40.08,45,87.2,80.9,66.867,66.867,9.2,0.5,1.094,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,79.18,76.06,72.64,68.98,65.14,61.12,57.14,53.04,48.81,44.56,40.4,36.3,32.41,28.66,25.21,21.93,18.93,16.16,13.68,11.52,9.57,7.9,6.39,5.18,4.15,3.35,2.61,2.01,1.54,1.14,0.85,0.66,0.48,0.35,0.26,0.19,0.13,0.09,0.06,0.04
00-0037240,Jameson Williams,DET,CIN,WR,WR,ACT,4.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_DET_CIN,,away,45.461,45.461,37.793,0.0,106.946,43.052,44,82.2,82.8,65.733,65.706,7.8,0.5,1.009,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,72.82,69.67,66.4,62.99,59.41,55.73,52.04,48.38,44.6,40.97,37.49,34.0,30.6,27.45,24.53,21.72,18.99,16.59,14.45,12.46,10.62,9.01,7.55,6.31,5.23,4.33,3.54,2.92,2.36,1.93,1.54,1.2,0.92,0.71,0.55,0.42,0.31,0.22,0.16,0.13
00-0039067,Rashee Rice,KC,LAR,WR,WR,ACT,3.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_LAR_KC,,home,45.04,45.04,42.326,0.0,92.25,34.539,27,71.2,75.6,80.4,71.375,10.4,0.5,1.108,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,82.81,79.36,75.67,71.49,67.1,62.28,57.34,52.37,47.3,42.24,37.21,32.49,28.12,23.99,20.14,16.66,13.66,11.02,8.85,6.97,5.43,4.17,3.16,2.39,1.74,1.27,0.91,0.65,0.45,0.32,0.21,0.14,0.08,0.06,0.04,0.02,0.02,0.01,0.01,0.0
00-0037247,George Pickens,DAL,SEA,WR,WR,ACT,4.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_DAL_SEA,,away,44.312,44.312,35.855,0.0,106.433,43.266,47,57.4,82.2,88.733,84.059,6.4,0.5,0.997,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,71.03,67.9,64.47,61.08,57.61,54.09,50.63,47.04,43.51,39.92,36.39,33.03,29.76,26.71,23.73,21.18,18.63,16.27,14.12,12.19,10.44,8.91,7.52,6.29,5.27,4.33,3.56,2.87,2.34,1.87,1.5,1.19,0.95,0.75,0.58,0.45,0.34,0.24,0.18,0.13
00-0037238,Drake London,ATL,DEN,WR,WR,ACT,4.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_DEN_ATL,,home,43.359,43.359,35.995,0.0,102.14,41.227,45,66.4,81.5,84.733,76.583,7.0,0.5,0.957,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,72.39,69.04,65.64,61.99,58.36,54.5,50.72,46.97,43.08,39.36,35.75,32.23,28.77,25.45,22.42,19.66,17.1,14.81,12.73,10.78,9.07,7.58,6.27,5.12,4.16,3.36,2.71,2.16,1.71,1.37,1.09,0.84,0.62,0.48,0.36,0.27,0.2,0.16,0.12,0.08
