player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_receiving_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,prob_0_plus,prob_5_plus,prob_10_plus,prob_15_plus,prob_20_plus,prob_25_plus,prob_30_plus,prob_35_plus,prob_40_plus,prob_45_plus,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,prob_75_plus,prob_80_plus,prob_85_plus,prob_90_plus,prob_95_plus,prob_100_plus,prob_105_plus,prob_110_plus,prob_115_plus,prob_120_plus,prob_125_plus,prob_130_plus,prob_135_plus,prob_140_plus,prob_145_plus,prob_150_plus,prob_155_plus,prob_160_plus,prob_165_plus,prob_170_plus,prob_175_plus,prob_180_plus,prob_185_plus,prob_190_plus,prob_195_plus,prob_200_plus
00-0039747,Ainias Smith,CAR,ARI,WR,WR,ACT,2.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,18.324,18.324,15.145,0.0,43.347,17.515,3,13.667,13.667,13.667,13.667,3.0,0.68,0.984,PLAYER_PRIOR_BLEND,100000,NFL_RECEIVING_YARDS_V1,100.0,67.49,59.12,50.28,41.19,32.73,25.06,18.4,12.94,8.8,5.66,3.51,2.02,1.12,0.61,0.32,0.16,0.08,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039356,Ja'Tavion Sanders,CAR,ARI,TE,TE,ACT,2.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,17.895,17.895,11.329,0.0,47.815,20.3,26,14.8,16.3,15.333,17.273,2.8,0.68,0.984,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,58.85,51.85,44.8,38.03,31.55,25.56,20.19,15.62,11.8,8.7,6.2,4.32,2.94,1.98,1.29,0.78,0.48,0.29,0.18,0.11,0.05,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0037614,John Metchie III,CAR,ARI,WR,WR,ACT,4.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,17.231,17.231,12.163,0.0,44.252,18.518,36,24.8,26.6,24.2,22.833,5.0,0.5,0.984,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,61.38,53.49,45.5,37.68,30.37,23.86,18.18,13.32,9.5,6.46,4.34,2.77,1.73,1.02,0.61,0.36,0.18,0.1,0.05,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039344,Jonathon Brooks,CAR,ARI,RB,RB,ACT,2.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,17.097,17.097,16.978,4.849,29.083,9.183,1,23.0,23.0,23.0,23.0,3.0,0.68,0.984,PLAYER_PRIOR_BLEND,100000,NFL_RECEIVING_YARDS_V1,100.0,89.69,76.63,58.24,37.4,19.8,8.4,2.9,0.77,0.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033589,David Moore,CAR,ARI,WR,WR,ACT,9.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,15.353,15.353,9.181,0.0,41.5,17.754,21,17.8,27.3,23.733,5.0,2.4,0.5,0.984,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,56.66,48.78,40.96,33.43,26.65,20.59,15.34,11.16,7.79,5.31,3.51,2.25,1.35,0.82,0.45,0.24,0.13,0.06,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0037005,Tommy Tremble,CAR,ARI,TE,TE,ACT,5.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,14.396,14.396,7.882,0.0,39.831,17.118,38,13.0,16.2,16.6,16.6,2.4,0.5,0.984,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,54.74,46.7,38.91,31.43,24.59,18.72,13.76,9.87,6.8,4.52,2.89,1.77,1.07,0.61,0.34,0.18,0.09,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040644,Trevor Etienne,CAR,ARI,RB,RB,ACT,1.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,13.548,13.548,13.561,9.188,17.907,3.398,3,4.333,4.333,4.333,4.333,1.0,0.68,0.984,PLAYER_PRIOR_BLEND,100000,NFL_RECEIVING_YARDS_V1,100.0,99.42,85.13,33.53,2.93,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038840,Brycen Tremayne,CAR,ARI,WR,WR,ACT,3.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,12.491,12.491,8.051,0.0,33.204,14.09,9,12.2,17.556,17.556,20.0,1.4,0.5,0.984,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,56.16,46.03,36.08,27.14,19.37,13.17,8.45,5.18,2.96,1.6,0.83,0.43,0.2,0.1,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036265,AJ Dillon,CAR,ARI,RB,RB,ACT,6.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,12.041,12.041,8.797,0.0,30.536,12.724,14,19.6,21.9,17.429,10.5,2.0,0.5,0.984,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,58.82,47.12,35.52,25.42,16.98,10.57,6.12,3.33,1.66,0.76,0.34,0.13,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0035976,Dan Chisena,CAR,ARI,WR,WR,ACT,6.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,11.9,11.9,11.035,0.0,25.032,9.475,3,12.333,12.333,12.333,12.333,1.333,0.5,0.984,PLAYER_PRIOR_BLEND,100000,NFL_RECEIVING_YARDS_V1,100.0,70.81,53.62,35.79,20.57,10.05,4.07,1.37,0.39,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0037282,James Mitchell,CAR,ARI,TE,TE,ACT,4.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,11.422,11.422,10.683,0.0,23.616,8.859,4,14.0,14.0,14.0,14.0,1.25,0.5,0.984,PLAYER_PRIOR_BLEND,100000,NFL_RECEIVING_YARDS_V1,100.0,71.34,52.68,33.34,17.81,7.75,2.79,0.78,0.18,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040218,Jimmy Horn Jr.,CAR,ARI,WR,WR,ACT,1.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,11.378,11.378,9.639,0.0,26.372,10.549,9,8.6,12.0,12.0,12.0,1.4,0.68,0.984,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,64.04,48.9,33.87,21.3,11.98,5.91,2.63,1.04,0.35,0.11,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036825,Feleipe Franks,CAR,ARI,TE,TE,ACT,5.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,10.387,10.387,9.952,0.0,20.421,7.405,3,4.0,4.0,4.0,4.0,1.0,0.5,0.984,PLAYER_PRIOR_BLEND,100000,NFL_RECEIVING_YARDS_V1,100.0,72.67,49.76,26.84,10.92,3.18,0.71,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040187,Mitchell Evans,CAR,ARI,TE,TE,ACT,1.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,9.905,9.905,8.135,0.0,23.453,9.505,13,10.6,13.0,13.154,13.154,2.2,0.68,0.984,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,60.32,43.81,28.23,16.01,7.98,3.44,1.28,0.42,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036555,Chuba Hubbard,CAR,ARI,RB,RB,ACT,5.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,9.863,9.863,6.735,0.0,25.753,10.824,43,14.0,10.5,14.867,14.867,1.8,0.5,0.984,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,54.62,41.22,28.73,18.46,10.85,5.84,2.79,1.23,0.48,0.19,0.07,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
