Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
14,2026-07-19,824978,2026-07-19T20:05:00Z,Scheduled,Sutter Health Park,Washington Nationals @ Athletics,Away,671277,Luis García Jr.,Washington Nationals,Athletics,1B,L,No,,90,319,303,86,16,3,20,45,68,15,0,48,0.284,0.317,0.554,0.871,6,25,23,7,1,0.304,0.04,20,76,69,24,10,0.348,0.1316,0.0627,0.0543,4.15,11,3,15.2,0.73,72.6,Recently homered,682052.0,Jacob Lopez,L,LHB vs LHP,14,11,55.1,6.83,1.79,11,1.79,6.99,5.53,1.095,1.087,0.985,1.03,1.0,20.68,24.53,80.9,53.9,D,Lineup unconfirmed
15,2026-07-19,824330,2026-07-19T19:10:00Z,Scheduled,Coors Field,Cincinnati Reds @ Colorado Rockies,Away,668709,JJ Bleday,Cincinnati Reds,Colorado Rockies,LF,L,No,,68,288,243,59,11,1,16,36,43,40,2,57,0.243,0.352,0.494,0.846,7,29,24,8,3,0.333,0.1034,22,88,74,15,3,0.203,0.0341,0.0556,0.0486,4.15,6,2,15.2,0.4,39.5,Recently homered,663372.0,Ryan Feltner,R,LHB vs RHP,13,13,63.1,4.55,1.29,11,1.56,6.68,3.41,1.194,1.066,1.025,1.0,1.0,18.69,23.83,79.6,52.2,D,Lineup unconfirmed
16,2026-07-19,824653,2026-07-19T18:20:00Z,Scheduled,Wrigley Field,Minnesota Twins @ Chicago Cubs,Home,691718,Pete Crow-Armstrong,Chicago Cubs,Minnesota Twins,CF,L,No,,97,422,361,104,15,4,21,64,53,48,10,109,0.288,0.385,0.526,0.911,7,32,25,6,2,0.24,0.0625,21,98,75,23,6,0.307,0.0612,0.0498,0.0458,4.25,16,5,17.2,0.93,93.1,Near normal interval,805673.0,Zebby Matthews,R,LHB vs RHP,11,11,67.0,4.57,1.22,14,1.88,7.25,2.42,1.14,1.119,1.025,1.03,1.0,18.08,23.74,84.8,54.6,D,Lineup unconfirmed
17,2026-07-19,822786,2026-07-19T16:15:00Z,Scheduled,Rogers Centre,Chicago White Sox @ Toronto Blue Jays,Home,672960,Kazuma Okamoto,Toronto Blue Jays,Chicago White Sox,3B,R,No,,94,387,342,81,12,0,22,50,62,37,6,118,0.237,0.32,0.465,0.785,7,32,27,7,3,0.259,0.0938,20,85,74,20,7,0.27,0.0824,0.0568,0.051,3.99,10,3,15.5,0.64,64.3,Recently homered,680732.0,Sean Burke,R,RHB vs RHP,19,15,105.2,3.41,1.17,13,1.11,9.79,2.81,1.296,1.002,0.985,1.0,1.0,18.84,23.57,83.8,51.5,D,Lineup unconfirmed
18,2026-07-19,824653,2026-07-19T18:20:00Z,Scheduled,Wrigley Field,Minnesota Twins @ Chicago Cubs,Away,680777,Ryan Jeffers,Minnesota Twins,Chicago Cubs,C,R,No,,40,161,134,39,9,1,8,27,31,24,1,25,0.291,0.4,0.552,0.952,3,13,12,3,1,0.25,0.0769,3,13,12,3,1,0.25,0.0769,0.0497,0.0421,4.31,0,0,16.8,0.0,0.0,Very recent HR,684007.0,Shota Imanaga,L,RHB vs LHP,19,19,108.0,4.17,1.12,22,1.83,8.75,2.25,1.153,1.117,1.025,1.055,0.98,16.93,22.53,64.5,49.6,F,Lineup unconfirmed; Limited recent games
19,2026-07-19,824086,2026-07-19T18:10:00Z,Scheduled,Kauffman Stadium,San Diego Padres @ Kansas City Royals,Away,664034,Ty France,San Diego Padres,Kansas City Royals,1B,R,No,,71,233,209,56,9,2,12,26,34,12,8,55,0.268,0.328,0.502,0.83,5,20,15,7,2,0.467,0.1,19,75,62,18,4,0.29,0.0533,0.0515,0.0449,4.15,0,0,17.4,0.0,0.0,Very recent HR,702070.0,Noah Cameron,L,RHB vs LHP,18,18,95.2,4.89,1.42,13,1.22,8.56,3.01,1.298,1.019,1.025,1.0,0.98,17.35,22.52,74.6,49.2,F,Lineup unconfirmed
20,2026-07-19,824653,2026-07-19T18:20:00Z,Scheduled,Wrigley Field,Minnesota Twins @ Chicago Cubs,Home,624424,Michael Conforto,Chicago Cubs,Minnesota Twins,DH,L,No,,63,164,144,35,10,0,8,20,22,19,0,48,0.243,0.329,0.479,0.808,5,16,16,3,1,0.188,0.0625,15,48,45,13,4,0.289,0.0833,0.0488,0.0417,4.09,8,3,18.0,0.44,44.4,Recently homered,805673.0,Zebby Matthews,R,LHB vs RHP,11,11,67.0,4.57,1.22,14,1.88,7.25,2.42,1.263,1.119,1.025,1.0,1.0,15.98,22.5,67.6,47.8,F,Lineup unconfirmed
21,2026-07-19,824897,2026-07-19T17:35:00Z,Scheduled,Truist Park,Texas Rangers @ Atlanta Braves,Away,592626,Joc Pederson,Texas Rangers,Atlanta Braves,DH,L,No,,88,294,251,59,8,2,15,35,34,36,3,66,0.235,0.334,0.462,0.796,6,18,15,2,1,0.133,0.0556,18,68,61,14,6,0.23,0.0882,0.051,0.0455,4.05,6,2,16.7,0.36,35.9,Recently homered,656550.0,Grant Holmes,R,LHB vs RHP,18,17,87.1,3.61,1.32,15,1.55,7.83,4.02,1.202,1.072,1.025,1.0,1.0,17.19,22.19,78.4,48.7,F,Lineup unconfirmed
22,2026-07-19,824330,2026-07-19T19:10:00Z,Scheduled,Coors Field,Cincinnati Reds @ Colorado Rockies,Away,682829,Elly De La Cruz,Cincinnati Reds,Colorado Rockies,SS,S,No,,77,345,308,87,15,3,16,52,45,33,2,97,0.282,0.354,0.506,0.86,7,33,29,11,3,0.379,0.0909,19,88,76,22,4,0.289,0.0455,0.0464,0.0427,4.15,0,0,19.2,0.0,0.0,Very recent HR,663372.0,Ryan Feltner,R,Switch vs RHP,13,13,63.1,4.55,1.29,11,1.56,6.68,3.41,1.261,1.066,1.035,1.0,0.98,16.55,22.02,83.7,50.1,D,Lineup unconfirmed
23,2026-07-19,824168,2026-07-19T18:10:00Z,Scheduled,Daikin Park,Baltimore Orioles @ Houston Astros,Away,694212,Samuel Basallo,Baltimore Orioles,Houston Astros,C,L,No,,84,305,278,68,9,1,16,34,46,25,0,79,0.245,0.305,0.457,0.762,7,28,28,4,2,0.143,0.0714,20,74,69,15,6,0.217,0.0811,0.0525,0.0467,4.05,4,1,17.4,0.23,23.0,Very recent HR,686613.0,Hunter Brown,R,LHB vs RHP,7,7,35.1,3.57,1.39,5,1.27,9.93,5.6,1.249,1.014,1.025,1.0,0.98,17.6,21.96,79.7,48.0,F,Lineup unconfirmed
