date,game_pk,game_time_pt,game_status,abstract_game_state,team,opponent,home_away,player_id,player_name,position,batting_order,plate_appearances,at_bats,hits,singles,doubles,triples,home_runs,runs,rbi,walks,hit_by_pitch,stolen_bases,fantasy_score,last_updated_pt
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,678882,Ceddanne Rafaela,CF,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,650490,Yandy Díaz,DH,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,668939,Adley Rutschman,C,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,678246,Miguel Vargas,3B,4,2,2,1,0,0,0,1,1,1,0,0,0,14,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,805808,Kevin McGonigle,SS,5,2,2,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,671976,Tristan Peters,RF,6,1,1,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,808959,Munetaka Murakami,1B,7,1,1,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,668227,Randy Arozarena,LF,8,2,2,1,1,0,0,0,0,0,0,0,0,3,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,683953,Travis Bazzana,2B,9,2,2,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,700250,Ben Rice,1B,,2,2,1,1,0,0,0,0,1,0,0,0,5,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,677951,Bobby Witt Jr.,SS,,2,1,0,0,0,0,0,1,0,1,0,0,4,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,641355,Cody Bellinger,RF,,3,3,1,1,0,0,0,0,2,0,0,0,7,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,693307,Dillon Dingler,C,,1,1,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,676391,Ernie Clement,2B,,2,2,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,691406,Junior Caminero,3B,,2,1,0,0,0,0,0,0,0,0,1,0,2,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,545361,Mike Trout,CF,,3,3,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,682985,Riley Greene,LF,,2,2,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,669127,Shea Langeliers,C,,2,1,1,1,0,0,0,1,0,1,0,0,7,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,575929,Willson Contreras,1B,,1,1,1,1,0,0,0,0,0,0,0,0,3,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,American League All-Stars,National League All-Stars,away,670541,Yordan Alvarez,DH,,2,2,1,1,0,0,0,1,0,0,0,0,5,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,National League All-Stars,American League All-Stars,home,671056,Iván Herrera,DH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,National League All-Stars,American League All-Stars,home,691023,Jordan Walker,LF,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,National League All-Stars,American League All-Stars,home,621566,Matt Olson,1B,3,2,2,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,National League All-Stars,American League All-Stars,home,672640,Otto Lopez,SS,4,2,2,1,1,0,0,0,0,0,0,0,0,3,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,National League All-Stars,American League All-Stars,home,701398,Sal Stewart,3B,5,2,1,0,0,0,0,0,0,0,1,0,0,2,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,National League All-Stars,American League All-Stars,home,650333,Luis Arraez,2B,6,1,1,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,National League All-Stars,American League All-Stars,home,695578,James Wood,RF,7,1,1,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,National League All-Stars,American League All-Stars,home,691718,Pete Crow-Armstrong,CF,8,1,1,1,1,0,0,0,0,0,0,0,0,3,2026-07-19 08:31:05 PM
2026-07-14,823443,5:00 PM,Final,Final,National League All-Stars,American League All-Stars,home,696100,Hunter Goodman,C,9,1,1,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:31:05 PM
