date,rank,gamePk,player,mlb player id,team,opponent,lineup spot,lineup samples,probable pitcher,probable pitcher id,pitcher hand,batter side,park,projected pa,recent start rate,usage factor,hand split available,total bases line,best more line,best more threshold,projected tb,median tb,floor tb,ceiling tb,iqr upper tb,edge,fair line,more probability,push probability,less probability,recommendation,model confidence,ai score,tier,p 0 tb,p 1 tb,p 2 tb,p 3 tb,p 4 plus tb,p 1+ tb,p 2+ tb,p 3+ tb,p 4+ tb,p 5+ tb,p 6+ tb,single probability,double probability,triple probability,hr probability,season pa,season hits,season doubles,season triples,season hr,season slg,recent games used,last 14 total bases,last 14 avg tb,last 7 avg tb,last 30 avg tb,starter contribution,bullpen contribution,park contribution,weather contribution,matchup context score,park factor,weather factor,weather note,temperature f,wind mph,humidity %,precip %,pitcher era,pitcher whip,pitcher h9,pitcher hr9,simulation count,model version,more 0.5 %,push 0.5 %,less 0.5 %,side 0.5,confidence 0.5 %,ai score 0.5,tier 0.5,more 1.0 %,push 1.0 %,less 1.0 %,side 1.0,confidence 1.0 %,ai score 1.0,tier 1.0,more 1.5 %,push 1.5 %,less 1.5 %,side 1.5,confidence 1.5 %,ai score 1.5,tier 1.5,more 2.0 %,push 2.0 %,less 2.0 %,side 2.0,confidence 2.0 %,ai score 2.0,tier 2.0,more 2.5 %,push 2.5 %,less 2.5 %,side 2.5,confidence 2.5 %,ai score 2.5,tier 2.5,more 3.0 %,push 3.0 %,less 3.0 %,side 3.0,confidence 3.0 %,ai score 3.0,tier 3.0,more 3.5 %,push 3.5 %,less 3.5 %,side 3.5,confidence 3.5 %,ai score 3.5,tier 3.5,more 4.0 %,push 4.0 %,less 4.0 %,side 4.0,confidence 4.0 %,ai score 4.0,tier 4.0,more 4.5 %,push 4.5 %,less 4.5 %,side 4.5,confidence 4.5 %,ai score 4.5,tier 4.5
2026-08-11,73,823019,Bryce Harper,547180,PHI,STL,,0,Andre Pallante,669467,R,L,Busch Stadium,4.08,100.0,1.025,True,0.5,0.5,1+ TB,1.65,1.0,0.0,4.0,3.0,1.15,1.0,63.17,0.0,36.83,MORE,63.17,83,Silver,36.83,23.55,14.36,5.74,19.52,63.17,39.62,25.26,19.52,9.09,4.48,11.69,4.63,0.52,4.34,505,107,22,3,25,0.501,30,"0,4,2,3,0,0,4,4,3,1,3,1,4,2",2.214,1.857,1.467,49.2,50.2,47.9,67.5,44.5,0.995,1.035,hot,101.5,11.6,27.0,0.0,3.63,1.22,8.27,0.73,10000,TB_V3_ADVANCED,63.17,0.0,36.83,MORE,63.17,83,Silver,39.62,23.55,36.83,PASS,39.62,63,Pass,39.62,0.0,60.38,PASS,39.62,59,Pass,25.26,14.36,60.38,PASS,25.26,58,Pass,25.26,0.0,74.74,PASS,25.26,58,Pass,19.52,5.74,74.74,PASS,19.52,58,Pass,19.52,0.0,80.48,PASS,19.52,58,Pass,9.09,10.43,80.48,PASS,9.09,58,Pass,9.09,0.0,90.91,PASS,9.09,58,Pass
2026-08-11,74,823917,Kyle Tucker,663656,LAD,KC,,0,Michael Wacha,608379,R,L,UNIQLO Field at Dodger Stadium,3.97,92.9,1.025,True,0.5,0.5,1+ TB,1.439,1.0,0.0,4.0,2.0,0.939,1.0,62.92,0.0,37.08,MORE,62.92,81,Silver,37.08,28.37,14.22,6.2,14.13,62.92,34.55,20.33,14.13,6.75,2.84,14.85,3.66,0.55,3.2,457,96,18,3,11,0.388,30,"3,4,1,1,5,2,1,0,1,0,0,1,0,4",1.643,2.429,1.4,48.5,53.7,50.0,50.0,48.3,1.0,1.0,Neutral,,,,,3.44,1.15,7.81,1.06,10000,TB_V3_ADVANCED,62.92,0.0,37.08,MORE,62.92,81,Silver,34.55,28.37,37.08,PASS,34.55,61,Pass,34.55,0.0,65.45,PASS,34.55,58,Pass,20.33,14.22,65.45,PASS,20.33,58,Pass,20.33,0.0,79.67,PASS,20.33,58,Pass,14.13,6.2,79.67,PASS,14.13,58,Pass,14.13,0.0,85.87,PASS,14.13,58,Pass,6.75,7.38,85.87,PASS,6.75,58,Pass,6.75,0.0,93.25,PASS,6.75,58,Pass
2026-08-11,75,824563,Sal Stewart,701398,CIN,CWS,,0,Sean Burke,680732,R,R,Rate Field,4.02,92.9,1.025,True,0.5,0.5,1+ TB,1.576,1.0,0.0,4.0,2.0,1.076,1.0,62.88,0.0,37.12,MORE,62.88,82,Silver,37.12,25.27,14.44,4.88,18.29,62.88,37.61,23.17,18.29,8.26,3.68,13.69,3.97,0.23,4.31,506,113,23,0,25,0.475,30,"1,1,0,5,1,1,4,0,5,1,1,5,0,1",1.857,1.857,1.9,43.7,49.7,50.0,50.0,41.8,1.0,1.0,Neutral,,,,,3.08,1.12,7.34,0.98,10000,TB_V3_ADVANCED,62.88,0.0,37.12,MORE,62.88,82,Silver,37.61,25.27,37.12,PASS,37.61,62,Pass,37.61,0.0,62.39,PASS,37.61,59,Pass,23.17,14.44,62.39,PASS,23.17,58,Pass,23.17,0.0,76.83,PASS,23.17,58,Pass,18.29,4.88,76.83,PASS,18.29,58,Pass,18.29,0.0,81.71,PASS,18.29,58,Pass,8.26,10.03,81.71,PASS,8.26,58,Pass,8.26,0.0,91.74,PASS,8.26,58,Pass
2026-08-11,76,823832,Bryan Reynolds,668804,PIT,MIA,,0,Eury Pérez,691587,R,S,loanDepot park,4.06,100.0,1.025,True,0.5,0.5,1+ TB,1.41,1.0,0.0,4.0,2.0,0.91,1.0,62.86,0.0,37.14,MORE,62.86,80,Silver,37.14,27.0,16.34,6.67,12.85,62.86,35.86,19.52,12.85,5.83,2.46,13.88,4.85,0.35,2.6,522,118,28,2,15,0.443,30,"2,1,3,0,1,0,2,1,1,2,0,1,4,2",1.429,1.286,1.367,42.3,48.3,35.3,50.0,41.6,0.965,1.0,Indoor/retractable,,,,,3.61,1.13,6.73,1.07,10000,TB_V3_ADVANCED,62.86,0.0,37.14,MORE,62.86,80,Silver,35.86,27.0,37.14,PASS,35.86,61,Pass,35.86,0.0,64.14,PASS,35.86,58,Pass,19.52,16.34,64.14,PASS,19.52,58,Pass,19.52,0.0,80.48,PASS,19.52,58,Pass,12.85,6.67,80.48,PASS,12.85,58,Pass,12.85,0.0,87.15,PASS,12.85,58,Pass,5.83,7.02,87.15,PASS,5.83,58,Pass,5.83,0.0,94.17,PASS,5.83,58,Pass
2026-08-11,77,823186,Cam Smith,701358,HOU,SF,,0,TBD,,,R,Oracle Park,3.97,85.7,1.025,False,0.5,0.5,1+ TB,1.477,1.0,0.0,4.0,2.0,0.977,1.0,62.75,0.0,37.25,MORE,62.75,81,Silver,37.25,26.83,14.9,5.95,15.07,62.75,35.92,21.02,15.07,7.17,3.07,14.23,4.03,0.5,3.45,427,84,15,2,15,0.388,30,"0,9,0,1,2,4,1,4,2,0,0,0,0,4",1.929,2.429,1.233,51.0,50.2,29.0,50.0,50.2,0.95,1.0,Neutral,64.6,13.2,75.0,1.0,0.0,0.0,0.0,0.0,10000,TB_V3_ADVANCED,62.75,0.0,37.25,MORE,62.75,81,Silver,35.92,26.83,37.25,PASS,35.92,61,Pass,35.92,0.0,64.08,PASS,35.92,58,Pass,21.02,14.9,64.08,PASS,21.02,58,Pass,21.02,0.0,78.98,PASS,21.02,58,Pass,15.07,5.95,78.98,PASS,15.07,58,Pass,15.07,0.0,84.93,PASS,15.07,58,Pass,7.17,7.9,84.93,PASS,7.17,58,Pass,7.17,0.0,92.83,PASS,7.17,58,Pass
2026-08-11,78,823186,Christian Walker,572233,HOU,SF,,0,TBD,,,R,Oracle Park,4.06,100.0,1.025,False,0.5,0.5,1+ TB,1.51,1.0,0.0,4.0,2.0,1.01,1.0,62.66,0.0,37.34,MORE,62.66,81,Silver,37.34,24.75,16.11,6.29,15.51,62.66,37.91,21.8,15.51,7.14,3.42,12.99,5.44,0.29,3.21,476,102,24,1,22,0.456,30,"0,1,1,3,2,1,2,3,4,1,5,1,0,2",1.857,1.429,1.4,51.0,50.2,29.0,50.0,50.2,0.95,1.0,Neutral,64.6,13.2,75.0,1.0,0.0,0.0,0.0,0.0,10000,TB_V3_ADVANCED,62.66,0.0,37.34,MORE,62.66,81,Silver,37.91,24.75,37.34,PASS,37.91,62,Pass,37.91,0.0,62.09,PASS,37.91,58,Pass,21.8,16.11,62.09,PASS,21.8,58,Pass,21.8,0.0,78.2,PASS,21.8,58,Pass,15.51,6.29,78.2,PASS,15.51,58,Pass,15.51,0.0,84.49,PASS,15.51,58,Pass,7.14,8.37,84.49,PASS,7.14,58,Pass,7.14,0.0,92.86,PASS,7.14,58,Pass
2026-08-11,79,824563,Sam Antonacci,803011,CWS,CIN,,0,Nick Lodolo,666157,L,L,Rate Field,3.85,71.4,1.0,True,0.5,0.5,1+ TB,1.372,1.0,0.0,4.0,2.0,0.872,1.0,62.46,0.0,37.54,MORE,62.46,80,Silver,37.54,28.45,15.34,6.31,12.36,62.46,34.01,18.67,12.36,5.71,2.45,15.32,4.26,0.37,2.55,386,91,15,2,8,0.402,30,"0,0,0,4,1,0,0,0,1,1,4,0,1,3",1.071,0.714,1.133,57.1,52.2,50.0,50.0,58.6,1.0,1.0,Neutral,,,,,4.6,1.47,9.34,1.29,10000,TB_V3_ADVANCED,62.46,0.0,37.54,MORE,62.46,80,Silver,34.01,28.45,37.54,PASS,34.01,61,Pass,34.01,0.0,65.99,PASS,34.01,58,Pass,18.67,15.34,65.99,PASS,18.67,58,Pass,18.67,0.0,81.33,PASS,18.67,58,Pass,12.36,6.31,81.33,PASS,12.36,58,Pass,12.36,0.0,87.64,PASS,12.36,58,Pass,5.71,6.65,87.64,PASS,5.71,58,Pass,5.71,0.0,94.29,PASS,5.71,58,Pass
2026-08-11,80,823186,Isaac Paredes,670623,HOU,SF,,0,TBD,,,R,Oracle Park,4.04,92.9,1.025,False,0.5,0.5,1+ TB,1.39,1.0,0.0,4.0,2.0,0.89,1.0,62.13,0.0,37.87,MORE,62.13,79,Silver,37.87,26.8,16.3,6.2,12.83,62.13,35.33,19.03,12.83,5.48,2.42,13.88,4.31,0.35,2.74,475,103,20,1,15,0.415,30,"0,2,4,0,0,0,0,1,5,1,0,0,0,2",1.071,0.857,1.567,51.0,50.2,29.0,50.0,50.2,0.95,1.0,Neutral,64.6,13.2,75.0,1.0,0.0,0.0,0.0,0.0,10000,TB_V3_ADVANCED,62.13,0.0,37.87,MORE,62.13,79,Silver,35.33,26.8,37.87,PASS,35.33,61,Pass,35.33,0.0,64.67,PASS,35.33,58,Pass,19.03,16.3,64.67,PASS,19.03,58,Pass,19.03,0.0,80.97,PASS,19.03,58,Pass,12.83,6.2,80.97,PASS,12.83,58,Pass,12.83,0.0,87.17,PASS,12.83,58,Pass,5.48,7.35,87.17,PASS,5.48,58,Pass,5.48,0.0,94.52,PASS,5.48,58,Pass
2026-08-11,81,824240,Brayan Rocchio,677587,CLE,DET,,0,Drew Anderson,623454,R,S,Comerica Park,4.02,100.0,1.025,True,0.5,0.5,1+ TB,1.33,1.0,0.0,4.0,2.0,0.83,1.0,62.1,0.0,37.9,MORE,62.1,79,Silver,37.9,28.4,16.4,5.75,11.55,62.1,33.7,17.3,11.55,5.18,1.99,15.03,3.79,0.35,2.3,452,103,17,2,9,0.373,30,"1,1,0,1,0,1,0,0,0,2,1,0,0,0",0.5,0.571,1.267,47.8,46.8,39.5,53.0,47.2,0.975,1.006,humid,76.5,5.6,86.0,40.0,4.01,1.29,8.29,1.2,10000,TB_V3_ADVANCED,62.1,0.0,37.9,MORE,62.1,79,Silver,33.7,28.4,37.9,PASS,33.7,60,Pass,33.7,0.0,66.3,PASS,33.7,58,Pass,17.3,16.4,66.3,PASS,17.3,58,Pass,17.3,0.0,82.7,PASS,17.3,58,Pass,11.55,5.75,82.7,PASS,11.55,58,Pass,11.55,0.0,88.45,PASS,11.55,58,Pass,5.18,6.37,88.45,PASS,5.18,58,Pass,5.18,0.0,94.82,PASS,5.18,58,Pass
2026-08-11,82,822778,Kazuma Okamoto,672960,TOR,BOS,,0,Patrick Sandoval,663776,L,R,Rogers Centre,4.02,92.9,1.025,True,0.5,0.5,1+ TB,1.471,1.0,0.0,4.0,2.0,0.971,1.0,62.08,0.0,37.92,MORE,62.08,80,Silver,37.92,26.29,15.13,5.15,15.51,62.08,35.79,20.66,15.51,7.1,3.08,13.74,3.85,0.26,3.5,475,96,15,0,24,0.429,30,"1,0,0,1,1,0,2,1,0,2,4,4,1,0",1.214,0.714,1.367,59.8,47.6,50.0,50.0,56.5,1.0,1.0,Indoor/retractable,,,,,3.38,1.67,11.25,1.13,10000,TB_V3_ADVANCED,62.08,0.0,37.92,MORE,62.08,80,Silver,35.79,26.29,37.92,PASS,35.79,61,Pass,35.79,0.0,64.21,PASS,35.79,58,Pass,20.66,15.13,64.21,PASS,20.66,58,Pass,20.66,0.0,79.34,PASS,20.66,58,Pass,15.51,5.15,79.34,PASS,15.51,58,Pass,15.51,0.0,84.49,PASS,15.51,58,Pass,7.1,8.41,84.49,PASS,7.1,58,Pass,7.1,0.0,92.9,PASS,7.1,58,Pass
