Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
1,2026-08-19,823424,2026-08-19T22:05:00Z,Scheduled,Citizens Bank Park,Miami Marlins @ Philadelphia Phillies,Away,665052,Griffin Conine,Miami Marlins,Philadelphia Phillies,RF,L,No,,60,194,169,47,6,0,14,28,31,22,3,57,0.278,0.371,0.562,0.933,12,43,36,13,4,0.361,0.093,26,91,78,22,7,0.282,0.0769,21,21,9.5,38.1,58.3,25.0,16.7,23.8,42.9,66.7,42.9,9.5,4.8,9.5,50.0,90.7,26.5,0.923,73.6,51.7,Average,3.0,Pull Power,A-,Elevated power plane,51.7,Average,1.005,Good,2.0,-12.0,Strong negative regression,Average Pull Power profile. 9.5% barrel rate; 90.7 mph average exit velocity; 42.9% air-ball rate; 66.7% pull-air rate; 9.5% HR-launch rate.,0.0722,0.0568,4.23,0,0,12.1,0.0,0.0,Very recent HR,605400.0,Aaron Nola,R,LHB vs RHP,25,25,130.0,5.33,1.45,30,2.08,9.55,3.18,1.204,1.157,1.025,1.03,1.005,1.035,0.98,21.92,30.45,73.1,63.2,B-,Lineup unconfirmed
2,2026-08-19,823664,2026-08-19T17:40:00Z,Scheduled,Target Field,Atlanta Braves @ Minnesota Twins,Away,621566,Matt Olson,Atlanta Braves,Minnesota Twins,1B,L,No,,126,549,488,128,31,0,36,88,77,55,3,138,0.262,0.339,0.547,0.886,12,50,45,10,5,0.222,0.1,27,115,102,25,10,0.245,0.087,32,32,6.2,25.0,35.7,28.6,35.7,18.8,28.1,22.2,40.6,15.6,6.2,15.6,50.0,81.9,20.5,0.811,73.7,31.1,Weak,2.0,Contact-First Profile,A-,Elevated power plane,31.1,Weak,0.947,Good,1.87,-34.13,Strong negative regression,Weak Contact-First Profile profile. 6.2% barrel rate; 81.9 mph average exit velocity; 28.1% air-ball rate; 22.2% pull-air rate; 15.6% HR-launch rate.,0.0656,0.0596,4.15,7,2,13.6,0.52,51.6,Recently homered,671737.0,Taj Bradley,R,LHB vs RHP,24,24,135.2,3.98,1.29,19,1.26,10.02,3.91,1.232,1.026,1.025,1.03,0.947,0.975,1.0,22.49,27.72,85.0,59.8,C+,Lineup unconfirmed
3,2026-08-19,824640,2026-08-19T18:20:00Z,Scheduled,Wrigley Field,Chicago White Sox @ Chicago Cubs,Away,808959,Munetaka Murakami,Chicago White Sox,Chicago Cubs,1B,L,No,,90,392,320,75,13,0,29,67,58,69,2,131,0.234,0.372,0.547,0.919,12,53,42,8,5,0.19,0.0943,26,115,96,23,9,0.24,0.0783,17,17,17.6,47.1,27.3,18.2,54.5,23.5,29.4,40.0,23.5,11.8,5.9,11.8,66.7,86.5,31.6,0.932,71.5,52.1,Average,3.0,Balanced Power,C+,High fly-ball plane,52.1,Average,1.006,Small Statcast sample,2.33,-26.67,Strong negative regression,Average Balanced Power profile. 17.6% barrel rate; 86.5 mph average exit velocity; 29.4% air-ball rate; 40.0% pull-air rate; 11.8% HR-launch rate.,0.074,0.0641,4.23,0,0,11.0,0.0,0.0,Very recent HR,605280.0,Clay Holmes,R,LHB vs RHP,11,11,63.1,2.56,1.07,4,0.57,6.96,2.98,1.143,0.924,1.025,1.03,1.006,1.036,0.98,24.45,26.59,85.0,58.5,C+,Lineup unconfirmed
4,2026-08-19,823342,2026-08-19T16:35:00Z,Scheduled,PNC Park,Detroit Tigers @ Pittsburgh Pirates,Away,680664,Eduardo Valencia,Detroit Tigers,Pittsburgh Pirates,C,R,No,,20,60,58,21,6,0,6,12,17,1,1,17,0.362,0.383,0.776,1.159,8,25,24,7,2,0.292,0.08,14,47,46,16,4,0.348,0.0851,21,21,9.5,23.8,44.4,22.2,33.3,14.3,23.8,60.0,38.1,9.5,4.8,9.5,100.0,86.5,20.3,0.666,73.5,42.7,Below Average,2.5,Pull Power,A-,Elevated power plane,42.7,Below Average,0.98,Good,1.82,-4.18,Strong negative regression,Below Average Pull Power profile. 9.5% barrel rate; 86.5 mph average exit velocity; 23.8% air-ball rate; 60.0% pull-air rate; 9.5% HR-launch rate.,0.1,0.0547,4.31,6,2,9.7,0.62,62.1,Recently homered,694973.0,Paul Skenes,R,RHB vs RHP,25,25,134.2,3.88,1.12,14,0.94,11.09,2.47,1.202,0.974,0.985,1.08,0.98,1.058,1.0,21.52,25.74,60.0,55.6,C+,Small season sample; Lineup unconfirmed
5,2026-08-19,824318,2026-08-20T00:40:00Z,Scheduled,Coors Field,Los Angeles Dodgers @ Colorado Rockies,Away,660271,Shohei Ohtani,Los Angeles Dodgers,Colorado Rockies,TWP,L,No,,121,535,453,133,24,3,30,82,80,70,5,123,0.294,0.39,0.558,0.948,12,52,49,13,4,0.265,0.0769,25,111,101,32,8,0.317,0.0721,28,28,14.3,39.3,52.6,15.8,31.6,21.4,39.3,27.3,35.7,14.3,7.1,14.3,75.0,89.7,23.8,1.086,73.4,51.8,Average,3.0,Contact-First Profile,A-,Elevated power plane,51.8,Average,1.005,Good,3.41,-26.59,Strong negative regression,Average Contact-First Profile profile. 14.3% barrel rate; 89.7 mph average exit velocity; 39.3% air-ball rate; 27.3% pull-air rate; 14.3% HR-launch rate.,0.0561,0.0517,4.31,0,0,15.1,0.0,0.0,Very recent HR,607536.0,Kyle Freeland,L,LHB vs LHP,22,22,120.2,6.27,1.44,22,1.64,7.31,2.01,1.179,1.086,0.985,1.03,1.005,1.035,0.98,20.44,25.53,85.0,57.2,C+,Lineup unconfirmed
6,2026-08-19,824318,2026-08-20T00:40:00Z,Scheduled,Coors Field,Los Angeles Dodgers @ Colorado Rockies,Away,571970,Max Muncy,Los Angeles Dodgers,Colorado Rockies,3B,L,No,,117,440,385,97,18,1,25,66,64,50,4,112,0.252,0.343,0.499,0.842,12,42,37,9,3,0.243,0.0714,24,90,81,17,7,0.21,0.0778,27,27,25.9,44.4,66.7,26.7,6.7,25.9,37.0,60.0,40.7,29.6,14.8,29.6,42.9,86.1,23.6,0.996,70.4,77.1,Great,4.0,Barrel Machine,A-,Elevated power plane,77.1,Great,1.076,Good,5.78,-19.22,Strong negative regression,Great Barrel Machine profile. 25.9% barrel rate; 86.1 mph average exit velocity; 37.0% air-ball rate; 60.0% pull-air rate; 29.6% HR-launch rate.,0.0568,0.0515,4.15,4,1,15.4,0.26,26.0,Very recent HR,607536.0,Kyle Freeland,L,LHB vs LHP,22,22,120.2,6.27,1.44,22,1.64,7.31,2.01,1.177,1.086,0.985,1.0,1.076,1.076,0.98,19.7,25.47,84.2,55.4,C+,Lineup unconfirmed
7,2026-08-19,823342,2026-08-19T16:35:00Z,Scheduled,PNC Park,Detroit Tigers @ Pittsburgh Pirates,Home,804668,Rafael Flores Jr.,Pittsburgh Pirates,Detroit Tigers,C,R,No,,18,54,46,13,2,0,4,8,10,8,0,15,0.283,0.389,0.587,0.976,8,29,26,9,3,0.346,0.1034,12,38,34,9,3,0.265,0.0789,18,18,16.7,38.9,54.5,18.2,27.3,22.2,22.2,50.0,22.2,16.7,5.6,16.7,100.0,83.8,13.1,0.837,74.0,56.3,Average,3.5,Pull Power,A,Excellent HR swing plane,56.3,Average,1.018,Small Statcast sample,2.37,-1.63,Near expected,Average Pull Power profile. 16.7% barrel rate; 83.8 mph average exit velocity; 22.2% air-ball rate; 50.0% pull-air rate; 16.7% HR-launch rate.,0.0741,0.0451,4.25,12,4,11.5,1.04,104.3,Near normal interval,695549.0,Jackson Jobe,R,RHB vs RHP,2,2,8.2,6.23,1.38,2,2.08,8.31,2.08,1.35,1.018,0.985,1.055,1.018,1.074,1.0,17.79,25.02,58.9,54.5,C+,Small season sample; Lineup unconfirmed
8,2026-08-19,822937,2026-08-19T22:40:00Z,Scheduled,Tropicana Field,Toronto Blue Jays @ Tampa Bay Rays,Home,668723,Ryan Vilade,Tampa Bay Rays,Toronto Blue Jays,RF,R,No,,72,209,186,49,8,1,11,24,37,18,1,45,0.263,0.327,0.495,0.822,8,19,16,6,2,0.375,0.1053,17,42,38,11,4,0.289,0.0952,22,22,9.1,22.7,66.7,16.7,16.7,13.6,22.7,80.0,40.9,9.1,4.5,9.1,100.0,83.3,33.9,1.801,74.0,40.2,Below Average,2.5,Pull Power,C+,High fly-ball plane,40.2,Below Average,0.973,Good,1.83,-9.17,Strong negative regression,Below Average Pull Power profile. 9.1% barrel rate; 83.3 mph average exit velocity; 22.7% air-ball rate; 80.0% pull-air rate; 9.1% HR-launch rate.,0.0526,0.0451,4.09,3,1,16.9,0.18,17.7,Very recent HR,453286.0,Max Scherzer,R,RHB vs RHP,10,10,41.0,6.59,1.46,11,2.41,6.8,3.73,1.35,1.123,0.985,1.0,0.973,0.973,0.98,17.2,23.76,70.3,50.4,C,Lineup unconfirmed
9,2026-08-19,824640,2026-08-19T18:20:00Z,Scheduled,Wrigley Field,Chicago White Sox @ Chicago Cubs,Home,691718,Pete Crow-Armstrong,Chicago Cubs,Chicago White Sox,CF,L,No,,127,565,483,136,25,7,31,90,79,67,11,153,0.282,0.379,0.555,0.934,12,59,52,12,5,0.231,0.0847,27,129,109,31,10,0.284,0.0775,46,46,10.9,30.4,52.6,10.5,36.8,19.6,28.3,46.2,32.6,13.0,6.5,13.0,80.0,83.9,30.7,0.829,73.4,43.8,Below Average,3.0,Pull Power,C+,High fly-ball plane,43.8,Below Average,0.983,Good,4.21,-26.79,Strong negative regression,Below Average Pull Power profile. 10.9% barrel rate; 83.9 mph average exit velocity; 28.3% air-ball rate; 46.2% pull-air rate; 13.0% HR-launch rate.,0.0549,0.0509,4.17,0,0,15.6,0.0,0.0,Very recent HR,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.241,1.0,1.0,1.03,0.983,1.012,0.98,19.56,23.63,75.0,52.6,C,Probable SP unavailable; Lineup unconfirmed
10,2026-08-19,823424,2026-08-19T22:05:00Z,Scheduled,Citizens Bank Park,Miami Marlins @ Philadelphia Phillies,Home,656941,Kyle Schwarber,Philadelphia Phillies,Miami Marlins,DH,L,No,,121,541,450,111,15,1,37,72,74,80,6,184,0.247,0.365,0.531,0.896,12,58,48,14,4,0.292,0.069,24,110,87,20,4,0.23,0.0364,29,29,10.3,34.5,81.2,12.5,6.2,24.1,27.6,75.0,24.1,13.8,13.8,13.8,66.7,86.4,18.5,0.669,73.4,54.3,Average,3.0,Pull Power,A,Excellent HR swing plane,54.3,Average,1.012,Good,2.92,-34.08,Strong negative regression,Average Pull Power profile. 10.3% barrel rate; 86.4 mph average exit velocity; 27.6% air-ball rate; 75.0% pull-air rate; 13.8% HR-launch rate.,0.0684,0.0618,4.09,18,4,12.2,1.48,148.0,Above normal drought,645261.0,Sandy Alcantara,R,LHB vs RHP,26,26,170.2,3.43,1.17,17,0.9,6.86,2.43,0.952,0.968,1.025,1.03,1.012,1.042,1.035,22.96,23.34,85.0,56.3,C+,Lineup unconfirmed
