Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
35,2026-07-26,822706,2026-07-26T17:35:00Z,Pre-Game,Nationals Park,Arizona Diamondbacks @ Washington Nationals,Home,671277,Luis García Jr.,Washington Nationals,Arizona Diamondbacks,1B,L,Yes,8.0,97,344,327,90,16,4,21,46,70,16,0,56,0.275,0.308,0.541,0.849,7,25,24,4,1,0.167,0.04,21,84,79,25,8,0.316,0.0952,29,29,10.3,13.8,71.4,14.3,14.3,10.3,20.7,66.7,17.2,3.4,3.4,3.4,33.3,78.7,0.7,0.642,72.9,29.0,Weak,2.0,Pull Power,D,Ground-ball heavy,29.0,Weak,0.941,Good,2.27,-18.73,Strong negative regression,Weak Pull Power profile. 10.3% barrel rate; 78.7 mph average exit velocity; 20.7% air-ball rate; 66.7% pull-air rate; 3.4% HR-launch rate.,0.061,0.0535,3.92,5,2,15.6,0.32,32.1,Very recent HR,684442,Kohl Drake,L,LHB vs LHP,1,1,5.0,1.8,1.2,0,0.0,9.0,3.6,1.085,1.0,0.985,1.03,0.941,0.969,0.98,19.4,19.67,95.0,47.8,C-,Good
36,2026-07-26,824810,2026-07-26T17:35:00Z,Pre-Game,Oriole Park at Camden Yards,Atlanta Braves @ Baltimore Orioles,Away,621566,Matt Olson,Atlanta Braves,Baltimore Orioles,1B,L,Yes,3.0,104,457,405,108,25,0,27,70,63,47,2,110,0.267,0.344,0.528,0.872,9,41,34,9,2,0.265,0.0488,24,108,94,23,7,0.245,0.0648,33,33,3.0,18.2,47.1,29.4,23.5,18.2,21.2,14.3,24.2,3.0,3.0,3.0,100.0,83.3,24.2,0.426,73.2,9.5,Weak,1.5,Contact-First Profile,A-,Elevated power plane,9.5,Weak,0.887,Good,0.82,-26.18,Strong negative regression,Weak Contact-First Profile profile. 3.0% barrel rate; 83.3 mph average exit velocity; 21.2% air-ball rate; 14.3% pull-air rate; 3.0% HR-launch rate.,0.0591,0.0534,4.55,3,1,15.0,0.2,20.0,Very recent HR,669358,Shane Baz,R,LHB vs RHP,20,20,117.2,4.05,1.37,9,0.69,8.03,3.21,1.019,0.934,1.025,1.03,0.887,0.913,0.98,22.11,19.55,95.0,47.9,C-,Good
37,2026-07-26,823354,2026-07-26T17:35:00Z,Pre-Game,PNC Park,Chicago Cubs @ Pittsburgh Pirates,Home,694378,Jacob Gonzalez,Pittsburgh Pirates,Chicago Cubs,1B,L,Yes,7.0,38,117,106,26,5,0,4,14,22,8,2,24,0.245,0.31,0.406,0.716,7,19,19,5,2,0.263,0.1053,18,52,49,13,2,0.265,0.0385,15,15,6.7,40.0,54.5,9.1,36.4,26.7,60.0,55.6,60.0,13.3,6.7,13.3,100.0,90.9,26.1,0.609,73.1,56.8,Average,3.5,Pull Power,A-,Elevated power plane,56.8,Average,1.019,Small Statcast sample,1.17,-2.83,Negative regression,Average Pull Power profile. 6.7% barrel rate; 90.9 mph average exit velocity; 60.0% air-ball rate; 55.6% pull-air rate; 13.3% HR-launch rate.,0.0342,0.0331,4.02,4,2,26.5,0.15,15.1,Very recent HR,592791,Jameson Taillon,R,LHB vs RHP,14,14,72.0,5.38,1.32,22,2.75,8.13,3.13,1.293,1.2,1.025,1.0,1.019,1.019,0.98,12.65,19.51,76.5,42.9,C-,Good
38,2026-07-26,823755,2026-07-26T18:10:00Z,Pre-Game,American Family Field,Colorado Rockies @ Milwaukee Brewers,Away,666160,Mickey Moniak,Colorado Rockies,Milwaukee Brewers,LF,L,Yes,2.0,68,251,231,64,11,3,16,35,43,14,3,61,0.277,0.323,0.558,0.881,6,24,22,6,1,0.273,0.0417,21,77,71,20,4,0.282,0.0519,20,20,0.0,25.0,45.5,27.3,27.3,20.0,30.0,50.0,15.0,0.0,0.0,0.0,,82.2,21.0,0.28,74.2,18.1,Weak,1.5,Pull Power,A-,Elevated power plane,18.1,Weak,0.911,Good,0.22,-15.78,Strong negative regression,Weak Pull Power profile. 0.0% barrel rate; 82.2 mph average exit velocity; 30.0% air-ball rate; 50.0% pull-air rate; 0.0% HR-launch rate.,0.0637,0.0535,4.65,6,2,14.4,0.42,41.6,Recently homered,694819,Jacob Misiorowski,R,LHB vs RHP,19,19,115.0,1.57,0.77,9,0.7,13.54,2.19,0.946,0.936,1.025,1.03,0.911,0.938,1.0,22.55,19.49,88.1,47.0,C-,Good
39,2026-07-26,824810,2026-07-26T17:35:00Z,Pre-Game,Oriole Park at Camden Yards,Atlanta Braves @ Baltimore Orioles,Home,691723,Coby Mayo,Baltimore Orioles,Atlanta Braves,3B,R,No,,80,262,239,47,10,0,13,33,35,19,3,88,0.197,0.263,0.402,0.665,6,16,16,4,1,0.25,0.0625,15,38,34,7,3,0.206,0.0789,8,8,0.0,37.5,33.3,33.3,33.3,12.5,12.5,0.0,25.0,0.0,0.0,0.0,,86.0,33.4,0.406,75.8,34.1,Weak,2.5,Contact-First Profile,C+,High fly-ball plane,34.1,Weak,0.955,Small Statcast sample,0.0,-13.0,Strong negative regression,Weak Contact-First Profile profile. 0.0% barrel rate; 86.0 mph average exit velocity; 12.5% air-ball rate; 0.0% pull-air rate; 0.0% HR-launch rate.,0.0496,0.0441,3.93,7,3,18.4,0.38,38.1,Recently homered,625643,Reynaldo López,R,RHB vs RHP,23,10,66.0,3.95,1.36,10,1.36,8.18,3.82,1.234,1.039,0.985,1.0,0.955,0.955,1.0,16.24,19.34,73.8,41.5,D+,Lineup unconfirmed
40,2026-07-26,823354,2026-07-26T17:35:00Z,Pre-Game,PNC Park,Chicago Cubs @ Pittsburgh Pirates,Away,673548,Seiya Suzuki,Chicago Cubs,Pittsburgh Pirates,RF,R,Yes,2.0,88,382,331,88,16,0,17,54,56,44,4,100,0.266,0.356,0.468,0.824,8,39,29,7,2,0.241,0.0513,22,103,89,25,6,0.281,0.0583,26,26,15.4,19.2,40.0,20.0,40.0,11.5,15.4,25.0,30.8,11.5,3.8,11.5,50.0,81.4,23.8,0.876,71.5,35.3,Below Average,2.5,Contact-First Profile,A-,Elevated power plane,35.3,Below Average,0.959,Good,2.78,-14.22,Strong negative regression,Below Average Contact-First Profile profile. 15.4% barrel rate; 81.4 mph average exit velocity; 15.4% air-ball rate; 25.0% pull-air rate; 11.5% HR-launch rate.,0.0445,0.0415,4.65,9,2,19.5,0.46,46.2,Recently homered,677952,Braxton Ashcraft,R,RHB vs RHP,20,20,116.1,3.95,1.17,16,1.24,10.06,2.17,1.124,1.022,0.985,1.0,0.959,0.959,1.0,17.89,19.3,95.0,46.8,C-,Good
41,2026-07-26,824246,2026-07-26T17:40:00Z,Pre-Game,Comerica Park,Kansas City Royals @ Detroit Tigers,Home,679529,Spencer Torkelson,Detroit Tigers,Kansas City Royals,1B,R,Yes,7.0,104,404,353,72,18,0,19,43,50,43,5,133,0.204,0.298,0.416,0.714,9,33,31,5,3,0.161,0.0909,23,90,82,16,7,0.195,0.0778,25,25,4.0,16.0,41.7,41.7,16.7,20.0,24.0,50.0,24.0,4.0,4.0,4.0,100.0,83.6,21.9,0.43,72.8,24.0,Weak,2.0,Pull Power,A-,Elevated power plane,24.0,Weak,0.927,Good,1.01,-17.99,Strong negative regression,Weak Pull Power profile. 4.0% barrel rate; 83.6 mph average exit velocity; 24.0% air-ball rate; 50.0% pull-air rate; 4.0% HR-launch rate.,0.047,0.0436,4.02,8,3,18.6,0.43,43.1,Recently homered,679883,Luinder Avila,R,RHB vs RHP,19,10,63.0,4.86,1.56,6,0.86,8.14,5.0,1.35,0.965,0.985,1.0,0.927,0.927,1.0,16.4,19.28,95.0,45.1,C-,Good
42,2026-07-26,823599,2026-07-26T17:40:00Z,Pre-Game,Citi Field,Los Angeles Dodgers @ New York Mets,Home,621438,Tyrone Taylor,New York Mets,Los Angeles Dodgers,CF,R,Yes,7.0,60,139,128,30,8,0,7,16,20,7,0,25,0.234,0.274,0.461,0.735,5,10,8,4,1,0.5,0.1,17,35,31,12,4,0.387,0.1143,1,1,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,,104.8,11.0,1.159,71.3,50.2,Average,3.0,Pure Power,A,Excellent HR swing plane,50.2,Average,1.001,Small Statcast sample,0.03,-6.97,Strong negative regression,Average Pure Power profile. 0.0% barrel rate; 104.8 mph average exit velocity; 100.0% air-ball rate; 100.0% pull-air rate; 0.0% HR-launch rate.,0.0504,0.0419,4.02,4,3,18.3,0.22,21.9,Very recent HR,686218,Emmet Sheehan,R,RHB vs RHP,18,18,87.2,5.13,1.27,17,1.75,10.16,2.77,1.153,1.104,0.985,1.0,1.001,1.001,0.98,15.79,19.13,76.7,42.6,C-,Good
43,2026-07-26,823028,2026-07-26T18:15:00Z,Pre-Game,Busch Stadium,Cincinnati Reds @ St. Louis Cardinals,Away,682829,Elly De La Cruz,Cincinnati Reds,St. Louis Cardinals,SS,S,Yes,1.0,84,376,333,92,15,4,17,56,46,39,2,101,0.276,0.354,0.498,0.852,8,36,30,9,2,0.3,0.0556,23,106,91,26,5,0.286,0.0472,26,26,3.8,23.1,50.0,42.9,7.1,11.5,23.1,50.0,38.5,3.8,3.8,3.8,100.0,84.5,14.4,0.505,77.8,29.3,Weak,2.0,Pull Power,A,Excellent HR swing plane,29.3,Weak,0.942,Good,1.04,-15.96,Strong negative regression,Weak Pull Power profile. 3.8% barrel rate; 84.5 mph average exit velocity; 23.1% air-ball rate; 50.0% pull-air rate; 3.8% HR-launch rate.,0.0452,0.042,4.75,11,3,19.6,0.56,56.2,Recently homered,681517,Kyle Leahy,R,Switch vs RHP,19,19,95.1,3.59,1.35,10,0.94,7.46,3.12,1.093,0.974,1.035,1.0,0.942,0.942,1.0,18.44,19.09,95.0,46.9,C-,Good
44,2026-07-26,823028,2026-07-26T18:15:00Z,Pre-Game,Busch Stadium,Cincinnati Reds @ St. Louis Cardinals,Away,668715,Spencer Steer,Cincinnati Reds,St. Louis Cardinals,1B,R,Yes,2.0,97,382,338,81,14,0,16,54,40,35,6,84,0.24,0.32,0.423,0.743,6,24,22,3,2,0.136,0.0833,20,77,67,16,3,0.239,0.039,13,13,0.0,15.4,50.0,25.0,25.0,23.1,23.1,66.7,7.7,0.0,0.0,0.0,,81.1,25.7,0.243,70.5,29.5,Weak,2.0,Pull Power,A-,Elevated power plane,29.5,Weak,0.943,Small Statcast sample,0.19,-15.81,Strong negative regression,Weak Pull Power profile. 0.0% barrel rate; 81.1 mph average exit velocity; 23.1% air-ball rate; 66.7% pull-air rate; 0.0% HR-launch rate.,0.0419,0.0395,4.65,18,5,21.1,0.85,85.2,Near normal interval,681517,Kyle Leahy,R,RHB vs RHP,19,19,95.1,3.59,1.35,10,0.94,7.46,3.12,1.241,0.974,0.985,1.0,0.943,0.943,1.0,17.1,19.03,95.0,45.6,C-,Good
45,2026-07-26,824810,2026-07-26T17:35:00Z,Pre-Game,Oriole Park at Camden Yards,Atlanta Braves @ Baltimore Orioles,Away,671739,Michael Harris II,Atlanta Braves,Baltimore Orioles,CF,L,Yes,4.0,98,394,374,112,21,0,19,52,61,15,2,78,0.299,0.327,0.508,0.835,9,41,40,13,3,0.325,0.0732,24,110,104,30,5,0.288,0.0455,45,45,4.4,24.4,63.6,27.3,9.1,11.1,20.0,77.8,24.4,2.2,2.2,2.2,100.0,80.1,11.5,0.526,70.9,23.8,Weak,2.0,Pull Power,A,Excellent HR swing plane,23.8,Weak,0.927,Good,2.04,-16.96,Strong negative regression,Weak Pull Power profile. 4.4% barrel rate; 80.1 mph average exit velocity; 20.0% air-ball rate; 77.8% pull-air rate; 2.2% HR-launch rate.,0.0482,0.0444,4.48,9,2,19.7,0.46,45.7,Recently homered,669358,Shane Baz,R,LHB vs RHP,20,20,117.2,4.05,1.37,9,0.69,8.03,3.21,1.146,0.934,1.025,1.0,0.927,0.927,1.0,18.42,18.72,95.0,46.0,C-,Good
46,2026-07-26,823354,2026-07-26T17:35:00Z,Pre-Game,PNC Park,Chicago Cubs @ Pittsburgh Pirates,Home,664040,Brandon Lowe,Pittsburgh Pirates,Chicago Cubs,2B,L,Yes,2.0,96,427,378,91,21,1,21,61,65,40,2,116,0.241,0.311,0.468,0.779,6,25,21,3,0,0.143,0.0,20,91,81,18,2,0.222,0.022,13,13,7.7,30.8,66.7,0.0,33.3,15.4,38.5,60.0,23.1,0.0,0.0,0.0,0.0,87.4,15.4,0.55,71.3,36.9,Below Average,2.5,Pull Power,A,Excellent HR swing plane,36.9,Below Average,0.963,Small Statcast sample,0.85,-20.15,Strong negative regression,Below Average Pull Power profile. 7.7% barrel rate; 87.4 mph average exit velocity; 38.5% air-ball rate; 60.0% pull-air rate; 0.0% HR-launch rate.,0.0492,0.0454,4.59,47,12,18.0,2.61,261.1,Very long drought,592791,Jameson Taillon,R,LHB vs RHP,14,14,72.0,5.38,1.32,22,2.75,8.13,3.13,0.764,1.2,1.025,1.0,0.963,0.963,1.06,19.21,18.5,95.0,52.8,C,Good
47,2026-07-26,823433,2026-07-26T23:20:00Z,Scheduled,Citizens Bank Park,New York Yankees @ Philadelphia Phillies,Away,665862,Jazz Chisholm Jr.,New York Yankees,Philadelphia Phillies,2B,L,No,,98,387,346,77,13,2,16,51,43,37,1,117,0.223,0.297,0.41,0.707,7,27,27,6,3,0.222,0.1111,20,71,67,14,4,0.209,0.0563,29,29,10.3,31.0,80.0,0.0,20.0,17.2,17.2,60.0,27.6,13.8,6.9,13.8,66.7,86.3,20.0,0.887,69.3,47.6,Below Average,3.0,Pull Power,A,Excellent HR swing plane,47.6,Below Average,0.993,Good,2.81,-13.19,Strong negative regression,Below Average Pull Power profile. 10.3% barrel rate; 86.3 mph average exit velocity; 17.2% air-ball rate; 60.0% pull-air rate; 13.8% HR-launch rate.,0.0413,0.0391,4.05,12,3,21.6,0.55,55.5,Recently homered,650911,Cristopher Sánchez,L,LHB vs LHP,21,21,132.2,2.65,1.19,12,0.81,10.24,1.7,1.343,0.954,0.985,1.0,0.993,0.993,1.0,14.93,18.42,82.7,41.9,D+,Lineup unconfirmed
48,2026-07-26,823433,2026-07-26T23:20:00Z,Scheduled,Citizens Bank Park,New York Yankees @ Philadelphia Phillies,Home,656537,Derek Hill,Philadelphia Phillies,New York Yankees,RF,R,No,,79,159,144,35,3,0,8,23,17,11,1,58,0.243,0.301,0.431,0.732,6,14,12,1,1,0.083,0.0714,17,41,36,8,2,0.222,0.0488,11,11,9.1,9.1,66.7,0.0,33.3,9.1,9.1,100.0,27.3,9.1,9.1,9.1,100.0,75.9,17.3,0.708,69.8,45.1,Below Average,3.0,Pull Power,A,Excellent HR swing plane,45.1,Below Average,0.986,Small Statcast sample,0.93,-7.07,Strong negative regression,Below Average Pull Power profile. 9.1% barrel rate; 75.9 mph average exit velocity; 9.1% air-ball rate; 100.0% pull-air rate; 9.1% HR-launch rate.,0.0503,0.0424,3.99,7,4,18.0,0.39,38.9,Recently homered,701542,Will Warren,R,RHB vs RHP,20,19,99.0,4.0,1.37,14,1.27,8.82,3.09,1.164,1.027,0.985,1.0,0.986,0.986,1.0,15.89,18.26,66.6,39.8,D+,Lineup unconfirmed
49,2026-07-26,824246,2026-07-26T17:40:00Z,Pre-Game,Comerica Park,Kansas City Royals @ Detroit Tigers,Home,682985,Riley Greene,Detroit Tigers,Kansas City Royals,LF,L,Yes,4.0,104,436,375,107,22,1,15,54,51,54,2,117,0.285,0.374,0.469,0.843,9,36,31,8,2,0.258,0.0556,22,93,80,22,6,0.275,0.0645,37,37,18.9,45.9,44.4,11.1,44.4,21.6,32.4,33.3,51.4,21.6,2.7,21.6,14.3,86.6,13.2,1.053,73.4,59.7,Average,3.5,Balanced Power,A,Excellent HR swing plane,59.7,Average,1.027,Good,5.74,-9.26,Strong negative regression,Average Balanced Power profile. 18.9% barrel rate; 86.6 mph average exit velocity; 32.4% air-ball rate; 33.3% pull-air rate; 21.6% HR-launch rate.,0.0344,0.0339,4.42,17,5,25.0,0.68,68.0,Recently homered,679883,Luinder Avila,R,LHB vs RHP,19,10,63.0,4.86,1.56,6,0.86,8.14,5.0,1.294,0.965,1.025,1.0,1.027,1.027,1.0,14.13,18.25,95.0,45.4,C-,Good
50,2026-07-26,824810,2026-07-26T17:35:00Z,Pre-Game,Oriole Park at Camden Yards,Atlanta Braves @ Baltimore Orioles,Away,645277,Ozzie Albies,Atlanta Braves,Baltimore Orioles,2B,S,Yes,2.0,104,452,406,107,21,0,17,67,57,30,5,67,0.264,0.314,0.441,0.755,9,42,39,9,3,0.231,0.0714,24,109,100,21,5,0.21,0.0459,37,37,10.8,24.3,61.1,16.7,22.2,32.4,40.5,60.0,27.0,10.8,5.4,10.8,75.0,81.5,14.1,0.521,65.1,41.1,Below Average,2.5,Pull Power,A,Excellent HR swing plane,41.1,Below Average,0.975,Good,3.24,-13.76,Strong negative regression,Below Average Pull Power profile. 10.8% barrel rate; 81.5 mph average exit velocity; 40.5% air-ball rate; 60.0% pull-air rate; 10.8% HR-launch rate.,0.0376,0.0364,4.65,0,0,23.9,0.0,0.0,Very recent HR,669358,Shane Baz,R,Switch vs RHP,20,20,117.2,4.05,1.37,9,0.69,8.03,3.21,1.258,0.934,1.035,1.0,0.975,0.975,0.98,15.85,18.23,95.0,44.0,C-,Good
51,2026-07-26,823840,2026-07-26T17:40:00Z,Pre-Game,loanDepot park,San Diego Padres @ Miami Marlins,Away,701538,Jackson Merrill,San Diego Padres,Miami Marlins,CF,L,Yes,5.0,102,429,395,90,17,1,14,49,45,29,1,105,0.228,0.282,0.382,0.664,9,37,35,11,4,0.314,0.1081,25,104,98,28,6,0.286,0.0577,36,36,11.1,33.3,25.0,20.0,55.0,22.2,36.1,23.1,44.4,13.9,8.3,13.9,75.0,86.5,28.2,0.832,71.2,41.0,Below Average,2.5,Contact-First Profile,C+,High fly-ball plane,41.0,Below Average,0.975,Good,3.36,-10.64,Strong negative regression,Below Average Contact-First Profile profile. 11.1% barrel rate; 86.5 mph average exit velocity; 36.1% air-ball rate; 23.1% pull-air rate; 13.9% HR-launch rate.,0.0326,0.0325,4.35,8,3,28.2,0.28,28.4,Very recent HR,676083,Janson Junk,R,LHB vs RHP,13,13,69.0,5.09,1.35,11,1.43,6.65,2.61,1.35,1.052,1.025,1.0,0.975,0.975,0.98,13.39,18.22,95.0,42.7,C-,Good
52,2026-07-26,822706,2026-07-26T17:35:00Z,Pre-Game,Nationals Park,Arizona Diamondbacks @ Washington Nationals,Away,571448,Nolan Arenado,Arizona Diamondbacks,Washington Nationals,3B,R,Yes,6.0,99,382,338,83,19,0,14,49,48,35,6,80,0.246,0.325,0.426,0.751,9,35,29,8,2,0.276,0.0571,23,90,79,21,6,0.266,0.0667,27,27,3.7,18.5,50.0,31.2,18.8,7.4,22.2,50.0,33.3,3.7,3.7,3.7,100.0,80.6,17.7,0.492,69.1,25.6,Weak,2.0,Pull Power,A,Excellent HR swing plane,25.6,Weak,0.932,Good,0.98,-13.02,Strong negative regression,Weak Pull Power profile. 3.7% barrel rate; 80.6 mph average exit velocity; 22.2% air-ball rate; 50.0% pull-air rate; 3.7% HR-launch rate.,0.0366,0.0355,4.2,8,3,24.1,0.33,33.1,Very recent HR,571945,Miles Mikolas,R,RHB vs RHP,21,8,98.0,5.6,1.34,21,1.93,4.68,1.84,1.287,1.133,0.985,1.0,0.932,0.932,0.98,14.1,18.16,95.0,43.9,C-,Good
53,2026-07-26,823599,2026-07-26T17:40:00Z,Pre-Game,Citi Field,Los Angeles Dodgers @ New York Mets,Away,605141,Mookie Betts,Los Angeles Dodgers,New York Mets,SS,R,Yes,5.0,68,292,267,62,10,0,13,40,34,23,1,36,0.232,0.295,0.416,0.711,8,33,29,6,2,0.207,0.0606,21,88,81,19,3,0.235,0.0341,22,22,9.1,27.3,43.8,18.8,37.5,27.3,45.5,60.0,31.8,9.1,9.1,9.1,100.0,85.5,22.8,0.623,66.3,43.6,Below Average,2.5,Pull Power,A-,Elevated power plane,43.6,Below Average,0.982,Good,1.8,-11.2,Strong negative regression,Below Average Pull Power profile. 9.1% barrel rate; 85.5 mph average exit velocity; 45.5% air-ball rate; 60.0% pull-air rate; 9.1% HR-launch rate.,0.0445,0.0409,4.35,14,4,20.5,0.68,68.2,Recently homered,642547,Freddy Peralta,R,RHB vs RHP,21,21,109.2,5.01,1.46,17,1.4,9.03,3.78,1.076,1.048,0.985,1.0,0.982,0.982,1.0,16.6,18.0,91.9,42.6,C-,Good
54,2026-07-26,824246,2026-07-26T17:40:00Z,Pre-Game,Comerica Park,Kansas City Royals @ Detroit Tigers,Away,521692,Salvador Perez,Kansas City Royals,Detroit Tigers,DH,R,Yes,3.0,98,412,381,80,15,0,15,38,44,16,10,85,0.21,0.257,0.367,0.624,9,38,32,7,4,0.219,0.1053,21,89,80,20,5,0.25,0.0562,37,37,10.8,18.9,29.4,47.1,23.5,16.2,21.6,25.0,21.6,10.8,5.4,10.8,75.0,80.5,20.3,0.886,67.9,27.8,Weak,2.0,Contact-First Profile,A-,Elevated power plane,27.8,Weak,0.938,Good,2.95,-12.05,Strong negative regression,Weak Contact-First Profile profile. 10.8% barrel rate; 80.5 mph average exit velocity; 21.6% air-ball rate; 25.0% pull-air rate; 10.8% HR-launch rate.,0.0364,0.0354,4.55,0,0,25.4,0.0,0.0,Very recent HR,664285,Framber Valdez,L,RHB vs LHP,20,20,108.1,4.57,1.38,11,0.91,7.31,3.16,1.35,0.97,1.025,0.975,0.938,0.914,0.98,15.13,17.96,95.0,42.0,C-,Good
55,2026-07-26,823678,2026-07-26T18:10:00Z,Pre-Game,Target Field,Athletics @ Minnesota Twins,Away,691016,Tyler Soderstrom,Athletics,Minnesota Twins,LF,L,Yes,4.0,92,381,330,82,21,2,16,48,49,47,3,68,0.248,0.346,0.47,0.816,8,34,31,10,2,0.323,0.0588,13,47,42,12,3,0.286,0.0638,36,36,0.0,11.1,58.8,23.5,17.6,5.6,13.9,60.0,19.4,2.8,0.0,2.8,,80.4,20.0,0.314,71.5,18.9,Weak,2.0,Pull Power,A,Excellent HR swing plane,18.9,Weak,0.913,Good,0.58,-15.42,Strong negative regression,Weak Pull Power profile. 0.0% barrel rate; 80.4 mph average exit velocity; 13.9% air-ball rate; 60.0% pull-air rate; 2.8% HR-launch rate.,0.042,0.0396,4.48,24,6,20.6,1.16,116.4,Near normal interval,687570,Connor Prielipp,L,LHB vs LHP,13,13,66.2,5.0,1.37,8,1.08,9.59,3.38,1.217,0.997,0.985,1.0,0.913,0.913,1.0,16.56,17.95,92.8,46.1,C-,Good
56,2026-07-26,822950,2026-07-26T16:15:00Z,Warmup,Tropicana Field,Cleveland Guardians @ Tampa Bay Rays,Away,656555,Rhys Hoskins,Cleveland Guardians,Tampa Bay Rays,1B,R,No,,82,285,235,41,13,0,11,30,33,43,3,92,0.174,0.305,0.37,0.675,6,22,21,3,2,0.143,0.0909,16,51,45,8,4,0.178,0.0784,18,18,11.1,27.8,44.4,0.0,55.6,22.2,27.8,60.0,22.2,11.1,11.1,11.1,100.0,84.8,37.5,0.852,72.9,45.1,Below Average,3.0,Pull Power,D,Popup-heavy plane,45.1,Below Average,0.986,Small Statcast sample,1.73,-9.27,Strong negative regression,Below Average Pull Power profile. 11.1% barrel rate; 84.8 mph average exit velocity; 27.8% air-ball rate; 60.0% pull-air rate; 11.1% HR-launch rate.,0.0386,0.0366,4.05,10,3,21.4,0.47,46.8,Recently homered,656876,Drew Rasmussen,R,RHB vs RHP,19,19,104.1,3.28,0.98,12,1.04,8.88,1.55,1.35,0.99,0.985,1.0,0.986,0.986,1.0,14.03,17.92,76.4,39.7,D+,Lineup unconfirmed
57,2026-07-26,823354,2026-07-26T17:35:00Z,Pre-Game,PNC Park,Chicago Cubs @ Pittsburgh Pirates,Home,656811,Ryan O'Hearn,Pittsburgh Pirates,Chicago Cubs,RF,L,Yes,5.0,90,371,335,93,13,0,16,51,64,28,5,85,0.278,0.34,0.46,0.8,8,32,29,5,0,0.172,0.0,23,97,86,23,5,0.267,0.0515,22,22,0.0,27.3,76.9,23.1,0.0,9.1,31.8,71.4,36.4,4.5,0.0,4.5,,87.7,13.5,0.463,70.3,26.7,Weak,2.0,Pull Power,A,Excellent HR swing plane,26.7,Weak,0.935,Good,0.51,-15.49,Strong negative regression,Weak Pull Power profile. 0.0% barrel rate; 87.7 mph average exit velocity; 31.8% air-ball rate; 71.4% pull-air rate; 4.5% HR-launch rate.,0.0431,0.0404,4.29,45,13,20.9,2.15,214.9,Very long drought,592791,Jameson Taillon,R,LHB vs RHP,14,14,72.0,5.38,1.32,22,2.75,8.13,3.13,0.907,1.2,1.025,1.0,0.935,0.935,1.06,16.22,17.79,95.0,50.4,C,Good
58,2026-07-26,822706,2026-07-26T17:35:00Z,Pre-Game,Nationals Park,Arizona Diamondbacks @ Washington Nationals,Away,682998,Corbin Carroll,Arizona Diamondbacks,Washington Nationals,RF,L,Yes,1.0,101,434,376,94,20,12,15,60,49,50,5,100,0.25,0.343,0.487,0.83,8,36,31,7,2,0.226,0.0556,23,101,85,12,2,0.141,0.0198,40,40,12.5,32.5,35.3,29.4,35.3,22.5,25.0,20.0,35.0,15.0,5.0,15.0,20.0,84.3,29.0,0.778,72.7,35.2,Below Average,2.5,Contact-First Profile,C+,High fly-ball plane,35.2,Below Average,0.959,Good,3.94,-11.06,Strong negative regression,Below Average Contact-First Profile profile. 12.5% barrel rate; 84.3 mph average exit velocity; 25.0% air-ball rate; 20.0% pull-air rate; 15.0% HR-launch rate.,0.0346,0.034,4.75,11,3,25.1,0.44,43.9,Recently homered,571945,Miles Mikolas,R,LHB vs RHP,21,8,98.0,5.6,1.34,21,1.93,4.68,1.84,1.064,1.133,1.025,1.0,0.959,0.959,1.0,15.16,17.74,95.0,44.4,C-,Good
