player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_rushing_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,prob_0_plus,prob_5_plus,prob_10_plus,prob_15_plus,prob_20_plus,prob_25_plus,prob_30_plus,prob_35_plus,prob_40_plus,prob_45_plus,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,prob_75_plus,prob_80_plus,prob_85_plus,prob_90_plus,prob_95_plus,prob_100_plus,prob_105_plus,prob_110_plus,prob_115_plus,prob_120_plus,prob_125_plus,prob_130_plus,prob_135_plus,prob_140_plus,prob_145_plus,prob_150_plus,prob_155_plus,prob_160_plus,prob_165_plus,prob_170_plus,prob_175_plus,prob_180_plus,prob_185_plus,prob_190_plus,prob_195_plus,prob_200_plus
00-0036555,Chuba Hubbard,CAR,ARI,RB,RB,ACT,5.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,28.504,28.504,20.342,0.0,72.773,30.376,47,32.2,26.3,34.067,34.067,8.0,0.5,1.067,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,100.0,64.75,60.09,55.13,50.32,45.61,40.79,36.03,31.65,27.4,23.46,19.85,16.59,13.76,11.27,9.07,7.2,5.64,4.37,3.35,2.57,1.88,1.42,1.03,0.73,0.52,0.36,0.26,0.19,0.14,0.09,0.06,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0
00-0041542,Malick Meiga,CAR,ARI,WR,WR,ACT,0.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,23.648,23.648,22.796,0.0,46.33,16.72,0,,,,,,0.68,1.067,TEAM_LEAGUE_PRIOR,100000,NFL_RUSHING_YARDS_V1,100.0,83.08,75.35,66.12,55.94,45.07,34.61,25.13,17.31,11.31,6.85,3.91,2.14,1.09,0.52,0.22,0.09,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040394,Anthony Tyus III,CAR,ARI,RB,RB,ACT,1.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,23.582,23.582,22.568,0.0,46.307,16.729,0,,,,,,0.68,1.067,TEAM_LEAGUE_PRIOR,100000,NFL_RUSHING_YARDS_V1,100.0,82.97,75.31,66.1,55.62,44.7,34.22,25.0,17.31,11.29,6.88,3.99,2.17,1.12,0.51,0.21,0.09,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039491,Jalen Coker,CAR,ARI,WR,WR,ACT,2.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,23.576,23.576,22.602,0.0,46.221,16.716,0,,,,,,0.68,1.067,TEAM_LEAGUE_PRIOR,100000,NFL_RUSHING_YARDS_V1,100.0,83.03,75.18,65.95,55.5,44.78,34.49,25.14,17.27,11.2,6.89,3.94,2.14,1.05,0.48,0.21,0.08,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041047,Chris Brazzell,CAR,ARI,WR,WR,ACT,0.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,23.558,23.558,22.508,0.0,46.185,16.714,0,,,,,,0.68,1.067,TEAM_LEAGUE_PRIOR,100000,NFL_RUSHING_YARDS_V1,100.0,83.04,75.21,65.88,55.58,44.64,34.31,25.19,17.3,11.2,6.85,3.96,2.11,1.05,0.49,0.21,0.09,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040124,Tetairoa McMillan,CAR,ARI,WR,WR,ACT,1.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,23.538,23.538,22.521,0.0,46.113,16.7,0,,,,,,0.68,1.067,TEAM_LEAGUE_PRIOR,100000,NFL_RUSHING_YARDS_V1,100.0,83.07,75.27,65.82,55.45,44.67,34.25,24.95,17.19,11.14,6.75,3.93,2.15,1.1,0.52,0.23,0.1,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040265,Ja'Seem Reed,CAR,ARI,WR,WR,ACT,1.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,23.515,23.515,22.579,0.0,46.162,16.728,0,,,,,,0.68,1.067,TEAM_LEAGUE_PRIOR,100000,NFL_RUSHING_YARDS_V1,100.0,82.8,75.01,65.69,55.55,44.75,34.39,24.98,17.25,11.19,6.84,3.92,2.05,1.04,0.5,0.21,0.1,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041485,Miles Davis,CAR,ARI,RB,RB,ACT,0.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,23.508,23.508,22.48,0.0,46.149,16.694,0,,,,,,0.68,1.067,TEAM_LEAGUE_PRIOR,100000,NFL_RUSHING_YARDS_V1,100.0,82.95,75.18,66.04,55.36,44.48,33.98,24.84,17.18,11.14,6.89,4.0,2.19,1.06,0.49,0.21,0.09,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041152,Kobe Prentice,CAR,ARI,WR,WR,ACT,0.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,23.503,23.503,22.517,0.0,46.141,16.668,0,,,,,,0.68,1.067,TEAM_LEAGUE_PRIOR,100000,NFL_RUSHING_YARDS_V1,100.0,83.04,75.21,65.79,55.44,44.6,34.13,24.83,17.13,11.17,6.8,3.86,2.02,1.03,0.48,0.21,0.09,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041149,Haynes King,CAR,ARI,QB,QB,ACT,0.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,21.762,21.762,20.533,0.0,44.131,16.352,0,,,,,,0.62,1.067,TEAM_LEAGUE_PRIOR,100000,NFL_RUSHING_YARDS_V1,100.0,80.07,71.65,61.85,51.14,40.44,30.34,21.55,14.47,9.2,5.48,3.12,1.64,0.78,0.37,0.16,0.06,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039747,Ainias Smith,CAR,ARI,WR,WR,ACT,2.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,18.877,18.877,18.873,12.86,24.922,4.706,2,3.0,3.0,3.0,3.0,1.0,0.68,1.067,PLAYER_PRIOR_BLEND,100000,NFL_RUSHING_YARDS_V1,100.0,99.83,97.03,79.54,40.38,9.69,0.88,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038840,Brycen Tremayne,CAR,ARI,WR,WR,ACT,3.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,18.539,18.539,16.762,0.0,40.26,15.572,0,,,,,,0.5,1.067,TEAM_LEAGUE_PRIOR,100000,NFL_RUSHING_YARDS_V1,100.0,73.84,64.28,53.7,42.98,32.68,23.48,15.89,10.23,6.14,3.56,1.86,0.91,0.44,0.19,0.07,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0035976,Dan Chisena,CAR,ARI,WR,WR,ACT,6.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,18.498,18.498,16.606,0.0,40.241,15.584,0,,,,,,0.5,1.067,TEAM_LEAGUE_PRIOR,100000,NFL_RUSHING_YARDS_V1,100.0,73.77,64.1,53.6,42.8,32.49,23.39,16.0,10.25,6.13,3.52,1.91,0.94,0.43,0.19,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039344,Jonathon Brooks,CAR,ARI,RB,RB,ACT,2.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,18.342,18.342,17.915,2.126,33.766,11.577,3,7.333,7.333,7.333,7.333,3.0,0.68,1.067,PLAYER_PRIOR_BLEND,100000,NFL_RUSHING_YARDS_V1,100.0,85.28,73.92,59.38,43.35,28.34,16.56,8.33,3.62,1.47,0.5,0.14,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040644,Trevor Etienne,CAR,ARI,RB,RB,ACT,1.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,17.852,17.852,17.147,0.0,34.632,12.423,6,18.0,15.667,15.667,15.667,3.8,0.68,1.067,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,100.0,81.5,70.04,56.32,41.68,28.32,17.35,9.55,4.69,2.07,0.82,0.29,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
