Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Median HRR,Floor HRR,Ceiling HRR,Simulation Dispersion,Projected Zero HRR %,Recent Games Used,Season Games Used,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-09-17,Los Angeles Dodgers @ Cincinnati Reds,Great American Ball Park,1.045,1.008,90.2,48.0,7.8,W,270.0,3.0,Clear,3.7,5.4,58.2,B,92.0,Los Angeles Dodgers,Teoscar Hernández,Brady Singer,0.0,0,2,4.0,1.2,1.13,0.6,0.94,2.32,2.0,0.0,6.0,2.26,28.0,40,115,50.0,1.8,0|4|5|0|0,09/16|09/15|09/14|09/12|09/11,3.0,0|4|5|0|0|5|5|7|2|2,09/16|09/15|09/14|09/12|09/11|09/09|09/08|09/07|09/06|09/05,3.13,0|4|5|0|0|5|5|7|2|2|3|4|3|1|6,09/16|09/15|09/14|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/03|09/02|09/01|08/30,72.0,54.1,37.5,25.2,16.4,10.5,6.8,2.89,56.1
2026-09-17,Los Angeles Dodgers @ Cincinnati Reds,Great American Ball Park,1.045,1.008,90.2,48.0,7.8,W,270.0,3.0,Clear,3.7,5.4,58.2,B,92.0,Los Angeles Dodgers,Freddie Freeman,Brady Singer,0.0,0,3,4.4,1.2,1.01,0.53,0.38,1.89,1.0,0.0,4.0,2.15,26.4,40,144,37.5,0.6,0|3|0|0|0,09/16|09/15|09/13|09/12|09/08,1.2,0|3|0|0|0|1|1|1|0|6,09/16|09/15|09/13|09/12|09/08|09/07|09/06|09/05|09/03|09/02,1.6,0|3|0|0|0|1|1|1|0|6|1|5|2|3|1,09/16|09/15|09/13|09/12|09/08|09/07|09/06|09/05|09/03|09/02|09/01|08/30|08/29|08/28|08/27,73.6,48.1,29.7,17.0,9.6,5.0,2.6,2.0,44.4
2026-09-17,Milwaukee Brewers @ Pittsburgh Pirates,PNC Park,0.982,1.006,81.3,80.0,6.4,WNW,288.0,15.0,Overcast,2.7,3.9,55.9,C,92.0,Milwaukee Brewers,Jackson Chourio,Wilber Dotel,0.0,0,1,4.7,1.12,1.36,0.98,0.69,2.91,2.0,0.0,7.0,1.85,20.0,40,117,67.5,2.8,2|0|0|3|9,09/16|09/15|09/13|09/12|09/11,3.6,2|0|0|3|9|6|8|4|2|2,09/16|09/15|09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05,3.4,2|0|0|3|9|6|8|4|2|2|3|0|7|3|2,09/16|09/15|09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/03|09/02|09/01|08/31,80.0,61.9,45.8,32.8,23.1,15.9,10.8,3.46,67.8
2026-09-17,Milwaukee Brewers @ Pittsburgh Pirates,PNC Park,0.982,1.006,81.3,80.0,6.4,WNW,288.0,15.0,Overcast,2.7,3.9,55.9,C,92.0,Milwaukee Brewers,William Contreras,Wilber Dotel,0.5,1,2,4.6,1.12,1.2,0.82,0.97,2.77,2.0,0.0,6.0,2.05,23.1,40,139,52.5,5.2,1|2|6|10|7,09/16|09/15|09/12|09/11|09/09,3.4,1|2|6|10|7|1|0|3|4|0,09/16|09/15|09/12|09/11|09/09|09/08|09/07|09/05|09/04|09/03,3.6,1|2|6|10|7|1|0|3|4|0|4|5|1|5|5,09/16|09/15|09/12|09/11|09/09|09/08|09/07|09/05|09/04|09/03|09/02|09/01|08/31|08/29|08/28,76.9,59.5,44.1,31.1,21.3,14.8,10.0,3.5,63.2
2026-09-17,Milwaukee Brewers @ Pittsburgh Pirates,PNC Park,0.982,1.006,81.3,80.0,6.4,WNW,288.0,15.0,Overcast,2.7,3.9,55.9,C,92.0,Milwaukee Brewers,Brice Turang,Wilber Dotel,1.0,1,1,4.4,1.12,1.07,0.84,0.81,2.5,2.0,0.0,6.0,1.74,26.1,40,141,60.0,4.2,2|1|2|6|10,09/16|09/15|09/13|09/12|09/11,3.5,2|1|2|6|10|3|5|0|6|0,09/16|09/15|09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05,3.2,2|1|2|6|10|3|5|0|6|0|8|0|2|3|0,09/16|09/15|09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/03|09/02|09/01|08/31,73.9,55.0,38.6,27.1,18.6,12.7,8.5,3.18,61.0
2026-09-17,Minnesota Twins @ Los Angeles Angels,Angel Stadium,1.0,1.003,77.4,57.0,9.7,WSW,251.0,0.0,Clear,1.4,2.1,53.2,C,75.0,Minnesota Twins,Luke Keaschall,Walbert Ureña,0.0,0,0,4.2,0.85,1.04,0.53,0.23,1.78,1.0,0.0,4.0,6.15,21.7,40,143,65.0,2.8,6|3|0|3|2,09/16|09/15|09/14|09/13|09/12,1.8,6|3|0|3|2|0|0|2|2|0,09/16|09/15|09/14|09/13|09/12|09/11|09/09|09/08|09/07|09/06,2.27,6|3|0|3|2|0|0|2|2|0|4|0|2|5|5,09/16|09/15|09/14|09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31,78.3,49.8,27.8,13.1,5.6,2.2,0.9,2.28,53.9
2026-09-17,Minnesota Twins @ Los Angeles Angels,Angel Stadium,1.0,1.003,77.4,57.0,9.7,WSW,251.0,0.0,Clear,1.4,2.1,53.2,C,75.0,Minnesota Twins,Kody Clemens,Walbert Ureña,0.0,0,0,4.2,0.85,0.86,0.48,0.52,1.81,1.0,0.0,4.0,3.72,23.9,40,134,47.5,1.6,1|1|1|2|3,09/16|09/15|09/14|09/13|09/12,1.9,1|1|1|2|3|3|3|4|1|0,09/16|09/15|09/14|09/13|09/12|09/11|09/09|09/08|09/07|09/06,2.33,1|1|1|2|3|3|3|4|1|0|1|3|3|4|5,09/16|09/15|09/14|09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31,76.0,48.7,27.9,15.1,7.4,3.6,1.5,2.47,50.3
2026-09-17,Minnesota Twins @ Los Angeles Angels,Angel Stadium,1.0,1.003,77.4,57.0,9.7,WSW,251.0,0.0,Clear,1.4,2.1,53.2,C,75.0,Minnesota Twins,Josh Bell,Walbert Ureña,0.0,0,0,4.1,0.85,0.84,0.46,0.49,1.8,1.0,0.0,4.0,1.64,28.3,40,145,55.0,1.4,2|0|5|0|0,09/16|09/15|09/14|09/12|09/11,1.5,2|0|5|0|0|4|1|0|0|3,09/16|09/15|09/14|09/12|09/11|09/09|09/08|09/07|09/06|09/05,1.93,2|0|5|0|0|4|1|0|0|3|4|2|3|0|5,09/16|09/15|09/14|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31|08/30,71.7,44.5,26.5,15.8,9.3,5.1,2.8,2.38,49.6
2026-09-17,Philadelphia Phillies @ New York Mets,Citi Field,1.0,1.003,75.8,70.0,9.9,SSE,162.0,4.0,Mainly clear,1.2,1.7,52.6,C,92.0,New York Mets,Carson Benge,Aaron Nola,0.333,2,6,4.5,1.11,1.07,0.58,0.39,2.01,2.0,0.0,4.0,3.51,21.3,40,145,57.5,2.2,0|4|2|0|5,09/16|09/15|09/14|09/13|09/12,1.9,0|4|2|0|5|2|2|0|3|1,09/16|09/15|09/14|09/13|09/12|09/11|09/09|09/08|09/07|09/06,1.73,0|4|2|0|5|2|2|0|3|1|0|1|4|1|1,09/16|09/15|09/14|09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31,78.7,53.7,32.2,17.7,9.5,4.8,2.4,2.27,53.7
2026-09-17,Philadelphia Phillies @ New York Mets,Citi Field,1.0,1.003,75.8,70.0,9.9,SSE,162.0,4.0,Mainly clear,1.2,1.7,52.6,C,92.0,New York Mets,Bo Bichette,Aaron Nola,0.25,1,4,4.6,1.11,1.13,0.48,0.52,2.11,2.0,0.0,5.0,1.8,25.1,40,150,55.0,1.2,1|4|0|1|0,09/16|09/15|09/14|09/13|09/12,2.0,1|4|0|1|0|2|2|1|4|5,09/16|09/15|09/14|09/13|09/12|09/11|09/09|09/08|09/07|09/06,2.2,1|4|0|1|0|2|2|1|4|5|0|6|4|1|2,09/16|09/15|09/14|09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31,74.9,51.1,33.0,20.8,12.7,7.7,4.6,2.38,52.6
