Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
1,2026-08-08,823514,2026-08-08T19:05:00Z,Pre-Game,Yankee Stadium,Atlanta Braves @ New York Yankees,Away,621566,Matt Olson,Atlanta Braves,New York Yankees,1B,L,No,,116,508,450,121,29,0,33,82,71,52,3,124,0.269,0.346,0.553,0.899,12,51,45,13,6,0.289,0.1176,24,105,91,24,8,0.264,0.0762,38,38,13.2,26.3,52.9,29.4,17.6,10.5,26.3,60.0,44.7,13.2,10.5,13.2,60.0,82.9,24.3,0.826,71.8,54.2,Average,3.0,Pull Power,A-,Elevated power plane,54.2,Average,1.012,Good,4.06,-28.94,Strong negative regression,Average Pull Power profile. 13.2% barrel rate; 82.9 mph average exit velocity; 26.3% air-ball rate; 60.0% pull-air rate; 13.2% HR-launch rate.,0.065,0.0587,4.15,0,0,13.6,0.0,0.0,Very recent HR,543037,Gerrit Cole,R,LHB vs RHP,13,13,73.2,3.42,1.1,11,1.34,9.53,2.08,1.275,1.038,1.025,1.03,1.012,1.042,0.98,22.19,29.67,85.0,63.1,B-,Lineup unconfirmed
2,2026-08-08,823021,2026-08-08T23:15:00Z,Scheduled,Busch Stadium,Colorado Rockies @ St. Louis Cardinals,Away,696100,Hunter Goodman,Colorado Rockies,St. Louis Cardinals,C,R,No,,106,441,397,100,16,0,33,66,66,37,4,150,0.252,0.32,0.542,0.862,9,36,34,6,2,0.176,0.0556,19,78,70,18,6,0.257,0.0769,24,24,4.2,25.0,55.6,33.3,11.1,20.8,20.8,60.0,20.8,4.2,0.0,4.2,100.0,78.0,24.6,0.269,71.5,22.7,Weak,2.0,Pull Power,A-,Elevated power plane,22.7,Weak,0.924,Good,1.0,-32.0,Strong negative regression,Weak Pull Power profile. 4.2% barrel rate; 78.0 mph average exit velocity; 20.8% air-ball rate; 60.0% pull-air rate; 4.2% HR-launch rate.,0.0748,0.0657,4.15,14,4,12.0,1.16,116.4,Near normal interval,669461,Matthew Liberatore,L,RHB vs LHP,22,22,108.2,4.97,1.49,19,1.57,8.86,3.4,0.997,1.075,1.025,1.03,0.924,0.951,1.0,24.56,25.55,83.2,57.6,C+,Lineup unconfirmed
3,2026-08-08,824565,2026-08-08T23:15:00Z,Scheduled,Rate Field,Cleveland Guardians @ Chicago White Sox,Home,808959,Munetaka Murakami,Chicago White Sox,Cleveland Guardians,1B,L,No,,80,350,288,68,10,0,25,60,52,60,1,118,0.236,0.369,0.531,0.9,12,56,50,13,5,0.26,0.0893,23,104,88,20,5,0.227,0.0481,24,24,8.3,25.0,75.0,8.3,16.7,12.5,25.0,66.7,33.3,0.0,0.0,0.0,50.0,85.5,19.8,0.601,70.1,31.0,Weak,2.0,Pull Power,A,Excellent HR swing plane,31.0,Weak,0.947,Good,1.64,-23.36,Strong negative regression,Weak Pull Power profile. 8.3% barrel rate; 85.5 mph average exit velocity; 25.0% air-ball rate; 66.7% pull-air rate; 0.0% HR-launch rate.,0.0714,0.0614,4.17,0,0,11.5,0.0,0.0,Very recent HR,668909,Gavin Williams,R,LHB vs RHP,23,23,139.0,3.56,1.04,21,1.36,11.53,2.53,1.061,1.042,1.025,1.03,0.947,0.975,0.98,23.21,24.92,85.0,55.5,C+,Lineup unconfirmed
4,2026-08-08,823102,2026-08-09T01:50:00Z,Scheduled,T-Mobile Park,Tampa Bay Rays @ Seattle Mariners,Away,691406,Junior Caminero,Tampa Bay Rays,Seattle Mariners,3B,R,No,,115,502,435,123,18,1,33,70,71,63,2,91,0.283,0.375,0.556,0.931,11,46,39,10,4,0.256,0.087,24,104,89,27,6,0.303,0.0577,28,28,17.9,42.9,17.6,58.8,23.5,14.3,17.9,40.0,25.0,10.7,3.6,10.7,60.0,89.2,9.0,0.949,76.3,51.8,Average,3.0,Contact-First Profile,C,Low line-drive plane,51.8,Average,1.005,Good,4.03,-28.97,Strong negative regression,Average Contact-First Profile profile. 17.9% barrel rate; 89.2 mph average exit velocity; 17.9% air-ball rate; 40.0% pull-air rate; 10.7% HR-launch rate.,0.0657,0.0592,4.23,2,1,13.2,0.15,15.2,Very recent HR,669923,George Kirby,R,RHB vs RHP,21,21,127.0,3.76,1.28,15,1.06,7.8,1.84,1.098,0.994,0.985,1.03,1.005,1.035,0.98,22.76,24.61,85.0,55.5,C+,Lineup unconfirmed
5,2026-08-08,822864,2026-08-08T23:15:00Z,Scheduled,Globe Life Field,Baltimore Orioles @ Texas Rangers,Home,592626,Joc Pederson,Texas Rangers,Baltimore Orioles,DH,L,No,,105,352,306,77,11,2,21,48,44,39,3,81,0.252,0.339,0.507,0.846,12,38,35,9,4,0.257,0.1053,20,68,63,20,7,0.317,0.1029,26,26,3.8,26.9,75.0,8.3,16.7,19.2,23.1,66.7,23.1,3.8,3.8,3.8,100.0,86.6,26.7,0.526,73.0,26.4,Weak,2.0,Pull Power,A-,Elevated power plane,26.4,Weak,0.934,Good,1.18,-19.82,Strong negative regression,Weak Pull Power profile. 3.8% barrel rate; 86.6 mph average exit velocity; 23.1% air-ball rate; 66.7% pull-air rate; 3.8% HR-launch rate.,0.0597,0.0526,4.09,0,0,14.6,0.0,0.0,Very recent HR,680694,Kyle Bradish,R,LHB vs RHP,22,22,121.0,3.79,1.36,13,0.97,8.7,4.02,1.35,0.979,1.025,1.0,0.934,0.934,0.98,19.84,24.12,82.4,53.1,C,Lineup unconfirmed
6,2026-08-08,823021,2026-08-08T23:15:00Z,Scheduled,Busch Stadium,Colorado Rockies @ St. Louis Cardinals,Away,666160,Mickey Moniak,Colorado Rockies,St. Louis Cardinals,LF,L,No,,78,292,269,75,14,4,19,40,52,15,3,74,0.279,0.318,0.572,0.89,10,41,38,11,3,0.289,0.0732,19,77,72,20,4,0.278,0.0519,23,23,13.0,30.4,64.3,21.4,14.3,21.7,34.8,62.5,43.5,13.0,4.3,13.0,66.7,82.5,14.6,0.794,74.0,50.5,Average,3.0,Pull Power,A,Excellent HR swing plane,50.5,Average,1.001,Good,2.43,-16.57,Strong negative regression,Average Pull Power profile. 13.0% barrel rate; 82.5 mph average exit velocity; 34.8% air-ball rate; 62.5% pull-air rate; 13.0% HR-launch rate.,0.0651,0.0554,4.15,6,2,14.2,0.42,42.4,Recently homered,669461,Matthew Liberatore,L,LHB vs LHP,22,22,108.2,4.97,1.49,19,1.57,8.86,3.4,1.059,1.075,0.985,1.03,1.001,1.031,1.0,21.08,24.05,79.0,53.1,C,Lineup unconfirmed
7,2026-08-08,825049,2026-08-09T00:10:00Z,Scheduled,Chase Field,Los Angeles Dodgers @ Arizona Diamondbacks,Away,660271,Shohei Ohtani,Los Angeles Dodgers,Arizona Diamondbacks,TWP,L,No,,110,487,406,120,22,2,26,73,70,69,5,110,0.296,0.4,0.552,0.952,10,44,37,16,4,0.432,0.0909,21,92,82,26,6,0.317,0.0652,24,24,8.3,16.7,35.7,21.4,35.7,16.7,41.7,40.0,45.8,8.3,4.2,8.3,100.0,77.5,22.1,0.693,71.0,33.4,Weak,2.5,Contact-First Profile,A-,Elevated power plane,33.4,Weak,0.954,Good,1.58,-24.42,Strong negative regression,Weak Contact-First Profile profile. 8.3% barrel rate; 77.5 mph average exit velocity; 41.7% air-ball rate; 40.0% pull-air rate; 8.3% HR-launch rate.,0.0534,0.0492,4.31,2,1,15.6,0.13,12.8,Very recent HR,694297,Brandon Pfaadt,R,LHB vs RHP,20,10,78.2,3.66,1.26,8,0.92,5.95,2.52,1.246,0.971,1.025,1.055,0.954,1.006,0.98,19.53,23.44,84.4,53.9,C,Lineup unconfirmed
8,2026-08-08,824079,2026-08-08T23:10:00Z,Scheduled,Kauffman Stadium,Chicago Cubs @ Kansas City Royals,Away,621438,Tyrone Taylor,Chicago Cubs,Kansas City Royals,LF,R,No,,70,166,151,36,8,0,10,23,28,9,2,32,0.238,0.29,0.49,0.78,10,27,23,6,3,0.261,0.1111,18,44,37,11,4,0.297,0.0909,13,13,7.7,15.4,66.7,16.7,16.7,23.1,30.8,50.0,30.8,7.7,0.0,7.7,0.0,77.8,6.5,0.35,70.9,36.5,Below Average,2.5,Pull Power,C,Low line-drive plane,36.5,Below Average,0.962,Small Statcast sample,0.83,-9.17,Strong negative regression,Below Average Pull Power profile. 7.7% barrel rate; 77.8 mph average exit velocity; 30.8% air-ball rate; 50.0% pull-air rate; 7.7% HR-launch rate.,0.0602,0.0484,4.05,6,4,15.1,0.4,39.7,Recently homered,607625,Seth Lugo,R,RHB vs RHP,23,23,128.2,4.41,1.39,15,1.05,6.92,3.15,1.35,0.992,0.985,1.0,0.962,0.962,1.0,18.2,22.64,67.4,47.6,C-,Lineup unconfirmed
9,2026-08-08,823267,2026-08-08T23:15:00Z,Scheduled,Petco Park,Houston Astros @ San Diego Padres,Away,670541,Yordan Alvarez,Houston Astros,San Diego Padres,DH,L,No,,115,509,418,137,24,0,35,79,86,82,6,87,0.328,0.442,0.636,1.078,11,54,39,14,1,0.359,0.0185,22,103,79,32,6,0.405,0.0583,30,30,3.3,33.3,70.6,0.0,29.4,10.0,33.3,70.0,33.3,0.0,0.0,0.0,0.0,83.8,14.8,0.471,75.3,26.5,Weak,2.0,Pull Power,A,Excellent HR swing plane,26.5,Weak,0.934,Good,1.1,-33.9,Strong negative regression,Weak Pull Power profile. 3.3% barrel rate; 83.8 mph average exit velocity; 33.3% air-ball rate; 70.0% pull-air rate; 0.0% HR-launch rate.,0.0688,0.0617,4.31,30,8,11.9,2.51,251.2,Very long drought,650633,Michael King,R,LHB vs RHP,23,23,130.1,3.45,1.2,14,0.97,7.87,3.73,0.847,0.979,1.025,1.08,0.934,1.009,1.06,24.02,22.04,85.0,61.2,B-,Lineup unconfirmed
10,2026-08-08,822701,2026-08-08T22:45:00Z,Scheduled,Nationals Park,Cincinnati Reds @ Washington Nationals,Home,682928,CJ Abrams,Washington Nationals,Cincinnati Reds,SS,L,No,,114,488,429,123,22,3,28,72,88,42,11,111,0.287,0.361,0.548,0.909,13,57,50,12,3,0.24,0.0526,24,105,96,31,8,0.323,0.0762,34,34,2.9,26.5,40.0,33.3,26.7,2.9,8.8,33.3,17.6,2.9,2.9,2.9,0.0,84.4,13.0,0.625,70.6,13.5,Weak,1.5,Contact-First Profile,A,Excellent HR swing plane,13.5,Weak,0.898,Good,0.99,-27.01,Strong negative regression,Weak Contact-First Profile profile. 2.9% barrel rate; 84.4 mph average exit velocity; 8.8% air-ball rate; 33.3% pull-air rate; 2.9% HR-launch rate.,0.0574,0.0524,4.17,29,7,15.3,1.89,189.3,Above normal drought,695505,Chase Burns,R,LHB vs RHP,21,21,118.2,2.35,1.1,13,0.99,10.39,3.26,1.083,0.982,1.025,1.03,0.898,0.925,1.035,20.09,20.89,85.0,54.4,C+,Lineup unconfirmed
