Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-07-17,Pittsburgh Pirates @ Cleveland Guardians,Progressive Field,0.995,1.007,85.9,34.0,5.0,N,10.0,0.0,Clear,3.1,4.4,56.7,C,92.0,Pittsburgh Pirates,Esmerlyn Valdez,Gavin Williams,0.0,0,0,4.6,0.91,1.61,1.17,1.46,4.24,86.7,4.4,4|4|11|3|0,07/12|07/11|07/11|07/09|07/08,3.8,4|4|11|3|0|3|0|2|5|6,07/12|07/11|07/11|07/09|07/08|07/07|07/05|07/04|07/03|07/02,3.87,4|4|11|3|0|3|0|2|5|6|2|2|6|7|3,07/12|07/11|07/11|07/09|07/08|07/07|07/05|07/04|07/03|07/02|07/01|06/30|06/29|06/28|06/27,96.2,86.7,73.2,56.5,40.1,27.1,17.6,4.85,226.1
2026-07-17,St. Louis Cardinals @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,St. Louis Cardinals,Jordan Walker,Merrill Kelly,0.1,1,10,4.0,1.2,1.39,1.39,1.39,4.15,86.7,3.4,3|2|2|5|5,07/12|07/11|07/10|07/09|07/08,3.2,3|2|2|5|5|3|4|0|6|2,07/12|07/11|07/10|07/09|07/08|07/07|07/07|07/06|07/05|07/04,3.2,3|2|2|5|5|3|4|0|6|2|4|8|2|0|2,07/12|07/11|07/10|07/09|07/08|07/07|07/07|07/06|07/05|07/04|07/03|07/02|07/01|06/30|06/27,96.4,86.5,71.7,54.3,38.7,26.3,16.9,4.05,198.0
2026-07-17,Cincinnati Reds @ Colorado Rockies,Coors Field,1.08,1.015,94.2,16.0,8.2,ENE,73.0,3.0,Clear,7.0,10.1,65.4,B+,75.0,Colorado Rockies,Cole Carrigg,Brady Singer,0.0,0,0,4.7,1.17,1.4,1.23,1.14,3.82,46.7,0.2,0|0|1|0|0,07/12|07/11|07/10|07/09|07/08,2.7,0|0|1|0|0|4|8|0|7|7,07/12|07/11|07/10|07/09|07/08|07/07|07/06|07/05|07/04|07/03,2.47,0|0|1|0|0|4|8|0|7|7|4|0|1|3|2,07/12|07/11|07/10|07/09|07/08|07/07|07/06|07/05|07/04|07/03|07/02|07/01|06/30|06/29|06/28,95.2,83.6,67.6,49.8,34.3,22.1,13.3,3.07,148.9
2026-07-17,Cincinnati Reds @ Colorado Rockies,Coors Field,1.08,1.015,94.2,16.0,8.2,ENE,73.0,3.0,Clear,7.0,10.1,65.4,B+,75.0,Colorado Rockies,Hunter Goodman,Brady Singer,0.333,1,3,4.2,1.17,1.61,1.01,1.11,3.76,60.0,1.2,2|1|1|2|0,07/12|07/11|07/10|07/09|07/08,2.1,2|1|1|2|0|0|4|3|4|4,07/12|07/11|07/10|07/09|07/08|07/06|07/05|07/04|07/03|07/01,2.73,2|1|1|2|0|0|4|3|4|4|0|4|0|11|5,07/12|07/11|07/10|07/09|07/08|07/06|07/05|07/04|07/03|07/01|06/30|06/29|06/28|06/27|06/26,95.0,83.5,66.9,49.1,33.2,21.2,12.5,3.35,163.3
2026-07-17,Minnesota Twins @ Chicago Cubs,Wrigley Field,1.018,1.01,94.7,35.0,12.9,W,260.0,6.0,Clear,4.7,6.7,60.2,B,75.0,Minnesota Twins,Kody Clemens,Colin Rea,0.2,1,5,4.2,1.15,1.28,1.12,1.38,3.78,60.0,1.4,0|1|1|0|5,07/12|07/11|07/10|07/09|07/08,2.9,0|1|1|0|5|4|1|7|5|5,07/12|07/11|07/10|07/09|07/08|07/07|07/05|07/04|07/03|07/01,2.93,0|1|1|0|5|4|1|7|5|5|4|1|3|2|5,07/12|07/11|07/10|07/09|07/08|07/07|07/05|07/04|07/03|07/01|06/30|06/29|06/28|06/27|06/26,95.4,83.7,66.8,48.3,32.8,21.4,13.0,3.73,176.7
2026-07-17,Cincinnati Reds @ Colorado Rockies,Coors Field,1.08,1.015,94.2,16.0,8.2,ENE,73.0,3.0,Clear,7.0,10.1,65.4,B+,75.0,Colorado Rockies,Jake McCarthy,Brady Singer,0.0,0,2,4.0,1.17,1.36,0.7,1.68,3.74,53.3,1.8,3|1|4|0|1,07/12|07/11|07/10|07/09|07/08,2.9,3|1|4|0|1|2|3|2|1|12,07/12|07/11|07/10|07/09|07/08|07/07|07/06|07/05|07/04|07/03,2.87,3|1|4|0|1|2|3|2|1|12|9|0|1|4|0,07/12|07/11|07/10|07/09|07/08|07/07|07/06|07/05|07/04|07/03|07/02|07/01|06/30|06/29|06/28,94.8,82.0,65.0,47.5,33.1,21.7,13.0,3.66,171.4
2026-07-17,Los Angeles Dodgers @ New York Yankees,Yankee Stadium,1.035,1.005,82.3,44.0,8.1,SSE,152.0,0.0,Mainly clear,2.1,3.1,54.6,C,92.0,New York Yankees,Ben Rice,Roki Sasaki,0.0,0,0,4.4,1.17,1.37,0.74,1.39,3.51,53.3,3.8,3|2|3|10|1,07/12|07/11|07/10|07/09|07/08,3.4,3|2|3|10|1|7|3|1|0|4,07/12|07/11|07/10|07/09|07/08|07/07|07/06|07/05|07/04|07/03,2.53,3|2|3|10|1|7|3|1|0|4|1|3|0|0|0,07/12|07/11|07/10|07/09|07/08|07/07|07/06|07/05|07/04|07/03|07/01|06/30|06/29|06/28|06/27,94.0,80.8,62.5,44.3,28.8,18.0,10.5,3.19,154.5
2026-07-17,Washington Nationals @ Athletics,Sutter Health Park,1.01,1.008,92.9,17.0,11.2,SW,224.0,0.0,Clear,3.8,5.5,58.3,B,75.0,Washington Nationals,James Wood,Gage Jump,0.0,0,0,3.8,0.95,1.33,1.21,0.96,3.49,80.0,4.2,3|5|6|2|5,07/12|07/11|07/10|07/08|07/07,4.3,3|5|6|2|5|8|1|3|3|7,07/12|07/11|07/10|07/08|07/07|07/06|07/05|07/04|07/03|07/01,3.67,3|5|6|2|5|8|1|3|3|7|5|3|3|0|1,07/12|07/11|07/10|07/08|07/07|07/06|07/05|07/04|07/03|07/01|06/30|06/29|06/28|06/27|06/26,94.4,80.7,62.5,43.9,28.5,17.4,10.0,4.55,211.5
2026-07-17,Pittsburgh Pirates @ Cleveland Guardians,Progressive Field,0.995,1.007,85.9,34.0,5.0,N,10.0,0.0,Clear,3.1,4.4,56.7,C,92.0,Cleveland Guardians,Chase DeLauter,Jared Jones,0.0,0,0,4.7,0.97,1.67,0.72,0.96,3.36,73.3,3.0,3|0|5|3|4,07/12|07/11|07/10|07/09|07/08,2.6,3|0|5|3|4|2|6|1|0|2,07/12|07/11|07/10|07/09|07/08|07/07|07/05|07/04|07/03|07/02,2.8,3|0|5|3|4|2|6|1|0|2|5|2|3|5|1,07/12|07/11|07/10|07/09|07/08|07/07|07/05|07/04|07/03|07/02|07/01|06/30|06/29|06/28|06/13,93.4,78.6,59.8,41.7,26.9,15.8,9.3,3.38,167.5
2026-07-17,Miami Marlins @ Milwaukee Brewers,American Family Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Milwaukee Brewers,Brice Turang,Sandy Alcantara,0.2,1,5,4.7,0.98,1.69,0.64,1.05,3.37,73.3,3.4,4|3|0|6|4,07/12|07/11|07/11|07/09|07/07,3.1,4|3|0|6|4|0|3|1|4|6,07/12|07/11|07/11|07/09|07/07|07/07|07/06|07/05|07/04|07/03,2.8,4|3|0|6|4|0|3|1|4|6|2|2|1|3|3,07/12|07/11|07/11|07/09|07/07|07/07|07/06|07/05|07/04|07/03|07/02|07/01|06/30|06/29|06/28,93.0,78.5,59.7,41.4,26.6,16.7,9.4,3.39,167.9
2026-07-17,Minnesota Twins @ Chicago Cubs,Wrigley Field,1.018,1.01,94.7,35.0,12.9,W,260.0,6.0,Clear,4.7,6.7,60.2,B,75.0,Chicago Cubs,Alex Bregman,Bailey Ober,0.0,0,4,5.0,1.01,1.16,0.72,1.35,3.23,53.3,2.8,9|4|0|0|1,07/12|07/11|07/10|07/09|07/08,2.5,9|4|0|0|1|4|3|0|3|1,07/12|07/11|07/10|07/09|07/08|07/07|07/05|07/04|07/03|07/01,2.4,9|4|0|0|1|4|3|0|3|1|5|2|1|2|1,07/12|07/11|07/10|07/09|07/08|07/07|07/05|07/04|07/03|07/01|06/30|06/29|06/28|06/27|06/26,92.8,77.0,58.2,39.5,24.5,14.7,8.1,3.06,148.9
2026-07-17,Minnesota Twins @ Chicago Cubs,Wrigley Field,1.018,1.01,94.7,35.0,12.9,W,260.0,6.0,Clear,4.7,6.7,60.2,B,75.0,Chicago Cubs,Dansby Swanson,Bailey Ober,0.0,0,0,4.7,1.01,1.26,0.93,1.02,3.2,46.7,1.2,2|0|1|1|2,07/12|07/11|07/10|07/09|07/08,2.7,2|0|1|1|2|4|2|0|0|15,07/12|07/11|07/10|07/09|07/08|07/07|07/05|07/04|07/03|07/01,2.53,2|0|1|1|2|4|2|0|0|15|8|3|0|0|0,07/12|07/11|07/10|07/09|07/08|07/07|07/05|07/04|07/03|07/01|06/30|06/29|06/28|06/27|06/26,92.8,77.9,57.9,38.8,24.0,13.6,7.3,3.15,150.0
2026-07-17,Minnesota Twins @ Chicago Cubs,Wrigley Field,1.018,1.01,94.7,35.0,12.9,W,260.0,6.0,Clear,4.7,6.7,60.2,B,75.0,Chicago Cubs,Carson Kelly,Bailey Ober,0.0,0,3,4.8,1.01,1.03,1.12,1.04,3.21,46.7,1.8,1|4|0|0|4,07/12|07/11|07/10|07/09|07/08,1.6,1|4|0|0|4|2|1|3|0|1,07/12|07/11|07/10|07/09|07/08|07/05|07/03|06/30|06/28|06/27,2.47,1|4|0|0|4|2|1|3|0|1|0|0|4|6|11,07/12|07/11|07/10|07/09|07/08|07/05|07/03|06/30|06/28|06/27|06/26|06/25|06/24|06/23|06/19,93.4,77.6,57.4,38.8,24.0,14.0,7.9,3.13,149.2
2026-07-17,Washington Nationals @ Athletics,Sutter Health Park,1.01,1.008,92.9,17.0,11.2,SW,224.0,0.0,Clear,3.8,5.5,58.3,B,75.0,Washington Nationals,Luis García Jr.,Gage Jump,0.0,0,0,3.7,0.95,1.3,0.68,1.18,3.19,60.0,2.2,0|1|0|8|2,07/12|07/11|07/10|07/08|07/07,3.0,0|1|0|8|2|3|5|0|7|4,07/12|07/11|07/10|07/08|07/07|07/06|07/05|07/04|07/03|07/01,3.4,0|1|0|8|2|3|5|0|7|4|3|1|11|6|0,07/12|07/11|07/10|07/08|07/07|07/06|07/05|07/04|07/03|07/01|06/30|06/29|06/28|06/27|06/26,93.1,76.7,57.1,38.6,23.9,14.1,7.5,4.25,192.8
2026-07-17,St. Louis Cardinals @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,St. Louis Cardinals,Alec Burleson,Merrill Kelly,0.2,2,10,5.0,1.2,1.23,0.78,1.12,3.16,46.7,2.2,2|0|0|3|6,07/12|07/11|07/10|07/09|07/08,1.7,2|0|0|3|6|0|0|0|3|3,07/12|07/11|07/10|07/09|07/08|07/07|07/07|07/06|07/05|07/04,1.87,2|0|0|3|6|0|0|0|3|3|7|4|0|0|0,07/12|07/11|07/10|07/09|07/08|07/07|07/07|07/06|07/05|07/04|07/03|07/02|07/01|06/30|06/28,92.9,77.0,57.0,37.3,23.6,13.7,7.4,2.34,121.3
