player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_fg_made,model_version
00-0025565,Nick Folk,ATL,MIA,K,2026,PRE,3,1,80.6,ELITE,1.639,NFL_FG_MADE_V1
00-0025565,Nick Folk,ATL,MIA,K,2026,PRE,3,2,48.82,ELITE,1.639,NFL_FG_MADE_V1
00-0025565,Nick Folk,ATL,MIA,K,2026,PRE,3,3,22.64,ELITE,1.639,NFL_FG_MADE_V1
00-0025565,Nick Folk,ATL,MIA,K,2026,PRE,3,4,8.4,ELITE,1.639,NFL_FG_MADE_V1
00-0025565,Nick Folk,ATL,MIA,K,2026,PRE,3,5,2.63,ELITE,1.639,NFL_FG_MADE_V1
00-0031136,Chris Boswell,PIT,BUF,K,2026,PRE,3,1,84.54,ELITE,1.879,NFL_FG_MADE_V1
00-0031136,Chris Boswell,PIT,BUF,K,2026,PRE,3,2,56.09,ELITE,1.879,NFL_FG_MADE_V1
00-0031136,Chris Boswell,PIT,BUF,K,2026,PRE,3,3,29.08,ELITE,1.879,NFL_FG_MADE_V1
00-0031136,Chris Boswell,PIT,BUF,K,2026,PRE,3,4,12.28,ELITE,1.879,NFL_FG_MADE_V1
00-0031136,Chris Boswell,PIT,BUF,K,2026,PRE,3,5,4.32,ELITE,1.879,NFL_FG_MADE_V1
00-0031203,Cairo Santos,CHI,TEN,K,2026,PRE,3,1,82.31,ELITE,1.728,NFL_FG_MADE_V1
00-0031203,Cairo Santos,CHI,TEN,K,2026,PRE,3,2,51.32,ELITE,1.728,NFL_FG_MADE_V1
00-0031203,Cairo Santos,CHI,TEN,K,2026,PRE,3,3,25.05,ELITE,1.728,NFL_FG_MADE_V1
00-0031203,Cairo Santos,CHI,TEN,K,2026,PRE,3,4,9.82,ELITE,1.728,NFL_FG_MADE_V1
00-0031203,Cairo Santos,CHI,TEN,K,2026,PRE,3,5,3.21,ELITE,1.728,NFL_FG_MADE_V1
00-0031492,Jason Myers,SEA,KC,K,2026,PRE,3,1,91.76,ELITE,2.485,NFL_FG_MADE_V1
00-0031492,Jason Myers,SEA,KC,K,2026,PRE,3,2,71.09,ELITE,2.485,NFL_FG_MADE_V1
00-0031492,Jason Myers,SEA,KC,K,2026,PRE,3,3,45.45,ELITE,2.485,NFL_FG_MADE_V1
00-0031492,Jason Myers,SEA,KC,K,2026,PRE,3,4,24.18,ELITE,2.485,NFL_FG_MADE_V1
00-0031492,Jason Myers,SEA,KC,K,2026,PRE,3,5,10.78,ELITE,2.485,NFL_FG_MADE_V1
00-0032569,Wil Lutz,DEN,MIN,K,2026,PRE,3,1,84.6,ELITE,1.879,NFL_FG_MADE_V1
00-0032569,Wil Lutz,DEN,MIN,K,2026,PRE,3,2,55.95,ELITE,1.879,NFL_FG_MADE_V1
00-0032569,Wil Lutz,DEN,MIN,K,2026,PRE,3,3,29.16,ELITE,1.879,NFL_FG_MADE_V1
00-0032569,Wil Lutz,DEN,MIN,K,2026,PRE,3,4,12.3,ELITE,1.879,NFL_FG_MADE_V1
00-0032569,Wil Lutz,DEN,MIN,K,2026,PRE,3,5,4.29,ELITE,1.879,NFL_FG_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,CAR,K,2026,PRE,3,1,92.17,ELITE,2.554,NFL_FG_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,CAR,K,2026,PRE,3,2,72.67,ELITE,2.554,NFL_FG_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,CAR,K,2026,PRE,3,3,47.37,ELITE,2.554,NFL_FG_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,CAR,K,2026,PRE,3,4,25.61,ELITE,2.554,NFL_FG_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,CAR,K,2026,PRE,3,5,11.74,ELITE,2.554,NFL_FG_MADE_V1
00-0033303,Harrison Butker,KC,SEA,K,2026,PRE,3,1,87.52,ELITE,2.085,NFL_FG_MADE_V1
00-0033303,Harrison Butker,KC,SEA,K,2026,PRE,3,2,61.69,ELITE,2.085,NFL_FG_MADE_V1
00-0033303,Harrison Butker,KC,SEA,K,2026,PRE,3,3,34.66,ELITE,2.085,NFL_FG_MADE_V1
00-0033303,Harrison Butker,KC,SEA,K,2026,PRE,3,4,16.02,ELITE,2.085,NFL_FG_MADE_V1
00-0033303,Harrison Butker,KC,SEA,K,2026,PRE,3,5,6.19,ELITE,2.085,NFL_FG_MADE_V1
00-0033787,Jake Elliott,PHI,CIN,K,2026,PRE,3,1,73.15,ELITE,1.316,NFL_FG_MADE_V1
00-0033787,Jake Elliott,PHI,CIN,K,2026,PRE,3,2,37.88,ELITE,1.316,NFL_FG_MADE_V1
00-0033787,Jake Elliott,PHI,CIN,K,2026,PRE,3,3,14.65,ELITE,1.316,NFL_FG_MADE_V1
00-0033787,Jake Elliott,PHI,CIN,K,2026,PRE,3,4,4.51,ELITE,1.316,NFL_FG_MADE_V1
00-0033787,Jake Elliott,PHI,CIN,K,2026,PRE,3,5,1.16,ELITE,1.316,NFL_FG_MADE_V1
00-0033862,Zane Gonzalez,MIA,ATL,K,2026,PRE,3,1,83.89,ELITE,1.838,NFL_FG_MADE_V1
00-0033862,Zane Gonzalez,MIA,ATL,K,2026,PRE,3,2,54.64,ELITE,1.838,NFL_FG_MADE_V1
00-0033862,Zane Gonzalez,MIA,ATL,K,2026,PRE,3,3,28.02,ELITE,1.838,NFL_FG_MADE_V1
00-0033862,Zane Gonzalez,MIA,ATL,K,2026,PRE,3,4,11.69,ELITE,1.838,NFL_FG_MADE_V1
00-0033862,Zane Gonzalez,MIA,ATL,K,2026,PRE,3,5,4.1,ELITE,1.838,NFL_FG_MADE_V1
00-0034173,Eddy Pineiro,SF,LV,K,2026,PRE,3,1,85.0,ELITE,1.9,NFL_FG_MADE_V1
00-0034173,Eddy Pineiro,SF,LV,K,2026,PRE,3,2,56.66,ELITE,1.9,NFL_FG_MADE_V1
00-0034173,Eddy Pineiro,SF,LV,K,2026,PRE,3,3,29.65,ELITE,1.9,NFL_FG_MADE_V1
00-0034173,Eddy Pineiro,SF,LV,K,2026,PRE,3,4,12.57,ELITE,1.9,NFL_FG_MADE_V1
00-0034173,Eddy Pineiro,SF,LV,K,2026,PRE,3,5,4.47,ELITE,1.9,NFL_FG_MADE_V1
00-0034794,Jason Sanders,NYJ,NYG,K,2026,PRE,3,1,87.76,ELITE,2.109,NFL_FG_MADE_V1
00-0034794,Jason Sanders,NYJ,NYG,K,2026,PRE,3,2,62.32,ELITE,2.109,NFL_FG_MADE_V1
00-0034794,Jason Sanders,NYJ,NYG,K,2026,PRE,3,3,35.37,ELITE,2.109,NFL_FG_MADE_V1
00-0034794,Jason Sanders,NYJ,NYG,K,2026,PRE,3,4,16.41,ELITE,2.109,NFL_FG_MADE_V1
00-0034794,Jason Sanders,NYJ,NYG,K,2026,PRE,3,5,6.37,ELITE,2.109,NFL_FG_MADE_V1
00-0035192,Joey Slye,TEN,CHI,K,2026,PRE,3,1,75.06,ELITE,1.395,NFL_FG_MADE_V1
00-0035192,Joey Slye,TEN,CHI,K,2026,PRE,3,2,40.56,ELITE,1.395,NFL_FG_MADE_V1
00-0035192,Joey Slye,TEN,CHI,K,2026,PRE,3,3,16.6,ELITE,1.395,NFL_FG_MADE_V1
00-0035192,Joey Slye,TEN,CHI,K,2026,PRE,3,4,5.41,ELITE,1.395,NFL_FG_MADE_V1
00-0035192,Joey Slye,TEN,CHI,K,2026,PRE,3,5,1.48,ELITE,1.395,NFL_FG_MADE_V1
00-0035269,Matt Gay,LV,SF,K,2026,PRE,3,1,84.62,ELITE,1.879,NFL_FG_MADE_V1
00-0035269,Matt Gay,LV,SF,K,2026,PRE,3,2,56.1,ELITE,1.879,NFL_FG_MADE_V1
00-0035269,Matt Gay,LV,SF,K,2026,PRE,3,3,29.08,ELITE,1.879,NFL_FG_MADE_V1
00-0035269,Matt Gay,LV,SF,K,2026,PRE,3,4,12.29,ELITE,1.879,NFL_FG_MADE_V1
00-0035269,Matt Gay,LV,SF,K,2026,PRE,3,5,4.28,ELITE,1.879,NFL_FG_MADE_V1
00-0035358,Chase McLaughlin,TB,JAX,K,2026,PRE,3,1,84.72,ELITE,1.891,NFL_FG_MADE_V1
00-0035358,Chase McLaughlin,TB,JAX,K,2026,PRE,3,2,56.3,ELITE,1.891,NFL_FG_MADE_V1
00-0035358,Chase McLaughlin,TB,JAX,K,2026,PRE,3,3,29.56,ELITE,1.891,NFL_FG_MADE_V1
00-0035358,Chase McLaughlin,TB,JAX,K,2026,PRE,3,4,12.57,ELITE,1.891,NFL_FG_MADE_V1
00-0035358,Chase McLaughlin,TB,JAX,K,2026,PRE,3,5,4.4,ELITE,1.891,NFL_FG_MADE_V1
00-0036162,Tyler Bass,BUF,PIT,K,2026,PRE,3,1,73.73,ELITE,1.346,NFL_FG_MADE_V1
00-0036162,Tyler Bass,BUF,PIT,K,2026,PRE,3,2,38.96,ELITE,1.346,NFL_FG_MADE_V1
00-0036162,Tyler Bass,BUF,PIT,K,2026,PRE,3,3,15.43,ELITE,1.346,NFL_FG_MADE_V1
00-0036162,Tyler Bass,BUF,PIT,K,2026,PRE,3,4,4.9,ELITE,1.346,NFL_FG_MADE_V1
00-0036162,Tyler Bass,BUF,PIT,K,2026,PRE,3,5,1.3,ELITE,1.346,NFL_FG_MADE_V1
00-0036816,Riley Patterson,MIA,ATL,K,2026,PRE,3,1,80.76,ELITE,1.664,NFL_FG_MADE_V1
