player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_rushing_yards,model_version
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,20.0,68.63,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,25.0,65.07,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,30.0,61.23,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,35.0,57.44,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,40.0,53.53,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,45.0,49.64,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,50.0,45.8,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,55.0,41.94,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,60.0,38.26,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,65.0,34.51,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,70.0,31.09,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,75.0,27.73,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,80.0,24.57,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,85.0,21.62,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,90.0,18.89,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,95.0,16.27,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,100.0,14.04,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,105.0,12.0,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,110.0,10.1,ELITE,50.104,NFL_RUSHING_YARDS_V1
