player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_pass_tds,model_version
00-0031503,Jameis Winston,NYG,LAR,QB,2026,REG,2,5,4.5,ELITE,1.474,NFL_PASS_TD_V1
00-0032268,Marcus Mariota,WAS,DAL,QB,2026,REG,2,1,70.78,ELITE,1.546,NFL_PASS_TD_V1
00-0032268,Marcus Mariota,WAS,DAL,QB,2026,REG,2,2,41.88,ELITE,1.546,NFL_PASS_TD_V1
00-0032268,Marcus Mariota,WAS,DAL,QB,2026,REG,2,3,22.2,ELITE,1.546,NFL_PASS_TD_V1
00-0032268,Marcus Mariota,WAS,DAL,QB,2026,REG,2,4,11.39,ELITE,1.546,NFL_PASS_TD_V1
00-0032268,Marcus Mariota,WAS,DAL,QB,2026,REG,2,5,5.0,ELITE,1.546,NFL_PASS_TD_V1
00-0032950,Carson Wentz,MIN,CHI,QB,2026,REG,2,1,74.99,ELITE,1.805,NFL_PASS_TD_V1
00-0032950,Carson Wentz,MIN,CHI,QB,2026,REG,2,2,47.98,ELITE,1.805,NFL_PASS_TD_V1
00-0032950,Carson Wentz,MIN,CHI,QB,2026,REG,2,3,28.0,ELITE,1.805,NFL_PASS_TD_V1
00-0032950,Carson Wentz,MIN,CHI,QB,2026,REG,2,4,15.26,ELITE,1.805,NFL_PASS_TD_V1
00-0032950,Carson Wentz,MIN,CHI,QB,2026,REG,2,5,7.97,ELITE,1.805,NFL_PASS_TD_V1
00-0033077,Dak Prescott,DAL,WAS,QB,2026,REG,2,1,82.54,ELITE,2.344,NFL_PASS_TD_V1
00-0033077,Dak Prescott,DAL,WAS,QB,2026,REG,2,2,59.44,ELITE,2.344,NFL_PASS_TD_V1
00-0033077,Dak Prescott,DAL,WAS,QB,2026,REG,2,3,39.83,ELITE,2.344,NFL_PASS_TD_V1
00-0033077,Dak Prescott,DAL,WAS,QB,2026,REG,2,4,24.7,ELITE,2.344,NFL_PASS_TD_V1
00-0033077,Dak Prescott,DAL,WAS,QB,2026,REG,2,5,14.45,ELITE,2.344,NFL_PASS_TD_V1
00-0033106,Jared Goff,DET,BUF,QB,2026,REG,2,1,83.55,ELITE,2.365,NFL_PASS_TD_V1
00-0033106,Jared Goff,DET,BUF,QB,2026,REG,2,2,60.22,ELITE,2.365,NFL_PASS_TD_V1
00-0033106,Jared Goff,DET,BUF,QB,2026,REG,2,3,40.11,ELITE,2.365,NFL_PASS_TD_V1
00-0033106,Jared Goff,DET,BUF,QB,2026,REG,2,4,25.13,ELITE,2.365,NFL_PASS_TD_V1
00-0033106,Jared Goff,DET,BUF,QB,2026,REG,2,5,14.75,ELITE,2.365,NFL_PASS_TD_V1
00-0033119,Jacoby Brissett,ARI,SEA,QB,2026,REG,2,1,73.59,ELITE,1.677,NFL_PASS_TD_V1
00-0033119,Jacoby Brissett,ARI,SEA,QB,2026,REG,2,2,45.61,ELITE,1.677,NFL_PASS_TD_V1
00-0033119,Jacoby Brissett,ARI,SEA,QB,2026,REG,2,3,24.69,ELITE,1.677,NFL_PASS_TD_V1
00-0033119,Jacoby Brissett,ARI,SEA,QB,2026,REG,2,4,12.97,ELITE,1.677,NFL_PASS_TD_V1
00-0033119,Jacoby Brissett,ARI,SEA,QB,2026,REG,2,5,6.53,ELITE,1.677,NFL_PASS_TD_V1
00-0033319,Nick Mullens,JAX,DEN,QB,2026,REG,2,1,45.8,ELITE,0.693,NFL_PASS_TD_V1
00-0033319,Nick Mullens,JAX,DEN,QB,2026,REG,2,2,16.49,ELITE,0.693,NFL_PASS_TD_V1
00-0033319,Nick Mullens,JAX,DEN,QB,2026,REG,2,3,5.28,ELITE,0.693,NFL_PASS_TD_V1
00-0033319,Nick Mullens,JAX,DEN,QB,2026,REG,2,4,1.28,ELITE,0.693,NFL_PASS_TD_V1
00-0033319,Nick Mullens,JAX,DEN,QB,2026,REG,2,5,0.38,LOW,0.693,NFL_PASS_TD_V1
00-0033537,Deshaun Watson,CLE,TB,QB,2026,REG,2,1,58.8,ELITE,1.027,NFL_PASS_TD_V1
00-0033537,Deshaun Watson,CLE,TB,QB,2026,REG,2,2,26.87,ELITE,1.027,NFL_PASS_TD_V1
00-0033537,Deshaun Watson,CLE,TB,QB,2026,REG,2,3,10.75,ELITE,1.027,NFL_PASS_TD_V1
00-0033537,Deshaun Watson,CLE,TB,QB,2026,REG,2,4,4.15,ELITE,1.027,NFL_PASS_TD_V1
00-0033537,Deshaun Watson,CLE,TB,QB,2026,REG,2,5,1.53,ELITE,1.027,NFL_PASS_TD_V1
00-0033662,Cooper Rush,ATL,CAR,QB,2026,REG,2,1,54.28,ELITE,0.884,NFL_PASS_TD_V1
00-0033662,Cooper Rush,ATL,CAR,QB,2026,REG,2,2,22.35,ELITE,0.884,NFL_PASS_TD_V1
00-0033662,Cooper Rush,ATL,CAR,QB,2026,REG,2,3,8.02,ELITE,0.884,NFL_PASS_TD_V1
00-0033662,Cooper Rush,ATL,CAR,QB,2026,REG,2,4,2.55,ELITE,0.884,NFL_PASS_TD_V1
00-0033662,Cooper Rush,ATL,CAR,QB,2026,REG,2,5,0.8,VERY HIGH,0.884,NFL_PASS_TD_V1
00-0033869,Mitchell Trubisky,TEN,PHI,QB,2026,REG,2,1,51.1,ELITE,0.828,NFL_PASS_TD_V1
00-0033869,Mitchell Trubisky,TEN,PHI,QB,2026,REG,2,2,20.94,ELITE,0.828,NFL_PASS_TD_V1
00-0033869,Mitchell Trubisky,TEN,PHI,QB,2026,REG,2,3,7.33,ELITE,0.828,NFL_PASS_TD_V1
00-0033869,Mitchell Trubisky,TEN,PHI,QB,2026,REG,2,4,2.31,ELITE,0.828,NFL_PASS_TD_V1
00-0033869,Mitchell Trubisky,TEN,PHI,QB,2026,REG,2,5,0.71,HIGH,0.828,NFL_PASS_TD_V1
00-0033873,Patrick Mahomes,KC,IND,QB,2026,REG,2,1,79.14,ELITE,2.045,NFL_PASS_TD_V1
