rank,date,game_pk,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_starts,last7_start_rate_pct,last7_most_recent_order,starter_id,starter,starter_hand,expected_pa,starter_pa_share,bullpen_k_pa_pct,proj_k,line,play,true_probability_pct,fair_odds,confidence,ai_score,l5_k_per_game,l10_k_per_game,l15_k_per_game,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,bvp_pa,bvp_k,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_pitches,bvp_whiff_pct,bvp_csw_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,bvp_reliability,split_pa,split_k_rate_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,top_pitch,top_pitch_usage_pct,top_pitch_batter_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw_pct,velo_band_source,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct
21,2026-08-31,824635,CHC,MIL,699393,Pedro Ramírez,S,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,100.0,7.0,690986,Kyle Harrison,L,1.15,0.7593,25.9,0.4363,1.5,LESS,95.0,-1910,67,86,0.2,0.4,0.6667,20.0,40.0,60.0,0.0,0.0,6.7,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,34,11.8,30.3,26.7,31.4,4-Seam,57.5,18.5,14.9,25.5,94.8844,1.5,132,59,10,16.9,VELO_BAND_1.5,38.6,61.4,5.0,95.0,0.0,100.0,0.0,100.0,61.4,33.7,5.0,0.0,0.0
22,2026-08-31,824473,CIN,SD,677943,Will Banfield,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,1,14.3,5.01,650633,Michael King,R,1.15,0.78,21.6,0.4483,1.5,LESS,94.9,-1873,56,83,0.5,0.5,0.5,50.0,50.0,50.0,0.0,0.0,0.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,2,50.0,20.1,21.8,27.3,Sinker,28.6,0.0,11.2,27.9,93.6201,,6,4,0,0.0,HITTER_FASTBALL_FALLBACK,39.7,60.3,5.1,94.9,0.0,100.0,0.0,100.0,60.3,34.7,5.1,0.0,0.0
23,2026-08-31,822689,MIA,WSH,691858,Jared Serna,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,0,0.0,,702021,Will Dion,L,1.15,0.42,20.0,0.443,1.5,LESS,94.9,-1869,51,81,,,,,,,,,,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,0,22.5,29.3,26.4,29.2,,,,11.5,28.5,,,0,0,0,,LEAGUE_FALLBACK,39.2,60.8,5.1,94.9,0.0,100.0,0.0,100.0,60.8,34.1,5.1,0.0,0.0
24,2026-08-31,825040,PHI,AZ,624641,Edmundo Sosa,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,2,28.6,9.02,694297,Brandon Pfaadt,R,1.15,0.6343,18.2,0.4396,1.5,LESS,94.9,-1850,70,87,0.8,0.6,0.7333,60.0,50.0,53.3,20.0,10.0,20.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,83,21.7,16.1,18.0,25.5,4-Seam,29.0,18.2,18.7,27.8,92.5174,1.5,115,58,6,10.3,VELO_BAND_1.5,38.8,61.2,5.1,94.9,0.0,100.0,0.0,100.0,61.2,33.7,5.1,0.0,0.0
25,2026-08-31,825040,PHI,AZ,650559,Bryan De La Cruz,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,2,28.6,9.01,694297,Brandon Pfaadt,R,1.15,0.6343,18.2,0.4486,1.5,LESS,94.9,-1844,65,85,0.6,0.6,0.6,60.0,50.0,46.7,0.0,10.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,27,29.6,16.1,18.0,25.5,4-Seam,29.0,21.9,16.4,28.2,92.5174,2.5,42,21,3,14.3,VELO_BAND_2.5,39.7,60.3,5.1,94.9,0.0,100.0,0.0,100.0,60.3,34.6,5.1,0.0,0.0
26,2026-08-31,824149,CWS,HOU,643217,Andrew Benintendi,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,2,28.6,4.0,663567,Peter Lambert,R,1.15,0.78,22.8,0.4391,1.5,LESS,94.8,-1839,80,89,0.4,0.7,0.6667,40.0,60.0,60.0,0.0,10.0,6.7,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,266,17.7,22.2,21.7,25.2,4-Seam,31.4,20.4,20.3,25.7,93.2471,1.5,204,113,20,17.7,VELO_BAND_1.5,38.7,61.3,5.2,94.8,0.0,100.0,0.0,100.0,61.3,33.6,5.2,0.0,0.0
27,2026-08-31,824473,SD,CIN,666023,Freddy Fermin,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,3,42.9,8.0,663903,Brady Singer,R,1.15,0.78,20.5,0.4401,1.5,LESS,94.8,-1817,72,87,0.6,0.8,0.8,20.0,40.0,40.0,20.0,30.0,33.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,118,21.2,20.0,24.8,28.5,Sinker,49.7,10.3,17.9,28.2,90.8289,1.5,83,53,8,15.1,VELO_BAND_1.5,38.8,61.2,5.2,94.8,0.0,100.0,0.0,100.0,61.2,33.6,5.2,0.0,0.0
28,2026-08-31,823663,MIN,DET,605170,Victor Caratini,S,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,3,42.9,8.0,695549,Jackson Jobe,R,1.15,0.7407,21.7,0.4436,1.5,LESS,94.7,-1793,70,87,0.2,0.6,0.7333,20.0,50.0,60.0,0.0,10.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,179,15.1,18.8,16.7,21.5,4-Seam,36.3,10.9,19.0,29.5,97.3129,1.5,116,56,3,5.4,VELO_BAND_1.5,39.1,60.9,5.3,94.7,0.0,100.0,0.0,100.0,60.9,33.8,5.3,0.0,0.0
29,2026-08-31,824314,COL,BAL,690022,Ryan Ritter,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,4,57.1,8.02,700249,Cade Povich,L,1.15,0.642,20.8,0.4503,1.5,LESS,94.7,-1774,55,82,0.6,0.6,0.6,60.0,60.0,60.0,0.0,0.0,0.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,6,16.7,19.2,14.9,24.0,4-Seam,54.2,0.0,10.7,27.9,91.5496,,25,10,0,0.0,HITTER_FASTBALL_FALLBACK,39.7,60.3,5.3,94.7,0.0,100.0,0.0,100.0,60.3,34.3,5.3,0.0,0.0
30,2026-08-31,823663,DET,MIN,595879,Javier Báez,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,4,57.1,9.0,671737,Taj Bradley,R,1.15,0.78,21.6,0.4526,1.5,LESS,94.6,-1744,66,85,0.8,0.6,0.7333,60.0,50.0,60.0,20.0,10.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,55,21.8,27.6,23.6,27.0,4-Seam,47.1,24.1,14.9,28.5,94.7702,1.5,50,21,3,14.3,VELO_BAND_1.5,39.8,60.2,5.4,94.6,0.0,100.0,0.0,100.0,60.2,34.4,5.4,0.0,0.0
31,2026-08-31,822855,ATH,TEX,683021,Michael Stefanic,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,3,42.9,5.01,594798,Jacob deGrom,R,1.15,0.7778,22.5,0.4565,1.5,LESS,94.5,-1718,60,84,0.25,0.25,0.25,25.0,25.0,25.0,0.0,0.0,0.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,2,50.0,28.5,31.6,29.6,4-Seam,40.6,0.0,11.7,28.0,97.3817,,20,8,0,0.0,HITTER_FASTBALL_FALLBACK,40.1,59.9,5.5,94.5,0.0,100.0,0.0,100.0,59.9,34.6,5.5,0.0,0.0
32,2026-08-31,824911,SF,ATL,801501,Nate Furman,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,2,28.6,8.01,693821,Bryce Elder,R,1.15,0.78,22.7,0.462,1.5,LESS,94.5,-1712,64,85,0.4,0.5,0.5,40.0,40.0,40.0,0.0,10.0,10.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,20,25.0,18.9,19.9,25.5,Sinker,29.4,0.0,11.0,26.4,90.8002,,41,13,0,0.0,HITTER_FASTBALL_FALLBACK,40.7,59.3,5.5,94.5,0.0,100.0,0.0,100.0,59.3,35.2,5.5,0.0,0.0
33,2026-08-31,823663,MIN,DET,665019,Kody Clemens,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,100.0,3.0,695549,Jackson Jobe,R,1.15,0.7407,21.7,0.4638,1.5,LESS,94.4,-1678,77,89,1.0,0.9,0.9333,60.0,60.0,60.0,20.0,20.0,20.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,286,20.6,18.8,16.7,21.5,4-Seam,36.3,21.9,20.0,26.3,97.3129,1.5,202,125,22,17.6,VELO_BAND_1.5,40.7,59.3,5.6,94.4,0.0,100.0,0.0,100.0,59.3,35.1,5.6,0.0,0.0
34,2026-08-31,824149,HOU,CWS,514888,Jose Altuve,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,4,57.1,4.0,641743,Anthony Kay,L,1.15,0.78,21.9,0.4619,1.5,LESS,94.4,-1678,75,88,0.6,0.9,0.9333,40.0,60.0,73.3,20.0,30.0,20.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,68,22.1,19.9,22.7,25.7,Sweeper,23.8,33.8,18.3,28.6,94.474,1.5,229,121,24,19.8,VELO_BAND_1.5,40.6,59.4,5.6,94.4,0.0,100.0,0.0,100.0,59.4,34.9,5.6,0.0,0.0
35,2026-08-31,825040,AZ,PHI,543510,James McCann,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,3,42.9,7.0,605400,Aaron Nola,R,1.15,0.78,26.0,0.4689,1.5,LESS,94.4,-1673,65,85,1.0,0.8,0.8667,60.0,60.0,66.7,20.0,10.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,58,20.7,24.7,26.5,29.4,Knuckle Curve,33.9,0.0,13.5,28.0,91.3611,2.5,66,18,0,0.0,VELO_BAND_2.5,41.3,58.7,5.6,94.4,0.0,100.0,0.0,100.0,58.7,35.6,5.6,0.0,0.0
36,2026-08-31,824719,SEA,BOS,640902,Jhonny Pereda,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,2,28.6,8.0,801139,Payton Tolle,L,1.15,0.78,22.9,0.4649,1.5,LESS,94.3,-1657,67,86,0.8,0.9,0.7333,60.0,80.0,66.7,20.0,10.0,6.7,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,23,21.7,27.2,23.7,26.4,4-Seam,44.8,12.0,13.4,28.0,94.0313,1.5,93,45,6,13.3,VELO_BAND_1.5,40.8,59.2,5.7,94.3,0.0,100.0,0.0,100.0,59.2,35.1,5.7,0.0,0.0
37,2026-08-31,825040,AZ,PHI,596146,Max Kepler,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,3,42.9,5.0,605400,Aaron Nola,R,1.15,0.78,26.0,0.4686,1.5,LESS,94.2,-1627,72,87,0.6,1.0,0.9333,60.0,60.0,60.0,0.0,30.0,26.7,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,127,21.3,24.7,26.5,29.4,Knuckle Curve,33.9,25.0,14.6,25.9,91.3611,1.5,54,27,1,3.7,VELO_BAND_1.5,41.1,58.9,5.8,94.2,0.0,100.0,0.0,100.0,58.9,35.3,5.8,0.0,0.0
38,2026-08-31,823982,LAA,NYY,624428,Adam Frazier,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,3,42.9,6.01,695684,Elmer Rodríguez,R,1.15,0.78,24.1,0.4751,1.5,LESS,94.2,-1611,61,84,0.4,0.4,0.4667,40.0,40.0,40.0,0.0,0.0,6.7,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,52,26.9,15.3,25.4,29.4,Sinker,47.2,16.7,15.4,30.0,95.5028,1.5,48,23,7,30.4,VELO_BAND_1.5,41.7,58.3,5.8,94.2,0.0,100.0,0.0,100.0,58.3,35.8,5.8,0.0,0.0
39,2026-08-31,822689,MIA,WSH,682663,Agustín Ramírez,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,3,42.9,3.0,702021,Will Dion,L,1.15,0.42,20.0,0.4768,1.5,LESS,94.1,-1596,62,84,0.8,0.7,0.7333,40.0,40.0,46.7,20.0,20.0,20.0,1,1,100.0,24.2,5,50.0,40.0,0.0,50.0,50.0,11.5,0.0295,35,25.7,29.3,26.4,29.2,4-Seam,42.2,17.2,15.5,26.3,90.4891,2.5,36,17,3,17.6,VELO_BAND_2.5,41.8,58.2,5.9,94.1,0.0,100.0,0.0,100.0,58.2,35.9,5.9,0.0,0.0
40,2026-08-31,824719,BOS,SEA,677800,Wilyer Abreu,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,100.0,3.0,669923,George Kirby,R,1.15,0.78,22.7,0.4699,1.5,LESS,94.1,-1595,85,91,0.4,1.2,0.9333,40.0,60.0,53.3,0.0,30.0,20.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,313,22.4,20.9,21.8,26.6,Sweeper,31.1,31.7,21.2,28.4,96.4808,1.5,329,159,36,22.6,VELO_BAND_1.5,41.1,58.9,5.9,94.1,0.0,100.0,0.0,100.0,58.9,35.2,5.9,0.0,0.0
41,2026-08-31,823663,DET,MIN,650402,Gleyber Torres,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,5,71.4,1.0,671737,Taj Bradley,R,1.15,0.78,21.6,0.4685,1.5,LESS,94.1,-1589,75,88,1.0,0.7,0.6,60.0,50.0,46.7,40.0,20.0,13.3,3,2,66.7,25.3,15,16.7,26.7,14.3,83.3,100.0,50.0,0.0833,139,20.1,27.6,23.6,27.0,4-Seam,47.1,20.5,19.0,26.6,94.7702,1.5,197,94,20,21.3,VELO_BAND_1.5,40.9,59.1,5.9,94.1,0.0,100.0,0.0,100.0,59.1,35.0,5.9,0.0,0.0
42,2026-08-31,822689,WSH,MIA,695670,Harry Ford,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,4,57.1,7.0,687473,Ryan Gusto,R,1.15,0.537,21.9,0.4703,1.5,LESS,94.1,-1587,66,85,0.4,0.8,0.8667,40.0,50.0,60.0,0.0,20.0,20.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,43,20.9,18.8,18.3,27.7,4-Seam,27.7,24.6,16.9,27.3,92.8869,1.5,66,33,9,27.3,VELO_BAND_1.5,41.1,58.9,5.9,94.1,0.0,100.0,0.0,100.0,58.9,35.2,5.9,0.0,0.0
43,2026-08-31,824473,SD,CIN,669720,Austin Hays,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,4,57.1,7.0,663903,Brady Singer,R,1.15,0.78,20.5,0.4732,1.5,LESS,94.1,-1587,65,85,0.8,0.7,0.6364,40.0,50.0,45.5,40.0,20.0,18.2,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,11,18.2,20.0,24.8,28.5,Sinker,49.7,40.0,17.2,29.0,90.8289,,46,23,8,34.8,HITTER_FASTBALL_FALLBACK,41.4,58.6,5.9,94.1,0.0,100.0,0.0,100.0,58.6,35.5,5.9,0.0,0.0
44,2026-08-31,824314,BAL,COL,681047,Christian Franklin,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,1,14.3,7.0,685299,Tanner Gordon,R,1.15,0.78,17.3,0.4721,1.5,LESS,94.1,-1587,65,85,1.0,0.9,0.8,80.0,70.0,60.0,20.0,20.0,20.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,19,21.1,17.1,18.0,25.3,4-Seam,45.2,20.7,18.0,29.0,92.5737,2.5,53,18,3,16.7,VELO_BAND_2.5,41.3,58.7,5.9,94.1,0.0,100.0,0.0,100.0,58.7,35.3,5.9,0.0,0.0
45,2026-08-31,822932,TB,NYM,668723,Ryan Vilade,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,0,0.0,,476594,Robert Stock,R,1.15,0.7778,23.4,0.4735,1.5,LESS,94.1,-1584,66,85,0.4,0.7,0.5333,40.0,60.0,46.7,0.0,10.0,6.7,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,76,21.1,20.0,23.8,27.2,Cutter,31.6,18.5,15.9,26.2,93.3792,1.5,201,106,25,23.6,VELO_BAND_1.5,41.4,58.6,5.9,94.1,0.0,100.0,0.0,100.0,58.6,35.5,5.9,0.0,0.0
46,2026-08-31,824314,COL,BAL,694249,Cole Carrigg,S,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,6,85.7,7.01,700249,Cade Povich,L,1.15,0.642,20.8,0.4772,1.5,LESS,94.0,-1578,68,86,1.0,1.4,1.2667,80.0,90.0,93.3,20.0,40.0,26.7,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,119,26.9,19.2,14.9,24.0,4-Seam,54.2,18.6,21.5,24.4,91.5496,1.5,169,94,14,14.9,VELO_BAND_1.5,41.7,58.3,6.0,94.0,0.0,100.0,0.0,100.0,58.3,35.8,5.9,0.0,0.0
47,2026-08-31,824149,CWS,HOU,691011,Drew Romo,S,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,4,57.1,9.0,663567,Peter Lambert,R,1.15,0.78,22.8,0.4905,1.5,LESS,93.9,-1530,73,87,0.6,0.4,0.6,40.0,30.0,40.0,20.0,10.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,151,25.2,22.2,21.7,25.2,4-Seam,31.4,19.6,20.6,27.2,93.2471,1.5,121,67,14,20.9,VELO_BAND_1.5,42.9,57.1,6.1,93.9,0.0,100.0,0.0,100.0,57.1,36.8,6.1,0.0,0.0
48,2026-08-31,822689,MIA,WSH,691788,Joe Mack,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,3,42.9,9.02,702021,Will Dion,L,1.15,0.42,20.0,0.4808,1.5,LESS,93.9,-1529,69,86,0.8,0.8,0.8,60.0,50.0,53.3,20.0,20.0,20.0,1,0,0.0,22.0,1,0.0,0.0,28.5,100.0,100.0,11.5,0.0134,59,25.4,29.3,26.4,29.2,4-Seam,42.2,10.1,19.1,27.1,90.4891,1.5,115,62,8,12.9,VELO_BAND_1.5,41.9,58.1,6.1,93.9,0.0,100.0,0.0,100.0,58.1,35.8,6.1,0.0,0.0
49,2026-08-31,822855,TEX,ATH,679822,Justin Foscue,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,4,57.1,6.01,695611,Gage Jump,L,1.15,0.78,21.3,0.484,1.5,LESS,93.9,-1527,74,88,0.6,0.6,0.5333,40.0,40.0,33.3,20.0,20.0,20.0,2,0,0.0,21.5,7,0.0,14.3,0.0,100.0,100.0,0.0,0.0484,121,24.0,25.1,23.3,27.7,4-Seam,46.3,17.7,15.9,28.8,96.188,1.5,125,67,13,19.4,VELO_BAND_1.5,42.2,57.8,6.1,93.9,0.0,100.0,0.0,100.0,57.8,36.1,6.1,0.0,0.0
50,2026-08-31,824635,MIL,CHC,592885,Christian Yelich,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,5,71.4,5.0,605280,Clay Holmes,R,1.15,0.78,20.7,0.481,1.5,LESS,93.8,-1521,78,89,0.4,0.5,0.7333,20.0,40.0,53.3,20.0,10.0,20.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,271,26.2,18.6,17.0,24.9,Sinker,52.6,13.0,17.7,28.7,92.0455,1.5,279,126,26,20.6,VELO_BAND_1.5,41.9,58.1,6.2,93.8,0.0,100.0,0.0,100.0,58.1,35.8,6.2,0.0,0.0
51,2026-08-31,824149,CWS,HOU,682668,Luisangel Acuña,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,2,28.6,9.0,663567,Peter Lambert,R,1.15,0.78,22.8,0.4836,1.5,LESS,93.8,-1520,69,86,0.8,0.7,0.6667,80.0,60.0,60.0,0.0,10.0,6.7,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,55,27.3,22.2,21.7,25.2,4-Seam,31.4,14.5,17.4,28.0,93.2471,1.5,80,46,6,13.0,VELO_BAND_1.5,42.2,57.8,6.2,93.8,0.0,100.0,0.0,100.0,57.8,36.0,6.1,0.0,0.0
52,2026-08-31,824911,ATL,SF,673490,Ha-Seong Kim,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,3,42.9,9.0,683627,Anthony Molina,R,1.15,0.42,19.9,0.4878,1.5,LESS,93.8,-1517,61,84,0.6,0.8,0.8,40.0,50.0,46.7,20.0,30.0,33.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,49,26.5,10.3,15.3,21.1,4-Seam,43.9,18.2,15.8,27.6,96.282,1.5,74,33,3,9.1,VELO_BAND_1.5,42.6,57.4,6.2,93.8,0.0,100.0,0.0,100.0,57.4,36.4,6.2,0.0,0.0
53,2026-08-31,824473,CIN,SD,670770,TJ Friedl,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,5,71.4,8.01,650633,Michael King,R,1.15,0.78,21.6,0.4912,1.5,LESS,93.8,-1508,71,87,0.6,0.6,0.5333,60.0,50.0,40.0,0.0,10.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,112,24.1,20.1,21.8,27.3,Sinker,28.6,4.5,18.9,29.0,93.6201,1.5,119,52,5,9.6,VELO_BAND_1.5,42.9,57.1,6.2,93.8,0.0,100.0,0.0,100.0,57.1,36.7,6.2,0.0,0.0
54,2026-08-31,824911,ATL,SF,657041,Lane Thomas,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,5,71.4,9.01,683627,Anthony Molina,R,1.15,0.42,19.9,0.4886,1.5,LESS,93.8,-1508,70,87,0.4,0.6,0.7333,40.0,50.0,60.0,0.0,10.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,171,27.5,10.3,15.3,21.1,4-Seam,43.9,12.1,19.0,28.4,96.282,1.5,219,101,13,12.9,VELO_BAND_1.5,42.6,57.4,6.2,93.8,0.0,100.0,0.0,100.0,57.4,36.4,6.2,0.0,0.0
55,2026-08-31,825040,AZ,PHI,691783,Jordan Lawlar,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,3,42.9,9.0,605400,Aaron Nola,R,1.15,0.78,26.0,0.4896,1.5,LESS,93.7,-1494,64,85,0.8,1.1,0.9333,80.0,80.0,73.3,0.0,20.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,28,28.6,24.7,26.5,29.4,Knuckle Curve,33.9,,11.2,28.0,91.3611,1.5,30,12,1,8.3,VELO_BAND_1.5,42.7,57.3,6.3,93.7,0.0,100.0,0.0,100.0,57.3,36.4,6.3,0.0,0.0
56,2026-08-31,824911,ATL,SF,676551,Brewer Hicklen,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,1,14.3,1.01,683627,Anthony Molina,R,1.15,0.42,19.9,0.4909,1.5,LESS,93.7,-1494,57,83,1.2,1.1429,1.1429,80.0,85.7,85.7,20.0,14.3,14.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,20,35.0,10.3,15.3,21.1,4-Seam,43.9,12.5,13.5,27.3,96.282,2.5,28,16,6,37.5,VELO_BAND_2.5,42.8,57.2,6.3,93.7,0.0,100.0,0.0,100.0,57.2,36.5,6.3,0.0,0.0
57,2026-08-31,822932,TB,NYM,622761,Jorge Mateo,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,5,71.4,7.0,476594,Robert Stock,R,1.15,0.7778,23.4,0.4894,1.5,LESS,93.7,-1487,64,85,0.6,0.6,0.6,60.0,60.0,53.3,0.0,0.0,6.7,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,76,27.6,20.0,23.8,27.2,Cutter,31.6,36.4,17.7,28.4,93.3792,1.5,86,46,10,21.7,VELO_BAND_1.5,42.6,57.4,6.3,93.7,0.0,100.0,0.0,100.0,57.4,36.3,6.3,0.0,0.0
58,2026-08-31,824149,HOU,CWS,664774,LaMonte Wade Jr.,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,2,28.6,8.01,641743,Anthony Kay,L,1.15,0.78,21.9,0.485,1.5,LESS,93.6,-1473,68,86,0.8,1.0,0.7333,80.0,80.0,60.0,0.0,10.0,6.7,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,14,28.6,19.9,22.7,25.7,Sweeper,23.8,17.6,15.5,28.3,94.474,1.5,132,48,7,14.6,VELO_BAND_1.5,42.1,57.9,6.4,93.6,0.0,100.0,0.0,100.0,57.9,35.8,6.3,0.0,0.0
59,2026-08-31,825040,AZ,PHI,678489,Jorge Barrosa,S,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,2,28.6,7.04,605400,Aaron Nola,R,1.15,0.78,26.0,0.4874,1.5,LESS,93.6,-1464,68,86,0.6,0.4,0.3333,60.0,40.0,33.3,0.0,0.0,0.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,60,25.0,24.7,26.5,29.4,Knuckle Curve,33.9,20.0,15.4,27.6,91.3611,1.5,63,25,5,20.0,VELO_BAND_1.5,42.3,57.7,6.4,93.6,0.0,100.0,0.0,100.0,57.7,35.9,6.4,0.0,0.0
60,2026-08-31,822855,TEX,ATH,608369,Corey Seager,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,6,85.7,2.0,695611,Gage Jump,L,1.15,0.78,21.3,0.5052,1.5,LESS,93.5,-1444,72,87,1.4,1.0,0.9333,80.0,60.0,60.0,40.0,30.0,26.7,3,0,0.0,21.1,11,66.7,18.2,20.0,33.3,100.0,11.5,0.0724,58,27.6,25.1,23.3,27.7,4-Seam,46.3,26.2,23.5,25.4,96.188,1.5,109,65,14,21.5,VELO_BAND_1.5,44.0,56.0,6.5,93.5,0.0,100.0,0.0,100.0,56.0,37.5,6.5,0.0,0.0
61,2026-08-31,824911,SF,ATL,701852,Drew Cavanaugh,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,6,85.7,6.01,693821,Bryce Elder,R,1.15,0.78,22.7,0.5025,1.5,LESS,93.5,-1443,71,87,1.2,1.3,0.9333,100.0,90.0,66.7,20.0,40.0,26.7,1,0,0.0,22.0,5,0.0,0.0,50.0,100.0,100.0,0.0,0.0295,104,24.0,18.9,19.9,25.5,Sinker,29.4,0.0,14.4,26.2,90.8002,1.5,73,35,6,17.1,VELO_BAND_1.5,43.8,56.2,6.5,93.5,0.0,100.0,0.0,100.0,56.2,37.3,6.5,0.0,0.0
