player_id,player_name,team,opponent,position,depth_chart_position,status,season,season_type,week,target_slate,game_id,game_date,home_away,projected_pat_made,projected_pat_attempts,pat_make_rate,pat_makes_5y,pat_attempts_5y,pat_make_pct_5y,recent_pat_made_pg,recent_pat_attempts_pg,td_environment_multiplier,kicker_role_stability,historical_kicking_games,preseason_usage_multiplier,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,data_source,simulations,model_version,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,prob_5_plus,prob_6_plus
00-0039498,Harrison Mevis,LAR,SF,K,K,ACT,2026,REG,1,2026 REG W1,401872657,2026-09-11T00:35Z,home,4.524,4.64,99.3,48,48,100.0,3.862,3.862,1.156,84.5,12,1.04,4.524,4.0,2.0,7.0,1.971,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,99.05,94.49,83.76,67.2,48.62,31.59
00-0036854,Evan McPherson,CIN,TB,K,K,ACT,2026,REG,1,2026 REG W1,401872925,2026-09-13T17:00Z,home,3.934,4.16,95.36,118,122,96.72,3.063,3.33,1.2,73.4,40,1.04,3.934,4.0,2.0,7.0,1.896,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,98.1,90.71,75.91,56.0,36.49,21.07
00-0039172,Jake Bates,DET,NO,K,K,ACT,2026,REG,1,2026 REG W1,401872923,2026-09-13T17:00Z,home,3.731,4.0,94.16,122,127,96.06,2.93,3.06,1.256,72.5,35,1.04,3.731,4.0,1.0,6.0,1.863,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,97.63,88.93,72.51,51.79,32.53,17.95
00-0039409,Cam Little,JAX,CLE,K,K,ACT,2026,REG,1,2026 REG W1,401872922,2026-09-13T17:00Z,home,3.534,3.62,97.9,80,81,98.77,3.217,3.267,1.067,78.2,33,1.04,3.534,3.0,1.0,6.0,1.837,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,97.07,86.94,68.76,47.56,28.46,14.97
00-0036162,Tyler Bass,BUF,HOU,K,K,ACT,2026,REG,1,2026 REG W1,401872660,2026-09-13T17:00Z,away,3.475,3.76,93.11,122,128,95.31,3.303,3.54,1.022,76.6,39,1.04,3.475,3.0,1.0,6.0,1.823,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,96.89,86.19,67.7,46.27,27.43,14.37
00-0031492,Jason Myers,SEA,NE,K,K,ACT,2026,REG,1,2026 REG W1,401872656,2026-09-10T00:20Z,home,3.374,3.41,99.45,129,132,97.73,3.073,3.073,1.067,72.8,51,1.04,3.374,3.0,1.0,6.0,1.797,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,96.66,85.32,65.76,43.86,25.32,12.7
00-0037692,Brandon Aubrey,DAL,NYG,K,K,ACT,2026,REG,1,2026 REG W1,401872930,2026-09-14T00:20Z,away,3.293,3.39,97.81,127,132,96.21,2.823,2.873,1.133,80.7,49,1.04,3.293,3.0,1.0,6.0,1.782,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,96.31,84.18,64.22,42.03,23.85,11.77
00-0040074,Tyler Loop,BAL,IND,K,K,ACT,2026,REG,1,2026 REG W1,401872659,2026-09-13T17:00Z,away,3.151,3.3,95.46,44,46,95.65,2.673,2.75,1.156,76.4,16,1.04,3.151,3.0,1.0,6.0,1.751,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,95.62,82.22,61.19,39.2,21.31,10.03
00-0031203,Cairo Santos,CHI,CAR,K,K,ACT,2026,REG,1,2026 REG W1,401872661,2026-09-13T17:00Z,away,3.042,3.07,99.45,99,102,97.06,2.653,2.653,1.111,69.8,43,1.04,3.042,3.0,1.0,5.0,1.726,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,95.28,80.83,58.59,36.43,19.39,8.84
00-0037224,Cameron Dicker,LAC,ARI,K,K,ACT,2026,REG,1,2026 REG W1,401872926,2026-09-13T20:25Z,home,2.957,3.11,95.46,102,107,95.33,2.273,2.363,1.267,75.2,45,1.04,2.957,3.0,1.0,5.0,1.696,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,94.91,79.57,56.97,34.45,17.81,7.93
