player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_pat_made,model_version
00-0025565,Nick Folk,ATL,GB,K,2026,REG,3,1,78.13,ELITE,1.526,NFL_PAT_MADE_V1
00-0025565,Nick Folk,ATL,GB,K,2026,REG,3,2,45.07,ELITE,1.526,NFL_PAT_MADE_V1
00-0025565,Nick Folk,ATL,GB,K,2026,REG,3,3,19.87,ELITE,1.526,NFL_PAT_MADE_V1
00-0025565,Nick Folk,ATL,GB,K,2026,REG,3,4,6.95,ELITE,1.526,NFL_PAT_MADE_V1
00-0025565,Nick Folk,ATL,GB,K,2026,REG,3,5,1.95,ELITE,1.526,NFL_PAT_MADE_V1
00-0025565,Nick Folk,ATL,GB,K,2026,REG,3,6,0.48,COIN FLIP,1.526,NFL_PAT_MADE_V1
00-0031136,Chris Boswell,PIT,CIN,K,2026,REG,3,1,91.04,ELITE,2.414,NFL_PAT_MADE_V1
00-0031136,Chris Boswell,PIT,CIN,K,2026,REG,3,2,69.36,ELITE,2.414,NFL_PAT_MADE_V1
00-0031136,Chris Boswell,PIT,CIN,K,2026,REG,3,3,43.59,ELITE,2.414,NFL_PAT_MADE_V1
00-0031136,Chris Boswell,PIT,CIN,K,2026,REG,3,4,22.5,ELITE,2.414,NFL_PAT_MADE_V1
00-0031136,Chris Boswell,PIT,CIN,K,2026,REG,3,5,9.82,ELITE,2.414,NFL_PAT_MADE_V1
00-0031136,Chris Boswell,PIT,CIN,K,2026,REG,3,6,3.61,ELITE,2.414,NFL_PAT_MADE_V1
00-0031203,Cairo Santos,CHI,PHI,K,2026,REG,3,1,93.13,ELITE,2.656,NFL_PAT_MADE_V1
00-0031203,Cairo Santos,CHI,PHI,K,2026,REG,3,2,74.35,ELITE,2.656,NFL_PAT_MADE_V1
00-0031203,Cairo Santos,CHI,PHI,K,2026,REG,3,3,49.72,ELITE,2.656,NFL_PAT_MADE_V1
00-0031203,Cairo Santos,CHI,PHI,K,2026,REG,3,4,27.66,ELITE,2.656,NFL_PAT_MADE_V1
00-0031203,Cairo Santos,CHI,PHI,K,2026,REG,3,5,13.03,ELITE,2.656,NFL_PAT_MADE_V1
00-0031203,Cairo Santos,CHI,PHI,K,2026,REG,3,6,5.25,ELITE,2.656,NFL_PAT_MADE_V1
00-0031492,Jason Myers,SEA,WAS,K,2026,REG,3,1,96.04,ELITE,3.199,NFL_PAT_MADE_V1
00-0031492,Jason Myers,SEA,WAS,K,2026,REG,3,2,83.02,ELITE,3.199,NFL_PAT_MADE_V1
00-0031492,Jason Myers,SEA,WAS,K,2026,REG,3,3,62.11,ELITE,3.199,NFL_PAT_MADE_V1
00-0031492,Jason Myers,SEA,WAS,K,2026,REG,3,4,40.03,ELITE,3.199,NFL_PAT_MADE_V1
00-0031492,Jason Myers,SEA,WAS,K,2026,REG,3,5,22.12,ELITE,3.199,NFL_PAT_MADE_V1
00-0031492,Jason Myers,SEA,WAS,K,2026,REG,3,6,10.56,ELITE,3.199,NFL_PAT_MADE_V1
00-0032569,Wil Lutz,DEN,LAR,K,2026,REG,3,1,87.09,ELITE,2.046,NFL_PAT_MADE_V1
00-0032569,Wil Lutz,DEN,LAR,K,2026,REG,3,2,60.76,ELITE,2.046,NFL_PAT_MADE_V1
00-0032569,Wil Lutz,DEN,LAR,K,2026,REG,3,3,33.55,ELITE,2.046,NFL_PAT_MADE_V1
00-0032569,Wil Lutz,DEN,LAR,K,2026,REG,3,4,15.08,ELITE,2.046,NFL_PAT_MADE_V1
00-0032569,Wil Lutz,DEN,LAR,K,2026,REG,3,5,5.61,ELITE,2.046,NFL_PAT_MADE_V1
00-0032569,Wil Lutz,DEN,LAR,K,2026,REG,3,6,1.86,ELITE,2.046,NFL_PAT_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,IND,K,2026,REG,3,1,90.64,ELITE,2.365,NFL_PAT_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,IND,K,2026,REG,3,2,68.32,ELITE,2.365,NFL_PAT_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,IND,K,2026,REG,3,3,42.17,ELITE,2.365,NFL_PAT_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,IND,K,2026,REG,3,4,21.39,ELITE,2.365,NFL_PAT_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,IND,K,2026,REG,3,5,9.17,ELITE,2.365,NFL_PAT_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,IND,K,2026,REG,3,6,3.46,ELITE,2.365,NFL_PAT_MADE_V1
00-0033303,Harrison Butker,KC,MIA,K,2026,REG,3,1,95.88,ELITE,3.192,NFL_PAT_MADE_V1
00-0033303,Harrison Butker,KC,MIA,K,2026,REG,3,2,82.92,ELITE,3.192,NFL_PAT_MADE_V1
00-0033303,Harrison Butker,KC,MIA,K,2026,REG,3,3,62.08,ELITE,3.192,NFL_PAT_MADE_V1
00-0033303,Harrison Butker,KC,MIA,K,2026,REG,3,4,39.95,ELITE,3.192,NFL_PAT_MADE_V1
00-0033303,Harrison Butker,KC,MIA,K,2026,REG,3,5,22.08,ELITE,3.192,NFL_PAT_MADE_V1
00-0033303,Harrison Butker,KC,MIA,K,2026,REG,3,6,10.58,ELITE,3.192,NFL_PAT_MADE_V1
00-0033787,Jake Elliott,PHI,CHI,K,2026,REG,3,1,91.03,ELITE,2.419,NFL_PAT_MADE_V1
00-0033787,Jake Elliott,PHI,CHI,K,2026,REG,3,2,69.46,ELITE,2.419,NFL_PAT_MADE_V1
00-0033787,Jake Elliott,PHI,CHI,K,2026,REG,3,3,43.6,ELITE,2.419,NFL_PAT_MADE_V1
