player_id,player_name,team,opponent,position,depth_chart_position,status,season,season_type,week,target_slate,game_id,game_date,home_away,projected_fg_made,projected_fg_attempts,fg_make_rate,fg_make_rate_weather_adjusted,fg_weather_stadium,fg_weather_stadium_type,fg_weather_roof,fg_weather_temperature_f,fg_weather_humidity_pct,fg_weather_pressure_hpa,fg_weather_elevation_ft,fg_weather_wind_mph,fg_weather_gust_mph,fg_weather_wind_direction_deg,fg_weather_field_bearing_deg,fg_weather_crosswind_mph,fg_weather_headwind_mph,fg_weather_gust_crosswind_mph,fg_weather_gust_headwind_mph,fg_weather_precip_pct,fg_weather_precip_in,fg_weather_rating,fg_weather_multiplier,fg_weather_short_multiplier,fg_weather_mid_multiplier,fg_weather_long_multiplier,fg_weather_extreme_multiplier,fg_weather_risk,fg_weather_source,fg_weather_confidence_pct,fg_weather_uncertainty_score,fg_weather_condition,fg_weather_window,fg_1_19_make_pct_5y,fg_1_19_attempts_5y,fg_1_19_makes_5y,fg_20_29_make_pct_5y,fg_20_29_attempts_5y,fg_20_29_makes_5y,fg_30_39_make_pct_5y,fg_30_39_attempts_5y,fg_30_39_makes_5y,fg_40_49_make_pct_5y,fg_40_49_attempts_5y,fg_40_49_makes_5y,fg_50_59_make_pct_5y,fg_50_59_attempts_5y,fg_50_59_makes_5y,fg_60_plus_make_pct_5y,fg_60_plus_attempts_5y,fg_60_plus_makes_5y,fg_distance_identity_source,fg_1_19_source,fg_20_29_source,fg_30_39_source,fg_40_49_source,fg_50_59_source,fg_60_plus_source,recent_fg_made_pg,recent_fg_attempts_pg,kicker_role_stability,historical_kicking_games,preseason_usage_multiplier,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,data_source,simulations,model_version,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,prob_5_plus
00-0035358,Chase McLaughlin,TB,JAX,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_TB_JAX,,away,1.891,2.16,86.35,87.43,Raymond James Stadium,OUTDOOR,OUTDOOR,84.7,67.8,1014.5,3.0,5.8,10.2,222.0,,,,,,3.5,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,Open-Meteo,100.0,0.0,,Kickoff through +3h,,0,0,100.0,36,36,92.68,41,38,69.23,39,27,83.33,48,40,100.0,1,1,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.04,2.363,77.1,48,0.915,1.891,2.0,0.0,4.0,1.376,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,84.72,56.3,29.56,12.57,4.4
00-0035269,Matt Gay,LV,SF,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_SF_LV,,home,1.879,2.33,80.83,80.83,Reliant Stadium,INDOOR,INDOOR,86.0,69.8,1012.9,39.0,7.5,16.3,204.0,,,,,,1.2,0.0,100.0,1.0,1.0,1.0,1.0,1.0,INDOOR / CONTROLLED,Open-Meteo,100.0,0.0,,Kickoff through +3h,,0,0,100.0,38,38,96.15,52,50,89.74,39,35,59.09,44,26,0.0,2,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,1.94,2.547,75.9,40,0.915,1.879,2.0,0.0,4.0,1.367,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,84.62,56.1,29.08,12.29,4.28
00-0032569,Wil Lutz,DEN,MIN,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_MIN_DEN,,home,1.879,2.23,83.06,84.29,Empower Field at Mile High,OUTDOOR,OUTDOOR,81.9,27.2,843.2,5279.0,7.1,10.4,134.0,0.0,5.1,4.9,7.5,7.2,6.8,0.0,97.3,1.0149,1.0058,1.0102,1.0175,1.025,FAVORABLE,Open-Meteo,100.0,0.0,,Kickoff through +3h,,0,0,100.0,31,31,92.0,50,46,73.33,30,22,66.67,24,16,33.33,3,1,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.053,2.433,74.5,49,0.915,1.879,2.0,0.0,4.0,1.371,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,84.6,55.95,29.16,12.3,4.29
00-0031136,Chris Boswell,PIT,BUF,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_PIT_BUF,,away,1.879,2.15,86.35,87.43,Acrisure Stadium,OUTDOOR,OUTDOOR,72.8,68.2,988.8,764.0,2.5,4.8,62.0,335.0,2.5,0.1,4.8,0.3,0.0,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,Open-Meteo,100.0,0.0,,Kickoff through +3h,,0,0,100.0,37,37,89.74,39,35,80.39,51,41,87.5,48,42,33.33,3,1,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.007,2.35,80.3,46,0.915,1.879,2.0,0.0,4.0,1.372,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,84.54,56.09,29.08,12.28,4.32
00-0038152,Lucas Havrisik,GB,ARI,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_ARI_GB,,home,1.861,2.26,81.42,82.64,Empower Field at Mile High,OUTDOOR,OUTDOOR,81.9,27.2,843.2,5279.0,7.1,10.4,134.0,0.0,5.1,4.9,7.5,7.2,6.8,0.0,97.3,1.0149,1.0058,1.0102,1.0175,1.025,FAVORABLE,Open-Meteo,100.0,0.0,,Kickoff through +3h,,0,0,100.0,8,8,100.0,5,5,42.86,7,3,66.67,3,2,100.0,1,1,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,1.982,2.47,80.7,10,0.915,1.861,2.0,0.0,4.0,1.365,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,84.3,55.4,28.76,11.97,4.25
00-0033862,Zane Gonzalez,MIA,ATL,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_ATL_MIA,,home,1.838,2.16,83.82,84.87,Hard Rock Stadium,OUTDOOR,OUTDOOR,84.6,75.5,1015.4,7.0,4.9,8.7,163.0,,,,,,20.2,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,Open-Meteo,100.0,0.0,,Kickoff through +3h,,0,0,100.0,8,8,87.5,8,7,92.59,27,25,68.75,16,11,,0,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,1.983,2.363,76.2,17,0.915,1.838,2.0,0.0,4.0,1.361,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,83.89,54.64,28.02,11.69,4.1
00-0040074,Tyler Loop,BAL,WAS,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_WAS_BAL,,home,1.828,2.1,87.2,87.2,U.S. Bank Stadium,INDOOR,INDOOR,76.6,50.0,989.5,830.0,14.5,22.1,323.0,,,,,,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,INDOOR / CONTROLLED,Open-Meteo,100.0,0.0,,Kickoff through +3h,,0,0,100.0,10,10,100.0,11,11,88.89,9,8,25.0,4,1,,0,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,1.997,2.293,74.1,15,0.915,1.828,2.0,0.0,4.0,1.352,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,83.81,54.52,27.79,11.33,3.94
00-0040200,Andy Borregales,NE,CLE,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NE_CLE,,away,1.806,2.17,81.96,82.98,Gillette Stadium,OUTDOOR,OUTDOOR,64.9,92.2,1004.8,289.0,4.8,13.4,24.0,15.0,0.8,4.7,2.1,13.2,0.2,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,Open-Meteo,100.0,0.0,,Kickoff through +3h,100.0,2,2,100.0,8,8,90.91,11,10,58.33,12,7,100.0,4,4,0.0,1,0,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,1.893,2.37,70.2,16,0.915,1.806,2.0,0.0,4.0,1.345,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,83.49,53.67,27.23,11.16,3.75
00-0039404,Will Reichard,MIN,DEN,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_MIN_DEN,,away,1.802,2.04,88.51,88.51,U.S. Bank Stadium,INDOOR,INDOOR,76.6,50.0,989.5,830.0,14.5,22.1,323.0,,,,,,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,INDOOR / CONTROLLED,Open-Meteo,100.0,0.0,,Kickoff through +3h,,0,0,100.0,11,11,94.12,17,16,85.71,14,12,78.26,23,18,100.0,1,1,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.117,2.23,80.7,29,0.915,1.802,2.0,0.0,4.0,1.342,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,83.42,53.78,27.0,11.04,3.69
00-0039498,Harrison Mevis,LAR,LAC,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_LAR_LAC,,away,1.743,1.95,88.53,89.64,SoFi Stadium,OUTDOOR,OUTDOOR,85.4,59.0,1008.1,131.0,8.2,9.1,268.0,,,,,,0.0,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,Open-Meteo,100.0,0.0,,Kickoff through +3h,,0,0,100.0,3,3,100.0,4,4,90.0,10,9,100.0,2,2,,0,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,2.029,2.131,75.8,9,0.915,1.743,2.0,0.0,3.0,1.319,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,82.39,52.03,25.55,9.99,3.19
