player_id,player_name,team,opponent,position,depth_chart_position,rushing_depth_role,receiving_depth_role,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_receiving_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,prob_5_plus,prob_10_plus,prob_15_plus,prob_20_plus,prob_25_plus,prob_30_plus,prob_35_plus,prob_40_plus,prob_45_plus,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,prob_75_plus,prob_80_plus,prob_85_plus,prob_90_plus,prob_95_plus,prob_100_plus,prob_105_plus,prob_110_plus,prob_115_plus,prob_120_plus,prob_125_plus,prob_130_plus,prob_135_plus,prob_140_plus,prob_145_plus,prob_150_plus,projected_targets,target_share,projected_receptions,catch_rate,yards_per_target,yards_per_reception,team_target_budget,team_receiving_yard_budget,receiving_allocation_source,target_projection_mean,target_projection_median,target_projection_floor,target_projection_ceiling,target_model_std,target_model_source,target_prob_1_plus,target_prob_2_plus,target_prob_3_plus,target_prob_4_plus,target_prob_5_plus,target_prob_6_plus,target_prob_7_plus,target_prob_8_plus,target_prob_9_plus,target_prob_10_plus
00-0039410,Ryan Flournoy,DAL,WAS,WR,WR,,WR3,ACT,2.0,2026,REG,2,2026 REG W2,401872944,2026-09-20T20:25Z,home,40.056,40.651,40.035,8.171,71.91,23.712,21,52.6,31.8,34.067,22.0,6.2,1.0,1.143,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,92.13,88.66,84.33,79.08,72.94,65.83,57.99,50.05,42.12,34.41,27.53,21.25,15.81,11.45,7.99,5.43,3.52,2.24,1.37,0.8,0.45,0.24,0.14,0.07,0.04,0.02,0.01,0.0,0.0,0.0,5.316,15.92,3.773,70.97,8.242,10.618,30.72,230.61,PRIMARY_ROTATION_TEAM_CONSTRAINED,5.378,5.0,1.0,9.0,3.041,PLAYER_HISTORY_BLEND,93.69,88.79,81.44,71.91,60.25,47.68,35.4,24.38,15.66,9.19
00-0030506,Travis Kelce,KC,IND,TE,TE,,TE1,ACT,13.0,2026,REG,2,2026 REG W2,401872945,2026-09-21T00:20Z,home,39.568,40.128,39.575,8.159,70.976,23.374,49,39.0,44.8,52.533,71.0,6.0,1.0,1.132,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,92.05,88.64,84.12,78.76,72.42,65.33,57.52,49.3,41.27,33.51,26.51,20.24,14.97,10.74,7.41,4.96,3.16,1.94,1.15,0.66,0.38,0.21,0.1,0.06,0.03,0.01,0.01,0.01,0.0,0.0,5.949,20.45,4.276,71.88,8.208,9.254,26.77,173.25,PRIMARY_ROTATION_TEAM_CONSTRAINED,5.958,6.0,3.0,9.0,2.423,PLAYER_HISTORY_BLEND,98.78,96.77,92.3,84.4,72.64,57.41,40.87,26.24,14.6,7.15
00-0039855,Jalen McMillan,TB,CLE,WR,WR,,WR3,ACT,2.0,2026,REG,2,2026 REG W2,401872935,2026-09-20T17:00Z,home,39.473,40.065,39.534,8.025,70.897,23.342,17,50.4,51.9,39.067,44.5,4.2,1.0,0.958,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,92.03,88.57,84.11,78.66,72.29,65.15,57.39,49.27,41.27,33.57,26.41,20.27,14.98,10.7,7.3,4.76,3.03,1.91,1.14,0.66,0.36,0.2,0.1,0.05,0.02,0.01,0.01,0.01,0.0,0.0,4.576,14.86,3.093,67.61,8.746,12.761,28.33,205.66,PRIMARY_ROTATION_TEAM_CONSTRAINED,4.62,5.0,1.0,8.0,2.534,PLAYER_HISTORY_BLEND,94.11,88.24,78.78,65.99,51.26,36.02,23.17,13.11,6.66,2.96
00-0039139,Jahmyr Gibbs,DET,BUF,RB,RB,,RB1,ACT,3.0,2026,REG,2,2026 REG W2,401872932,2026-09-18T00:15Z,away,39.389,39.942,39.416,8.094,70.672,23.236,49,42.6,48.0,41.867,45.5,6.8,1.0,0.95,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,92.04,88.54,84.15,78.72,72.26,65.11,57.23,49.04,40.87,33.2,26.2,19.9,14.69,10.51,7.24,4.73,3.0,1.83,1.08,0.61,0.35,0.18,0.1,0.06,0.03,0.02,0.01,0.0,0.0,0.0,5.954,16.41,4.707,79.07,7.302,8.367,33.38,253.79,PRIMARY_ROTATION_TEAM_CONSTRAINED,5.987,6.0,2.0,10.0,3.065,PLAYER_HISTORY_BLEND,95.93,92.32,86.48,78.33,67.74,55.73,43.25,31.2,20.8,12.81
00-0038129,Cade Otton,TB,CLE,TE,TE,,TE1,ACT,4.0,2026,REG,2,2026 REG W2,401872935,2026-09-20T17:00Z,home,39.173,39.644,39.089,7.836,70.336,23.277,46,37.4,36.7,39.867,26.0,4.8,1.0,0.958,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,91.93,88.34,83.78,78.16,71.75,64.47,56.64,48.52,40.39,32.78,25.68,19.55,14.33,10.22,7.11,4.76,3.09,1.91,1.13,0.67,0.34,0.18,0.09,0.04,0.01,0.0,0.0,0.0,0.0,0.0,5.512,17.9,4.118,74.7,7.205,9.513,28.33,205.66,PRIMARY_ROTATION_TEAM_CONSTRAINED,5.529,6.0,2.0,9.0,2.591,PLAYER_HISTORY_BLEND,97.18,93.72,87.47,77.98,65.16,50.23,35.42,22.43,12.61,6.37
00-0036244,Colby Parkinson,LAR,NYG,TE,TE,,TE1,ACT,6.0,2026,REG,2,2026 REG W2,401872947,2026-09-22T00:15Z,home,39.171,39.311,39.146,14.45,63.833,18.925,44,38.2,34.6,27.6,6.0,5.4,1.0,0.933,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,96.18,93.47,89.5,83.98,76.93,68.28,58.55,48.22,38.18,28.66,20.51,13.93,8.99,5.5,3.17,1.72,0.87,0.43,0.2,0.1,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.217,14.81,3.738,71.64,8.284,10.48,32.41,249.24,PRIMARY_ROTATION_TEAM_CONSTRAINED,5.219,5.0,2.0,8.0,2.135,PLAYER_HISTORY_BLEND,98.65,95.94,89.86,78.9,63.29,44.74,27.37,14.08,6.03,2.17
00-0040128,Tyler Warren,IND,KC,TE,TE,,TE1,ACT,1.0,2026,REG,2,2026 REG W2,401872945,2026-09-21T00:20Z,away,39.112,39.548,39.257,10.384,67.817,21.563,18,26.2,33.8,42.467,13.0,6.6,1.0,0.934,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,93.7,90.31,86.11,80.49,73.78,65.99,57.44,48.65,39.63,31.45,24.03,17.7,12.42,8.42,5.47,3.38,2.0,1.11,0.58,0.29,0.16,0.08,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,6.389,20.56,4.326,67.71,6.635,9.042,28.59,192.29,PRIMARY_ROTATION_TEAM_CONSTRAINED,6.393,6.0,4.0,9.0,2.096,PLAYER_HISTORY_BLEND,99.75,99.03,96.91,91.75,81.9,66.79,48.03,29.71,15.5,6.72
00-0041547,KC Concepcion,CLE,TB,WR,WR,,WR2,ACT,0.0,2026,REG,2,2026 REG W2,401872935,2026-09-20T17:00Z,away,38.872,38.862,38.869,20.137,57.595,14.588,1,43.0,43.0,43.0,43.0,5.0,1.0,1.15,PLAYER_PRIOR_BLEND,100000,NFL_RECEIVING_YARDS_V1,98.94,97.57,94.89,90.16,82.83,72.61,60.35,46.85,33.67,22.16,13.4,7.5,3.81,1.66,0.68,0.24,0.07,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.318,19.3,4.254,80.0,8.6,9.137,25.36,165.19,PRIMARY_ROTATION_TEAM_CONSTRAINED,5.343,5.0,2.0,8.0,2.31,COUNT_PRIOR,98.18,95.11,88.92,78.59,64.2,47.17,30.8,17.54,8.47,3.54
00-0038618,Xavier Hutchinson,HOU,CIN,WR,WR,,WR2,ACT,3.0,2026,REG,2,2026 REG W2,401872934,2026-09-20T17:00Z,home,38.584,38.867,38.704,13.146,64.153,19.455,39,31.4,33.7,28.667,32.0,4.4,1.0,1.032,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,95.45,92.5,88.34,82.64,75.39,66.86,57.31,47.45,37.6,28.44,20.66,14.23,9.26,5.75,3.32,1.92,1.01,0.52,0.24,0.11,0.05,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.983,21.12,3.588,51.39,6.25,10.753,30.42,212.68,PRIMARY_ROTATION_TEAM_CONSTRAINED,6.98,7.0,4.0,10.0,2.353,PLAYER_HISTORY_BLEND,99.71,99.04,97.23,93.18,85.55,73.75,58.0,41.25,25.74,13.99
00-0032464,Kalif Raymond,CHI,MIN,WR,WR,,WR3,ACT,10.0,2026,REG,2,2026 REG W2,401872937,2026-09-20T17:00Z,home,37.738,38.386,37.877,8.066,67.724,22.295,38,44.6,33.9,25.6,84.0,4.0,1.0,1.001,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,92.17,88.41,83.57,77.68,70.82,63.08,54.95,46.45,38.19,30.15,23.12,17.18,12.21,8.35,5.6,3.56,2.22,1.28,0.73,0.43,0.22,0.11,0.06,0.03,0.02,0.01,0.0,0.0,0.0,0.0,4.261,12.63,3.568,83.72,9.791,10.578,31.03,231.69,PRIMARY_ROTATION_TEAM_CONSTRAINED,4.288,4.0,1.0,7.0,2.228,PLAYER_HISTORY_BLEND,95.14,88.95,78.12,63.03,45.86,29.41,16.14,7.6,3.1,1.08
