Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,EV50,Max Exit Velocity,Fast Swing Rate %,Squared-Up Rate %,Blast Rate %,Ideal Attack Angle %,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,L30 Barrel %,L30 Pull Air %,L30 EV50,L30 xSLG on Contact,Fast Swing Source,Squared-Up Source,Blast Source,Ideal Attack Angle Source,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,SP Statcast BBE,SP Barrel % Allowed,SP Hard Hit % Allowed,SP Fly Ball % Allowed,SP Pull Air % Allowed,SP Sweet Spot % Allowed,SP Avg EV Allowed,SP EV50 Allowed,SP Max EV Allowed,SP xSLG on Contact Allowed,SP Statcast HR Allowed,Pitch Type Matchup Score,Pitch Mix Coverage %,Weighted xSLG vs Pitch Mix,Weighted Barrel % vs Pitch Mix,Primary Pitch Matchup,Weather Condition,Temperature F,Wind,Wind MPH,Roof Closed,Park HR Factor,Park Multiplier,Weather Multiplier,Environment Score,Pitch Fit Multiplier,Pitcher Contact Multiplier,Hitter Power Component,Pitcher Vulnerability Component,Pitch Type Component,Recent Power Component,Environment Component,Lineup Component,HR Target Score,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
73,2026-08-03,824160,2026-08-04T00:10:00Z,Scheduled,Daikin Park,Toronto Blue Jays @ Houston Astros,Home,664774,LaMonte Wade Jr.,Houston Astros,Toronto Blue Jays,LF,L,No,,24,80,66,13,3,0,2,10,14,14,0,18,0.197,0.338,0.333,0.671,10,31,25,5,0,0.2,0.0,19,64,51,9,1,0.176,0.0156,8,8,0.0,25.0,100.0,0.0,0.0,12.5,37.5,100.0,12.5,0.0,0.0,0.0,,80.9,26.5,0.427,69.6,91.2,107.7,0.0,12.5,0.0,61.5,38.4,Below Average,2.5,Pull Power,A-,Elevated power plane,38.4,Below Average,0.968,Small Statcast sample,0.0,100.0,91.2,0.427,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.18,-1.82,Near expected,Below Average Pull Power profile. 0.0% barrel rate; 80.9 mph average exit velocity; 37.5% air-ball rate; 100.0% pull-air rate; 0.0% HR-launch rate.,0.025,0.0292,3.99,38,15,33.0,1.15,115.2,Near normal interval,669456,Shane Bieber,R,LHB vs RHP,7,7,31.1,5.74,1.63,7,2.01,6.32,5.17,7.0,0.0,0.0,0.0,100.0,42.9,71.5,82.6,93.5,0.208,0.0,50.0,0.0,,,Unavailable,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,0.925,38.4,20.0,50.0,36.3,50.0,45.0,36.3,0.773,1.065,1.025,0.965,0.968,0.934,1.0,11.15,8.23,62.8,24.1,F,Lineup unconfirmed
74,2026-08-03,822867,2026-08-04T00:05:00Z,Scheduled,Globe Life Field,San Francisco Giants @ Texas Rangers,Home,695508,Cam Cauley,Texas Rangers,San Francisco Giants,CF,R,No,,21,51,46,10,3,1,1,8,1,4,1,12,0.217,0.294,0.391,0.685,8,22,20,3,1,0.15,0.0455,17,38,34,8,1,0.235,0.0263,12,12,0.0,16.7,80.0,0.0,20.0,0.0,8.3,100.0,8.3,0.0,0.0,0.0,,75.8,15.0,0.349,63.6,85.1,100.2,14.3,0.0,0.0,52.4,30.1,Weak,2.0,Pull Power,A,Excellent HR swing plane,30.1,Weak,0.944,Small Statcast sample,0.0,100.0,85.1,0.349,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.26,-0.74,Near expected,Weak Pull Power profile. 0.0% barrel rate; 75.8 mph average exit velocity; 8.3% air-ball rate; 100.0% pull-air rate; 0.0% HR-launch rate.,0.0196,0.0283,3.99,13,6,46.0,0.28,28.3,Very recent HR,657277,Logan Webb,R,RHB vs RHP,19,19,119.0,3.93,1.12,9,0.68,7.03,2.27,31.0,3.2,25.8,3.2,50.0,32.3,82.6,95.3,109.8,0.389,0.0,50.0,0.0,,,Unavailable,Unknown,,Unknown,,No,104.0,1.04,1.0,57.2,1.0,0.957,30.1,31.4,50.0,30.0,57.2,45.0,36.3,1.121,0.933,0.985,1.0,0.944,0.944,0.98,10.82,10.29,58.7,25.2,F,Small season sample; Lineup unconfirmed
75,2026-08-03,825095,2026-08-04T01:40:00Z,Scheduled,Chase Field,San Diego Padres @ Arizona Diamondbacks,Home,571448,Nolan Arenado,Arizona Diamondbacks,San Diego Padres,3B,R,No,,106,410,362,88,20,0,15,51,51,38,7,86,0.243,0.324,0.423,0.747,12,47,38,9,2,0.237,0.0426,23,92,78,20,6,0.256,0.0652,27,27,3.7,22.2,50.0,21.4,28.6,7.4,11.1,66.7,37.0,3.7,3.7,3.7,100.0,81.6,16.7,0.474,67.5,92.7,104.7,10.5,7.4,5.3,50.0,28.7,Weak,2.0,Pull Power,A,Excellent HR swing plane,28.7,Weak,0.94,Good,3.7,66.7,92.7,0.474,Derived proxy,Derived proxy,Derived proxy,Derived proxy,1.09,-13.91,Strong negative regression,Weak Pull Power profile. 3.7% barrel rate; 81.6 mph average exit velocity; 11.1% air-ball rate; 66.7% pull-air rate; 3.7% HR-launch rate.,0.0366,0.0355,3.99,2,1,24.1,0.08,8.3,Very recent HR,650633,Michael King,R,RHB vs RHP,22,22,125.1,3.38,1.17,13,0.93,7.83,3.59,35.0,5.7,8.6,17.1,33.3,34.3,76.8,87.7,107.7,0.69,2.0,54.0,88.5,0.589,12.1,Changeup,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.008,0.982,28.7,28.6,54.0,43.2,50.0,45.0,36.1,1.194,0.973,0.985,1.0,0.94,0.94,0.98,13.45,14.0,84.4,35.7,D,Lineup unconfirmed
76,2026-08-03,824324,2026-08-04T00:40:00Z,Scheduled,Coors Field,Tampa Bay Rays @ Colorado Rockies,Home,664954,Brett Sullivan,Colorado Rockies,Tampa Bay Rays,C,L,No,,56,151,140,33,10,1,4,15,18,7,1,26,0.236,0.273,0.407,0.68,5,13,13,5,0,0.385,0.0,11,27,26,8,0,0.308,0.0,8,8,0.0,12.5,83.3,0.0,16.7,12.5,37.5,66.7,25.0,0.0,0.0,0.0,,85.6,20.2,0.369,67.0,93.4,105.0,0.0,12.5,0.0,44.4,38.4,Below Average,2.5,Pull Power,A-,Elevated power plane,38.4,Below Average,0.968,Small Statcast sample,0.0,66.7,93.4,0.369,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.13,-3.87,Negative regression,Below Average Pull Power profile. 0.0% barrel rate; 85.6 mph average exit velocity; 37.5% air-ball rate; 66.7% pull-air rate; 0.0% HR-launch rate.,0.0265,0.0289,3.93,44,20,35.0,1.26,125.7,Near normal interval,693855,Ian Seymour,L,LHB vs LHP,36,7,78.1,4.37,1.12,12,1.38,10.34,3.22,24.0,4.2,12.5,8.3,50.0,33.3,80.7,91.8,110.2,0.28,0.0,23.1,23.9,0.481,0.0,Sinker,Unknown,,Unknown,,No,118.0,1.18,1.0,82.4,0.946,0.967,38.4,25.0,23.1,40.8,82.4,45.0,36.0,0.78,1.045,0.985,1.0,0.968,0.968,1.0,10.9,9.2,64.9,26.6,F,Lineup unconfirmed
77,2026-08-03,824160,2026-08-04T00:10:00Z,Scheduled,Daikin Park,Toronto Blue Jays @ Houston Astros,Away,664770,Nathan Lukes,Toronto Blue Jays,Houston Astros,RF,L,No,,77,269,243,67,11,0,5,28,18,17,5,39,0.276,0.335,0.383,0.718,12,38,33,6,0,0.182,0.0,22,77,68,17,1,0.25,0.013,27,27,0.0,14.8,36.4,36.4,27.3,7.4,11.1,66.7,14.8,0.0,0.0,0.0,,80.5,27.7,0.323,66.1,91.6,99.7,6.2,0.0,0.0,31.2,15.9,Weak,1.5,Pull Power,A-,Elevated power plane,15.9,Weak,0.905,Good,0.0,66.7,91.6,0.323,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.4,-4.6,Strong negative regression,Weak Pull Power profile. 0.0% barrel rate; 80.5 mph average exit velocity; 11.1% air-ball rate; 66.7% pull-air rate; 0.0% HR-launch rate.,0.0186,0.0227,4.05,45,15,48.6,0.93,92.6,Near normal interval,664299,Cristian Javier,R,LHB vs RHP,8,4,21.1,7.17,1.83,3,1.27,8.86,6.33,,,,,,,,,,,,50.0,0.0,,,Unavailable,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,15.9,50.0,50.0,37.3,50.0,45.0,35.9,0.78,1.008,1.025,1.0,0.905,0.905,1.0,8.89,6.54,77.4,23.1,F,Lineup unconfirmed
78,2026-08-03,825095,2026-08-04T01:40:00Z,Scheduled,Chase Field,San Diego Padres @ Arizona Diamondbacks,Away,592518,Manny Machado,San Diego Padres,Arizona Diamondbacks,3B,R,No,,109,463,404,85,19,0,23,57,65,51,0,104,0.21,0.294,0.428,0.722,12,55,51,14,3,0.275,0.0545,23,102,89,26,6,0.292,0.0588,35,35,8.6,28.6,53.3,0.0,46.7,11.4,28.6,30.0,34.3,11.4,0.0,11.4,0.0,86.7,35.0,0.621,74.7,95.7,104.7,50.0,20.0,12.5,64.6,39.3,Below Average,2.5,Contact-First Profile,D,Popup-heavy plane,39.3,Below Average,0.97,Good,8.6,30.0,95.7,0.621,Derived proxy,Derived proxy,Derived proxy,Derived proxy,2.66,-20.34,Strong negative regression,Below Average Contact-First Profile profile. 8.6% barrel rate; 86.7 mph average exit velocity; 28.6% air-ball rate; 30.0% pull-air rate; 11.4% HR-launch rate.,0.0497,0.046,4.05,23,6,17.6,1.31,130.9,Near normal interval,694297,Brandon Pfaadt,R,RHB vs RHP,19,9,72.0,4.0,1.29,8,1.0,6.13,2.63,43.0,2.3,18.6,16.3,33.3,30.2,79.3,91.9,102.5,0.397,0.0,48.8,67.3,0.6,8.9,4-Seam Fastball,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,0.998,0.948,39.3,16.7,48.8,39.3,50.0,45.0,35.8,1.091,0.984,0.985,1.0,0.97,0.97,1.0,17.38,16.89,85.0,42.6,C-,Lineup unconfirmed
79,2026-08-03,824324,2026-08-04T00:40:00Z,Scheduled,Coors Field,Tampa Bay Rays @ Colorado Rockies,Away,663743,Nick Fortes,Tampa Bay Rays,Colorado Rockies,C,R,No,,83,259,241,67,14,0,4,28,28,7,8,31,0.278,0.319,0.386,0.705,8,25,24,11,1,0.458,0.04,17,52,49,17,2,0.347,0.0385,14,14,0.0,21.4,44.4,33.3,22.2,7.1,35.7,60.0,35.7,0.0,0.0,0.0,,79.6,14.6,0.483,71.3,95.8,104.0,12.5,7.1,0.0,12.5,32.1,Weak,2.5,Pull Power,A,Excellent HR swing plane,32.1,Weak,0.95,Small Statcast sample,0.0,60.0,95.8,0.483,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.18,-3.82,Negative regression,Weak Pull Power profile. 0.0% barrel rate; 79.6 mph average exit velocity; 35.7% air-ball rate; 60.0% pull-air rate; 0.0% HR-launch rate.,0.0154,0.0207,4.05,19,7,60.2,0.32,31.5,Very recent HR,547179,Michael Lorenzen,R,RHB vs RHP,23,22,104.2,6.54,1.81,16,1.38,6.88,3.44,36.0,5.6,22.2,11.1,44.4,22.2,84.6,95.9,107.4,0.495,0.0,11.2,12.2,0.362,0.0,4-Seam Fastball,Unknown,,Unknown,,No,118.0,1.18,1.0,82.4,0.922,0.981,32.1,38.0,11.2,45.5,82.4,45.0,35.5,1.35,1.045,0.985,1.0,0.95,0.95,0.98,8.12,11.07,74.7,29.0,F,Lineup unconfirmed
80,2026-08-03,822867,2026-08-04T00:05:00Z,Scheduled,Globe Life Field,San Francisco Giants @ Texas Rangers,Home,553869,Elias Díaz,Texas Rangers,San Francisco Giants,C,R,No,,49,128,122,30,8,0,5,13,18,2,1,29,0.246,0.262,0.434,0.696,9,28,25,5,1,0.2,0.0357,18,52,49,9,1,0.184,0.0192,10,10,0.0,20.0,20.0,40.0,40.0,20.0,20.0,50.0,30.0,20.0,10.0,20.0,,74.7,23.9,0.443,69.7,90.2,97.0,50.0,20.0,0.0,36.4,41.5,Below Average,2.5,Pull Power,A-,Elevated power plane,41.5,Below Average,0.976,Small Statcast sample,0.0,50.0,90.2,0.443,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.32,-4.68,Strong negative regression,Below Average Pull Power profile. 0.0% barrel rate; 74.7 mph average exit velocity; 20.0% air-ball rate; 50.0% pull-air rate; 20.0% HR-launch rate.,0.0391,0.0356,3.93,2,1,24.4,0.08,8.2,Very recent HR,657277,Logan Webb,R,RHB vs RHP,19,19,119.0,3.93,1.12,9,0.68,7.03,2.27,31.0,3.2,25.8,3.2,50.0,32.3,82.6,95.3,109.8,0.389,0.0,17.7,14.6,0.427,0.0,4-Seam Fastball,Unknown,,Unknown,,No,104.0,1.04,1.0,57.2,0.935,0.957,41.5,31.4,17.7,32.6,57.2,45.0,35.3,0.918,0.933,0.985,1.0,0.976,0.976,0.98,13.29,10.12,65.3,26.0,F,Lineup unconfirmed
81,2026-08-03,824324,2026-08-04T00:40:00Z,Scheduled,Coors Field,Tampa Bay Rays @ Colorado Rockies,Home,666160,Mickey Moniak,Colorado Rockies,Tampa Bay Rays,LF,L,No,,74,278,256,70,13,3,17,38,47,15,3,69,0.273,0.317,0.547,0.864,9,39,35,9,2,0.257,0.0513,19,74,68,17,2,0.25,0.027,27,27,3.7,22.2,50.0,25.0,25.0,22.2,29.6,62.5,40.7,3.7,3.7,3.7,100.0,81.7,17.4,0.533,74.8,94.0,107.3,56.4,11.1,10.3,51.3,37.7,Below Average,2.5,Pull Power,A,Excellent HR swing plane,37.7,Below Average,0.966,Good,3.7,62.5,94.0,0.533,Derived proxy,Derived proxy,Derived proxy,Derived proxy,1.07,-15.93,Strong negative regression,Below Average Pull Power profile. 3.7% barrel rate; 81.7 mph average exit velocity; 29.6% air-ball rate; 62.5% pull-air rate; 3.7% HR-launch rate.,0.0612,0.0524,4.09,16,4,15.1,1.06,106.2,Near normal interval,693855,Ian Seymour,L,LHB vs LHP,36,7,78.1,4.37,1.12,12,1.38,10.34,3.22,24.0,4.2,12.5,8.3,50.0,33.3,80.7,91.8,110.2,0.28,0.0,18.2,54.9,0.432,0.0,Sinker,Unknown,,Unknown,,No,118.0,1.18,1.0,82.4,0.936,0.967,37.7,25.0,18.2,45.9,82.4,45.0,35.3,0.908,1.045,0.985,1.03,0.966,0.995,1.0,19.75,19.62,77.8,46.9,C-,Lineup unconfirmed
82,2026-08-03,824647,2026-08-04T00:05:00Z,Scheduled,Wrigley Field,Los Angeles Dodgers @ Chicago Cubs,Away,681624,Andy Pages,Los Angeles Dodgers,Chicago Cubs,CF,R,No,,111,479,429,116,23,2,18,64,74,39,6,97,0.27,0.336,0.459,0.795,11,50,46,14,1,0.304,0.02,22,94,83,23,2,0.277,0.0213,43,43,0.0,20.9,35.0,25.0,40.0,7.0,23.3,40.0,37.2,9.3,7.0,9.3,,83.1,15.9,0.573,71.3,93.5,101.4,24.6,11.6,8.2,32.8,29.2,Weak,2.0,Contact-First Profile,A,Excellent HR swing plane,29.2,Weak,0.942,Good,0.0,40.0,93.5,0.573,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.83,-17.17,Strong negative regression,Weak Contact-First Profile profile. 0.0% barrel rate; 83.1 mph average exit velocity; 23.3% air-ball rate; 40.0% pull-air rate; 9.3% HR-launch rate.,0.0376,0.0365,4.05,17,4,23.8,0.71,71.3,Recently homered,571510,Matthew Boyd,L,RHB vs LHP,12,12,66.0,3.41,1.2,6,0.82,8.18,2.59,38.0,7.9,15.8,10.5,62.5,28.9,76.1,88.2,111.3,0.413,0.0,37.2,55.1,0.622,0.0,4-Seam Fastball,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,0.974,1.004,29.2,39.1,37.2,29.7,50.0,45.0,35.3,0.826,0.958,1.025,1.0,0.942,0.942,1.0,13.97,10.58,84.5,30.9,D,Lineup unconfirmed
83,2026-08-03,823431,2026-08-03T22:40:00Z,Pre-Game,Citizens Bank Park,Washington Nationals @ Philadelphia Phillies,Away,683083,Nasim Nuñez,Washington Nationals,Philadelphia Phillies,2B,S,No,,104,364,317,76,4,3,1,46,31,38,1,76,0.24,0.321,0.281,0.602,11,42,37,7,0,0.189,0.0,20,73,66,17,0,0.258,0.0,24,24,0.0,20.8,46.7,33.3,20.0,8.3,20.8,60.0,20.8,4.2,4.2,4.2,,80.1,10.0,0.301,67.2,90.6,100.4,0.0,4.2,0.0,53.1,18.8,Weak,2.0,Pull Power,A,Excellent HR swing plane,18.8,Weak,0.913,Good,0.0,60.0,90.6,0.301,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.42,-0.58,Near expected,Weak Pull Power profile. 0.0% barrel rate; 80.1 mph average exit velocity; 20.8% air-ball rate; 60.0% pull-air rate; 4.2% HR-launch rate.,0.0027,0.01,3.93,72,22,317.0,0.23,22.7,Very recent HR,605400,Aaron Nola,R,Switch vs RHP,22,22,114.0,5.61,1.45,26,2.05,9.16,3.08,27.0,11.1,37.0,7.4,57.1,33.3,85.3,98.3,112.2,0.535,1.0,5.2,35.6,0.302,0.0,4-Seam Fastball,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,0.92,1.036,18.8,67.4,5.2,35.3,64.4,45.0,35.1,0.758,1.152,1.035,0.94,0.913,0.858,0.98,3.87,3.04,82.8,16.5,F,Lineup unconfirmed
84,2026-08-03,823431,2026-08-03T22:40:00Z,Pre-Game,Citizens Bank Park,Washington Nationals @ Philadelphia Phillies,Home,669016,Brandon Marsh,Philadelphia Phillies,Washington Nationals,LF,L,No,,107,420,393,110,15,2,16,57,49,22,2,111,0.28,0.319,0.45,0.769,11,40,38,6,0,0.158,0.0,23,87,80,13,1,0.162,0.0115,32,32,0.0,12.5,56.2,0.0,43.8,12.5,25.0,37.5,25.0,0.0,0.0,0.0,,81.2,14.5,0.338,71.0,89.6,105.0,16.7,6.2,2.8,41.7,14.2,Weak,1.5,Contact-First Profile,A,Excellent HR swing plane,14.2,Weak,0.9,Good,0.0,37.5,89.6,0.338,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.26,-15.74,Strong negative regression,Weak Contact-First Profile profile. 0.0% barrel rate; 81.2 mph average exit velocity; 25.0% air-ball rate; 37.5% pull-air rate; 0.0% HR-launch rate.,0.0381,0.0367,3.99,38,11,24.6,1.55,154.7,Above normal drought,674841,Andrew Alvarez,L,LHB vs LHP,15,7,57.2,4.06,1.51,2,0.31,9.05,4.37,,,,,,,,,,,,50.0,0.0,,,Unavailable,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.0,1.0,14.2,50.0,50.0,19.7,64.4,45.0,35.0,0.758,0.897,0.985,1.0,0.9,0.9,1.035,13.87,9.51,84.0,32.4,D,Lineup unconfirmed
85,2026-08-03,823431,2026-08-03T22:40:00Z,Pre-Game,Citizens Bank Park,Washington Nationals @ Philadelphia Phillies,Away,678391,Jorbit Vivas,Washington Nationals,Philadelphia Phillies,3B,L,No,,82,237,203,49,8,1,3,23,18,23,4,34,0.241,0.325,0.335,0.66,9,23,19,5,0,0.263,0.0,16,49,40,8,0,0.2,0.0,19,19,0.0,5.3,55.6,22.2,22.2,10.5,26.3,60.0,26.3,5.3,5.3,5.3,,78.0,19.9,0.393,66.9,87.6,97.9,4.2,5.3,0.0,75.0,21.9,Weak,2.0,Pull Power,A,Excellent HR swing plane,21.9,Weak,0.921,Small Statcast sample,0.0,60.0,87.6,0.393,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.36,-2.64,Negative regression,Weak Pull Power profile. 0.0% barrel rate; 78.0 mph average exit velocity; 26.3% air-ball rate; 60.0% pull-air rate; 5.3% HR-launch rate.,0.0127,0.0192,4.05,62,23,67.7,0.92,91.6,Near normal interval,605400,Aaron Nola,R,LHB vs RHP,22,22,114.0,5.61,1.45,26,2.05,9.16,3.08,27.0,11.1,37.0,7.4,57.1,33.3,85.3,98.3,112.2,0.535,1.0,0.0,21.1,0.24,0.0,4-Seam Fastball,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,0.92,1.036,21.9,67.4,0.0,30.0,64.4,45.0,35.0,0.758,1.152,1.025,0.965,0.921,0.889,1.0,7.54,6.21,72.8,21.0,F,Lineup unconfirmed
86,2026-08-03,822867,2026-08-04T00:05:00Z,Scheduled,Globe Life Field,San Francisco Giants @ Texas Rangers,Home,592626,Joc Pederson,Texas Rangers,San Francisco Giants,DH,L,No,,101,338,293,74,11,2,20,46,42,38,3,77,0.253,0.341,0.509,0.85,10,33,31,10,3,0.323,0.0909,20,66,60,18,6,0.3,0.0909,18,18,5.6,38.9,50.0,25.0,25.0,11.1,11.1,50.0,27.8,11.1,5.6,11.1,100.0,85.6,18.8,0.479,70.8,99.1,107.6,19.4,16.7,5.6,52.8,43.0,Below Average,2.5,Pull Power,A,Excellent HR swing plane,43.0,Below Average,0.98,Small Statcast sample,5.6,50.0,99.1,0.479,Derived proxy,Derived proxy,Derived proxy,Derived proxy,1.08,-18.92,Strong negative regression,Below Average Pull Power profile. 5.6% barrel rate; 85.6 mph average exit velocity; 11.1% air-ball rate; 50.0% pull-air rate; 11.1% HR-launch rate.,0.0592,0.0521,4.09,6,2,14.6,0.41,41.0,Recently homered,657277,Logan Webb,R,LHB vs RHP,19,19,119.0,3.93,1.12,9,0.68,7.03,2.27,31.0,3.2,25.8,3.2,50.0,32.3,82.6,95.3,109.8,0.389,0.0,0.0,62.5,0.119,0.0,Sinker,Unknown,,Unknown,,No,104.0,1.04,1.0,57.2,0.92,0.957,43.0,31.4,0.0,58.3,57.2,45.0,35.0,1.299,0.933,1.025,1.0,0.98,0.98,1.0,19.64,21.69,81.4,49.1,C,Lineup unconfirmed
87,2026-08-03,823431,2026-08-03T22:40:00Z,Pre-Game,Citizens Bank Park,Washington Nationals @ Philadelphia Phillies,Away,660688,Keibert Ruiz,Washington Nationals,Philadelphia Phillies,C,S,No,,73,249,234,61,20,0,7,34,36,10,2,29,0.261,0.293,0.436,0.729,9,33,30,4,0,0.133,0.0,16,55,51,10,1,0.196,0.0182,19,19,0.0,15.8,54.5,27.3,18.2,10.5,21.1,75.0,15.8,0.0,0.0,0.0,,78.5,23.6,0.232,67.9,91.9,104.6,4.2,5.3,0.0,50.0,20.1,Weak,2.0,Pull Power,A-,Elevated power plane,20.1,Weak,0.916,Small Statcast sample,0.0,75.0,91.9,0.232,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.31,-6.69,Strong negative regression,Weak Pull Power profile. 0.0% barrel rate; 78.5 mph average exit velocity; 21.1% air-ball rate; 75.0% pull-air rate; 0.0% HR-launch rate.,0.0281,0.0294,4.05,37,12,33.4,1.11,110.7,Near normal interval,605400,Aaron Nola,R,Switch vs RHP,22,22,114.0,5.61,1.45,26,2.05,9.16,3.08,27.0,11.1,37.0,7.4,57.1,33.3,85.3,98.3,112.2,0.535,1.0,0.0,35.6,0.228,0.0,4-Seam Fastball,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,0.92,1.036,20.1,67.4,0.0,37.8,64.4,45.0,34.9,0.788,1.152,1.035,1.0,0.916,0.916,1.0,11.38,10.14,74.2,29.4,F,Lineup unconfirmed
88,2026-08-03,823431,2026-08-03T22:40:00Z,Pre-Game,Citizens Bank Park,Washington Nationals @ Philadelphia Phillies,Home,702222,Justin Crawford,Philadelphia Phillies,Washington Nationals,CF,L,No,,102,327,303,79,13,3,2,32,27,18,3,63,0.261,0.308,0.343,0.651,10,29,27,8,0,0.296,0.0,19,55,50,15,0,0.3,0.0,21,21,0.0,33.3,18.8,56.2,18.8,9.5,23.8,20.0,28.6,9.5,4.8,9.5,,84.2,1.7,0.431,66.3,93.9,106.0,3.3,14.3,3.3,33.3,15.3,Weak,1.5,Contact-First Profile,D,Ground-ball heavy,15.3,Weak,0.903,Good,0.0,20.0,93.9,0.431,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.32,-1.68,Near expected,Weak Contact-First Profile profile. 0.0% barrel rate; 84.2 mph average exit velocity; 23.8% air-ball rate; 20.0% pull-air rate; 9.5% HR-launch rate.,0.0061,0.0131,3.99,182,64,151.5,1.2,120.1,Near normal interval,674841,Andrew Alvarez,L,LHB vs LHP,15,7,57.2,4.06,1.51,2,0.31,9.05,4.37,,,,,,,,,,,,50.0,0.0,,,Unavailable,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.0,1.0,15.3,50.0,50.0,11.8,64.4,45.0,34.8,0.758,0.897,0.985,0.965,0.903,0.871,1.0,5.11,3.24,79.8,18.4,F,Lineup unconfirmed
89,2026-08-03,822867,2026-08-04T00:05:00Z,Scheduled,Globe Life Field,San Francisco Giants @ Texas Rangers,Home,694497,Evan Carter,Texas Rangers,San Francisco Giants,CF,L,No,,93,313,261,54,9,2,8,38,30,41,4,72,0.207,0.322,0.349,0.671,11,35,27,9,0,0.333,0.0,22,69,56,15,1,0.268,0.0145,17,17,5.9,17.6,50.0,41.7,8.3,11.8,23.5,50.0,29.4,5.9,5.9,5.9,0.0,77.0,8.8,0.532,64.7,93.2,102.9,19.2,5.9,0.0,30.8,31.6,Weak,2.5,Pull Power,C,Low line-drive plane,31.6,Weak,0.948,Small Statcast sample,5.9,50.0,93.2,0.532,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.87,-7.13,Strong negative regression,Weak Pull Power profile. 5.9% barrel rate; 77.0 mph average exit velocity; 23.5% air-ball rate; 50.0% pull-air rate; 5.9% HR-launch rate.,0.0256,0.0273,3.99,33,13,32.6,1.01,101.1,Near normal interval,657277,Logan Webb,R,LHB vs RHP,19,19,119.0,3.93,1.12,9,0.68,7.03,2.27,31.0,3.2,25.8,3.2,50.0,32.3,82.6,95.3,109.8,0.389,0.0,29.3,62.5,0.427,7.8,Sinker,Unknown,,Unknown,,No,104.0,1.04,1.0,57.2,0.959,0.957,31.6,31.4,29.3,47.1,57.2,45.0,34.7,0.772,0.933,1.025,0.965,0.948,0.915,1.0,10.47,6.85,79.9,23.7,F,Lineup unconfirmed
