rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,opponent,home_away,game_date,roster_status,years_exp,jersey_number,projection_source,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,projected_ypa,projected_passing_yards,model_std,last_5_avg,last_10_avg,last_15_avg,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,ladder_yards,probability_pct,grade
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,118.7,63.9,,,,37.1,75.7,118.6,161.5,200.7,82.4,78.9,70.1,58.7,39.7,27.6,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,100,61.6,SOLID
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,118.7,63.9,,,,37.1,75.7,118.6,161.5,200.7,82.4,78.9,70.1,58.7,39.7,27.6,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,110,55.4,LEAN
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,118.7,63.9,,,,37.1,75.7,118.6,161.5,200.7,82.4,78.9,70.1,58.7,39.7,27.6,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,120,49.1,COIN FLIP
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,118.7,63.9,,,,37.1,75.7,118.6,161.5,200.7,82.4,78.9,70.1,58.7,39.7,27.6,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,130,42.8,COIN FLIP
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,118.7,63.9,,,,37.1,75.7,118.6,161.5,200.7,82.4,78.9,70.1,58.7,39.7,27.6,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,140,36.7,LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,118.7,63.9,,,,37.1,75.7,118.6,161.5,200.7,82.4,78.9,70.1,58.7,39.7,27.6,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,150,31.0,LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,118.7,63.9,,,,37.1,75.7,118.6,161.5,200.7,82.4,78.9,70.1,58.7,39.7,27.6,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,160,25.7,LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,118.7,63.9,,,,37.1,75.7,118.6,161.5,200.7,82.4,78.9,70.1,58.7,39.7,27.6,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,170,21.0,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,118.7,63.9,,,,37.1,75.7,118.6,161.5,200.7,82.4,78.9,70.1,58.7,39.7,27.6,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,180,16.8,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,118.7,63.9,,,,37.1,75.7,118.6,161.5,200.7,82.4,78.9,70.1,58.7,39.7,27.6,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,190,13.2,VERY LOW
