Date,Away,Home,Game,First Pitch PT,First Pitch Local,Stadium,Projected Roof Status,Roof Status Basis,Weather Conditions,First Pitch Temperature F,First Pitch Relative Humidity %,First Pitch Wind,First Pitch Wind Speed MPH,First Pitch Wind Direction,First Pitch Wind Toward LF MPH,First Pitch Wind Toward CF MPH,First Pitch Wind Toward RF MPH,First Pitch Crosswind MPH,Official MLB Wind Text,Wind Data Source,First Pitch Precipitation %,Ball Flight AI Score,Ball Flight Grade,Ball Flight AI Summary,Estimated HR Distance Change,Estimated Fly Ball Distance Change,Expected HR Boost (%),Weather Confidence (%),HR Weather Rating,Game Effective Wind Vector MPH,Estimated FT Change by Wind2,Game Probability Wind Blowing Out %,Game Probability Wind Blowing In %,Game Wind Direction Spread Degrees,Game Wind Toward CF Spread MPH,Game Avg Air Density kg/m3,Game Avg Density Altitude Ft,Game Avg Pressure hPa,Game Avg Dew Point F,Game Avg Temp F,Game Avg RH %,Forecast Trend,Carry Score Change Since Last Run,Park Learned Calibration Points,Park Calibration Settled Games,Max Delay Risk,Max Delay Risk Score,Forecast Uncertainty,Forecast Uncertainty Score,Forecast Run PT,Forecast Age Minutes,Models Available
2026-08-01,St. Louis Cardinals,Toronto Blue Jays,St. Louis Cardinals @ Toronto Blue Jays,12:07 PM,03:07 PM EDT,Rogers Centre,OPEN,PROJECTED: FAVORABLE,Partly cloudy,82.3,53.7,⚪ Light Variable,3.6,SE,2.8,2.4,0.9,-2.1,,FORECAST MODEL,1.5,57.5,B,Density 73 | Wind 53 | Temp 60 | Altitude 64 | Confidence 92%,5,3,2.3,91.9,🟨 Neutral,1.1,1,60.6,0.0,25.1,0.5,1.1498,1941.0,1000.1,63.1,81.6,54.5,IMPROVING,2.0,0.0,8,LOW,2.9,LOW,1.3,2026-07-31 10:59:29 PM PDT,0.0,4
2026-08-01,Minnesota Twins,Seattle Mariners,Minnesota Twins @ Seattle Mariners,01:10 PM,01:10 PM PDT,T-Mobile Park,OPEN,PROJECTED: DRY,Code 13,67.1,67.2,🟢 7.8 mph Out to CF,10.2,SW,6.7,7.8,5.3,-1.8,,FORECAST MODEL,28.8,59.1,B,Density 58 | Wind 69 | Temp 46 | Altitude 54 | Confidence 89%,6,4,2.7,89.1,🟨 Neutral,7.4,5,100.0,0.0,13.7,0.8,1.1987,572.0,1014.3,53.3,68.2,60.2,IMPROVING RAPIDLY,9.2,0.0,7,LOW,18.3,LOW,11.0,2026-07-31 10:59:30 PM PDT,692.9,5
2026-08-01,Chicago White Sox,Tampa Bay Rays,Chicago White Sox @ Tampa Bay Rays,01:10 PM,04:10 PM EDT,Tropicana Field,INDOOR,FIXED ROOF,Overcast,85.8,71.1,⚪ Calm,0.0,WSW,0.0,0.0,0.0,0.0,,FORECAST MODEL,36.0,50.0,C,Density 61 | Wind 50 | Temp 64 | Altitude 56 | Confidence 89%,0,0,-0.0,88.6,🟧 Below Average,0.0,0,0.0,0.0,5.6,0.0,1.1896,858.0,1012.5,75.3,84.9,73.7,IMPROVING,3.0,-0.05,10,NONE (ROOF),0.0,LOW,17.7,2026-07-31 10:59:32 PM PDT,22.7,5
2026-08-01,Miami Marlins,New York Mets,Miami Marlins @ New York Mets,01:10 PM,04:10 PM EDT,Citi Field,OPEN,OPEN-AIR PARK,Partly cloudy,85.5,50.6,🟢 9.8 mph Out to CF,11.2,S,9.5,9.8,5.5,-4.0,,FORECAST MODEL,1.0,65.3,B+,Density 70 | Wind 72 | Temp 62 | Altitude 62 | Confidence 81%,10,7,4.6,80.7,🟢 Good,8.6,7,100.0,0.0,5.5,1.2,1.1577,1694.0,1011.6,65.7,83.8,55.8,IMPROVING RAPIDLY,7.8,-0.21,10,LOW,3.6,MEDIUM,25.7,2026-07-31 10:59:33 PM PDT,220.4,5
2026-08-01,Pittsburgh Pirates,Cincinnati Reds,Pittsburgh Pirates @ Cincinnati Reds,03:40 PM,06:40 PM EDT,Great American Ball Park,OPEN,OPEN-AIR PARK,Code 36,78.1,88.5,🔴 7.9 mph In from RF,8.5,SSE,-3.0,-7.0,-7.9,-4.4,,FORECAST MODEL,68.2,52.0,B,Density 77 | Wind 33 | Temp 55 | Altitude 66 | Confidence 86%,1,1,0.6,86.0,🟨 Neutral,-5.6,-5,0.0,100.0,11.3,0.8,1.1347,2275.0,981.1,72.5,76.9,90.6,WORSENING RAPIDLY,-9.0,0.0,8,ELEVATED,63.3,LOW,14.6,2026-07-31 10:59:34 PM PDT,16.1,5
2026-08-01,Philadelphia Phillies,Baltimore Orioles,Philadelphia Phillies @ Baltimore Orioles,04:05 PM,07:05 PM EDT,Oriole Park at Camden Yards,OPEN,OPEN-AIR PARK,Overcast,84.8,50.8,🟡 6.9 mph Cross (RF → LF),9.6,SSE,7.8,5.9,1.1,-6.9,,FORECAST MODEL,0.4,61.8,B+,Density 70 | Wind 62 | Temp 61 | Altitude 62 | Confidence 90%,7,5,3.5,90.0,🟢 Good,4.9,3,100.0,0.0,5.7,1.6,1.1581,1684.0,1009.5,65.4,82.7,57.0,IMPROVING RAPIDLY,6.6,0.0,7,LOW,4.1,LOW,9.7,2026-07-31 10:59:35 PM PDT,186.4,5
2026-08-01,Texas Rangers,Houston Astros,Texas Rangers @ Houston Astros,04:10 PM,06:10 PM CDT,Daikin Park,CLOSED,PROJECTED: TEMPERATURE,Partly cloudy,96.6,45.4,⚪ Calm,0.0,W,-0.0,-0.0,0.0,0.0,,FORECAST MODEL,13.6,50.0,B,Density 61 | Wind 50 | Temp 74 | Altitude 56 | Confidence 84%,0,0,0.0,84.2,🟨 Neutral,0.0,0,7.5,30.0,24.7,0.8,1.1896,858.0,1007.2,72.5,94.5,50.0,IMPROVING,3.1,0.0,7,NONE (ROOF),0.0,MEDIUM,28.0,2026-07-31 10:59:36 PM PDT,18.5,5
2026-08-01,Arizona Diamondbacks,Cleveland Guardians,Arizona Diamondbacks @ Cleveland Guardians,04:15 PM,07:15 PM EDT,Progressive Field,OPEN,OPEN-AIR PARK,Code 29,80.4,58.1,🟡 5.4 mph Cross (RF → LF),5.9,ESE,4.0,1.8,-1.4,-5.4,,FORECAST MODEL,21.2,57.8,B,Density 74 | Wind 50 | Temp 57 | Altitude 65 | Confidence 87%,5,4,2.3,86.6,🟨 Neutral,0.1,0,23.1,33.7,41.4,1.5,1.1449,2064.0,990.6,64.7,78.6,63.9,STEADY,-0.6,0.0,8,MODERATE,27.6,MEDIUM,19.0,2026-07-31 10:59:37 PM PDT,597.8,5
2026-08-01,Washington Nationals,Atlanta Braves,Washington Nationals @ Atlanta Braves,04:15 PM,07:15 PM EDT,Truist Park,OPEN,OPEN-AIR PARK,Code 32,79.6,85.7,🔴 5.8 mph In from RF,6.6,S,-2.7,-5.4,-5.8,-2.9,,FORECAST MODEL,41.0,53.4,B,Density 80 | Wind 35 | Temp 57 | Altitude 69 | Confidence 81%,2,2,1.0,80.9,🟨 Neutral,-5.0,-5,0.0,100.0,19.8,1.3,1.1238,2584.0,974.9,74.1,78.3,88.3,WORSENING RAPIDLY,-8.0,0.0,9,ELEVATED,57.1,MEDIUM,23.2,2026-07-31 10:59:38 PM PDT,72.5,5
2026-08-01,New York Yankees,Chicago Cubs,New York Yankees @ Chicago Cubs,04:15 PM,06:15 PM CDT,Wrigley Field,OPEN,OPEN-AIR PARK,Partly cloudy,70.3,90.1,🔴 25.3 mph In from CF,26.8,NNE,-18.0,-25.3,-16.3,2.1,,FORECAST MODEL,57.8,34.4,D,Density 65 | Wind 0 | Temp 48 | Altitude 58 | Confidence 78%,-10,-7,-4.7,77.9,🔴 Poor,-22.1,-30,0.0,100.0,4.4,8.1,1.1762,1110.0,1002.2,66.6,70.1,89.7,WORSENING RAPIDLY,-10.3,0.0,7,ELEVATED,47.0,LOW,16.7,2026-07-31 10:59:40 PM PDT,258.2,5
