Date,Away,Home,Game,First Pitch PT,First Pitch Local,Stadium,Field Elevation Ft,Projected Roof Status,Roof Status Basis,Weather Conditions,Weather Code WMO,Weather Condition Source,Data Quality,Data Quality Issues,Data Quality Issue Count,First Pitch Temperature F,First Pitch Relative Humidity %,First Pitch Wind,First Pitch Wind Speed MPH,First Pitch Wind Direction,First Pitch Wind Toward LF MPH,First Pitch Wind Toward CF MPH,First Pitch Wind Toward RF MPH,First Pitch Crosswind MPH,Official MLB Wind Text,Wind Data Source,First Pitch Precipitation %,Ball Flight AI Score,Ball Flight Grade,Ball Flight AI Summary,Estimated HR Distance Change,Estimated Fly Ball Distance Change,Expected HR Boost (%),Weather Confidence (%),HR Weather Rating,Game Effective Wind Vector MPH,Estimated FT Change by Wind2,Game Probability Wind Blowing Out %,Game Probability Wind Blowing In %,Game P Effective Outward 5+ %,Game P Effective Outward 10+ %,Game P Effective Inward 5+ %,Game Wind Direction Confidence %,Game Wind Impact Confidence %,Game HR Trajectory Carry Ft,Wind Regime,Probability Direction Flips During Game %,Inning Wind Regimes,Game Wind Direction Spread Degrees,Game Wind Toward CF Spread MPH,Game Avg Air Density kg/m3,Game Avg Density Altitude Ft,Game Avg Pressure hPa,Game Avg Dew Point F,Game Avg Temp F,Game Avg RH %,Game Wind Profile Source,Game Avg Wind Profile Alpha,Game Avg Wind Field 10ft MPH,Game Avg Wind 50ft MPH,Game Avg Wind 100ft MPH,Game Avg Wind 200ft MPH,Game Avg Wind 300ft MPH,Game Avg Effective Wind Field 10ft MPH,Game Avg Effective Wind 50ft MPH,Game Avg Effective Wind 100ft MPH,Game Avg Effective Wind 200ft MPH,Game Avg Effective Wind 300ft MPH,Game Flight Weighted Wind MPH,Game Flight Weighted Effective Wind MPH,Forecast Trend,Carry Score Change Since Last Run,Temp Change Since Last Run F,Wind Toward CF Change Since Last Run MPH,Precip Change Since Last Run Pct,Wind Out Probability Change Since Last Run Pct,Previous Forecast Run UTC,Forecast Trend Carry Change,Forecast Trend CF Wind Change MPH,Forecast Trend Temperature Change F,Forecast Trend Precip Probability Change %,Previous CF Wind MPH,Previous Temperature F,Previous Precip Probability %,Current CF Wind MPH,Current Temperature F,Current Precip Probability %,Park Learned Calibration Points,Park Calibration Settled Games,Max Delay Risk,Max Delay Risk Score,Forecast Uncertainty,Forecast Uncertainty Score,Forecast Run PT,Forecast Age Minutes,Models Available
2026-09-23,Washington Nationals,Detroit Tigers,Washington Nationals @ Detroit Tigers,10:10 AM,01:10 PM EDT,Comerica Park,600,OPEN,OPEN-AIR PARK,Overcast,3,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,63.4,72.5,🟡 15.1 mph Cross (LF → RF),13.7,E,-12.8,-6.0,3.4,15.1,,FORECAST MODEL,12.0,49.8,C,Density 58 | Wind 44 | Temp 42 | Altitude 55 | Confidence 90%,0,0,-0.1,90.4,🟧 Below Average,-2.1,-2,0.0,100.0,0.0,0.0,2.6,97.4,98.0,-3.8,STABLE,16.2,1st-3rd: CROSS LF → RF -2.1 mph | 4th-5th: CROSS LF → RF -2.2 mph | 6th-7th: CROSS LF → RF -1.9 mph | 8th-9th: CROSS LF → RF -1.9 mph,3.2,0.2,1.1988,571.0,1006.1,51.9,64.0,67.3,MODEL_VERTICAL_PROFILE,0.122,13.7,16.7,18.2,19.8,20.8,-1.6,-2.1,-2.3,-2.5,-2.7,16.7,-2.1,FIRST RUN,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,-6.0,64.0,12.0,-0.54,30,LOW,6.7,LOW,10.9,2026-09-22 09:22:01 PM PDT,477.7,5
2026-09-23,Toronto Blue Jays,Baltimore Orioles,Toronto Blue Jays @ Baltimore Orioles,10:35 AM,01:35 PM EDT,Oriole Park at Camden Yards,33,OPEN,OPEN-AIR PARK,Overcast,3,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,62.1,72.2,🔴 10.0 mph In from CF,8.7,NE,-6.7,-10.0,-9.1,-2.1,,FORECAST MODEL,9.6,38.9,D,Density 50 | Wind 24 | Temp 40 | Altitude 49 | Confidence 83%,-7,-5,-3.3,83.0,🔴 Poor,-8.5,-9,0.0,100.0,0.0,0.0,99.9,85.1,95.4,-16.2,STABLE,17.4,1st-3rd: IN FROM CF -8.9 mph | 4th-5th: IN FROM CF -8.3 mph | 6th-7th: IN FROM CF -8.2 mph | 8th-9th: IN FROM CF -8.3 mph,16.2,2.0,1.2247,-165.0,1025.6,53.1,62.8,71.4,MODEL_VERTICAL_PROFILE,0.14,8.3,10.5,11.6,12.7,13.5,-6.5,-8.4,-9.5,-10.7,-11.5,10.5,-8.5,WORSENING RAPIDLY,-9.5,1.7,1.7,-59.8,0.0,2026-09-22 03:29:34 UTC,-9.5,1.7,1.7,-59.8,-11.3,61.1,69.4,-9.6,62.8,9.6,-0.21,29,LOW,5.4,LOW,17.9,2026-09-22 09:22:14 PM PDT,89.0,5
2026-09-23,Minnesota Twins,San Francisco Giants,Minnesota Twins @ San Francisco Giants,12:45 PM,12:45 PM PDT,Oracle Park,10,OPEN,OPEN-AIR PARK,Mostly clear,1,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,62.9,79.4,⚪ Calm,1.2,NNW,-0.4,0.3,0.9,1.4,,FORECAST MODEL,0.0,53.0,B,Density 56 | Wind 56 | Temp 42 | Altitude 53 | Confidence 85%,2,1,0.9,85.1,🟨 Neutral,2.3,1,61.8,21.4,22.6,0.0,0.0,50.9,82.9,3.7,STABLE,28.8,1st-3rd: LIGHT / VARIABLE +0.2 mph | 4th-5th: OUT TO RCF +1.8 mph | 6th-7th: OUT TO RCF +4.5 mph | 8th-9th: OUT TO RCF +6.4 mph,49.9,2.0,1.2045,377.0,1013.4,57.2,64.8,72.5,MODEL_VERTICAL_PROFILE,0.149,3.4,4.4,4.9,5.4,5.7,1.6,2.2,2.6,3.1,3.4,4.4,2.3,FIRST RUN,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,2.8,64.8,0.0,-0.67,31,LOW,0.0,LOW,12.9,2026-09-22 09:22:29 PM PDT,60.2,5
2026-09-23,Toronto Blue Jays,Baltimore Orioles,Toronto Blue Jays @ Baltimore Orioles,03:35 PM,06:35 PM EDT,Oriole Park at Camden Yards,33,OPEN,OPEN-AIR PARK,Overcast,3,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,62.8,68.3,🔴 10.5 mph In from CF,9.3,NE,-6.7,-10.5,-9.9,-2.9,,FORECAST MODEL,0.9,37.8,D,Density 49 | Wind 23 | Temp 39 | Altitude 48 | Confidence 88%,-8,-6,-3.6,87.9,🔴 Poor,-8.8,-9,0.0,100.0,0.0,0.0,100.0,88.2,94.7,-17.5,STABLE,17.8,1st-3rd: IN FROM RF -9.3 mph | 4th-5th: IN FROM RF -8.9 mph | 6th-7th: IN FROM RF -8.2 mph | 8th-9th: IN FROM RF -7.8 mph,14.0,1.4,1.2288,-266.0,1026.0,51.0,61.5,69.4,MODEL_VERTICAL_PROFILE,0.14,8.8,11.0,12.1,13.4,14.1,-6.8,-8.7,-9.8,-11.1,-11.9,11.0,-8.8,FIRST RUN,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,-9.9,61.5,0.9,-0.21,29,LOW,2.7,LOW,8.1,2026-09-22 09:22:42 PM PDT,89.4,5
2026-09-23,St. Louis Cardinals,Pittsburgh Pirates,St. Louis Cardinals @ Pittsburgh Pirates,03:40 PM,06:40 PM EDT,PNC Park,730,OPEN,OPEN-AIR PARK,Clear,0,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,60.8,71.2,🔴 8.5 mph In from LF,7.8,E,-8.5,-8.0,-3.8,4.7,,FORECAST MODEL,10.4,44.3,C,Density 58 | Wind 32 | Temp 36 | Altitude 55 | Confidence 91%,-4,-3,-1.7,90.9,🟧 Below Average,-6.0,-6,0.0,100.0,0.0,0.0,98.0,94.9,97.3,-10.8,STABLE,19.4,1st-3rd: IN FROM LF -6.8 mph | 4th-5th: IN FROM LF -5.7 mph | 6th-7th: IN FROM LF -5.4 mph | 8th-9th: IN FROM LF -5.0 mph,5.2,0.7,1.1982,595.0,995.1,50.3,58.7,75.2,MODEL_VERTICAL_PROFILE,0.138,7.0,8.7,9.6,10.5,11.1,-4.6,-5.9,-6.6,-7.5,-8.0,8.7,-6.0,FIRST RUN,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,-7.1,58.7,10.4,-1.08,31,LOW,5.8,LOW,11.9,2026-09-22 09:22:54 PM PDT,341.0,5
2026-09-23,Milwaukee Brewers,Philadelphia Phillies,Milwaukee Brewers @ Philadelphia Phillies,03:40 PM,06:40 PM EDT,Citizens Bank Park,20,OPEN,OPEN-AIR PARK,Overcast,3,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,64.5,58.1,🟡 8.4 mph Cross (RF → LF),11.7,NE,-4.2,-11.2,-13.6,-8.4,,FORECAST MODEL,0.0,39.0,D,Density 49 | Wind 25 | Temp 40 | Altitude 49 | Confidence 93%,-7,-5,-3.3,92.8,🔴 Poor,-8.2,-9,0.0,100.0,0.0,0.0,99.9,89.5,95.2,-15.4,STABLE,22.6,1st-3rd: IN FROM RF -9.4 mph | 4th-5th: IN FROM RF -7.5 mph | 6th-7th: IN FROM RF -7.5 mph | 8th-9th: IN FROM RF -7.6 mph,9.1,1.8,1.2275,-210.0,1026.7,48.0,62.6,60.5,MODEL_VERTICAL_PROFILE,0.128,10.0,12.2,13.4,14.6,15.4,-6.6,-8.2,-9.0,-9.8,-10.4,12.2,-8.2,FIRST RUN,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,-9.8,62.6,0.0,-0.17,31,LOW,0.5,LOW,12.6,2026-09-22 09:23:06 PM PDT,492.3,5
2026-09-23,Tampa Bay Rays,New York Yankees,Tampa Bay Rays @ New York Yankees,04:05 PM,07:05 PM EDT,Yankee Stadium,55,OPEN,OPEN-AIR PARK,Overcast,3,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,63.8,48.8,🔴 12.9 mph In from LF,11.8,NE,-12.9,-11.1,-4.5,8.3,,FORECAST MODEL,0.0,37.5,D,Density 48 | Wind 23 | Temp 39 | Altitude 48 | Confidence 89%,-8,-6,-3.7,88.6,🔴 Poor,-8.8,-9,0.0,100.0,0.0,0.0,98.7,90.2,94.7,-15.3,STABLE,16.6,1st-3rd: IN FROM LF -9.2 mph | 4th-5th: IN FROM LF -8.8 mph | 6th-7th: IN FROM LF -8.4 mph | 8th-9th: IN FROM LF -8.2 mph,11.0,1.2,1.2325,-329.0,1028.2,43.4,61.6,52.3,MODEL_VERTICAL_PROFILE,0.137,11.4,14.3,15.7,17.2,18.3,-6.8,-8.7,-9.8,-11.1,-11.9,14.3,-8.8,FIRST RUN,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,-10.7,61.6,0.0,0.2,30,LOW,1.2,LOW,16.9,2026-09-22 09:23:16 PM PDT,117.5,5
2026-09-23,Cleveland Guardians,Boston Red Sox,Cleveland Guardians @ Boston Red Sox,04:10 PM,07:10 PM EDT,Fenway Park,20,OPEN,OPEN-AIR PARK,Overcast,3,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,57.6,65.3,🔴 10.2 mph In from CF,9.1,NE,-7.3,-10.2,-8.3,-0.8,,FORECAST MODEL,0.0,36.1,D,Density 43 | Wind 25 | Temp 34 | Altitude 45 | Confidence 91%,-9,-6,-4.2,91.2,🔴 Poor,-8.1,-8,0.0,100.0,0.0,0.0,100.0,89.5,95.8,-15.6,STABLE,19.0,1st-3rd: IN FROM CF -9.0 mph | 4th-5th: IN FROM CF -8.0 mph | 6th-7th: IN FROM CF -7.5 mph | 8th-9th: IN FROM CF -6.8 mph,7.6,2.1,1.2483,-772.0,1031.3,45.3,56.5,68.5,MODEL_VERTICAL_PROFILE,0.147,8.2,10.5,11.6,12.9,13.6,-5.9,-7.9,-9.2,-10.7,-11.6,10.5,-8.1,FIRST RUN,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,-9.2,56.5,0.0,-0.17,31,LOW,1.4,LOW,5.4,2026-09-22 09:23:27 PM PDT,540.7,5
2026-09-23,Cincinnati Reds,Atlanta Braves,Cincinnati Reds @ Atlanta Braves,04:15 PM,07:15 PM EDT,Truist Park,1000,OPEN,OPEN-AIR PARK,Mostly clear,1,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,74.5,76.4,🟡 10.5 mph Cross (LF → RF),9.1,E,-7.6,-2.5,3.7,10.5,,FORECAST MODEL,25.6,56.0,B,Density 71 | Wind 48 | Temp 49 | Altitude 63 | Confidence 88%,4,3,1.8,88.1,🟨 Neutral,-0.8,-1,0.0,31.0,0.0,0.0,0.1,95.4,97.5,-1.4,STABLE,15.8,1st-3rd: CROSS LF → RF -0.8 mph | 4th-5th: CROSS LF → RF -0.7 mph | 6th-7th: CROSS LF → RF -0.7 mph | 8th-9th: CROSS LF → RF -0.9 mph,6.1,0.3,1.1548,1757.0,986.0,64.3,71.5,82.7,MODEL_VERTICAL_PROFILE,0.123,9.2,11.2,12.3,13.4,14.0,-0.6,-0.8,-0.9,-0.9,-1.0,11.2,-0.8,FIRST RUN,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,-2.5,71.5,25.6,0.33,34,LOW,14.5,MEDIUM,18.8,2026-09-22 09:23:38 PM PDT,597.1,5
2026-09-23,Chicago White Sox,Kansas City Royals,Chicago White Sox @ Kansas City Royals,04:40 PM,06:40 PM CDT,Kauffman Stadium,900,OPEN,OPEN-AIR PARK,Clear,0,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,71.4,61.5,🔴 7.8 mph In from RF,6.8,ENE,-3.8,-7.3,-7.8,-3.6,,FORECAST MODEL,0.0,48.5,C,Density 67 | Wind 32 | Temp 47 | Altitude 61 | Confidence 91%,-1,-1,-0.4,91.4,🟧 Below Average,-5.8,-6,0.0,100.0,0.0,0.0,98.8,93.6,95.9,-12.3,STABLE,18.6,1st-3rd: IN FROM RF -6.3 mph | 4th-5th: IN FROM RF -6.0 mph | 6th-7th: IN FROM RF -5.1 mph | 8th-9th: IN FROM RF -5.2 mph,4.1,1.3,1.1693,1394.0,991.4,56.2,68.9,66.9,MODEL_VERTICAL_PROFILE,0.122,6.6,7.9,8.7,9.5,9.9,-4.8,-5.8,-6.3,-6.9,-7.3,7.9,-5.8,FIRST RUN,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,-6.8,68.9,0.0,0.01,29,LOW,0.2,LOW,7.2,2026-09-22 09:23:49 PM PDT,60.7,5
