player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,target_line,probability,probability_grade,projected_targets,target_projection_mean,target_projection_median,target_projection_floor,target_projection_ceiling,target_model_std,target_model_source,model_version
00-0033293,Aaron Jones,MIN,TB,RB,2026,REG,3,1,1,90.73,ELITE,2.988,3.034,3.0,1.0,5.0,1.815,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,TB,RB,2026,REG,3,2,2,78.66,ELITE,2.988,3.034,3.0,1.0,5.0,1.815,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,TB,RB,2026,REG,3,3,3,60.34,ELITE,2.988,3.034,3.0,1.0,5.0,1.815,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,TB,RB,2026,REG,3,4,4,39.41,ELITE,2.988,3.034,3.0,1.0,5.0,1.815,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,TB,RB,2026,REG,3,5,5,20.99,ELITE,2.988,3.034,3.0,1.0,5.0,1.815,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,TB,RB,2026,REG,3,6,6,9.11,ELITE,2.988,3.034,3.0,1.0,5.0,1.815,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,TB,RB,2026,REG,3,7,7,3.11,ELITE,2.988,3.034,3.0,1.0,5.0,1.815,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,TB,RB,2026,REG,3,8,8,0.84,VERY HIGH,2.988,3.034,3.0,1.0,5.0,1.815,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,TB,RB,2026,REG,3,9,9,0.17,VERY LOW,2.988,3.034,3.0,1.0,5.0,1.815,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,TB,RB,2026,REG,3,10,10,0.03,VERY LOW,2.988,3.034,3.0,1.0,5.0,1.815,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
