Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-18,Toronto Blue Jays @ Tampa Bay Rays,Tropicana Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Tampa Bay Rays,Chandler Simpson,José Soriano,0.333,1,3,4.8,0.86,1.87,0.29,0.36,2.53,66.7,1.8,1|2|2|1|3,08/17|08/16|08/15|08/14|08/11,2.3,1|2|2|1|3|4|5|3|0|2,08/17|08/16|08/15|08/14|08/11|08/10|08/09|08/08|08/07|08/05,2.33,1|2|2|1|3|4|5|3|0|2|2|5|3|1|1,08/17|08/16|08/15|08/14|08/11|08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31,86.9,64.8,42.8,25.9,14.6,8.4,4.5,2.58,133.1
2026-08-18,Toronto Blue Jays @ Tampa Bay Rays,Tropicana Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Tampa Bay Rays,Junior Caminero,José Soriano,0.6,3,5,4.2,0.86,0.82,0.69,0.82,2.31,60.0,2.0,1|0|2|2|5,08/17|08/16|08/15|08/14|08/12,2.1,1|0|2|2|5|5|5|1|0|0,08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07,2.47,1|0|2|2|5|5|5|1|0|0|3|3|8|2|0,08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01,86.6,62.7,39.9,22.1,10.9,5.3,2.3,3.12,149.0
2026-08-18,Washington Nationals @ Texas Rangers,Globe Life Field,1.012,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Texas Rangers,Brandon Nimmo,Jackson Kent,0.0,0,0,4.8,1.2,1.82,0.71,0.81,3.31,53.3,0.6,1|2|0|0|0,08/16|08/15|08/14|08/13|08/12,1.6,1|2|0|0|0|3|3|5|1|1,08/16|08/15|08/14|08/13|08/12|08/11|08/10|08/09|08/08|08/07,2.2,1|2|0|0|0|3|3|5|1|1|6|4|0|5|2,08/16|08/15|08/14|08/13|08/12|08/11|08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01,93.2,78.4,58.2,40.6,25.5,15.8,9.1,2.61,133.5
2026-08-18,Washington Nationals @ Texas Rangers,Globe Life Field,1.012,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Texas Rangers,Corey Seager,Jackson Kent,0.0,0,0,4.6,1.2,1.36,0.78,0.49,2.63,40.0,2.0,4|1|0|5|0,08/15|08/14|08/13|08/12|08/11,2.2,4|1|0|5|0|2|0|5|0|5,08/15|08/14|08/13|08/12|08/11|08/10|08/09|08/08|08/07|08/04,1.8,4|1|0|5|0|2|0|5|0|5|1|0|1|3|0,08/15|08/14|08/13|08/12|08/11|08/10|08/09|08/08|08/07|08/04|08/03|08/02|08/01|07/31|06/30,88.7,68.3,46.1,28.2,16.0,8.2,4.1,2.13,109.0
2026-08-18,Washington Nationals @ Texas Rangers,Globe Life Field,1.012,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Texas Rangers,Jake Burger,Jackson Kent,0.0,0,0,3.8,1.2,1.04,0.56,0.56,2.18,46.7,2.6,6|2|5|0|0,08/16|08/15|08/14|08/12|08/11,2.1,6|2|5|0|0|3|1|1|0|3,08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/05,1.8,6|2|5|0|0|3|1|1|0|3|2|0|3|0|1,08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31,85.3,60.0,36.5,19.6,9.5,4.4,1.8,2.17,110.3
2026-08-18,Toronto Blue Jays @ Tampa Bay Rays,Tropicana Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Toronto Blue Jays,Alejandro Kirk,Nick Martinez,0.0,0,1,5.0,0.85,1.41,0.22,0.74,2.39,60.0,2.2,1|2|5|1|2,08/16|08/15|08/14|08/12|08/11,2.2,1|2|5|1|2|4|0|2|5|0,08/16|08/15|08/14|08/12|08/11|08/09|08/08|08/07|08/06|08/05,2.13,1|2|5|1|2|4|0|2|5|0|1|3|1|3|2,08/16|08/15|08/14|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/29,86.4,63.3,40.6,24.1,13.1,6.5,2.9,2.53,128.5
2026-08-18,Toronto Blue Jays @ Tampa Bay Rays,Tropicana Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Toronto Blue Jays,Andrés Giménez,Nick Martinez,1.0,1,1,4.8,0.85,1.14,0.5,0.57,2.22,73.3,1.6,3|2|1|0|2,08/16|08/15|08/14|08/13|08/12,2.3,3|2|1|0|2|2|2|3|5|3,08/16|08/15|08/14|08/13|08/12|08/11|08/10|08/09|08/08|08/07,2.07,3|2|1|0|2|2|2|3|5|3|4|0|2|0|2,08/16|08/15|08/14|08/13|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02,85.7,61.0,37.0,20.0,10.0,4.5,2.1,2.47,130.4
2026-08-18,Washington Nationals @ Texas Rangers,Globe Life Field,1.012,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Washington Nationals,Daylen Lile,Cal Quantrill,0.0,0,0,4.2,0.9,0.8,0.4,0.73,1.93,40.0,2.2,1|0|1|4|5,08/16|08/15|08/14|08/13|08/12,2.4,1|0|1|4|5|0|3|3|7|0,08/16|08/15|08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06,1.93,1|0|1|4|5|0|3|3|7|0|0|0|4|1|0,08/16|08/15|08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01,81.9,54.7,30.9,14.8,6.5,2.7,1.1,2.42,115.1
2026-08-18,Washington Nationals @ Texas Rangers,Globe Life Field,1.012,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Washington Nationals,CJ Abrams,Cal Quantrill,0.0,0,2,4.4,0.9,0.83,0.56,0.56,1.93,53.3,0.6,0|0|1|2|0,08/16|08/15|08/14|08/13|08/12,1.5,0|0|1|2|0|4|2|4|2|0,08/16|08/15|08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06,1.87,0|0|1|2|0|4|2|4|2|0|8|2|0|0|3,08/16|08/15|08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01,81.0,54.5,30.3,15.3,7.2,2.9,1.1,2.29,115.2
2026-08-18,Washington Nationals @ Texas Rangers,Globe Life Field,1.012,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Washington Nationals,Andrés Chaparro,Cal Quantrill,0.0,0,0,4.8,0.9,0.61,0.53,0.76,1.9,40.0,1.2,0|4|2|0|0,08/16|08/15|08/13|08/12|08/11,2.0,0|4|2|0|0|3|7|1|3|0,08/16|08/15|08/13|08/12|08/11|08/09|08/08|08/06|08/05|08/04,1.67,0|4|2|0|0|3|7|1|3|0|0|1|1|3|0,08/16|08/15|08/13|08/12|08/11|08/09|08/08|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/30,81.7,54.0,29.9,14.6,6.0,2.4,0.9,2.14,105.1
