player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_rushing_yards,model_version
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,0.0,100.0,ELITE,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,5.0,44.42,ELITE,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,10.0,30.31,ELITE,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,15.0,18.73,ELITE,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,20.0,10.32,ELITE,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,25.0,5.09,ELITE,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,30.0,2.2,ELITE,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,35.0,0.86,VERY HIGH,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,40.0,0.28,LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,45.0,0.09,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,50.0,0.03,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,55.0,0.01,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,60.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,65.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,70.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,75.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,80.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,85.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,90.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,95.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,100.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,105.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,110.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,115.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,120.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,125.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,130.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,135.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,140.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,145.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,150.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,155.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,160.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,165.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,170.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,175.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,180.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,185.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,190.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,195.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0023459,Aaron Rodgers,PIT,GB,QB,2026,PRE,1,200.0,0.0,VERY LOW,7.043,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,0.0,100.0,ELITE,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,5.0,29.01,ELITE,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,10.0,10.05,ELITE,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,15.0,2.33,ELITE,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,20.0,0.32,LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,25.0,0.03,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,30.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,35.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,40.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,45.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,50.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,55.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,60.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,65.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,70.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,75.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,80.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,85.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,90.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,95.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,100.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,105.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,110.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,115.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,120.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,125.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,130.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,135.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,140.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,145.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,150.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,155.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,160.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
00-0026158,Joe Flacco,CIN,DET,QB,2026,PRE,1,165.0,0.0,VERY LOW,3.39,NFL_RUSHING_YARDS_V1
