rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,roster_status,years_exp,jersey_number,headshot_url,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,data_through_season,last_5_avg,last_10_avg,last_15_avg,season_avg,prior_season_avg,last_5_attempts,last_10_attempts,season_attempts,last_5_ypa,last_10_ypa,season_ypa,normal_attempts,projected_ypa,baseline_yards,player_std,projection_source,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,projected_passing_yards,model_std,preseason_rotation_factor,expected_pressure_rate,pressure_adjusted_ypa,clean_pocket_ypa,under_pressure_ypa,depth_matchup_short_0_4,depth_matchup_short_5_9,depth_matchup_intermediate_10_14,depth_matchup_intermediate_15_19,depth_matchup_deep_20_24,depth_matchup_deep_25_29,depth_matchup_deep_30_plus,game_script_volume_factor,game_script_efficiency_factor,game_script_label,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,prob_100_plus,grade_100_plus,prob_110_plus,grade_110_plus,prob_120_plus,grade_120_plus,prob_130_plus,grade_130_plus,prob_140_plus,grade_140_plus,prob_150_plus,grade_150_plus,prob_160_plus,grade_160_plus,prob_170_plus,grade_170_plus,prob_180_plus,grade_180_plus,prob_190_plus,grade_190_plus,prob_200_plus,grade_200_plus,prob_210_plus,grade_210_plus,prob_220_plus,grade_220_plus,prob_230_plus,grade_230_plus,prob_240_plus,grade_240_plus,prob_250_plus,grade_250_plus,prob_260_plus,grade_260_plus,prob_270_plus,grade_270_plus,prob_280_plus,grade_280_plus,prob_290_plus,grade_290_plus,prob_300_plus,grade_300_plus,prob_310_plus,grade_310_plus,prob_320_plus,grade_320_plus,prob_330_plus,grade_330_plus,prob_340_plus,grade_340_plus,prob_350_plus,grade_350_plus,prob_360_plus,grade_360_plus,prob_370_plus,grade_370_plus,prob_380_plus,grade_380_plus,prob_390_plus,grade_390_plus,prob_400_plus,grade_400_plus,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,pass_depth_game_sample,pass_depth_avg_hist_attempts,pass_depth_avg_longest_completion,opponent,home_away,game_id,game_date,game_name
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ACT,0,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcloyq4ahyh0hfzo6i0i",TEAM_BLEND,29.5,6.6,195.7,0,,,,,,,,,,,,,29.5,6.6,195.7,73.01381465694534,TEAM_PRIOR_NO_NFL_HISTORY,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,118.7,63.9,1.0,0.0,6.597,6.597,4.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,37.1,75.7,118.6,161.5,200.7,61.6,SOLID,55.4,LEAN,49.1,COIN FLIP,42.8,COIN FLIP,36.7,LOW,31.0,LOW,25.7,LOW,21.0,VERY LOW,16.8,VERY LOW,13.2,VERY LOW,10.2,VERY LOW,7.7,VERY LOW,5.6,VERY LOW,4.1,VERY LOW,2.9,VERY LOW,2.1,VERY LOW,1.4,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.4,78.9,70.1,58.7,39.7,27.6,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,52,35.2,32.2,ARI,away,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,Carolina Panthers at Arizona Cardinals
2,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ACT,3,9.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",TEAM_BLEND,29.5,6.6,195.7,44,2025.0,176.0,186.1,190.5,188.2,195.8,27.0,27.9,29.9,6.58,6.43,6.2,28.0,6.46,184.9,93.45765412520761,NFL_HISTORY,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,103.3,66.8,1.0,0.0,6.459,6.459,4.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,17.8,58.0,102.7,148.1,188.8,51.7,LEAN,45.6,COIN FLIP,39.8,LOW,34.2,LOW,29.0,LOW,24.1,VERY LOW,19.7,VERY LOW,15.9,VERY LOW,12.5,VERY LOW,9.7,VERY LOW,7.4,VERY LOW,5.5,VERY LOW,4.0,VERY LOW,2.9,VERY LOW,2.0,VERY LOW,1.4,VERY LOW,1.0,VERY LOW,0.7,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,80.6,75.8,64.9,52.4,36.3,23.9,QB_3_SEASON_GAME_BOOTSTRAP,1554,47,33.1,31.1,ARI,away,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,Carolina Panthers at Arizona Cardinals
3,2026,PRE,0,2026 Hall of Fame Game,00-0038102,Kenny Pickett,CAR,ACT,4,12.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nfdzmyfr8eup5uuojjdw",TEAM_BLEND,29.5,6.6,195.7,16,2025.0,103.4,126.0,152.3,80.5,143.0,17.0,21.5,18.0,6.77,6.15,5.69,19.6,6.35,114.2,47.37187203251847,NFL_HISTORY,19.6,16.0,AUTO_PRESEASON_USAGE,young_backup,101.6,48.5,1.0,0.0,6.348,6.348,4.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,39.3,68.7,101.6,134.1,163.9,51.3,LEAN,42.9,COIN FLIP,35.1,LOW,27.8,LOW,21.4,VERY LOW,15.8,VERY LOW,11.5,VERY LOW,8.0,VERY LOW,5.4,VERY LOW,3.5,VERY LOW,2.2,VERY LOW,1.3,VERY LOW,0.8,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,68.1,59.6,45.9,37.7,34.9,27.1,QB_3_SEASON_GAME_BOOTSTRAP,448,23,19.5,26.7,ARI,away,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,Carolina Panthers at Arizona Cardinals
4,2026,PRE,0,2026 Hall of Fame Game,00-0041561,Carson Beck,ARI,RES,0,19.0,,TEAM_BLEND,31.5,6.83,215.0,0,,,,,,,,,,,,,31.5,6.83,215.0,67.84229878654799,TEAM_PRIOR_NO_NFL_HISTORY,31.5,14.4,AUTO_PRESEASON_USAGE,rookie,98.3,57.4,0.8,0.0,6.825,6.825,4.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,25.0,59.7,98.8,136.9,172.0,49.2,COIN FLIP,42.2,COIN FLIP,35.4,LOW,29.1,LOW,23.3,VERY LOW,18.4,VERY LOW,14.2,VERY LOW,10.7,VERY LOW,7.8,VERY LOW,5.5,VERY LOW,3.8,VERY LOW,2.6,VERY LOW,1.7,VERY LOW,1.1,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.2,79.8,70.2,53.5,35.2,24.0,TEAM_3_SEASON_GAME_BOOTSTRAP,1888,51,37.0,33.5,CAR,home,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,Carolina Panthers at Arizona Cardinals
5,2026,PRE,0,2026 Hall of Fame Game,00-0035251,Will Grier,CAR,ACT,7,14.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/c8cmoyu2wemjpl6ctk9g",TEAM_BLEND,29.5,6.6,195.7,0,,,,,,,,,,,,,29.5,6.6,195.7,73.01381465694534,TEAM_PRIOR_NO_NFL_HISTORY,29.5,13.0,AUTO_PRESEASON_USAGE,veteran_backup,85.8,54.3,1.0,0.0,6.597,6.597,4.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,16.2,49.2,85.6,122.6,155.6,39.7,LOW,32.8,LOW,26.5,LOW,20.9,VERY LOW,16.0,VERY LOW,11.8,VERY LOW,8.6,VERY LOW,6.1,VERY LOW,4.2,VERY LOW,2.8,VERY LOW,1.8,VERY LOW,1.1,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,81.8,74.9,62.4,47.8,31.0,21.2,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,52,35.2,32.2,ARI,away,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,Carolina Panthers at Arizona Cardinals
6,2026,PRE,0,2026 Hall of Fame Game,00-0035289,Gardner Minshew,ARI,ACT,7,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lggwtoj1m0jxxiawtzpw",TEAM_BLEND,31.5,6.83,215.0,26,2025.0,172.0,177.1,187.3,15.0,201.3,28.0,28.1,8.0,5.63,6.11,1.88,24.8,5.08,147.5,89.47943900658017,NFL_HISTORY,24.8,13.0,AUTO_PRESEASON_USAGE,veteran_backup,66.0,60.9,1.0,0.0,5.075,5.075,3.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,0.0,25.2,66.2,107.1,144.6,28.9,LOW,23.5,VERY LOW,18.9,VERY LOW,14.8,VERY LOW,11.4,VERY LOW,8.5,VERY LOW,6.2,VERY LOW,4.5,VERY LOW,3.1,VERY LOW,2.1,VERY LOW,1.4,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,79.4,77.4,60.0,43.2,32.7,23.5,QB_3_SEASON_GAME_BOOTSTRAP,876,28,31.3,32.4,CAR,home,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,Carolina Panthers at Arizona Cardinals
7,2026,PRE,0,2026 Hall of Fame Game,00-0039577,Kedon Slovis,ARI,ACT,2,12.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nyfoex8q88tq9fatpleo",TEAM_BLEND,31.5,6.83,215.0,0,,,,,,,,,,,,,31.5,6.83,215.0,67.84229878654799,TEAM_PRIOR_NO_NFL_HISTORY,31.5,9.0,AUTO_PRESEASON_USAGE,starter_like,61.4,40.6,1.0,0.0,6.825,6.825,4.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,9.5,34.3,61.5,88.8,113.6,17.0,VERY LOW,11.6,VERY LOW,7.5,VERY LOW,4.6,VERY LOW,2.6,VERY LOW,1.5,VERY LOW,0.8,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,78.6,71.0,56.3,38.4,23.8,15.4,TEAM_3_SEASON_GAME_BOOTSTRAP,1888,51,37.0,33.5,CAR,home,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,Carolina Panthers at Arizona Cardinals
8,2026,PRE,0,2026 Hall of Fame Game,00-0033119,Jacoby Brissett,ARI,ACT,10,7.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rdxowm5dvpbb8p3aazbc",TEAM_BLEND,31.5,6.83,215.0,20,2025.0,235.6,276.7,255.1,280.5,138.0,36.6,40.4,40.3,6.5,6.87,6.98,37.8,6.74,240.1,55.814564748011584,NFL_HISTORY,37.8,9.0,AUTO_PRESEASON_USAGE,starter_like,60.7,28.7,1.0,0.0,6.742,6.742,4.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,24.0,41.2,60.5,80.0,97.4,8.6,VERY LOW,4.3,VERY LOW,1.9,VERY LOW,0.8,VERY LOW,0.3,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,70.0,62.4,51.5,36.1,22.8,15.0,QB_3_SEASON_GAME_BOOTSTRAP,734,22,33.4,30.5,CAR,home,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,Carolina Panthers at Arizona Cardinals
