player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_pat_made,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,prob_0_5_plus,prob_1_plus,prob_1_5_plus,prob_2_plus,prob_2_5_plus,prob_3_plus,prob_3_5_plus,prob_4_plus,prob_4_5_plus,prob_5_plus,prob_5_5_plus,prob_6_plus,prob_6_5_plus
00-0040200,Andy Borregales,NE,CLE,K,K,ACT,1.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NE_CLE,,away,3.791,3.791,4.0,1.0,7.0,2.141,17,4.0,3.5,3.4,3.118,4.0,0.92,1.15,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,96.67,96.67,86.48,86.48,69.99,69.99,50.83,50.83,33.46,33.46,20.15,20.15,11.37
00-0039498,Harrison Mevis,LAR,LAC,K,K,ACT,2.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_LAR_LAC,,away,3.367,3.367,3.0,1.0,6.0,2.036,9,4.4,4.333,4.333,4.333,4.4,0.92,0.915,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,95.03,95.03,81.75,81.75,62.54,62.54,42.66,42.66,26.09,26.09,14.73,14.73,7.74
00-0039409,Cam Little,JAX,TB,K,K,ACT,2.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_TB_JAX,,home,3.034,3.034,3.0,1.0,6.0,1.942,32,4.2,3.6,3.0,2.941,4.2,0.92,0.984,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,93.32,93.32,77.0,77.0,55.9,55.9,36.01,36.01,20.87,20.87,11.02,11.02,5.41
00-0036162,Tyler Bass,BUF,PIT,K,K,ACT,6.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_PIT_BUF,,home,2.987,2.987,3.0,1.0,6.0,1.928,34,4.2,3.7,3.4,3.471,4.4,0.92,0.884,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,93.0,93.0,76.44,76.44,54.91,54.91,34.87,34.87,20.05,20.05,10.53,10.53,5.15
00-0039172,Jake Bates,DET,IND,K,K,ACT,3.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_DET_IND,,away,2.979,2.979,3.0,1.0,6.0,1.995,34,2.8,2.7,3.067,3.176,2.8,0.92,1.071,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,92.19,92.19,74.97,74.97,53.87,53.87,34.84,34.84,20.62,20.62,11.23,11.23,5.68
00-0040074,Tyler Loop,BAL,WAS,K,K,ACT,1.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_WAS_BAL,,home,2.96,2.96,3.0,1.0,6.0,1.905,16,3.0,2.6,2.667,2.75,3.2,0.92,1.15,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,93.0,93.0,76.22,76.22,54.5,54.5,34.37,34.37,19.6,19.6,10.05,10.05,4.83
00-0034173,Eddy Pineiro,SF,LV,K,K,ACT,8.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_SF_LV,,away,2.944,2.944,3.0,1.0,6.0,1.929,41,4.0,3.0,2.733,2.615,4.6,0.92,1.031,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,92.51,92.51,75.4,75.4,53.84,53.84,34.19,34.19,19.61,19.61,10.31,10.31,5.0
00-0039576,Spencer Shrader,IND,DET,K,K,ACT,2.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_DET_IND,,home,2.792,2.792,3.0,1.0,5.0,1.859,8,2.8,2.875,2.875,2.8,2.8,0.92,1.132,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,91.75,91.75,73.28,73.28,50.78,50.78,31.06,31.06,17.12,17.12,8.55,8.55,3.98
00-0031203,Cairo Santos,CHI,TEN,K,K,ACT,12.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_CHI_TEN,,away,2.697,2.697,2.0,1.0,5.0,1.829,41,2.8,2.8,2.8,2.786,2.8,0.92,1.104,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,91.06,91.06,71.58,71.58,48.59,48.59,29.26,29.26,15.7,15.7,7.67,7.67,3.49
00-0040899,Trey Smack,GB,ARI,K,K,ACT,0.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_ARI_GB,,home,2.631,2.631,2.0,1.0,5.0,1.81,0,,,,,,0.92,1.138,TEAM_LEAGUE_PRIOR,100000,NFL_PAT_MADE_V1,90.51,90.51,70.31,70.31,47.0,47.0,27.91,27.91,14.84,14.84,7.17,7.17,3.2
00-0038152,Lucas Havrisik,GB,ARI,K,K,ACT,4.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_ARI_GB,,home,2.602,2.602,2.0,1.0,5.0,1.799,10,2.4,2.6,2.6,2.333,3.2,0.92,1.138,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,90.23,90.23,69.73,69.73,46.56,46.56,27.32,27.32,14.35,14.35,6.91,6.91,3.11
00-0036854,Evan McPherson,CIN,PHI,K,K,ACT,5.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_CIN_PHI,,away,2.46,2.46,2.0,0.0,5.0,1.843,40,3.2,3.1,3.067,2.929,3.8,0.92,0.863,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,87.39,87.39,65.31,65.31,42.6,42.6,25.03,25.03,13.44,13.44,6.69,6.69,3.21
00-0039229,Charlie Smyth,NO,DAL,K,K,E14,2.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NO_DAL,,away,2.451,2.451,2.0,0.0,5.0,1.746,5,2.6,2.6,2.6,2.6,2.6,0.92,1.15,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,88.94,88.94,66.7,66.7,42.98,42.98,24.36,24.36,12.35,12.35,5.74,5.74,2.47
00-0041333,Mason Shipley,NO,DAL,K,K,ACT,0.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NO_DAL,,away,2.433,2.433,2.0,0.0,5.0,1.738,0,,,,,,0.92,1.15,TEAM_LEAGUE_PRIOR,100000,NFL_PAT_MADE_V1,88.7,88.7,66.51,66.51,42.62,42.62,23.84,23.84,12.0,12.0,5.66,5.66,2.4
00-0032726,Ka'imi Fairbairn,HOU,CAR,K,K,ACT,10.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_HOU_CAR,,away,2.412,2.412,2.0,0.0,5.0,1.733,40,2.4,2.4,2.067,2.154,2.4,0.92,1.15,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,88.44,88.44,66.05,66.05,41.88,41.88,23.56,23.56,11.99,11.99,5.56,5.56,2.34
00-0041174,Gabriel Plascencia,CHI,TEN,K,K,ACT,0.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_CHI_TEN,,away,2.405,2.405,2.0,0.0,5.0,1.728,0,,,,,,0.92,1.104,TEAM_LEAGUE_PRIOR,100000,NFL_PAT_MADE_V1,88.37,88.37,65.82,65.82,41.93,41.93,23.48,23.48,11.86,11.86,5.42,5.42,2.3
00-0038748,B.T. Potter,TB,JAX,K,K,ACT,3.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_TB_JAX,,away,2.378,2.378,2.0,0.0,5.0,1.722,0,,,,,,0.92,1.031,TEAM_LEAGUE_PRIOR,100000,NFL_PAT_MADE_V1,88.06,88.06,65.29,65.29,41.2,41.2,22.99,22.99,11.44,11.44,5.22,5.22,2.19
00-0033787,Jake Elliott,PHI,CIN,K,K,ACT,9.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_CIN_PHI,,home,2.353,2.353,2.0,0.0,5.0,1.711,51,2.2,2.1,2.4,2.412,2.2,0.92,1.103,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,87.79,87.79,64.63,64.63,40.76,40.76,22.54,22.54,11.19,11.19,4.96,4.96,2.09
00-0036816,Riley Patterson,MIA,ATL,K,K,ACT,5.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_ATL_MIA,,home,2.333,2.333,2.0,0.0,5.0,1.705,32,2.2,2.5,2.8,2.615,2.2,0.92,0.995,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,87.52,87.52,64.38,64.38,40.18,40.18,22.2,22.2,10.82,10.82,4.86,4.86,2.06
00-0038097,Cade York,NYJ,NYG,K,K,ACT,4.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NYG_NYJ,,home,2.228,2.228,2.0,0.0,4.0,1.661,6,2.8,2.667,2.667,2.667,3.0,0.92,1.043,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,86.39,86.39,62.14,62.14,37.78,37.78,20.0,20.0,9.55,9.55,4.19,4.19,1.73
00-0033862,Zane Gonzalez,MIA,ATL,K,K,ACT,9.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_ATL_MIA,,home,2.161,2.161,2.0,0.0,4.0,1.64,14,2.2,2.2,2.571,2.125,2.4,0.92,0.995,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,85.41,85.41,60.41,60.41,36.18,36.18,18.94,18.94,8.99,8.99,3.82,3.82,1.53
00-0031136,Chris Boswell,PIT,BUF,K,K,ACT,12.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_PIT_BUF,,away,2.152,2.152,2.0,0.0,4.0,1.642,45,2.6,2.6,2.8,2.8,2.8,0.92,0.891,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,85.38,85.38,60.1,60.1,35.77,35.77,18.83,18.83,8.83,8.83,3.84,3.84,1.57
00-0041145,Dominic Zvada,NYG,NYJ,K,K,ACT,0.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NYG_NYJ,,away,2.122,2.122,2.0,0.0,4.0,1.622,0,,,,,,0.92,0.981,TEAM_LEAGUE_PRIOR,100000,NFL_PAT_MADE_V1,85.11,85.11,59.35,59.35,35.21,35.21,18.31,18.31,8.47,8.47,3.61,3.61,1.41
00-0031492,Jason Myers,SEA,KC,K,K,ACT,11.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_SEA_KC,,away,2.102,2.102,2.0,0.0,4.0,1.664,48,2.4,2.9,3.133,3.0,2.4,0.92,0.85,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,83.85,83.85,58.12,58.12,34.6,34.6,18.27,18.27,8.84,8.84,3.88,3.88,1.67
00-0035192,Joey Slye,TEN,CHI,K,K,ACT,7.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_CHI_TEN,,home,2.089,2.089,2.0,0.0,4.0,1.616,44,2.6,2.2,1.933,2.0,2.6,0.92,1.045,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,84.56,84.56,58.54,58.54,34.43,34.43,17.63,17.63,8.16,8.16,3.45,3.45,1.39
00-0037692,Brandon Aubrey,DAL,NO,K,K,ACT,4.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NO_DAL,,home,2.061,2.061,2.0,0.0,4.0,1.61,48,2.0,2.4,3.0,2.938,2.0,0.92,0.945,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,83.98,83.98,57.76,57.76,33.79,33.79,17.3,17.3,7.92,7.92,3.29,3.29,1.36
00-0041262,Laith Marjan,PIT,BUF,K,K,ACT,0.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_PIT_BUF,,away,2.045,2.045,2.0,0.0,4.0,1.594,0,,,,,,0.92,0.891,TEAM_LEAGUE_PRIOR,100000,NFL_PAT_MADE_V1,84.09,84.09,57.39,57.39,33.35,33.35,16.83,16.83,7.73,7.73,3.25,3.25,1.25
00-0040530,Ben Sauls,NYG,NYJ,K,K,ACT,1.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NYG_NYJ,,away,2.032,2.032,2.0,0.0,4.0,1.799,3,2.333,2.333,2.333,2.333,2.333,0.92,0.981,PLAYER_PRIOR_BLEND,100000,NFL_PAT_MADE_V1,79.53,79.53,53.76,53.76,32.55,32.55,18.25,18.25,9.77,9.77,4.98,4.98,2.48
00-0039404,Will Reichard,MIN,DEN,K,K,ACT,2.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_MIN_DEN,,away,2.028,2.028,2.0,0.0,5.0,1.84,26,2.4,2.0,2.267,2.214,2.4,0.92,0.926,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,78.7,78.7,52.94,52.94,32.29,32.29,18.55,18.55,10.05,10.05,5.3,5.3,2.68
00-0032569,Wil Lutz,DEN,MIN,K,K,ACT,10.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_MIN_DEN,,home,2.008,2.008,2.0,0.0,4.0,1.6,48,2.4,2.3,2.2,2.294,2.4,0.92,0.905,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,82.96,82.96,56.3,56.3,32.41,32.41,16.52,16.52,7.46,7.46,3.19,3.19,1.26
00-0038905,Blake Grupe,IND,DET,K,K,ACT,3.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_DET_IND,,home,1.975,1.975,2.0,0.0,4.0,1.57,42,2.0,1.7,1.667,1.667,2.0,0.92,1.132,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,82.9,82.9,55.79,55.79,31.48,31.48,15.71,15.71,7.0,7.0,2.9,2.9,1.13
00-0035358,Chase McLaughlin,TB,JAX,K,K,ACT,7.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_TB_JAX,,away,1.971,1.971,2.0,0.0,4.0,1.571,47,1.8,1.8,2.0,2.0,1.8,0.92,1.031,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,82.8,82.8,55.51,55.51,31.54,31.54,15.62,15.62,7.01,7.01,2.94,2.94,1.14
00-0041182,Drew Stevens,WAS,BAL,K,K,ACT,0.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_WAS_BAL,,away,1.969,1.969,2.0,0.0,4.0,1.569,0,,,,,,0.92,0.85,TEAM_LEAGUE_PRIOR,100000,NFL_PAT_MADE_V1,82.74,82.74,55.62,55.62,31.34,31.34,15.59,15.59,6.96,6.96,2.93,2.93,1.1
00-0037224,Cameron Dicker,LAC,LAR,K,K,ACT,4.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_LAR_LAC,,home,1.932,1.932,2.0,0.0,4.0,1.555,44,2.2,2.5,2.267,2.267,2.4,0.92,0.922,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,82.14,82.14,54.7,54.7,30.58,30.58,14.94,14.94,6.58,6.58,2.69,2.69,1.08
00-0034794,Jason Sanders,NYJ,NYG,K,K,ACT,8.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NYG_NYJ,,home,1.896,1.896,2.0,0.0,4.0,1.756,30,1.2,2.2,1.933,2.0,1.6,0.92,1.043,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,76.88,76.88,50.27,50.27,29.51,29.51,16.28,16.28,8.55,8.55,4.29,4.29,2.11
00-0033303,Harrison Butker,KC,SEA,K,K,ACT,9.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_SEA_KC,,home,1.827,1.827,2.0,0.0,4.0,1.582,42,1.6,2.4,2.2,2.214,1.8,0.92,0.958,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,78.81,78.81,50.67,50.67,28.15,28.15,13.96,13.96,6.48,6.48,2.77,2.77,1.13
00-0041582,Kansei Matsuzawa,LV,SF,K,K,E14,0.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_SF_LV,,home,1.727,1.727,1.0,0.0,4.0,1.468,0,,,,,,0.92,0.918,TEAM_LEAGUE_PRIOR,100000,NFL_PAT_MADE_V1,78.54,78.54,49.04,49.04,25.62,25.62,11.77,11.77,4.9,4.9,1.84,1.84,0.65
00-0035269,Matt Gay,LV,SF,K,K,ACT,7.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_SF_LV,,home,1.692,1.692,1.0,0.0,4.0,1.454,43,1.6,2.2,2.4,2.167,1.6,0.92,0.918,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,77.91,77.91,47.97,47.97,24.84,24.84,11.22,11.22,4.57,4.57,1.75,1.75,0.63
00-0025565,Nick Folk,ATL,MIA,K,K,ACT,19.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_ATL_MIA,,away,1.689,1.689,1.0,0.0,4.0,1.457,38,1.6,1.9,1.933,1.833,1.6,0.92,1.027,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,77.7,77.7,48.03,48.03,24.72,24.72,11.24,11.24,4.56,4.56,1.74,1.74,0.66
00-0038562,Jake Moody,WAS,BAL,K,K,ACT,3.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_WAS_BAL,,away,1.648,1.648,1.0,0.0,4.0,1.435,38,2.0,2.2,2.2,1.875,2.2,0.92,0.85,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,77.07,77.07,46.73,46.73,23.76,23.76,10.55,10.55,4.23,4.23,1.62,1.62,0.59
00-0038428,Andre Szmyt,CLE,NE,K,K,ACT,3.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NE_CLE,,home,1.59,1.59,1.0,0.0,3.0,1.405,14,2.0,2.0,1.786,1.786,2.0,0.92,0.895,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,76.0,76.0,45.05,45.05,22.33,22.33,9.75,9.75,3.79,3.79,1.37,1.37,0.49
00-0040279,Ryan Fitzgerald,CAR,HOU,K,K,ACT,1.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_HOU_CAR,,home,1.452,1.452,1.0,0.0,3.0,1.349,16,2.2,1.5,1.733,1.688,2.2,0.92,0.85,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,72.63,72.63,40.86,40.86,19.2,19.2,7.96,7.96,3.01,3.01,1.09,1.09,0.35
