Date,GamePk,Pitcher,PitcherID,Opponent,Pitcher Team,Venue,Pitcher Hand,K,ERA,Pitcher K9,Base Model K%,Lineup Model K%,Final Model K%,Skill Workload Anchor K,Projection Sanity Ratio,Lineup Source,Lineup Reliability,Pitch-Type Matchup Score,Shape Matchup Score,Sequence Advantage Score,Avg Zone Contact%,Avg Chase Contact%,Avg 2Strike Foul%,Avg 2Strike Contact%,Expected BF,Expected Pitches,Hook Aggression,Manager Factor,Bullpen Factor,Park Factor,Weather Factor,Workload Context Factor,Proj K,Sim Mean K,Fair Line,Line,LineSource,Edge,Recommendation,Recommendation Tier,MORE Probability,LESS Probability,Best Side %,Best MORE Line,Best MORE Probability,Best MORE Tier,Best MORE Qualified,Over %,Under %,Raw Over %,Raw Under %,MORE 2.5 %,LESS 2.5 %,MORE 3.0 %,LESS 3.0 %,PUSH 3.0 %,MORE 3.5 %,LESS 3.5 %,MORE 4.0 %,LESS 4.0 %,PUSH 4.0 %,MORE 4.5 %,LESS 4.5 %,MORE 5.0 %,LESS 5.0 %,PUSH 5.0 %,MORE 5.5 %,LESS 5.5 %,MORE 6.0 %,LESS 6.0 %,PUSH 6.0 %,MORE 6.5 %,LESS 6.5 %,MORE 7.0 %,LESS 7.0 %,PUSH 7.0 %,MORE 7.5 %,LESS 7.5 %,MORE 8.0 %,LESS 8.0 %,PUSH 8.0 %,MORE 8.5 %,LESS 8.5 %,MORE 9.0 %,LESS 9.0 %,PUSH 9.0 %,MORE 9.5 %,LESS 9.5 %,MORE 10.0 %,LESS 10.0 %,PUSH 10.0 %,MORE 10.5 %,LESS 10.5 %,MORE 11.0 %,LESS 11.0 %,PUSH 11.0 %,Ladder 3+,Ladder 4+,Ladder 5+,Ladder 6+,Ladder 7+,Ladder 8+,Ladder 9+,Ladder 10+,Ladder 11+,Ladder 12+,Ladder 13+,K State Floor%,K State Median%,K State Strong%,K State Dominant%,K State Peak%,P Floor State,P Median State,P Strong State,P Dominant State,P Peak State,K Ceiling Score,Elite K Index,Peak K Index,Historical K Volatility,Historical K Volatility Starts,Historical P90 K%,Recent Peak Skill Score,Recent Peak Whiff%,Recent Peak CSW%,Recent Peak 2Strike Whiff%,Recent Peak PutAway%,K State Expected%,Whiff%,Chase%,CSW%,FirstStrike%,2Strike Whiff%,PutAway Proxy%,Stuff Score,Pitcher K Talent Score,Today K Environment Score,Workload Opportunity Score,K Opportunity Score,Velo Change,Whiff Change,Arsenal Change Score,Umpire,Catcher,Official Combined Factor,Sim SD,Model Confidence,Probability Calibration,Projection Calibration N,Actual K,Projection Error,Absolute Error,Side Result,ModelVersion,Actionable
2026-07-25,823758,Ryan Feltner,663372,Milwaukee Brewers,Colorado Rockies,American Family Field,R,4,5.73,6.88,17.44,18.06,17.74,3.95,1.011,Confirmed,1.0,-0.098,-0.018,0.027,85.1,57.0,22.7,77.8,20.21,78.0,0.58,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.5,3.5,Model fallback,0.5,PASS,PASS,53.1,46.9,53.1,2.5,69.5,ELITE MORE,True,53.0875,46.9125,53.1,46.9,69.5,30.5,53.1,30.5,16.4,53.1,46.9,37.5,46.9,15.6,37.5,62.5,25.1,62.5,12.4,25.1,74.9,15.4,74.9,9.7,15.4,84.6,9.0,84.6,6.4,9.0,91.0,5.1,91.0,3.9,5.1,94.9,2.6,94.9,2.4,2.6,97.4,1.3,97.4,1.3,1.3,98.7,0.6,98.7,0.7,69.5,53.1,37.5,25.1,15.4,9.0,5.1,2.6,1.3,0.6,0.3,10.6,17.7,24.4,30.8,37.4,16.9,49.2,23.1,9.8,1.1,46.4,-0.13,-0.069,0.095,15,35.2,0.625,30.1,30.9,29.5,22.4,19.57,23.71,27.08,27.1,59.09,20.47,12.68,50.0,35.4,33.7,37.0,35.0,0.07,5.27,0.4,Nestor Ceja,Brett Sullivan,1.0,2.47,85.9,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-25,824571,Sean Burke,680732,Houston Astros,Chicago White Sox,Rate Field,R,10,3.19,9.89,28.28,28.29,28.28,7.13,0.975,Confirmed,1.0,-0.077,0.023,0.0,83.9,55.9,23.4,75.9,23.11,91.6,0.475,1.0,1.0,1.0,1.0,1.0,6.95,6.95,7.5,6.5,Model fallback,0.45,PASS,PASS,52.9,47.1,52.9,5.5,65.8,ELITE MORE,True,52.86,47.14,52.9,47.1,94.2,5.8,87.5,5.8,6.7,87.5,12.5,77.6,12.5,9.9,77.6,22.4,65.8,22.4,11.8,65.8,34.2,52.9,34.2,12.9,52.9,47.1,40.3,47.1,12.5,40.3,59.7,29.3,59.7,11.1,29.3,70.7,20.0,70.7,9.3,20.0,80.0,13.0,80.0,6.9,13.0,87.0,7.8,87.0,5.2,94.2,87.5,77.6,65.8,52.9,40.3,29.3,20.0,13.0,7.8,4.5,21.2,28.3,35.3,42.0,49.1,15.8,46.6,24.0,11.3,2.3,62.3,0.341,0.35,0.095,18,38.8,1.124,28.2,33.9,35.5,33.7,30.85,26.55,32.12,30.84,59.92,25.97,15.99,55.6,57.1,49.3,48.9,52.3,0.58,0.61,0.236,Shane Livensparger,Edgar Quero,1.0,3.05,86.0,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-25,824244,Casey Mize,663554,Kansas City Royals,Detroit Tigers,Comerica Park,R,3,2.7,8.83,23.49,22.31,22.93,5.07,0.973,Confirmed,1.0,-0.338,-0.466,0.034,89.8,59.1,23.2,78.5,20.26,79.1,0.48,1.0,1.0,1.0,1.0,1.0,4.94,4.94,5.5,4.5,Model fallback,0.44,PASS,PASS,52.3,47.7,52.3,3.5,67.3,ELITE MORE,True,52.2825,47.7175,52.3,47.7,81.4,18.6,67.3,18.6,14.0,67.3,32.7,52.3,32.7,15.0,52.3,47.7,38.0,47.7,14.3,38.0,62.1,25.9,62.1,12.0,25.9,74.1,16.9,74.1,9.0,16.9,83.1,10.0,83.1,6.9,10.0,90.0,5.6,90.0,4.5,5.6,94.4,3.0,94.4,2.5,3.0,97.0,1.6,97.0,1.5,81.4,67.3,52.3,38.0,25.9,16.9,10.0,5.6,3.0,1.6,0.8,15.8,22.9,29.8,36.3,43.2,16.9,48.2,22.9,10.1,1.9,58.0,0.209,0.25,0.095,16,41.9,0.858,32.4,32.9,25.6,27.0,25.04,27.72,27.85,30.3,65.77,25.0,13.2,55.4,48.8,33.3,39.2,40.7,0.03,-3.15,-0.227,Erich Bacchus,Jake Rogers,1.0,2.66,85.0,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-25,823758,Robert Gasser,688107,Colorado Rockies,Milwaukee Brewers,American Family Field,L,4,4.71,8.16,19.15,17.82,18.51,3.99,0.955,Confirmed,1.0,-0.757,-0.374,0.0,88.0,61.8,27.1,80.0,20.77,79.9,0.562,1.0,1.0,1.0,1.0,1.0,3.81,3.81,4.5,3.5,Model fallback,0.31,PASS,PASS,51.1,48.9,51.1,2.5,69.3,ELITE MORE,True,51.125,48.875,51.1,48.9,69.3,30.7,51.1,30.7,18.2,51.1,48.9,34.1,48.9,17.0,34.1,65.9,21.1,65.9,13.0,21.1,78.9,11.8,78.9,9.3,11.8,88.2,6.2,88.2,5.6,6.2,93.8,3.1,93.8,3.1,3.1,96.9,1.4,96.9,1.7,1.4,98.6,0.6,98.6,0.8,0.6,99.4,0.2,99.4,0.4,69.3,51.1,34.1,21.1,11.8,6.2,3.1,1.4,0.6,0.2,0.1,14.8,18.5,22.0,25.2,29.0,18.2,50.9,21.9,8.7,0.4,33.3,-0.461,-0.495,0.0514,11,28.0,0.115,24.3,29.1,23.6,25.6,19.22,19.63,29.87,25.89,64.61,18.87,12.45,41.7,33.3,25.7,38.8,31.4,0.48,-6.63,-0.396,Nestor Ceja,William Contreras,1.0,2.22,83.3,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-25,824244,Michael Wacha,608379,Detroit Tigers,Kansas City Royals,Comerica Park,R,3,3.6,7.07,16.5,15.46,16.0,4.08,0.945,Confirmed,1.0,-0.55,-0.207,0.0,87.9,53.9,24.2,77.2,23.86,91.3,0.565,1.0,1.0,1.0,1.0,1.0,3.86,3.86,4.5,3.5,Model fallback,0.36,PASS,PASS,50.9,49.1,50.9,2.5,68.5,ELITE MORE,True,50.9375,49.0625,50.9,49.1,68.5,31.5,50.9,31.5,17.5,50.9,49.1,35.1,49.1,15.9,35.1,64.9,22.4,64.9,12.6,22.4,77.6,13.6,77.6,8.8,13.6,86.4,7.5,86.4,6.1,7.5,92.5,4.0,92.5,3.6,4.0,96.0,2.0,96.0,1.9,2.0,98.0,0.9,98.0,1.1,0.9,99.1,0.4,99.1,0.5,68.5,50.9,35.1,22.4,13.6,7.5,4.0,2.0,0.9,0.4,0.1,11.1,16.0,20.6,24.9,29.3,17.6,49.6,22.7,9.4,0.7,31.7,-0.581,-0.606,0.0657,18,25.6,0.123,24.3,28.3,26.6,24.1,17.11,16.99,29.02,25.32,64.1,16.67,10.28,40.2,26.9,28.6,52.5,32.7,0.29,-1.53,-0.162,Erich Bacchus,Carter Jensen,1.0,2.35,92.1,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-25,823600,Nolan McLean,690997,Los Angeles Dodgers,New York Mets,Citi Field,R,7,3.32,10.71,25.82,23.91,24.9,6.12,0.94,Confirmed,1.0,-0.636,-0.251,0.0,85.4,59.1,23.7,78.5,23.21,90.7,0.535,1.0,1.0,1.0,1.0,1.0,5.76,5.76,6.5,5.5,Model fallback,0.26,PASS,PASS,50.4,49.6,50.4,4.5,64.6,STRONG MORE,True,50.425,49.575,50.4,49.6,88.8,11.2,78.0,11.2,10.7,78.0,22.0,64.6,22.0,13.4,64.6,35.4,50.4,35.4,14.2,50.4,49.6,36.6,49.6,13.8,36.6,63.4,25.1,63.4,11.5,25.1,74.9,16.2,74.9,8.9,16.2,83.8,9.9,83.8,6.3,9.9,90.1,5.8,90.1,4.1,5.8,94.2,3.1,94.2,2.7,88.8,78.0,64.6,50.4,36.6,25.1,16.2,9.9,5.8,3.1,1.5,18.5,24.9,30.9,36.6,42.5,17.6,49.6,22.6,9.4,0.9,48.0,-0.062,-0.129,0.0854,18,35.3,0.535,27.3,31.2,22.6,32.9,26.38,22.25,30.17,28.21,56.68,21.15,12.41,51.2,47.8,38.1,49.8,44.3,0.55,-0.79,-0.11,Lance Barrett,Francisco Alvarez,1.0,2.78,90.3,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-25,823027,Andre Pallante,669467,Cincinnati Reds,St. Louis Cardinals,Busch Stadium,R,8,3.77,6.65,15.27,15.36,15.31,3.76,0.992,Confirmed,1.0,-0.704,0.017,0.0,86.8,52.6,22.3,73.8,22.66,86.8,0.455,1.0,1.0,1.0,1.0,1.0,3.73,3.73,3.5,3.5,Model fallback,0.23,PASS,PASS,48.6,51.4,48.6,2.5,65.3,ELITE MORE,True,48.6225,51.3775,48.6,51.4,65.3,34.7,48.6,34.7,16.6,48.6,51.4,33.3,51.4,15.4,33.3,66.7,21.5,66.7,11.8,21.5,78.5,13.0,78.5,8.5,13.0,87.0,7.4,87.0,5.6,7.4,92.6,3.9,92.6,3.5,3.9,96.1,2.0,96.1,1.9,2.0,98.0,0.9,98.0,1.0,0.9,99.1,0.4,99.1,0.6,65.3,48.6,33.3,21.5,13.0,7.4,3.9,2.0,0.9,0.4,0.1,9.1,15.3,21.1,26.4,31.8,17.7,50.4,22.3,9.0,0.5,29.2,-0.612,-0.604,0.0824,18,28.1,-0.178,17.9,30.7,25.0,22.5,16.59,15.75,24.5,25.03,60.38,17.04,8.98,46.0,24.2,29.5,48.6,31.2,0.15,-4.5,-0.275,Emil Jimenez,Iván Herrera,1.0,2.39,90.8,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-25,823197,Robbie Ray,592662,Los Angeles Angels,San Francisco Giants,Oracle Park,L,5,3.16,7.79,18.36,19.69,19.0,4.6,1.013,Confirmed,1.0,-0.493,0.277,0.0,85.3,53.7,24.4,73.1,22.46,86.9,0.615,1.0,1.0,1.0,1.0,1.0,4.66,4.66,4.5,4.5,Model fallback,0.16,PASS,PASS,48.4,51.6,48.4,3.5,63.8,STRONG MORE,True,48.4375,51.5625,48.4,51.6,78.1,21.9,63.8,21.9,14.3,63.8,36.2,48.4,36.2,15.3,48.4,51.6,34.3,51.6,14.2,34.3,65.7,22.7,65.7,11.6,22.7,77.3,14.3,77.3,8.4,14.3,85.7,8.4,85.7,5.9,8.4,91.6,4.6,91.6,3.8,4.6,95.4,2.4,95.4,2.2,2.4,97.6,1.2,97.6,1.2,78.1,63.8,48.4,34.3,22.7,14.3,8.4,4.6,2.4,1.2,0.5,12.4,19.0,25.1,30.8,36.5,17.3,49.8,22.8,9.4,0.7,39.8,-0.327,-0.315,0.0875,18,31.6,-0.194,22.1,23.8,31.2,20.7,20.5,21.13,27.84,21.36,58.53,21.97,12.29,42.1,31.6,38.0,44.9,36.8,-0.8,0.39,0.135,Nic Lentz,Daniel Susac,1.0,2.61,90.1,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-25,822948,Nick Martinez,607259,Cleveland Guardians,Tampa Bay Rays,Tropicana Field,R,5,2.45,5.14,12.9,12.41,12.67,2.87,0.947,Confirmed,1.0,-0.704,0.016,0.016,84.2,60.5,24.6,77.4,20.93,79.4,0.41,1.0,1.0,1.0,1.0,1.0,2.72,2.72,2.5,2.5,Model fallback,0.22,PASS,PASS,48.3,51.7,48.3,2.5,48.3,PASS,False,48.2975,51.70249999999999,48.3,51.7,48.3,51.7,30.2,51.7,18.1,30.2,69.8,17.3,69.8,12.9,17.3,82.7,9.2,82.7,8.1,9.2,90.8,4.4,90.8,4.8,4.4,95.6,1.9,95.6,2.5,1.9,98.1,0.8,98.1,1.1,0.8,99.2,0.4,99.2,0.5,0.4,99.6,0.2,99.6,0.2,0.2,99.8,0.1,99.8,0.1,48.3,30.2,17.3,9.2,4.4,1.9,0.8,0.4,0.2,0.1,0.0,7.3,12.7,17.6,22.2,26.9,17.8,50.6,22.2,8.9,0.4,24.6,-0.708,-0.748,0.0709,18,21.7,-0.618,19.4,25.1,21.0,18.5,13.74,15.69,32.37,23.59,60.48,15.15,9.95,36.9,20.7,26.5,42.7,27.4,-0.4,-4.28,-0.415,Todd Tichenor,Hunter Feduccia,1.0,1.95,91.4,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-25,823841,Eury Pérez,691587,San Diego Padres,Miami Marlins,loanDepot park,R,2,3.56,9.67,27.29,27.54,27.41,6.64,0.991,Confirmed,1.0,-0.184,0.034,0.041,86.0,55.9,23.7,75.6,21.94,86.8,0.505,1.0,1.0,1.0,1.0,1.0,6.57,6.57,6.5,6.5,Model fallback,0.07,PASS,PASS,47.6,52.4,47.6,5.5,60.5,MORE,True,47.635,52.364999999999995,47.6,52.4,92.4,7.6,84.3,7.6,8.1,84.3,15.7,73.3,15.7,11.0,73.3,26.7,60.5,26.7,12.8,60.5,39.5,47.6,39.5,12.9,47.6,52.4,35.8,52.4,11.9,35.8,64.2,25.2,64.2,10.6,25.2,74.8,16.9,74.8,8.3,16.9,83.1,10.9,83.1,6.0,10.9,89.1,6.5,89.1,4.3,92.4,84.3,73.3,60.5,47.6,35.8,25.2,16.9,10.9,6.5,3.7,20.3,27.4,34.6,41.3,48.3,15.7,45.9,23.8,11.6,3.0,71.1,0.572,0.637,0.095,18,38.9,0.848,30.1,25.0,40.7,32.5,30.24,29.56,35.64,27.4,56.91,31.82,21.34,58.8,57.7,46.1,44.9,50.5,-0.02,5.06,0.506,Ryan Additon,Liam Hicks,1.0,3.04,84.5,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
