Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
70,2026-07-21,824005,2026-07-22T01:38:00Z,Pre-Game,Angel Stadium,St. Louis Cardinals @ Los Angeles Angels,Home,545361,Mike Trout,Los Angeles Angels,St. Louis Cardinals,CF,R,Yes,2.0,82,371,297,69,14,0,18,58,39,70,4,95,0.232,0.385,0.461,0.846,8,36,32,7,1,0.219,0.0278,8,36,32,7,1,0.219,0.0278,28,28,0.0,10.7,45.5,27.3,27.3,7.1,25.0,42.9,35.7,0.0,0.0,0.0,,80.2,19.2,0.518,72.9,19.4,Weak,2.0,Pull Power,A,Excellent HR swing plane,19.4,Weak,0.914,Good,0.26,-17.74,Strong negative regression,Weak Pull Power profile. 0.0% barrel rate; 80.2 mph average exit velocity; 25.0% air-ball rate; 42.9% pull-air rate; 0.0% HR-launch rate.,0.0485,0.0445,4.59,28,7,16.5,1.7,169.7,Above normal drought,669461,Matthew Liberatore,L,RHB vs LHP,19,19,93.2,5.0,1.48,17,1.63,8.46,3.46,0.85,1.085,1.025,1.0,0.914,0.914,1.035,18.85,17.0,91.9,47.3,C-,Good
71,2026-07-21,822871,2026-07-22T00:05:00Z,Pre-Game,Globe Life Field,Chicago White Sox @ Texas Rangers,Away,678246,Miguel Vargas,Chicago White Sox,Texas Rangers,3B,R,Yes,3.0,98,427,360,89,23,1,21,68,61,56,6,71,0.247,0.354,0.492,0.846,9,39,37,10,1,0.27,0.0256,23,103,89,25,5,0.281,0.0485,36,36,2.8,27.8,61.1,22.2,16.7,8.3,22.2,62.5,27.8,5.6,2.8,5.6,0.0,83.4,17.9,0.528,71.5,24.3,Weak,2.0,Pull Power,A,Excellent HR swing plane,24.3,Weak,0.928,Good,1.34,-19.66,Strong negative regression,Weak Pull Power profile. 2.8% barrel rate; 83.4 mph average exit velocity; 22.2% air-ball rate; 62.5% pull-air rate; 5.6% HR-launch rate.,0.0492,0.0454,4.55,25,6,17.1,1.46,145.8,Above normal drought,677958,Kumar Rocker,R,RHB vs RHP,18,16,90.0,4.4,1.37,12,1.2,8.0,3.4,0.917,1.016,0.985,1.0,0.928,0.928,1.035,19.06,16.96,95.0,46.6,C-,Good
72,2026-07-21,824085,2026-07-21T23:40:00Z,In Progress,Kauffman Stadium,San Francisco Giants @ Kansas City Royals,Away,669477,Casey Schmitt,San Francisco Giants,Kansas City Royals,LF,R,Yes,3.0,92,388,367,101,17,1,19,44,50,10,7,74,0.275,0.304,0.482,0.786,9,40,37,9,2,0.243,0.05,23,95,90,19,3,0.211,0.0316,32,32,6.2,21.9,63.2,31.6,5.3,21.9,34.4,72.7,18.8,6.2,6.2,6.2,50.0,83.1,30.2,0.593,70.3,29.5,Weak,2.0,Pull Power,C+,High fly-ball plane,29.5,Weak,0.943,Good,1.95,-17.05,Strong negative regression,Weak Pull Power profile. 6.2% barrel rate; 83.1 mph average exit velocity; 34.4% air-ball rate; 72.7% pull-air rate; 6.2% HR-launch rate.,0.049,0.045,4.55,21,5,19.3,1.09,108.7,Near normal interval,679883,Luinder Avila,R,RHB vs RHP,18,9,56.2,5.08,1.62,6,0.95,7.94,5.4,0.971,0.981,0.985,1.0,0.943,0.943,1.0,18.89,16.85,95.0,43.8,C-,Good
73,2026-07-21,824895,2026-07-21T23:15:00Z,In Progress,Truist Park,San Diego Padres @ Atlanta Braves,Home,671739,Michael Harris II,Atlanta Braves,San Diego Padres,CF,L,Yes,5.0,94,372,352,106,18,0,18,49,59,15,2,74,0.301,0.331,0.506,0.837,10,42,40,10,2,0.25,0.0476,24,106,100,29,4,0.29,0.0377,46,46,2.2,37.0,52.2,26.1,21.7,15.2,21.7,60.0,23.9,2.2,0.0,2.2,200.0,85.7,18.1,0.424,73.9,26.1,Weak,2.0,Pull Power,A,Excellent HR swing plane,26.1,Weak,0.933,Good,1.41,-16.59,Strong negative regression,Weak Pull Power profile. 2.2% barrel rate; 85.7 mph average exit velocity; 21.7% air-ball rate; 60.0% pull-air rate; 2.2% HR-launch rate.,0.0484,0.0444,4.29,0,1,19.6,0.0,0.0,Very recent HR,621111,Walker Buehler,R,LHB vs RHP,20,20,90.0,5.3,1.43,12,1.2,8.1,3.6,0.989,1.016,1.025,1.0,0.933,0.933,0.98,17.7,16.74,95.0,42.9,C-,Good
74,2026-07-21,823114,2026-07-22T01:40:00Z,Pre-Game,T-Mobile Park,Cincinnati Reds @ Seattle Mariners,Away,668715,Spencer Steer,Cincinnati Reds,Seattle Mariners,1B,R,No,,95,374,331,81,14,0,16,54,40,34,6,83,0.245,0.324,0.432,0.756,9,38,33,10,2,0.303,0.0526,21,82,73,19,4,0.26,0.0488,29,29,6.9,31.0,52.9,17.6,29.4,20.7,34.5,50.0,24.1,13.8,6.9,13.8,100.0,87.9,16.7,0.602,70.5,42.4,Below Average,2.5,Pull Power,A,Excellent HR swing plane,42.4,Below Average,0.979,Good,2.16,-13.84,Strong negative regression,Below Average Pull Power profile. 6.9% barrel rate; 87.9 mph average exit velocity; 34.5% air-ball rate; 50.0% pull-air rate; 13.8% HR-launch rate.,0.0428,0.0402,4.05,11,3,20.7,0.53,53.2,Recently homered,622491,Luis Castillo,R,RHB vs RHP,18,15,87.2,4.93,1.37,12,1.23,8.32,2.87,1.107,1.021,0.985,1.0,0.979,0.979,1.0,15.3,16.57,83.6,39.8,D+,Lineup unconfirmed
75,2026-07-21,822787,2026-07-21T23:07:00Z,In Progress,Rogers Centre,Tampa Bay Rays @ Toronto Blue Jays,Away,668723,Ryan Vilade,Tampa Bay Rays,Toronto Blue Jays,RF,R,No,,55,167,148,38,7,1,7,17,31,14,1,33,0.257,0.319,0.459,0.778,5,16,15,3,1,0.2,0.0625,10,36,33,5,2,0.152,0.0556,16,16,0.0,18.8,66.7,22.2,11.1,6.2,18.8,100.0,31.2,0.0,0.0,0.0,,87.1,7.4,0.399,77.8,29.2,Weak,2.0,Pull Power,C,Low line-drive plane,29.2,Weak,0.942,Small Statcast sample,0.39,-6.61,Strong negative regression,Weak Pull Power profile. 0.0% barrel rate; 87.1 mph average exit velocity; 18.8% air-ball rate; 100.0% pull-air rate; 0.0% HR-launch rate.,0.0419,0.0378,4.05,10,3,21.1,0.47,47.3,Recently homered,592332,Kevin Gausman,R,RHB vs RHP,21,21,113.1,4.53,1.25,15,1.19,9.29,2.62,1.229,1.014,0.985,1.0,0.942,0.942,1.0,14.44,16.54,66.8,37.7,D+,Lineup unconfirmed
76,2026-07-21,822871,2026-07-22T00:05:00Z,Pre-Game,Globe Life Field,Chicago White Sox @ Texas Rangers,Away,695657,Colson Montgomery,Chicago White Sox,Texas Rangers,SS,L,No,,95,398,356,79,17,0,24,48,57,33,9,129,0.222,0.304,0.472,0.776,9,38,35,8,1,0.229,0.0263,22,94,89,20,4,0.225,0.0426,16,16,6.2,25.0,22.2,44.4,33.3,12.5,31.2,20.0,25.0,6.2,6.2,6.2,100.0,79.2,19.3,0.874,74.9,25.8,Weak,2.0,Contact-First Profile,A,Excellent HR swing plane,25.8,Weak,0.932,Small Statcast sample,0.76,-23.24,Strong negative regression,Weak Contact-First Profile profile. 6.2% barrel rate; 79.2 mph average exit velocity; 31.2% air-ball rate; 20.0% pull-air rate; 6.2% HR-launch rate.,0.0603,0.0537,4.05,4,1,14.8,0.27,27.0,Very recent HR,677958,Kumar Rocker,R,LHB vs RHP,18,16,90.0,4.4,1.37,12,1.2,8.0,3.4,0.85,1.016,1.025,1.0,0.932,0.932,0.98,20.05,16.47,84.5,40.1,D+,Lineup unconfirmed
77,2026-07-21,824409,2026-07-21T22:40:00Z,In Progress,Progressive Field,Minnesota Twins @ Cleveland Guardians,Home,800050,Chase DeLauter,Cleveland Guardians,Minnesota Twins,RF,L,Yes,3.0,85,352,317,91,19,1,11,34,50,33,0,48,0.287,0.352,0.457,0.809,10,42,38,14,3,0.368,0.0714,19,82,77,28,4,0.364,0.0488,38,38,7.9,34.2,33.3,38.1,28.6,13.2,31.6,33.3,36.8,13.2,10.5,13.2,33.3,84.1,10.6,0.764,71.3,39.7,Below Average,2.5,Contact-First Profile,A,Excellent HR swing plane,39.7,Below Average,0.971,Good,2.69,-8.31,Strong negative regression,Below Average Contact-First Profile profile. 7.9% barrel rate; 84.1 mph average exit velocity; 31.6% air-ball rate; 33.3% pull-air rate; 13.2% HR-launch rate.,0.0312,0.0314,4.49,18,5,28.8,0.62,62.5,Recently homered,696070,Kendry Rojas,L,LHB vs LHP,9,3,21.2,3.32,1.57,1,0.42,9.97,7.48,1.35,0.967,0.985,1.0,0.971,0.971,1.0,13.36,16.46,95.0,42.0,C-,Good
78,2026-07-21,823760,2026-07-21T23:40:00Z,Warmup,American Family Field,New York Mets @ Milwaukee Brewers,Home,641343,Jake Bauers,Milwaukee Brewers,New York Mets,1B,L,No,,91,362,308,79,15,1,18,57,59,50,3,98,0.256,0.365,0.487,0.852,9,37,28,4,2,0.143,0.0541,25,99,82,18,5,0.22,0.0505,24,24,8.3,25.0,25.0,25.0,50.0,20.8,25.0,16.7,33.3,8.3,4.2,8.3,50.0,82.4,19.0,1.002,74.6,23.4,Weak,2.0,Contact-First Profile,A,Excellent HR swing plane,23.4,Weak,0.926,Good,1.49,-16.51,Strong negative regression,Weak Contact-First Profile profile. 8.3% barrel rate; 82.4 mph average exit velocity; 25.0% air-ball rate; 16.7% pull-air rate; 8.3% HR-launch rate.,0.0497,0.0453,4.09,18,6,17.1,1.05,105.2,Near normal interval,804267,Zac Thornton,L,LHB vs LHP,3,3,17.1,2.6,0.92,1,0.52,7.79,2.6,1.063,0.977,0.985,1.0,0.926,0.926,1.0,17.28,16.42,84.9,42.6,C-,Lineup unconfirmed
79,2026-07-21,824895,2026-07-21T23:15:00Z,In Progress,Truist Park,San Diego Padres @ Atlanta Braves,Home,663698,Joey Bart,Atlanta Braves,San Diego Padres,C,R,No,,36,103,93,20,3,0,4,12,13,4,5,29,0.215,0.282,0.376,0.658,6,15,13,2,1,0.154,0.0667,13,34,28,5,2,0.179,0.0588,8,8,0.0,0.0,25.0,75.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,,80.1,12.2,0.336,76.1,32.4,Weak,2.5,Contact-First Profile,A,Excellent HR swing plane,32.4,Weak,0.951,Small Statcast sample,0.0,-4.0,Strong negative regression,Weak Contact-First Profile profile. 0.0% barrel rate; 80.1 mph average exit velocity; 25.0% air-ball rate; 0.0% pull-air rate; 0.0% HR-launch rate.,0.0388,0.0352,3.93,10,5,23.2,0.43,43.0,Recently homered,621111,Walker Buehler,R,RHB vs RHP,20,20,90.0,5.3,1.43,12,1.2,8.1,3.6,1.313,1.016,0.985,1.0,0.951,0.951,1.0,13.12,16.18,62.1,34.7,D,Lineup unconfirmed
