Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Pull Air %,Sweet Spot %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
86,2026-07-20,824654,2026-07-21T00:05:00Z,Pre-Game,Wrigley Field,Detroit Tigers @ Chicago Cubs,Away,693307,Dillon Dingler,Detroit Tigers,Chicago Cubs,C,R,Yes,5.0,90,374,335,87,20,2,19,49,60,23,11,80,0.26,0.325,0.501,0.826,7,26,22,4,0,0.182,0.0,21,87,80,19,2,0.238,0.023,20,20,0.0,25.0,36.4,27.3,36.4,0.0,16.7,30.0,83.2,10.7,0.328,71.3,6.9,Weak,0.88,Good,0.0508,0.0462,4.35,59,16,17.6,3.35,334.6,Very long drought,592791,Jameson Taillon,R,RHB vs RHP,13,13,67.2,5.19,1.3,20,2.66,7.85,3.06,0.766,1.2,0.985,1.0,0.88,0.88,1.06,18.61,15.92,95.0,49.4,C,Good
87,2026-07-20,822874,2026-07-21T00:05:00Z,Pre-Game,Globe Life Field,Chicago White Sox @ Texas Rangers,Home,677649,Ezequiel Duran,Texas Rangers,Chicago White Sox,SS,R,Yes,6.0,90,337,306,81,16,2,10,41,50,26,1,79,0.265,0.321,0.428,0.749,9,36,31,6,3,0.194,0.0833,23,91,84,20,5,0.238,0.0549,35,35,5.7,14.3,50.0,0.0,50.0,8.6,50.0,42.9,78.9,21.0,0.577,68.6,32.9,Below Average,0.952,Good,0.0297,0.0303,4.14,12,4,30.6,0.39,39.2,Recently homered,607200,Erick Fedde,R,RHB vs RHP,19,9,89.0,4.15,1.42,15,1.52,6.07,3.54,1.35,1.067,0.985,1.0,0.952,0.952,1.0,11.95,15.88,95.0,40.2,D+,Good
88,2026-07-20,822788,2026-07-20T23:07:00Z,Pre-Game,Rogers Centre,Tampa Bay Rays @ Toronto Blue Jays,Away,668723,Ryan Vilade,Tampa Bay Rays,Toronto Blue Jays,RF,R,No,,55,167,148,38,7,1,7,17,31,14,1,33,0.257,0.319,0.459,0.778,5,16,15,3,1,0.2,0.0625,11,40,37,6,3,0.162,0.075,17,17,5.9,23.5,70.0,20.0,10.0,5.9,80.0,35.3,88.1,8.2,0.519,77.8,36.5,Below Average,0.962,Small Statcast sample,0.0419,0.0378,4.05,10,3,21.1,0.47,47.3,Recently homered,656302,Dylan Cease,R,RHB vs RHP,17,17,98.1,2.56,1.13,5,0.46,13.55,4.03,1.297,0.898,0.985,1.0,0.962,0.962,1.0,14.44,15.84,67.1,36.7,D+,Lineup unconfirmed
89,2026-07-20,825058,2026-07-21T01:40:00Z,Scheduled,Chase Field,Athletics @ Arizona Diamondbacks,Home,606466,Ketel Marte,Arizona Diamondbacks,Athletics,2B,S,No,,95,419,384,99,19,3,17,53,56,30,2,62,0.258,0.313,0.456,0.769,9,41,39,7,0,0.179,0.0,23,103,96,25,5,0.26,0.0485,39,39,0.0,20.5,60.0,20.0,20.0,5.1,62.5,23.1,79.9,17.2,0.387,73.2,19.5,Weak,0.915,Good,0.0406,0.0387,3.99,59,14,22.6,2.61,261.2,Very long drought,605488,Jeffrey Springs,L,Switch vs LHP,19,19,97.2,6.08,1.42,26,2.4,7.74,3.41,0.903,1.2,1.035,1.0,0.915,0.915,1.06,14.56,15.75,85.0,46.9,C-,Lineup unconfirmed
90,2026-07-20,824410,2026-07-20T22:40:00Z,Pre-Game,Progressive Field,Minnesota Twins @ Cleveland Guardians,Home,656555,Rhys Hoskins,Cleveland Guardians,Minnesota Twins,1B,R,Yes,5.0,78,269,220,39,13,0,9,28,31,42,3,86,0.177,0.312,0.359,0.671,5,18,17,3,2,0.176,0.1111,17,51,43,8,2,0.186,0.0392,14,14,7.1,14.3,80.0,20.0,0.0,21.4,75.0,42.9,84.3,18.4,0.466,70.3,39.5,Below Average,0.971,Small Statcast sample,0.0335,0.033,4.29,10,3,24.4,0.41,40.9,Recently homered,657746,Joe Ryan,R,RHB vs RHP,20,20,110.1,2.85,1.05,10,0.82,10.44,2.04,1.298,0.955,0.985,1.0,0.971,0.971,1.0,13.41,15.73,87.3,37.7,D+,Good
91,2026-07-20,824167,2026-07-21T00:10:00Z,Pre-Game,Daikin Park,Miami Marlins @ Houston Astros,Away,669065,Kyle Stowers,Miami Marlins,Houston Astros,LF,L,Yes,1.0,75,317,279,64,16,3,12,36,42,29,6,102,0.229,0.313,0.437,0.75,9,35,32,3,1,0.094,0.0286,22,93,84,21,5,0.25,0.0538,21,21,0.0,14.3,55.6,11.1,33.3,14.3,50.0,28.6,79.0,19.9,0.283,74.8,19.6,Weak,0.915,Good,0.0379,0.0362,4.75,25,7,23.2,1.08,107.5,Near normal interval,669854,Ronel Blanco,R,LHB vs RHP,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.04,1.0,1.025,1.0,0.915,0.915,1.0,16.09,15.72,84.1,39.9,D+,Probable SP unavailable
92,2026-07-20,823522,2026-07-20T23:05:00Z,Pre-Game,Yankee Stadium,Pittsburgh Pirates @ New York Yankees,Away,680779,Henry Davis,Pittsburgh Pirates,New York Yankees,C,R,Yes,8.0,64,196,171,28,5,0,8,24,27,18,5,42,0.164,0.262,0.333,0.595,7,24,20,4,1,0.2,0.0417,15,44,39,10,3,0.256,0.0682,19,19,0.0,31.6,55.6,11.1,33.3,5.3,40.0,52.6,87.3,11.6,0.545,61.5,27.8,Weak,0.938,Small Statcast sample,0.0408,0.0375,3.98,8,2,21.4,0.37,37.4,Recently homered,677960,Ryan Weathers,L,RHB vs LHP,18,18,97.2,4.15,1.24,16,1.47,10.14,2.49,1.172,1.059,1.025,0.94,0.938,0.882,1.0,14.1,15.71,81.5,36.5,D+,Good
93,2026-07-20,823436,2026-07-20T23:10:00Z,Pre-Game,Citizens Bank Park,Los Angeles Dodgers @ Philadelphia Phillies,Home,669016,Brandon Marsh,Philadelphia Phillies,Los Angeles Dodgers,LF,L,Yes,5.0,95,376,351,103,15,2,15,52,46,20,2,100,0.293,0.332,0.476,0.808,9,34,30,5,0,0.167,0.0,24,101,94,22,6,0.234,0.0594,25,25,0.0,8.0,58.3,16.7,25.0,12.0,40.0,16.0,80.2,14.9,0.356,68.0,13.7,Weak,0.898,Good,0.0399,0.038,4.29,47,13,23.4,2.01,200.9,Very long drought,686218,Emmet Sheehan,R,LHB vs RHP,17,17,82.1,4.81,1.24,15,1.64,10.17,2.84,0.959,1.086,1.025,1.0,0.898,0.898,1.06,15.31,15.54,95.0,46.3,C-,Good
94,2026-07-20,824328,2026-07-21T00:40:00Z,Pre-Game,Coors Field,Washington Nationals @ Colorado Rockies,Away,677588,José Tena,Washington Nationals,Colorado Rockies,DH,L,No,,73,191,174,42,10,2,5,24,20,15,2,57,0.241,0.309,0.408,0.717,6,14,12,4,1,0.333,0.0714,17,47,40,13,2,0.325,0.0426,7,7,0.0,57.1,60.0,40.0,0.0,0.0,50.0,28.6,93.4,-12.4,0.595,73.7,49.0,Average,0.997,Small Statcast sample,0.0262,0.0284,4.05,11,5,34.8,0.32,31.6,Very recent HR,607536,Kyle Freeland,L,LHB vs LHP,17,17,88.0,7.36,1.57,18,1.84,8.08,1.84,1.329,1.118,0.985,1.0,0.997,0.997,0.98,11.02,15.48,69.4,35.5,D,Lineup unconfirmed
95,2026-07-20,822874,2026-07-21T00:05:00Z,Pre-Game,Globe Life Field,Chicago White Sox @ Texas Rangers,Away,545341,Randal Grichuk,Chicago White Sox,Texas Rangers,DH,R,No,,64,150,142,35,10,0,9,22,23,6,1,34,0.246,0.28,0.507,0.787,6,19,18,2,0,0.111,0.0,16,40,39,8,2,0.205,0.05,17,17,0.0,29.4,28.6,57.1,14.3,5.9,50.0,17.6,84.8,17.3,0.342,74.5,23.5,Weak,0.926,Small Statcast sample,0.06,0.0476,3.99,31,12,15.8,1.96,196.5,Above normal drought,594798,Jacob deGrom,R,RHB vs RHP,18,18,100.2,3.49,1.01,16,1.43,10.91,1.97,0.866,1.053,0.985,1.0,0.926,0.926,1.035,17.67,15.36,65.9,41.4,D+,Lineup unconfirmed
96,2026-07-20,822788,2026-07-20T23:07:00Z,Pre-Game,Rogers Centre,Tampa Bay Rays @ Toronto Blue Jays,Home,678218,Brandon Valenzuela,Toronto Blue Jays,Tampa Bay Rays,C,S,No,,59,191,169,40,6,0,8,20,21,20,0,49,0.237,0.316,0.414,0.73,4,15,15,4,1,0.267,0.0667,10,34,31,4,1,0.129,0.0294,14,14,7.1,35.7,28.6,42.9,28.6,28.6,40.0,28.6,85.8,18.6,0.508,69.7,39.1,Below Average,0.969,Small Statcast sample,0.0419,0.0381,3.99,3,1,21.1,0.14,14.2,Very recent HR,607259,Nick Martinez,R,Switch vs RHP,18,18,105.1,2.65,1.12,11,0.94,5.3,1.62,1.12,0.974,1.035,1.0,0.969,0.969,0.98,14.35,15.33,68.4,35.3,D,Lineup unconfirmed
97,2026-07-20,823522,2026-07-20T23:05:00Z,Pre-Game,Yankee Stadium,Pittsburgh Pirates @ New York Yankees,Away,542303,Marcell Ozuna,Pittsburgh Pirates,New York Yankees,DH,R,Yes,6.0,62,254,228,47,5,0,8,19,28,24,2,78,0.206,0.287,0.333,0.62,4,16,15,4,1,0.267,0.0625,9,37,32,8,2,0.25,0.0541,20,20,5.0,10.0,12.5,37.5,50.0,15.0,25.0,30.0,79.9,17.8,0.565,71.0,13.4,Weak,0.898,Good,0.0315,0.0317,4.2,4,1,28.5,0.14,14.0,Very recent HR,677960,Ryan Weathers,L,RHB vs LHP,18,18,97.2,4.15,1.24,16,1.47,10.14,2.49,1.342,1.059,1.025,0.94,0.898,0.844,0.98,12.64,15.06,85.1,36.0,D+,Good
98,2026-07-20,823112,2026-07-21T01:40:00Z,Pre-Game,T-Mobile Park,Cincinnati Reds @ Seattle Mariners,Away,663886,Tyler Stephenson,Cincinnati Reds,Seattle Mariners,C,R,Yes,6.0,75,265,235,58,11,0,8,20,27,28,0,66,0.247,0.325,0.396,0.721,7,25,25,9,2,0.36,0.08,16,58,54,20,3,0.37,0.0517,28,28,10.7,28.6,61.5,23.1,15.4,17.9,66.7,35.7,83.5,14.7,0.983,70.0,42.0,Below Average,0.978,Good,0.0302,0.0308,4.2,0,0,29.4,0.0,0.0,Very recent HR,669923,George Kirby,R,RHB vs RHP,18,18,110.0,3.76,1.32,11,0.9,8.02,1.96,1.35,0.968,0.985,1.0,0.978,0.978,0.98,12.3,14.99,87.6,37.3,D+,Good
99,2026-07-20,823762,2026-07-20T23:40:00Z,Pre-Game,American Family Field,New York Mets @ Milwaukee Brewers,Away,805999,A.J. Ewing,New York Mets,Milwaukee Brewers,CF,L,Yes,1.0,60,236,210,58,10,1,7,27,25,22,1,62,0.276,0.346,0.433,0.779,9,41,40,14,2,0.35,0.0488,24,98,90,27,5,0.3,0.051,26,26,0.0,23.1,66.7,6.7,26.7,3.8,66.7,15.4,83.0,1.5,0.323,67.7,18.6,Weak,0.912,Good,0.0297,0.0304,4.75,31,7,30.0,1.03,103.3,Near normal interval,694819,Jacob Misiorowski,R,LHB vs RHP,18,18,111.0,1.62,0.76,9,0.73,13.54,2.19,1.254,0.941,1.025,1.0,0.912,0.912,1.0,13.66,14.98,88.7,39.6,D+,Good
100,2026-07-20,824167,2026-07-21T00:10:00Z,Pre-Game,Daikin Park,Miami Marlins @ Houston Astros,Away,665923,Esteury Ruiz,Miami Marlins,Houston Astros,RF,R,No,,60,123,101,25,8,1,5,25,10,15,5,35,0.248,0.369,0.495,0.864,6,16,11,3,1,0.273,0.0625,18,39,31,7,1,0.226,0.0256,10,10,10.0,20.0,75.0,25.0,0.0,20.0,100.0,30.0,72.8,27.7,1.094,61.9,44.1,Below Average,0.983,Small Statcast sample,0.0407,0.0364,4.15,0,0,20.2,0.0,0.0,Very recent HR,669854,Ronel Blanco,R,RHB vs RHP,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.105,1.0,0.985,1.0,0.983,0.983,0.98,14.25,14.91,53.9,34.6,D,Probable SP unavailable; Lineup unconfirmed
