Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Pull Air %,Sweet Spot %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
72,2026-07-20,824006,2026-07-21T02:10:00Z,Scheduled,Angel Stadium,St. Louis Cardinals @ Los Angeles Angels,Away,691023,Jordan Walker,St. Louis Cardinals,Los Angeles Angels,RF,R,No,,96,410,370,108,20,0,22,63,76,34,3,101,0.292,0.354,0.524,0.878,10,42,39,12,2,0.308,0.0476,23,96,82,23,4,0.28,0.0417,30,30,3.3,20.0,29.4,52.9,17.6,6.7,33.3,20.0,81.7,7.0,0.362,76.6,12.8,Weak,0.896,Good,0.0537,0.0488,4.15,23,6,16.8,1.37,136.8,Above normal drought,667755,José Soriano,R,RHB vs RHP,20,20,111.0,3.49,1.29,12,0.97,9.32,4.3,0.969,0.979,0.985,1.03,0.896,0.923,1.035,18.73,16.86,84.7,45.1,C-,Lineup unconfirmed
73,2026-07-20,824006,2026-07-21T02:10:00Z,Scheduled,Angel Stadium,St. Louis Cardinals @ Los Angeles Angels,Away,699625,Jimmy Crooks,St. Louis Cardinals,Los Angeles Angels,C,L,No,,27,75,65,12,2,0,3,4,9,7,3,24,0.185,0.293,0.354,0.647,6,13,10,3,2,0.3,0.1538,14,34,29,6,2,0.207,0.0588,8,8,12.5,37.5,75.0,25.0,0.0,25.0,75.0,50.0,91.6,19.1,1.388,71.7,53.7,Average,1.01,Small Statcast sample,0.04,0.0351,3.93,0,0,21.7,0.0,0.0,Very recent HR,667755,José Soriano,R,LHB vs RHP,20,20,111.0,3.49,1.29,12,0.97,9.32,4.3,1.345,0.979,1.025,0.975,1.01,0.985,0.98,13.09,16.79,60.1,35.3,D,Small season sample; Lineup unconfirmed
74,2026-07-20,823522,2026-07-20T23:05:00Z,Pre-Game,Yankee Stadium,Pittsburgh Pirates @ New York Yankees,Away,664040,Brandon Lowe,Pittsburgh Pirates,New York Yankees,2B,L,Yes,2.0,92,410,363,90,21,1,21,61,65,38,2,110,0.248,0.317,0.485,0.802,8,34,32,10,0,0.312,0.0,21,98,89,23,3,0.258,0.0306,26,26,3.8,34.6,72.7,18.2,9.1,19.2,66.7,38.5,85.7,29.6,0.624,71.3,36.3,Below Average,0.962,Good,0.0512,0.0469,4.65,32,8,17.3,1.85,185.1,Above normal drought,677960,Ryan Weathers,L,LHB vs LHP,18,18,97.2,4.15,1.24,16,1.47,10.14,2.49,0.795,1.059,0.985,1.0,0.962,0.962,1.035,20.01,16.76,95.0,47.4,C-,Good
75,2026-07-20,824736,2026-07-20T23:10:00Z,Pre-Game,Fenway Park,Baltimore Orioles @ Boston Red Sox,Away,641933,Tyler O'Neill,Baltimore Orioles,Boston Red Sox,RF,R,Yes,4.0,60,177,156,31,6,0,6,21,13,19,2,51,0.199,0.294,0.353,0.647,7,15,15,5,3,0.333,0.2,14,36,31,8,4,0.258,0.1111,9,9,0.0,11.1,0.0,0.0,100.0,22.2,0.0,0.0,79.9,35.6,0.055,72.6,28.3,Weak,0.939,Small Statcast sample,0.0339,0.0331,4.48,8,4,26.0,0.31,30.8,Very recent HR,801139,Payton Tolle,L,RHB vs LHP,15,15,84.0,3.11,1.07,8,0.86,9.32,2.68,1.35,0.962,1.025,0.975,0.939,0.916,0.98,14.01,16.54,79.5,37.6,D+,Good
76,2026-07-20,823436,2026-07-20T23:10:00Z,Pre-Game,Citizens Bank Park,Los Angeles Dodgers @ Philadelphia Phillies,Home,547180,Bryce Harper,Philadelphia Phillies,Los Angeles Dodgers,1B,L,Yes,3.0,100,421,353,91,18,2,20,59,59,61,1,87,0.258,0.363,0.49,0.853,9,39,34,5,0,0.147,0.0,24,105,90,23,4,0.256,0.0381,39,39,0.0,17.9,60.0,26.7,13.3,12.8,50.0,17.9,79.5,28.6,0.323,72.2,17.7,Weak,0.91,Good,0.0475,0.0441,4.49,55,15,17.6,3.12,311.6,Very long drought,686218,Emmet Sheehan,R,LHB vs RHP,17,17,82.1,4.81,1.24,15,1.64,10.17,2.84,0.833,1.086,1.025,1.0,0.91,0.91,1.06,18.32,16.51,95.0,50.8,C,Good
77,2026-07-20,823112,2026-07-21T01:40:00Z,Pre-Game,T-Mobile Park,Cincinnati Reds @ Seattle Mariners,Away,668715,Spencer Steer,Cincinnati Reds,Seattle Mariners,1B,R,Yes,4.0,94,371,329,81,14,0,16,54,40,34,5,82,0.246,0.324,0.435,0.759,9,39,35,11,2,0.314,0.0513,21,83,75,20,4,0.267,0.0482,40,40,5.0,32.5,42.9,28.6,28.6,15.0,38.5,30.0,84.9,13.4,0.621,69.8,26.4,Weak,0.934,Good,0.0431,0.0404,4.48,9,2,20.6,0.44,43.8,Recently homered,669923,George Kirby,R,RHB vs RHP,18,18,110.0,3.76,1.32,11,0.9,8.02,1.96,1.094,0.968,0.985,1.0,0.934,0.934,1.0,16.87,16.46,95.0,41.3,D+,Good
78,2026-07-20,824654,2026-07-21T00:05:00Z,Pre-Game,Wrigley Field,Detroit Tigers @ Chicago Cubs,Away,668670,Jake Rogers,Detroit Tigers,Chicago Cubs,C,R,No,,34,103,87,15,2,1,3,11,9,12,1,30,0.172,0.275,0.322,0.597,5,13,8,4,2,0.5,0.1538,9,28,22,5,2,0.227,0.0714,6,6,16.7,50.0,0.0,75.0,25.0,33.3,0.0,33.3,88.3,15.3,0.782,71.8,51.9,Average,1.005,Small Statcast sample,0.0291,0.0307,3.87,5,3,29.0,0.17,17.2,Very recent HR,592791,Jameson Taillon,R,RHB vs RHP,13,13,67.2,5.19,1.3,20,2.66,7.85,3.06,1.35,1.2,0.985,0.94,1.005,0.945,0.98,11.36,16.43,61.6,34.9,D,Lineup unconfirmed
79,2026-07-20,823436,2026-07-20T23:10:00Z,Pre-Game,Citizens Bank Park,Los Angeles Dodgers @ Philadelphia Phillies,Home,607208,Trea Turner,Philadelphia Phillies,Los Angeles Dodgers,SS,R,Yes,1.0,97,428,397,96,17,0,12,66,35,27,2,95,0.242,0.292,0.375,0.667,8,35,29,7,2,0.241,0.0571,23,104,96,28,5,0.292,0.0481,28,28,3.6,28.6,25.0,25.0,50.0,10.7,30.0,50.0,83.7,13.5,0.674,70.8,20.8,Weak,0.918,Good,0.028,0.0289,4.69,3,1,33.1,0.09,9.1,Very recent HR,686218,Emmet Sheehan,R,RHB vs RHP,17,17,82.1,4.81,1.24,15,1.64,10.17,2.84,1.334,1.086,0.985,1.0,0.918,0.918,0.98,12.85,16.26,95.0,39.6,D+,Good
80,2026-07-20,823112,2026-07-21T01:40:00Z,Pre-Game,T-Mobile Park,Cincinnati Reds @ Seattle Mariners,Home,702284,Cole Young,Seattle Mariners,Cincinnati Reds,2B,L,Yes,7.0,100,395,359,92,14,1,13,48,48,25,7,71,0.256,0.315,0.409,0.724,9,34,32,8,4,0.25,0.1176,22,81,77,21,7,0.273,0.0864,30,30,6.7,36.7,47.4,21.1,31.6,20.0,50.0,33.3,86.0,28.2,0.647,71.4,39.0,Below Average,0.969,Good,0.0329,0.0327,4.02,0,0,27.6,0.0,0.0,Very recent HR,671096,Andrew Abbott,L,LHB vs LHP,20,20,105.0,4.11,1.42,16,1.37,7.2,4.11,1.35,1.043,0.985,1.0,0.969,0.969,0.98,12.51,16.23,95.0,40.4,D+,Good
81,2026-07-20,824898,2026-07-20T23:15:00Z,Pre-Game,Truist Park,San Diego Padres @ Atlanta Braves,Away,669134,Luis Campusano,San Diego Padres,Atlanta Braves,C,R,No,,28,87,74,22,7,0,4,14,12,12,1,20,0.297,0.402,0.554,0.956,7,22,17,6,1,0.353,0.0455,10,29,22,7,1,0.318,0.0345,12,12,0.0,16.7,40.0,20.0,40.0,0.0,50.0,41.7,80.7,27.8,0.421,69.8,36.7,Below Average,0.963,Small Statcast sample,0.046,0.0379,4.31,11,5,18.5,0.59,59.5,Recently homered,693821,Bryce Elder,R,RHB vs RHP,18,18,102.2,4.12,1.25,15,1.31,7.54,2.81,1.028,1.034,0.985,1.055,0.963,1.016,1.0,15.33,16.23,60.5,39.0,D+,Lineup unconfirmed
82,2026-07-20,823762,2026-07-20T23:40:00Z,Pre-Game,American Family Field,New York Mets @ Milwaukee Brewers,Away,596019,Francisco Lindor,New York Mets,Milwaukee Brewers,SS,S,Yes,4.0,43,184,164,36,4,3,6,23,15,18,2,30,0.22,0.304,0.39,0.694,9,34,30,7,2,0.233,0.0588,19,79,71,15,4,0.211,0.0506,38,38,7.9,36.8,47.1,35.3,17.6,18.4,42.9,42.1,87.2,26.3,0.593,71.6,41.7,Below Average,0.977,Good,0.0326,0.0324,4.48,0,0,27.3,0.0,0.0,Very recent HR,694819,Jacob Misiorowski,R,Switch vs RHP,18,18,111.0,1.62,0.76,9,0.73,13.54,2.19,1.281,0.941,1.035,1.0,0.977,0.977,0.98,13.71,16.19,83.5,38.3,D+,Good
83,2026-07-20,823522,2026-07-20T23:05:00Z,Pre-Game,Yankee Stadium,Pittsburgh Pirates @ New York Yankees,Home,665862,Jazz Chisholm Jr.,New York Yankees,Pittsburgh Pirates,2B,L,Yes,5.0,94,371,330,74,13,2,14,49,38,37,1,110,0.224,0.302,0.403,0.705,8,32,30,7,2,0.233,0.0625,22,78,73,16,3,0.219,0.0385,28,28,7.1,35.7,53.8,7.7,38.5,10.7,40.0,25.0,83.6,15.1,0.781,71.2,29.7,Weak,0.943,Good,0.0377,0.0363,4.29,0,0,23.6,0.0,0.0,Very recent HR,677952,Braxton Ashcraft,R,LHB vs RHP,19,19,113.1,3.49,1.11,14,1.11,10.16,2.14,1.169,1.002,1.025,1.0,0.943,0.943,0.98,14.68,16.18,95.0,40.0,D+,Good
84,2026-07-20,824087,2026-07-20T23:40:00Z,Pre-Game,Kauffman Stadium,San Francisco Giants @ Kansas City Royals,Home,657041,Lane Thomas,Kansas City Royals,San Francisco Giants,CF,R,Yes,4.0,85,282,242,58,16,0,9,29,34,36,2,62,0.24,0.34,0.417,0.757,9,39,35,12,3,0.343,0.0769,23,94,87,22,4,0.253,0.0426,27,27,7.4,44.4,64.7,17.6,17.6,14.8,66.7,25.9,86.9,12.4,0.816,70.5,45.5,Average,0.987,Good,0.0319,0.0319,4.42,3,1,26.9,0.11,11.2,Very recent HR,686790,Trevor McDonald,R,RHB vs RHP,13,13,66.1,5.02,1.3,6,0.81,7.33,2.85,1.324,0.956,0.985,1.0,0.987,0.987,0.98,13.37,15.94,91.7,40.0,D+,Good
85,2026-07-20,822874,2026-07-21T00:05:00Z,Pre-Game,Globe Life Field,Chicago White Sox @ Texas Rangers,Home,543309,Kyle Higashioka,Texas Rangers,Chicago White Sox,C,R,No,,57,185,165,36,4,0,7,20,18,18,2,47,0.218,0.303,0.37,0.673,7,21,19,5,2,0.263,0.0952,14,49,42,8,2,0.19,0.0408,27,27,3.7,14.8,50.0,30.0,20.0,11.1,37.5,18.5,79.6,30.0,0.474,65.3,14.7,Weak,0.901,Good,0.0378,0.0355,3.99,6,2,23.6,0.25,25.5,Very recent HR,607200,Erick Fedde,R,RHB vs RHP,19,9,89.0,4.15,1.42,15,1.52,6.07,3.54,1.291,1.067,0.985,1.0,0.901,0.901,0.98,13.44,15.94,69.1,35.5,D,Lineup unconfirmed
