player_id,player_name,team,opponent,position,depth_chart_position,rushing_depth_role,receiving_depth_role,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_receiving_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,prob_5_plus,prob_10_plus,prob_15_plus,prob_20_plus,prob_25_plus,prob_30_plus,prob_35_plus,prob_40_plus,prob_45_plus,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,prob_75_plus,prob_80_plus,prob_85_plus,prob_90_plus,prob_95_plus,prob_100_plus,prob_105_plus,prob_110_plus,prob_115_plus,prob_120_plus,prob_125_plus,prob_130_plus,prob_135_plus,prob_140_plus,prob_145_plus,prob_150_plus,projected_targets,target_share,projected_receptions,catch_rate,yards_per_target,yards_per_reception,team_target_budget,team_receiving_yard_budget,receiving_allocation_source
00-0039075,Puka Nacua,LAR,SF,WR,WR,,WR1,ACT,3.0,2026,REG,1,2026 REG W1,401872657,2026-09-11T00:35Z,home,107.457,107.749,107.423,42.404,172.317,50.003,44,139.2,109.9,105.667,107.188,11.8,1.0,1.016,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,97.84,97.27,96.59,95.78,94.86,93.76,92.42,90.85,89.08,87.13,84.92,82.41,79.8,76.84,73.66,70.37,66.91,63.25,59.58,55.76,51.96,47.98,44.06,40.2,36.43,32.87,29.49,26.19,23.04,20.18,11.954,33.09,8.398,70.25,9.772,12.795,33.24,259.28,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0036900,Ja'Marr Chase,CIN,TB,WR,WR,,WR1,ACT,5.0,2026,REG,1,2026 REG W1,401872925,2026-09-13T17:00Z,home,89.716,89.741,89.515,38.025,141.273,39.776,49,88.2,94.4,92.4,88.25,10.8,1.0,1.15,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,98.26,97.62,96.8,95.86,94.61,93.12,91.31,89.1,86.58,83.68,80.43,76.75,72.77,68.59,64.1,59.41,54.45,49.52,44.61,39.7,35.02,30.64,26.4,22.49,19.02,15.79,13.1,10.6,8.47,6.66,11.638,32.57,7.953,68.33,7.7,11.281,32.87,243.13,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0038543,Jaxon Smith-Njigba,SEA,NE,WR,WR,,WR1,ACT,3.0,2026,REG,1,2026 REG W1,401872656,2026-09-10T00:20Z,home,85.744,86.016,85.821,33.237,138.178,40.232,52,97.4,96.7,106.133,122.0,10.6,1.0,0.962,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,97.62,96.85,95.83,94.6,93.1,91.35,89.27,86.76,84.05,80.96,77.44,73.52,69.43,64.95,60.49,55.71,50.8,46.0,41.01,36.24,31.79,27.58,23.63,20.03,16.81,13.97,11.47,9.29,7.38,5.81,9.142,32.56,6.475,70.83,9.847,13.242,25.83,199.61,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0036358,CeeDee Lamb,DAL,NYG,WR,WR,,WR1,ACT,6.0,2026,REG,1,2026 REG W1,401872930,2026-09-14T00:20Z,away,82.42,82.513,82.436,39.531,125.566,33.369,45,66.6,74.5,86.533,82.846,7.2,1.0,0.945,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,98.91,98.39,97.72,96.78,95.58,94.02,92.09,89.74,86.73,83.3,79.32,74.92,69.87,64.55,58.82,52.91,46.94,41.11,35.44,30.09,25.08,20.47,16.61,13.19,10.27,7.9,5.93,4.36,3.13,2.2,9.445,26.96,6.228,65.94,9.406,13.234,32.23,248.05,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0036963,Amon-Ra St. Brown,DET,NO,WR,WR,,WR1,ACT,5.0,2026,REG,1,2026 REG W1,401872923,2026-09-13T17:00Z,home,80.377,80.538,80.126,30.69,130.082,38.181,50,103.4,86.3,82.733,82.412,12.8,1.0,0.991,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,97.39,96.52,95.36,94.02,92.33,90.31,87.83,85.01,81.78,78.18,74.14,69.87,65.27,60.36,55.36,50.13,45.07,39.97,35.14,30.59,26.22,22.19,18.61,15.33,12.5,10.04,7.92,6.14,4.75,3.6,10.76,30.64,7.219,67.1,8.006,11.134,32.31,262.17,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0037247,George Pickens,DAL,NYG,WR,WR,,WR2,ACT,4.0,2026,REG,1,2026 REG W1,401872930,2026-09-14T00:20Z,away,79.896,80.791,80.291,23.808,136.624,42.632,47,57.4,82.2,88.733,84.059,6.4,1.0,0.945,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,95.66,94.49,93.13,91.46,89.49,87.28,84.78,81.93,78.8,75.35,71.61,67.62,63.48,59.13,54.72,50.24,45.71,41.35,37.06,32.79,28.7,24.93,21.45,18.24,15.39,12.89,10.65,8.69,6.99,5.57,8.023,22.9,5.499,68.55,10.734,14.528,32.23,248.05,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0037239,Chris Olave,NO,DET,WR,WR,,WR1,ACT,4.0,2026,REG,1,2026 REG W1,401872923,2026-09-13T17:00Z,away,75.157,75.515,75.208,25.643,124.517,37.747,40,85.8,82.1,73.933,72.688,9.6,1.0,1.107,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,96.57,95.45,94.07,92.4,90.3,87.83,85.06,81.86,78.3,74.3,69.92,65.22,60.38,55.3,50.21,44.99,39.84,34.85,30.3,25.88,21.83,18.15,14.99,12.18,9.79,7.75,6.12,4.73,3.59,2.69,9.737,29.93,6.332,65.03,7.755,11.869,29.93,229.79,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0036554,Nico Collins,HOU,BUF,WR,WR,,WR1,ACT,5.0,2026,REG,1,2026 REG W1,401872660,2026-09-13T17:00Z,home,71.308,71.477,71.218,29.005,113.581,32.486,42,84.0,80.5,74.467,74.467,7.0,1.0,0.924,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,97.81,96.9,95.64,94.04,92.02,89.49,86.43,82.91,78.84,74.19,69.07,63.53,57.67,51.56,45.38,39.51,33.79,28.31,23.38,19.04,15.19,11.99,9.24,7.03,5.22,3.81,2.73,1.92,1.3,0.84,9.201,28.03,5.355,58.2,9.123,13.317,30.2,206.26,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0038559,Michael Wilson,ARI,LAC,WR,WR,,WR1,ACT,3.0,2026,REG,1,2026 REG W1,401872926,2026-09-13T20:25Z,away,70.725,71.535,70.501,14.482,126.633,41.774,46,87.2,87.0,66.0,59.176,9.6,1.0,0.923,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,93.19,91.67,89.8,87.6,85.08,82.26,79.03,75.56,71.94,68.01,63.86,59.5,55.06,50.45,45.98,41.57,37.11,32.92,28.84,25.07,21.58,18.42,15.58,13.01,10.69,8.78,7.11,5.67,4.44,3.46,9.212,25.74,5.834,63.33,8.25,12.123,32.93,226.51,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0038606,Parker Washington,JAX,CLE,WR,WR,,WR1,ACT,3.0,2026,REG,1,2026 REG W1,401872922,2026-09-13T17:00Z,home,70.476,70.779,70.522,24.455,116.411,35.067,33,85.2,69.2,56.467,56.467,7.0,1.0,0.976,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,96.62,95.43,93.87,91.99,89.73,87.04,83.83,80.22,76.1,71.55,66.71,61.49,56.03,50.54,45.02,39.64,34.16,29.22,24.57,20.42,16.72,13.53,10.73,8.38,6.45,4.84,3.59,2.56,1.88,1.36,8.103,25.78,4.767,58.82,8.608,14.785,28.92,225.77,PRIMARY_ROTATION_TEAM_CONSTRAINED
