player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_rushing_yards,model_version
00-0038542,Bijan Robinson,ATL,CAR,RB,2026,REG,2,0.0,100.0,ELITE,99.922,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,CAR,RB,2026,REG,2,5.0,97.08,ELITE,99.922,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,CAR,RB,2026,REG,2,10.0,96.35,ELITE,99.922,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,CAR,RB,2026,REG,2,15.0,95.46,ELITE,99.922,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,CAR,RB,2026,REG,2,20.0,94.41,ELITE,99.922,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,CAR,RB,2026,REG,2,25.0,93.18,ELITE,99.922,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,CAR,RB,2026,REG,2,30.0,91.75,ELITE,99.922,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,CAR,RB,2026,REG,2,35.0,90.14,ELITE,99.922,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,CAR,RB,2026,REG,2,40.0,88.31,ELITE,99.922,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,CAR,RB,2026,REG,2,45.0,86.21,ELITE,99.922,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,CAR,RB,2026,REG,2,50.0,83.91,ELITE,99.922,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,CAR,RB,2026,REG,2,55.0,81.29,ELITE,99.922,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,CAR,RB,2026,REG,2,60.0,78.52,ELITE,99.922,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,CAR,RB,2026,REG,2,65.0,75.48,ELITE,99.922,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,CAR,RB,2026,REG,2,70.0,72.15,ELITE,99.922,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,CAR,RB,2026,REG,2,75.0,68.72,ELITE,99.922,NFL_RUSHING_YARDS_V1
