Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-11,Cleveland Guardians @ Detroit Tigers,Comerica Park,0.982,1.003,71.6,91.0,9.6,S,177.0,43.0,Rain,1.2,1.7,52.6,C,92.0,Detroit Tigers,Gleyber Torres,Tanner Bibee,0.25,3,12,4.4,0.92,0.84,0.91,0.83,2.57,46.7,1.2,0|1|1|2|2,08/09|08/08|08/07|08/06|08/05,2.4,0|1|1|2|2|5|6|6|0|1,08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/29,2.27,0|1|1|2|2|5|6|6|0|1|8|0|0|0|2,08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24,89.1,68.3,45.4,26.6,14.8,7.2,3.2,2.87,137.3
2026-08-11,Houston Astros @ San Francisco Giants,Oracle Park,0.965,0.999,66.0,75.0,17.2,WSW,257.0,1.0,Overcast,-0.4,-0.6,49.1,C,67.0,Houston Astros,Cam Smith,Unknown,0.0,0,0,5.0,1.0,1.46,1.02,0.85,3.3,53.3,3.4,7|0|8|0|2,08/10|08/08|08/07|08/05|08/04,3.4,7|0|8|0|2|2|6|1|4|4,08/10|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/29,2.6,7|0|8|0|2|2|6|1|4|4|0|0|0|1|4,08/10|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24,93.2,78.7,59.6,40.7,26.2,15.0,8.2,3.17,153.2
2026-08-11,Houston Astros @ San Francisco Giants,Oracle Park,0.965,0.999,66.0,75.0,17.2,WSW,257.0,1.0,Overcast,-0.4,-0.6,49.1,C,67.0,Houston Astros,Christian Walker,Unknown,0.0,0,0,4.7,1.0,1.21,0.72,0.72,2.66,60.0,1.8,0|0|2|3|4,08/10|08/09|08/08|08/07|08/05,2.1,0|0|2|3|4|3|1|1|4|3,08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31,2.2,0|0|2|3|4|3|1|1|4|3|2|4|1|0|5,08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/25|07/24,90.0,69.7,47.4,28.4,15.6,7.7,3.9,2.68,135.7
2026-08-11,Houston Astros @ San Francisco Giants,Oracle Park,0.965,0.999,66.0,75.0,17.2,WSW,257.0,1.0,Overcast,-0.4,-0.6,49.1,C,67.0,Houston Astros,Jeremy Peña,Unknown,0.0,0,0,4.0,1.0,1.17,0.82,0.68,2.66,60.0,0.8,3|0|0|0|1,08/10|08/09|08/08|08/07|08/05,2.1,3|0|0|0|1|0|2|5|3|7,08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31,2.6,3|0|0|0|1|0|2|5|3|7|3|1|3|6|5,08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25,89.6,69.3,47.1,28.6,15.8,8.2,4.1,3.17,152.7
2026-08-11,Kansas City Royals @ Los Angeles Dodgers,UNIQLO Field at Dodger Stadium,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Kansas City Royals,Jac Caglianone,Blake Snell,0.0,0,0,4.6,1.2,1.83,0.58,1.45,3.85,53.3,4.4,6|1|10|2|3,08/10|08/09|08/08|08/07|08/06,3.2,6|1|10|2|3|1|4|1|4|0,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31,2.67,6|1|10|2|3|1|4|1|4|0|5|3|0|0|0,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/26|07/25,95.3,83.2,67.0,50.0,34.3,22.2,14.1,3.29,158.8
2026-08-11,Kansas City Royals @ Los Angeles Dodgers,UNIQLO Field at Dodger Stadium,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Kansas City Royals,Bobby Witt Jr.,Blake Snell,0.333,1,3,5.0,1.2,1.36,0.94,0.42,2.73,40.0,2.2,1|0|2|3|5,08/10|08/09|08/08|08/07|08/06,1.8,1|0|2|3|5|0|7|0|0|0,08/10|08/09|08/08|08/07|08/06|08/05|08/04|07/20|07/18|07/17,1.73,1|0|2|3|5|0|7|0|0|0|3|0|1|3|1,08/10|08/09|08/08|08/07|08/06|08/05|08/04|07/20|07/18|07/17|07/12|07/11|07/10|07/09|07/08,89.3,69.9,48.7,30.2,17.2,9.0,4.7,2.05,106.7
2026-08-11,Kansas City Royals @ Los Angeles Dodgers,UNIQLO Field at Dodger Stadium,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Kansas City Royals,Salvador Perez,Blake Snell,0.333,3,9,3.7,1.2,1.09,0.39,0.47,1.95,66.7,1.2,0|2|2|2|0,08/10|08/09|08/07|08/06|08/05,1.4,0|2|2|2|0|2|1|3|2|0,08/10|08/09|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30,1.67,0|2|2|2|0|2|1|3|2|0|3|3|0|3|2,08/10|08/09|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/26|07/25|07/24,81.5,54.7,30.8,15.4,7.4,3.2,1.2,1.97,108.7
2026-08-11,Texas Rangers @ Los Angeles Angels,Angel Stadium,1.0,1.006,83.7,52.0,10.6,SW,234.0,2.0,Clear,2.6,3.7,55.7,C,75.0,Los Angeles Angels,Mike Trout,Cody Bradford,0.0,0,0,4.4,0.85,0.92,0.52,0.13,1.59,46.7,1.4,3|0|0|4|0,08/10|08/09|08/08|08/07|08/06,1.2,3|0|0|4|0|0|1|1|3|0,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31,1.6,3|0|0|4|0|0|1|1|3|0|2|2|1|5|2,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25,75.4,45.2,22.1,9.6,4.0,1.6,0.5,1.83,94.0
2026-08-11,Texas Rangers @ Los Angeles Angels,Angel Stadium,1.0,1.006,83.7,52.0,10.6,SW,234.0,2.0,Clear,2.6,3.7,55.7,C,75.0,Los Angeles Angels,Vaughn Grissom,Cody Bradford,0.0,0,0,3.7,0.85,0.83,0.28,0.44,1.56,60.0,0.8,2|0|0|2|0,08/10|08/08|08/07|08/06|08/05,1.2,2|0|0|2|0|0|2|0|2|4,08/10|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/29,1.87,2|0|0|2|0|0|2|0|2|4|3|6|0|2|5,08/10|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24,75.1,43.4,21.8,9.3,3.7,1.4,0.6,2.23,112.1
2026-08-11,Kansas City Royals @ Los Angeles Dodgers,UNIQLO Field at Dodger Stadium,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Los Angeles Dodgers,Andy Pages,Michael Wacha,0.0,0,0,4.8,0.88,1.33,0.44,0.66,2.44,53.3,1.8,0|3|2|3|1,08/10|08/09|08/08|08/07|08/05,1.8,0|3|2|3|1|0|2|5|1|1,08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31,2.2,0|3|2|3|1|0|2|5|1|1|3|6|1|1|4,08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/26|07/25,87.4,64.9,41.6,24.8,13.2,6.7,3.2,2.62,129.8
