rank,season,season_type,week,game_id,game_time,player_id,player_name,team,opponent,home_away,position,projected_sacks,median_sacks,p90_sacks,model_lambda,sacks_current,sacks_prior,sacks_l5_pg,sacks_l10_pg,sacks_season_pg,sacks_prior_pg,opp_sacks_allowed_pg,team_def_sacks_pg,qb_hits_l5_pg,qb_hurries_l5_pg,pressures_l5_pg,snaps_l5_pg,pass_rush_snaps_l5_pg,pressure_rate_l5,qb_hit_rate_l5,matchup_multiplier,pressure_multiplier,sample_reliability,matchup_score,confidence,ai_play_0_5,n_sims,prob_over_0_5,prob_over_1_0,prob_over_1_5,prob_over_2_0,prob_over_2_5,prob_over_3_0,prob_over_3_5,prob_over_4_0,prob_1_0_plus,prob_1_5_plus,prob_2_0_plus,prob_2_5_plus,prob_3_0_plus,prob_3_5_plus,prob_4_0_plus,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,tier
506,2026,REG,2,401872946,2026-09-20T17:00Z,00-0034720,Robert Spillane,NE,PIT,HOME,LB,0.02,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.059,2.0,2.0,0.0,,0.0,,,,,0.901,0.9,1.0,45.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
507,2026,REG,2,401872940,2026-09-20T20:05Z,00-0035240,Jahlani Tavai,JAX,DEN,AWAY,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,,0.0,,,,,1.352,0.9,1.0,69.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
508,2026,REG,2,401872946,2026-09-20T17:00Z,00-0035286,Cole Holcomb,PIT,NE,AWAY,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,,0.0,,,,,1.352,0.9,1.0,69.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
509,2026,REG,2,401872944,2026-09-20T20:25Z,00-0035409,Shy Tuttle,WAS,DAL,AWAY,DL,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,,,,,1.0,0.9,1.0,20.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
510,2026,REG,2,401872939,2026-09-20T17:00Z,00-0036266,Jordan Elliott,TEN,PHI,HOME,DL,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,,0.4,,,,,1.352,0.916,1.0,69.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
511,2026,REG,2,401872945,2026-09-21T00:20Z,00-0036298,Akeem Davis-Gaither,IND,KC,AWAY,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,,,,,0.901,0.9,1.0,45.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
512,2026,REG,2,401872946,2026-09-20T17:00Z,00-0036323,Patrick Queen,PIT,NE,AWAY,LB,0.02,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.056,3.0,4.0,0.0,,0.0,,,,,1.352,0.9,1.0,69.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
513,2026,REG,2,401872946,2026-09-20T17:00Z,00-0036643,K.J. Britt,NE,PIT,HOME,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.2,,0.2,,,,,0.901,0.908,1.0,45.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
514,2026,REG,2,401872944,2026-09-20T20:25Z,00-0036728,Curtis Robinson,DAL,WAS,HOME,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.0,,0.0,,,,,0.65,0.9,1.0,20.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
515,2026,REG,2,401872941,2026-09-20T20:05Z,00-0037262,Thomas Booker,LV,LAC,AWAY,DL,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,,1.0,,,,,1.352,0.94,1.0,69.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
516,2026,REG,2,401872932,2026-09-18T00:15Z,00-0037281,Damone Clark,DET,BUF,AWAY,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,2.0,5.0,0.0,,0.0,,,,,0.901,0.9,1.0,45.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
517,2026,REG,2,401872941,2026-09-20T20:05Z,00-0037527,Segun Olubi,LV,LAC,AWAY,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,,0.0,,,,,1.352,0.9,1.0,69.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
518,2026,REG,2,401872937,2026-09-20T17:00Z,00-0037843,Daniel Hardy,CHI,MIN,HOME,DL,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,,0.0,,,,,1.352,0.9,1.0,69.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
519,2026,REG,2,401872933,2026-09-20T17:00Z,00-0038493,Claudin Cherelus,CAR,ATL,AWAY,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.2,,0.2,,,,,1.45,0.908,1.0,90.0,71.0,LESS,25000,1.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.1,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
520,2026,REG,2,401872939,2026-09-20T17:00Z,00-0038600,Owen Pappoe,TEN,PHI,HOME,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,,0.0,,,,,1.352,0.9,1.0,69.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
521,2026,REG,2,401872932,2026-09-18T00:15Z,00-0038660,Trevor Nowaske,DET,BUF,AWAY,LB,0.02,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.077,2.0,5.0,0.0,,0.0,,,,,0.901,0.9,1.0,45.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
522,2026,REG,2,401872939,2026-09-20T17:00Z,00-0038711,Mohamoud Diabate,TEN,PHI,HOME,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,0.0,,,,,1.352,0.9,1.0,69.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
523,2026,REG,2,401872937,2026-09-20T17:00Z,00-0038807,Ivan Pace Jr.,MIN,CHI,AWAY,LB,0.02,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.067,2.0,4.0,0.0,,0.0,,,,,0.901,0.9,1.0,45.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
524,2026,REG,2,401872945,2026-09-21T00:20Z,00-0039178,Austin Ajiake,IND,KC,AWAY,LB,0.02,0.0,0.0,0.02,0.0,0.5,0.0,0.05,,0.038,2.0,2.0,0.0,,0.0,,,,,0.901,0.9,1.0,45.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
525,2026,REG,2,401872944,2026-09-20T20:25Z,00-0039368,Jordan Magee,WAS,DAL,AWAY,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,,,,,1.0,0.9,1.0,20.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
526,2026,REG,2,401872947,2026-09-22T00:15Z,00-0039749,Tyler Davis,LAR,NYG,HOME,DL,0.02,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.056,2.0,0.0,0.4,,0.4,,,,,0.901,0.916,1.0,45.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
527,2026,REG,2,401872947,2026-09-22T00:15Z,00-0039774,Omar Speights,LAR,NYG,HOME,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,,,,0.901,0.9,1.0,45.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
528,2026,REG,2,401872936,2026-09-20T17:00Z,00-0039812,Ty'Ron Hopper,GB,NYJ,AWAY,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,,0.0,,,,,1.0,0.9,1.0,20.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
529,2026,REG,2,401872933,2026-09-20T17:00Z,00-0039889,Maason Smith,ATL,CAR,HOME,DL,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,,,,,0.901,0.9,1.0,45.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
530,2026,REG,2,401872938,2026-09-20T17:00Z,00-0040155,Danny Stutsman,NO,BAL,AWAY,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,,,,,0.901,0.9,1.0,45.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
531,2026,REG,2,401872941,2026-09-20T20:05Z,00-0040460,Marlowe Wax,LAC,LV,HOME,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,0.0,,,,,1.0,0.9,1.0,20.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
532,2026,REG,2,401872947,2026-09-22T00:15Z,00-0040585,Ty Hamilton,LAR,NYG,HOME,DL,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,,,,0.901,0.9,1.0,45.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
533,2026,REG,2,401872947,2026-09-22T00:15Z,00-0040613,Shaun Dolac,LAR,NYG,HOME,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,,,,0.901,0.9,1.0,45.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
534,2026,REG,2,401872934,2026-09-20T17:00Z,00-0035363,Joe Giles-Harris,CIN,HOU,AWAY,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,,0.0,,,,,1.352,0.9,1.0,69.0,66.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
535,2026,REG,2,401872942,2026-09-20T20:25Z,00-0036844,Garret Wallow,SF,MIA,HOME,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,,,,,1.45,0.9,1.0,90.0,66.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
536,2026,REG,2,401872934,2026-09-20T17:00Z,00-0038890,Shaka Heyward,CIN,HOU,AWAY,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,3.0,4.0,0.2,,0.2,,,,,1.352,0.908,1.0,69.0,66.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
537,2026,REG,2,401872933,2026-09-20T17:00Z,00-0039370,JD Bertrand,ATL,CAR,HOME,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,,0.0,,,,,0.901,0.9,1.0,45.0,66.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
538,2026,REG,2,401872945,2026-09-21T00:20Z,00-0040072,Jeffrey Bassa,KC,IND,HOME,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,,0.0,,,,,0.901,0.9,1.0,45.0,66.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
539,2026,REG,2,401872937,2026-09-20T17:00Z,00-0040492,Tyler Batty,MIN,CHI,AWAY,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,2.0,4.0,0.0,,0.0,,,,,0.901,0.9,1.0,45.0,66.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
540,2026,REG,2,401872936,2026-09-20T17:00Z,00-0037364,Arron Mosby,GB,NYJ,AWAY,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,,0.0,,,,,1.0,0.9,1.0,20.0,61.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
541,2026,REG,2,401872943,2026-09-20T20:25Z,00-0038694,Brandon Pili,SEA,ARI,AWAY,DL,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,1.0,3.0,0.0,,0.0,,,,,0.65,0.9,1.0,20.0,61.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
542,2026,REG,2,401872939,2026-09-20T17:00Z,00-0040041,Nazir Stackhouse,TEN,PHI,HOME,DL,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,0.0,,,,,1.352,0.9,1.0,69.0,61.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
543,2026,REG,2,401872935,2026-09-20T17:00Z,00-0040261,Easton Mascarenas-Arnold,CLE,TB,AWAY,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,,0.0,,,,,1.45,0.9,1.0,90.0,61.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
544,2026,REG,2,401872944,2026-09-20T20:25Z,00-0038556,DeMarvion Overshown,DAL,WAS,HOME,LB,0.02,0.0,0.0,0.0209,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,0.0,,,,,0.65,0.9,0.875,20.0,56.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
545,2026,REG,2,401872934,2026-09-20T17:00Z,00-0034754,Oren Burks,CIN,HOU,AWAY,LB,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,,0.0,,,,,1.352,0.9,1.0,69.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
546,2026,REG,2,401872936,2026-09-20T17:00Z,00-0035617,Troy Reeder,NYJ,GB,HOME,LB,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,4.0,3.0,0.0,,0.0,,,,,1.45,0.9,1.0,90.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
547,2026,REG,2,401872944,2026-09-20T20:25Z,00-0036260,Javon Kinlaw,WAS,DAL,AWAY,DL,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,,,,,1.0,0.9,1.0,20.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
548,2026,REG,2,401872945,2026-09-21T00:20Z,00-0037208,Jack Cochrane,KC,IND,HOME,LB,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,,0.0,,,,,0.901,0.9,1.0,45.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
549,2026,REG,2,401872941,2026-09-20T20:05Z,00-0040144,Jamaree Caldwell,LAC,LV,HOME,DL,0.019,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.071,0.0,1.0,0.2,,0.2,,,,,1.0,0.908,1.0,20.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
550,2026,REG,2,401872936,2026-09-20T17:00Z,00-0040186,Francisco Mauigoa,NYJ,GB,HOME,LB,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,4.0,3.0,0.0,,0.0,,,,,1.45,0.9,1.0,90.0,71.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
551,2026,REG,2,401872939,2026-09-20T17:00Z,00-0034264,Jalyn Holmes,TEN,PHI,HOME,DL,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,,0.0,,,,,1.352,0.9,1.0,69.0,61.0,LESS,25000,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,FADE
552,2026,REG,2,401872944,2026-09-20T20:25Z,00-0038625,Dee Winters,DAL,WAS,HOME,LB,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.2,,0.2,,,,,0.65,0.908,1.0,20.0,71.0,LESS,25000,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,FADE
553,2026,REG,2,401872934,2026-09-20T17:00Z,00-0034987,E.J. Speed,HOU,CIN,HOME,LB,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.0,,0.0,,,,,0.65,0.9,1.0,20.0,71.0,LESS,25000,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,FADE
554,2026,REG,2,401872939,2026-09-20T17:00Z,00-0036967,Joe Tryon,PHI,TEN,AWAY,DL,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,0.2,,0.2,,,,,1.352,0.908,1.0,69.0,71.0,LESS,25000,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,FADE
555,2026,REG,2,401872934,2026-09-20T17:00Z,00-0037633,Jacob Hummel,HOU,CIN,HOME,LB,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.0,,0.0,,,,,0.65,0.9,1.0,20.0,71.0,LESS,25000,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,FADE
556,2026,REG,2,401872938,2026-09-20T17:00Z,00-0038387,Colby Wooden,NO,BAL,AWAY,DL,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.4,,0.4,,,,,0.901,0.916,1.0,45.0,71.0,LESS,25000,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,FADE
557,2026,REG,2,401872937,2026-09-20T17:00Z,00-0038390,Noah Sewell,CHI,MIN,HOME,LB,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,3.0,2.0,0.0,,0.0,,,,,1.352,0.9,1.0,69.0,71.0,LESS,25000,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,FADE
558,2026,REG,2,401872932,2026-09-18T00:15Z,00-0038557,Dorian Williams,BUF,DET,HOME,LB,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,,0.0,,,,,0.65,0.9,1.0,20.0,71.0,LESS,25000,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,FADE
559,2026,REG,2,401872946,2026-09-20T17:00Z,00-0038653,Cory Durden,NE,PIT,HOME,DL,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.4,,0.4,,,,,0.901,0.916,1.0,45.0,71.0,LESS,25000,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,FADE
560,2026,REG,2,401872933,2026-09-20T17:00Z,00-0038791,Thomas Incoom,CAR,ATL,AWAY,LB,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,,0.0,,,,,1.45,0.9,1.0,90.0,71.0,LESS,25000,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,FADE
561,2026,REG,2,401872938,2026-09-20T17:00Z,00-0039460,Carl Jones,BAL,NO,HOME,LB,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,,0.0,,,,,1.45,0.9,1.0,90.0,71.0,LESS,25000,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,FADE
562,2026,REG,2,401872939,2026-09-20T17:00Z,00-0040013,Smael Mondon Jr.,PHI,TEN,AWAY,LB,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,0.0,,,,,1.352,0.9,1.0,69.0,71.0,LESS,25000,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,FADE
563,2026,REG,2,401872946,2026-09-20T17:00Z,00-0040171,Joshua Farmer,NE,PIT,HOME,DL,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,,0.0,,,,,0.901,0.9,1.0,45.0,71.0,LESS,25000,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,FADE
564,2026,REG,2,401872942,2026-09-20T20:25Z,00-0040175,Jordan Phillips,MIA,SF,AWAY,DL,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,0.2,,,,,1.0,0.908,1.0,20.0,71.0,LESS,25000,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,FADE
565,2026,REG,2,401872945,2026-09-21T00:20Z,00-0040744,Jaylahn Tuimoloau,IND,KC,AWAY,DL,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.6,,0.6,,,,,0.901,0.924,1.0,45.0,71.0,LESS,25000,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,FADE
