player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_fg_made,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,prob_0_5_plus,prob_1_plus,prob_1_5_plus,prob_2_plus,prob_2_5_plus,prob_3_plus,prob_3_5_plus,prob_4_plus,prob_4_5_plus,prob_5_plus,prob_5_5_plus
00-0040530,Ben Sauls,NYG,MIN,K,K,ACT,1.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_MIN_NYG,,home,1.883,1.883,2.0,0.0,4.0,1.528,3,2.667,2.667,2.667,2.667,2.667,0.92,1.003,PLAYER_PRIOR_BLEND,100000,NFL_FG_MADE_V1,81.46,81.46,53.28,53.28,29.42,29.42,14.19,14.19,6.12,6.12,2.46
00-0033862,Zane Gonzalez,MIA,WAS,K,K,ACT,9.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_MIA_WAS,,away,1.876,1.876,2.0,0.0,4.0,1.52,14,2.4,2.0,1.714,2.111,2.8,0.92,1.024,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,81.32,81.32,53.35,53.35,29.25,29.25,13.99,13.99,6.05,6.05,2.42
00-0031136,Chris Boswell,PIT,GB,K,K,ACT,12.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_GB_PIT,,home,1.873,1.873,2.0,0.0,4.0,1.522,44,2.0,2.1,1.933,2.077,2.4,0.92,0.961,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,81.23,81.23,53.16,53.16,29.17,29.17,13.97,13.97,6.1,6.1,2.44
00-0041262,Laith Marjan,PIT,GB,K,K,ACT,0.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_GB_PIT,,home,1.867,1.867,2.0,0.0,4.0,1.523,0,,,,,,0.92,0.961,TEAM_LEAGUE_PRIOR,100000,NFL_FG_MADE_V1,81.16,81.16,52.9,52.9,28.99,28.99,13.89,13.89,6.09,6.09,2.45
00-0038152,Lucas Havrisik,GB,PIT,K,K,ACT,4.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_GB_PIT,,away,1.819,1.819,2.0,0.0,4.0,1.503,10,2.4,1.9,1.9,2.0,2.8,0.92,0.952,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,80.22,80.22,51.64,51.64,27.95,27.95,13.33,13.33,5.55,5.55,2.14
00-0041582,Kansei Matsuzawa,LV,ARI,K,K,E14,0.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_ARI_LV,,home,1.805,1.805,2.0,0.0,4.0,1.498,0,,,,,,0.92,1.014,TEAM_LEAGUE_PRIOR,100000,NFL_FG_MADE_V1,80.07,80.07,51.1,51.1,27.64,27.64,12.95,12.95,5.49,5.49,2.2
00-0038562,Jake Moody,WAS,MIA,K,K,ACT,3.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_MIA_WAS,,home,1.801,1.801,2.0,0.0,4.0,1.495,35,2.0,2.0,1.733,2.375,2.2,0.92,0.976,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,80.02,80.02,51.03,51.03,27.41,27.41,13.05,13.05,5.47,5.47,2.1
00-0040200,Andy Borregales,NE,IND,K,K,ACT,1.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_IND_NE,,home,1.797,1.797,2.0,0.0,4.0,1.488,14,1.6,1.9,1.929,1.929,2.2,0.92,1.099,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,80.01,80.01,51.06,51.06,27.45,27.45,12.75,12.75,5.35,5.35,2.08
00-0041182,Drew Stevens,WAS,MIA,K,K,ACT,0.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_MIA_WAS,,home,1.787,1.787,2.0,0.0,4.0,1.489,0,,,,,,0.92,0.976,TEAM_LEAGUE_PRIOR,100000,NFL_FG_MADE_V1,79.64,79.64,50.89,50.89,27.16,27.16,12.62,12.62,5.32,5.32,2.08
00-0036816,Riley Patterson,MIA,WAS,K,K,ACT,5.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_MIA_WAS,,away,1.766,1.766,2.0,0.0,4.0,1.486,25,2.0,2.0,1.867,1.929,2.0,0.92,1.024,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,79.29,79.29,50.08,50.08,26.49,26.49,12.31,12.31,5.28,5.28,2.08
00-0041145,Dominic Zvada,NYG,MIN,K,K,ACT,0.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_MIN_NYG,,home,1.753,1.753,1.0,0.0,4.0,1.476,0,,,,,,0.92,1.003,TEAM_LEAGUE_PRIOR,100000,NFL_FG_MADE_V1,79.15,79.15,49.81,49.81,26.26,26.26,12.1,12.1,5.05,5.05,1.97
00-0036854,Evan McPherson,CIN,DET,K,K,ACT,5.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_DET_CIN,,home,1.74,1.74,1.0,0.0,4.0,1.542,42,2.4,2.1,1.733,1.786,2.4,0.92,0.94,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,77.14,77.14,48.36,48.36,26.09,26.09,12.64,12.64,5.74,5.74,2.53
00-0035269,Matt Gay,LV,ARI,K,K,ACT,7.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_ARI_LV,,home,1.739,1.739,1.0,0.0,4.0,1.475,40,1.6,2.1,1.933,1.889,2.2,0.92,1.014,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,78.86,78.86,49.18,49.18,25.95,25.95,11.93,11.93,4.95,4.95,1.97
00-0039498,Harrison Mevis,LAR,KC,K,K,ACT,2.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_LAR_KC,,away,1.713,1.713,1.0,0.0,4.0,1.459,6,2.0,2.0,2.0,2.0,2.2,0.92,0.94,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,78.32,78.32,48.71,48.71,25.26,25.26,11.52,11.52,4.77,4.77,1.84
00-0039172,Jake Bates,DET,CIN,K,K,ACT,3.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_DET_CIN,,away,1.709,1.709,1.0,0.0,4.0,1.453,31,2.2,1.9,1.667,1.688,2.8,0.92,0.972,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,78.4,78.4,48.57,48.57,25.13,25.13,11.51,11.51,4.67,4.67,1.79
00-0040899,Trey Smack,GB,PIT,K,K,ACT,0.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_GB_PIT,,away,1.663,1.663,1.0,0.0,4.0,1.439,0,,,,,,0.92,0.952,TEAM_LEAGUE_PRIOR,100000,NFL_FG_MADE_V1,77.29,77.29,47.3,47.3,24.06,24.06,10.86,10.86,4.34,4.34,1.65
00-0040074,Tyler Loop,BAL,PHI,K,K,ACT,1.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_PHI_BAL,,home,1.655,1.655,1.0,0.0,4.0,1.436,15,1.6,2.2,2.0,2.0,2.0,0.92,0.958,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,77.13,77.13,46.96,46.96,23.94,23.94,10.72,10.72,4.35,4.35,1.67
00-0039229,Charlie Smyth,NO,JAX,K,K,E14,2.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_JAX_NO,,home,1.615,1.615,1.0,0.0,4.0,1.764,6,2.2,2.0,2.0,2.0,3.0,0.92,0.906,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,67.14,67.14,41.12,41.12,24.0,24.0,13.71,13.71,7.64,7.64,4.32
00-0038905,Blake Grupe,IND,NE,K,K,ACT,3.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_IND_NE,,away,1.579,1.579,1.0,0.0,4.0,1.499,45,2.2,1.5,1.8,1.812,2.2,0.92,0.903,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,72.97,72.97,43.4,43.4,22.69,22.69,10.86,10.86,4.84,4.84,2.02
00-0041333,Mason Shipley,NO,JAX,K,K,ACT,0.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_JAX_NO,,home,1.573,1.573,1.0,0.0,3.0,1.397,0,,,,,,0.92,0.906,TEAM_LEAGUE_PRIOR,100000,NFL_FG_MADE_V1,75.48,75.48,44.66,44.66,22.01,22.01,9.48,9.48,3.73,3.73,1.37
00-0041174,Gabriel Plascencia,CHI,CLE,K,K,ACT,0.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_CLE_CHI,,home,1.483,1.483,1.0,0.0,3.0,1.363,0,,,,,,0.92,0.85,TEAM_LEAGUE_PRIOR,100000,NFL_FG_MADE_V1,73.28,73.28,41.85,41.85,19.94,19.94,8.41,8.41,3.2,3.2,1.14
00-0033787,Jake Elliott,PHI,BAL,K,K,ACT,9.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_PHI_BAL,,away,1.463,1.463,1.0,0.0,3.0,1.345,46,1.6,1.4,1.267,1.25,2.2,0.92,1.067,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,73.07,73.07,41.21,41.21,19.4,19.4,8.09,8.09,3.07,3.07,1.03
00-0038428,Andre Szmyt,CLE,CHI,K,K,ACT,3.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_CLE_CHI,,away,1.41,1.41,1.0,0.0,3.0,1.326,16,1.6,1.5,1.533,1.5,1.6,0.92,0.99,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,71.6,71.6,39.51,39.51,18.34,18.34,7.44,7.44,2.71,2.71,0.96
00-0035192,Joey Slye,TEN,SF,K,K,ACT,7.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_TEN_SF,,away,1.397,1.397,1.0,0.0,4.0,1.585,45,1.4,1.3,1.6,1.75,1.8,0.92,0.992,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,63.57,63.57,36.37,36.37,19.59,19.59,10.22,10.22,5.24,5.24,2.64
00-0038097,Cade York,NYJ,TB,K,K,ACT,4.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_TB_NYJ,,home,1.394,1.394,1.0,0.0,4.0,1.59,6,1.8,1.5,1.5,1.5,2.2,0.92,0.913,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,63.28,63.28,36.18,36.18,19.67,19.67,10.25,10.25,5.29,5.29,2.71
00-0036162,Tyler Bass,BUF,CAR,K,K,ACT,6.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_CAR_BUF,,home,1.386,1.386,1.0,0.0,3.0,1.313,30,1.0,1.5,1.467,1.5,1.4,0.92,1.107,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,71.03,71.03,38.84,38.84,17.75,17.75,7.12,7.12,2.6,2.6,0.87
00-0031203,Cairo Santos,CHI,CLE,K,K,ACT,12.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_CLE_CHI,,home,1.359,1.359,1.0,0.0,3.0,1.298,42,1.6,1.9,1.8,1.923,1.8,0.92,0.85,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,70.36,70.36,38.02,38.02,17.11,17.11,6.76,6.76,2.44,2.44,0.83
00-0040279,Ryan Fitzgerald,CAR,BUF,K,K,ACT,1.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_CAR_BUF,,away,1.034,1.034,1.0,0.0,3.0,1.249,17,1.2,1.2,1.467,1.412,1.4,0.92,0.881,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,56.79,56.79,26.86,26.86,11.65,11.65,4.87,4.87,1.97,1.97,0.8
