Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Median HRR,Floor HRR,Ceiling HRR,Simulation Dispersion,Projected Zero HRR %,Recent Games Used,Season Games Used,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-09-11,Texas Rangers @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Gabriel Moreno,Unknown,0.0,0,0,4.1,1.0,0.97,0.4,0.59,1.96,2.0,0.0,4.0,7.65,17.2,40,116,65.0,1.8,0|2|3|1|3,09/09|09/08|09/07|09/06|09/05,1.8,0|2|3|1|3|3|0|0|3|3,09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31|08/29,1.67,0|2|3|1|3|3|0|0|3|3|0|3|3|0|1,09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31|08/29|08/28|08/27|08/25|08/24|08/23,82.8,55.3,31.3,15.2,6.8,2.8,1.1,2.38,57.0
2026-09-11,Texas Rangers @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Ketel Marte,Unknown,0.0,0,0,4.3,1.0,0.87,0.5,0.44,1.75,2.0,0.0,4.0,14.82,20.8,40,126,47.5,2.4,2|3|2|2|3,09/09|09/08|09/07|09/06|09/05,1.6,2|3|2|2|3|1|1|1|1|0,09/09|09/08|09/07|09/06|09/05|09/04|09/01|08/31|08/16|08/14,2.13,2|3|2|2|3|1|1|1|1|0|4|4|4|4|0,09/09|09/08|09/07|09/06|09/05|09/04|09/01|08/31|08/16|08/14|08/12|08/11|08/10|08/09|08/08,79.2,50.5,26.2,12.1,4.7,1.6,0.6,2.18,49.1
2026-09-11,Texas Rangers @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Lars Nootbaar,Unknown,0.0,0,0,3.2,1.0,0.72,0.31,0.8,1.7,1.0,0.0,4.0,1.91,32.3,40,76,27.5,1.2,0|2|1|0|3,09/09|09/08|09/07|09/06|09/05,1.5,0|2|1|0|3|0|1|0|2|6,09/09|09/08|09/07|09/06|09/05|09/04|09/02|08/31|08/29|08/29,1.6,0|2|1|0|3|0|1|0|2|6|6|1|1|0|1,09/09|09/08|09/07|09/06|09/05|09/04|09/02|08/31|08/29|08/29|08/28|08/27|08/25|08/24|08/23,67.7,43.0,25.8,15.3,8.5,4.7,2.4,2.32,41.7
2026-09-11,Seattle Mariners @ Athletics,Sutter Health Park,1.01,1.007,89.3,24.0,11.9,SW,224.0,0.0,Clear,3.3,4.7,57.2,B,75.0,Athletics,Jeff McNeil,George Kirby,0.0,0,1,4.1,1.07,1.15,0.49,0.58,2.17,2.0,0.0,5.0,2.81,21.3,40,129,57.5,1.8,1|2|0|1|5,09/08|09/07|09/06|09/05|09/04,2.5,1|2|0|1|5|5|4|5|0|2,09/08|09/07|09/06|09/05|09/04|09/03|09/02|09/01|08/31|08/30,2.53,1|2|0|1|5|5|4|5|0|2|3|1|3|0|6,09/08|09/07|09/06|09/05|09/04|09/03|09/02|09/01|08/31|08/30|08/29|08/28|08/26|08/25|08/24,78.7,54.4,35.2,21.2,12.5,6.8,3.7,2.53,55.7
2026-09-11,Seattle Mariners @ Athletics,Sutter Health Park,1.01,1.007,89.3,24.0,11.9,SW,224.0,0.0,Clear,3.3,4.7,57.2,B,75.0,Athletics,Henry Bolte,George Kirby,0.333,1,3,4.4,1.07,1.18,0.66,0.41,2.28,2.0,0.0,5.0,1.79,22.3,40,102,52.5,2.6,3|2|5|1|2,09/09|09/08|09/07|09/06|09/05,2.7,3|2|5|1|2|1|3|9|1|0,09/09|09/08|09/07|09/06|09/05|09/04|09/03|09/02|09/01|08/31,2.27,3|2|5|1|2|1|3|9|1|0|3|2|1|0|1,09/09|09/08|09/07|09/06|09/05|09/04|09/03|09/02|09/01|08/31|08/30|08/29|08/28|08/26|08/25,77.7,53.8,36.1,23.1,14.7,8.9,5.5,2.54,54.3
2026-09-11,Seattle Mariners @ Athletics,Sutter Health Park,1.01,1.007,89.3,24.0,11.9,SW,224.0,0.0,Clear,3.3,4.7,57.2,B,75.0,Athletics,Zack Gelof,George Kirby,0.667,2,3,4.2,1.07,0.81,0.8,0.49,1.99,1.0,0.0,5.0,2.33,27.2,40,92,50.0,1.6,0|0|5|0|3,09/09|09/08|09/07|09/06|09/05,2.6,0|0|5|0|3|6|5|4|3|0,09/09|09/08|09/07|09/06|09/05|09/04|09/03|09/02|09/01|08/31,2.07,0|0|5|0|3|6|5|4|3|0|1|1|3|0|0,09/09|09/08|09/07|09/06|09/05|09/04|09/03|09/02|09/01|08/31|08/30|08/29|08/28|08/26|08/25,72.8,49.6,31.6,19.1,11.4,6.5,3.8,2.45,51.2
2026-09-11,Philadelphia Phillies @ Atlanta Braves,Truist Park,1.008,1.008,85.4,56.0,8.3,S,175.0,24.0,Overcast,3.5,5.1,57.7,B,92.0,Atlanta Braves,Drake Baldwin,Aaron Nola,0.333,1,3,4.4,1.12,1.2,0.56,0.5,2.13,2.0,0.0,4.0,29.8,16.6,40,124,57.5,2.0,1|4|2|0|3,09/10|09/09|09/08|09/07|09/06,2.0,1|4|2|0|3|2|1|1|2|4,09/10|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31,2.27,1|4|2|0|3|2|1|1|2|4|2|1|3|3|5,09/10|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31|08/30|08/29|08/28|08/27|08/26,83.4,61.4,37.0,18.9,8.1,3.0,1.0,2.49,58.6
2026-09-11,Philadelphia Phillies @ Atlanta Braves,Truist Park,1.008,1.008,85.4,56.0,8.3,S,175.0,24.0,Overcast,3.5,5.1,57.7,B,92.0,Atlanta Braves,Ronald Acuña Jr.,Aaron Nola,0.5,3,6,4.3,1.12,1.1,0.57,0.63,2.16,2.0,0.0,5.0,1.69,27.5,40,94,47.5,2.0,0|1|2|0|7,09/10|09/09|09/08|09/07|09/06,2.8,0|1|2|0|7|4|4|8|1|1,09/10|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31,2.6,0|1|2|0|7|4|4|8|1|1|3|1|6|0|1,09/10|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31|08/30|08/29|08/28|08/26|08/25,72.5,50.3,34.0,21.9,14.3,8.9,5.2,2.57,51.6
2026-09-11,Philadelphia Phillies @ Atlanta Braves,Truist Park,1.008,1.008,85.4,56.0,8.3,S,175.0,24.0,Overcast,3.5,5.1,57.7,B,92.0,Atlanta Braves,Ozzie Albies,Aaron Nola,0.0,0,3,4.0,1.12,0.94,0.53,0.25,1.55,1.0,0.0,3.0,22.36,27.2,40,147,32.5,0.8,2|0|0|0|2,09/10|09/09|09/08|09/07|09/06,1.1,2|0|0|0|2|0|1|2|3|1,09/10|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31,1.07,2|0|0|0|2|0|1|2|3|1|1|0|1|1|2,09/10|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31|08/30|08/29|08/28|08/27|08/26,72.8,45.1,23.0,9.4,3.1,0.9,0.3,1.88,41.0
2026-09-11,Baltimore Orioles @ Toronto Blue Jays,Rogers Centre,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Baltimore Orioles,Pete Alonso,Max Scherzer,0.167,2,12,4.3,1.2,1.12,0.61,0.79,2.42,2.0,0.0,6.0,1.48,25.9,40,147,55.0,2.0,2|5|1|2|0,09/09|09/08|09/07|09/06|09/05,1.8,2|5|1|2|0|0|4|3|1|0,09/09|09/08|09/07|09/06|09/05|09/04|09/03|09/02|09/01|08/31,1.67,2|5|1|2|0|0|4|3|1|0|3|0|0|0|4,09/09|09/08|09/07|09/06|09/05|09/04|09/03|09/02|09/01|08/31|08/30|08/29|08/28|08/27|08/26,74.1,53.5,36.8,25.4,17.2,11.8,7.9,2.79,56.4
