player_key,player_id,player_name,team,opponent,position,season,season_type,week,ladder_yards,ladder_line,probability_pct,probability,grade,projected_rushing_yards
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,80,80,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,85,85,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,90,90,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,95,95,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,100,100,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,105,105,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,110,110,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,115,115,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,120,120,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,125,125,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,130,130,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,135,135,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,140,140,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,145,145,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,150,150,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,155,155,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,160,160,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,165,165,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,170,170,0.0,0.0,VERY LOW,2.1
a j brown__NE,00-0035676,A.J. Brown,NE,PHI,WR,2026,PRE,2,175,175,0.0,0.0,VERY LOW,2.1
