player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_receiving_yards,model_version
00-0031381,Davante Adams,LAR,SF,WR,2026,REG,1,60.0,43.73,ELITE,55.503,NFL_RECEIVING_YARDS_V1
00-0031381,Davante Adams,LAR,SF,WR,2026,REG,1,70.0,34.33,ELITE,55.503,NFL_RECEIVING_YARDS_V1
00-0031381,Davante Adams,LAR,SF,WR,2026,REG,1,80.0,25.66,ELITE,55.503,NFL_RECEIVING_YARDS_V1
00-0031381,Davante Adams,LAR,SF,WR,2026,REG,1,90.0,18.37,ELITE,55.503,NFL_RECEIVING_YARDS_V1
00-0031381,Davante Adams,LAR,SF,WR,2026,REG,1,100.0,12.2,ELITE,55.503,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAR,WR,2026,REG,1,10.0,88.81,ELITE,61.067,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAR,WR,2026,REG,1,20.0,83.21,ELITE,61.067,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAR,WR,2026,REG,1,30.0,76.81,ELITE,61.067,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAR,WR,2026,REG,1,40.0,69.19,ELITE,61.067,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAR,WR,2026,REG,1,50.0,60.29,ELITE,61.067,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAR,WR,2026,REG,1,60.0,50.63,ELITE,61.067,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAR,WR,2026,REG,1,70.0,40.46,ELITE,61.067,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAR,WR,2026,REG,1,80.0,30.91,ELITE,61.067,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAR,WR,2026,REG,1,90.0,22.61,ELITE,61.067,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAR,WR,2026,REG,1,100.0,15.9,ELITE,61.067,NFL_RECEIVING_YARDS_V1
00-0031484,Chris Manhertz,NYG,DAL,TE,2026,REG,1,10.0,58.75,ELITE,11.313,NFL_RECEIVING_YARDS_V1
00-0031484,Chris Manhertz,NYG,DAL,TE,2026,REG,1,20.0,6.64,ELITE,11.313,NFL_RECEIVING_YARDS_V1
00-0031484,Chris Manhertz,NYG,DAL,TE,2026,REG,1,30.0,0.08,VERY LOW,11.313,NFL_RECEIVING_YARDS_V1
00-0031484,Chris Manhertz,NYG,DAL,TE,2026,REG,1,40.0,0.0,VERY LOW,11.313,NFL_RECEIVING_YARDS_V1
00-0031484,Chris Manhertz,NYG,DAL,TE,2026,REG,1,50.0,0.0,VERY LOW,11.313,NFL_RECEIVING_YARDS_V1
00-0031484,Chris Manhertz,NYG,DAL,TE,2026,REG,1,60.0,0.0,VERY LOW,11.313,NFL_RECEIVING_YARDS_V1
00-0031484,Chris Manhertz,NYG,DAL,TE,2026,REG,1,70.0,0.0,VERY LOW,11.313,NFL_RECEIVING_YARDS_V1
00-0031484,Chris Manhertz,NYG,DAL,TE,2026,REG,1,80.0,0.0,VERY LOW,11.313,NFL_RECEIVING_YARDS_V1
00-0031484,Chris Manhertz,NYG,DAL,TE,2026,REG,1,90.0,0.0,VERY LOW,11.313,NFL_RECEIVING_YARDS_V1
00-0031484,Chris Manhertz,NYG,DAL,TE,2026,REG,1,100.0,0.0,VERY LOW,11.313,NFL_RECEIVING_YARDS_V1
00-0031588,Stefon Diggs,WAS,PHI,WR,2026,REG,1,10.0,85.14,ELITE,55.183,NFL_RECEIVING_YARDS_V1
00-0031588,Stefon Diggs,WAS,PHI,WR,2026,REG,1,20.0,79.19,ELITE,55.183,NFL_RECEIVING_YARDS_V1
00-0031588,Stefon Diggs,WAS,PHI,WR,2026,REG,1,30.0,72.03,ELITE,55.183,NFL_RECEIVING_YARDS_V1
00-0031588,Stefon Diggs,WAS,PHI,WR,2026,REG,1,40.0,63.03,ELITE,55.183,NFL_RECEIVING_YARDS_V1
00-0031588,Stefon Diggs,WAS,PHI,WR,2026,REG,1,50.0,53.37,ELITE,55.183,NFL_RECEIVING_YARDS_V1
00-0031588,Stefon Diggs,WAS,PHI,WR,2026,REG,1,60.0,43.35,ELITE,55.183,NFL_RECEIVING_YARDS_V1
00-0031588,Stefon Diggs,WAS,PHI,WR,2026,REG,1,70.0,34.1,ELITE,55.183,NFL_RECEIVING_YARDS_V1
00-0031588,Stefon Diggs,WAS,PHI,WR,2026,REG,1,80.0,25.97,ELITE,55.183,NFL_RECEIVING_YARDS_V1
00-0031588,Stefon Diggs,WAS,PHI,WR,2026,REG,1,90.0,18.37,ELITE,55.183,NFL_RECEIVING_YARDS_V1
00-0031588,Stefon Diggs,WAS,PHI,WR,2026,REG,1,100.0,12.62,ELITE,55.183,NFL_RECEIVING_YARDS_V1
00-0031595,Michael Burton,CLE,JAX,RB,2026,REG,1,10.0,48.0,ELITE,10.238,NFL_RECEIVING_YARDS_V1
00-0031595,Michael Burton,CLE,JAX,RB,2026,REG,1,20.0,12.34,ELITE,10.238,NFL_RECEIVING_YARDS_V1
