rank,season,season_type,week,game_id,game_time,player_id,player_name,team,opponent,home_away,position,projected_sacks,median_sacks,p90_sacks,model_lambda,sacks_current,sacks_prior,sacks_l5_pg,sacks_l10_pg,sacks_season_pg,sacks_prior_pg,opp_sacks_allowed_pg,team_def_sacks_pg,qb_hits_l5_pg,qb_hurries_l5_pg,pressures_l5_pg,snaps_l5_pg,pass_rush_snaps_l5_pg,pressure_rate_l5,qb_hit_rate_l5,qb_hits_source,hurries_source,pressures_source,rush_snaps_source,matchup_multiplier,pressure_multiplier,sample_reliability,matchup_score,confidence,ai_play_0_5,n_sims,prob_over_0_5,prob_over_1_0,prob_over_1_5,prob_over_2_0,prob_over_2_5,prob_over_3_0,prob_over_3_5,prob_over_4_0,prob_1_0_plus,prob_1_5_plus,prob_2_0_plus,prob_2_5_plus,prob_3_0_plus,prob_3_5_plus,prob_4_0_plus,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,tier
286,2026,REG,3,401872948,2026-09-25T00:15Z,00-0036157,Kristian Welch,GB,ATL,HOME,LB,0.114,0.0,0.5,0.1141,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.5,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.9,0.5,66.0,43.0,LESS,20000,9.8,0.7,0.5,0.0,0.0,0.0,0.0,0.0,9.8,0.7,0.5,0.0,0.0,0.0,0.0,9.8,0.5,0.0,0.0,FADE
287,2026,REG,3,401872956,2026-09-27T17:00Z,00-0038399,Zaire Barnes,NYG,TEN,HOME,LB,0.113,0.0,0.5,0.1151,0.0,1.0,0.2,0.1,0.0,0.125,2.5,0.5,0.2,0.495,0.909,,12.1,7.5,1.6,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.081,0.936,1.0,54.0,73.0,LESS,20000,9.8,0.7,0.5,0.0,0.0,0.0,0.0,0.0,9.8,0.7,0.5,0.0,0.0,0.0,0.0,9.8,0.5,0.0,0.0,FADE
288,2026,REG,3,401872954,2026-09-27T17:00Z,00-0041447,Skyler Gill-Howard,DET,NYJ,HOME,DL,0.114,0.0,0.5,0.1123,0.0,0.0,0.0,0.0,0.0,,2.0,3.5,0.5,1.004,1.724,,23.0,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.969,0.35,43.0,33.0,LESS,20000,9.7,0.8,0.5,0.0,0.0,0.0,0.0,0.0,9.7,0.8,0.5,0.0,0.0,0.0,0.0,9.7,0.5,0.0,0.0,FADE
289,2026,REG,3,401872961,2026-09-27T20:25Z,00-0036193,Anfernee Jennings,NO,LV,HOME,LB,0.112,0.0,0.5,0.1119,0.0,4.0,0.2,0.3,0.0,0.235,1.0,2.0,0.4,0.753,1.379,,18.4,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,0.955,1.0,20.0,73.0,LESS,20000,9.7,0.7,0.5,0.0,0.0,0.0,0.0,0.0,9.7,0.7,0.5,0.0,0.0,0.0,0.0,9.7,0.5,0.0,0.0,FADE
290,2026,REG,3,401872963,2026-09-29T00:15Z,00-0031583,Grady Jarrett,CHI,PHI,HOME,DL,0.112,0.0,0.5,0.1116,0.0,1.5,0.1,0.15,0.0,0.1,3.0,2.5,0.6,1.18,2.069,,27.6,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.983,1.0,66.0,73.0,LESS,20000,9.6,0.7,0.5,0.0,0.0,0.0,0.0,0.0,9.6,0.7,0.5,0.0,0.0,0.0,0.0,9.6,0.5,0.0,0.0,FADE
291,2026,REG,3,401872955,2026-09-27T17:00Z,00-0040647,Rylie Mills,SEA,WAS,AWAY,DL,0.11,0.0,0.5,0.1099,0.0,1.0,0.2,0.2,0.0,0.333,0.5,2.5,0.2,0.495,0.909,,12.1,7.5,1.6,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,0.936,0.625,20.0,48.0,LESS,20000,9.6,0.6,0.4,0.0,0.0,0.0,0.0,0.0,9.6,0.6,0.4,0.0,0.0,0.0,0.0,9.6,0.4,0.0,0.0,FADE
292,2026,REG,3,401872958,2026-09-27T20:05Z,00-0041093,Karson Sharar,ARI,SF,AWAY,LB,0.11,0.0,0.5,0.1103,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.0,0.9,0.35,20.0,33.0,LESS,20000,9.5,0.7,0.5,0.0,0.0,0.0,0.0,0.0,9.5,0.7,0.5,0.0,0.0,0.0,0.0,9.5,0.5,0.0,0.0,FADE
293,2026,REG,3,401872961,2026-09-27T20:25Z,00-0038995,Bryan Bresee,NO,LV,HOME,DL,0.109,0.0,0.5,0.1075,0.0,2.5,0.2,0.15,,0.167,1.0,2.0,0.2,0.495,0.909,,12.1,7.5,1.6,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,0.936,1.0,20.0,73.0,LESS,20000,9.5,0.6,0.5,0.0,0.0,0.0,0.0,0.0,9.5,0.6,0.5,0.0,0.0,0.0,0.0,9.5,0.5,0.0,0.0,FADE
294,2026,REG,3,401872949,2026-09-27T17:00Z,00-0040174,Cam Jackson,CAR,CLE,AWAY,DL,0.109,0.0,0.5,0.1091,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.0,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,0.9,0.625,78.0,48.0,LESS,20000,9.5,0.7,0.5,0.0,0.0,0.0,0.0,0.0,9.5,0.7,0.5,0.0,0.0,0.0,0.0,9.5,0.5,0.0,0.0,FADE
295,2026,REG,3,401872957,2026-09-27T17:00Z,00-0034473,Dennis Gardeck,JAX,NE,HOME,LB,0.108,0.0,0.5,0.1096,0.0,2.5,0.0,0.25,0.0,0.156,3.0,2.5,0.6,1.205,2.069,,27.6,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.983,1.0,66.0,73.0,LESS,20000,9.5,0.6,0.5,0.0,0.0,0.0,0.0,0.0,9.5,0.6,0.5,0.0,0.0,0.0,0.0,9.5,0.5,0.0,0.0,FADE
