rank,season,season_type,week,game_id,game_time,player_id,player_name,team,opponent,home_away,position,projected_sacks,median_sacks,p90_sacks,model_lambda,sacks_current,sacks_prior,sacks_l5_pg,sacks_l10_pg,sacks_season_pg,sacks_prior_pg,opp_sacks_allowed_pg,team_def_sacks_pg,qb_hits_l5_pg,qb_hurries_l5_pg,pressures_l5_pg,snaps_l5_pg,pass_rush_snaps_l5_pg,pressure_rate_l5,qb_hit_rate_l5,qb_hits_source,hurries_source,pressures_source,rush_snaps_source,matchup_multiplier,pressure_multiplier,sample_reliability,matchup_score,confidence,ai_play_0_5,n_sims,prob_over_0_5,prob_over_1_0,prob_over_1_5,prob_over_2_0,prob_over_2_5,prob_over_3_0,prob_over_3_5,prob_over_4_0,prob_1_0_plus,prob_1_5_plus,prob_2_0_plus,prob_2_5_plus,prob_3_0_plus,prob_3_5_plus,prob_4_0_plus,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,tier
1,2026,REG,3,401872953,2026-09-27T17:00Z,00-0036914,Greg Rousseau,BUF,LAC,HOME,LB,1.655,1.5,3.0,1.65,4.0,8.0,1.1,0.9,2.0,0.444,3.0,3.5,3.2,6.153,11.034,,147.1,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.2,1.0,66.0,90.0,MORE,20000,79.1,52.8,45.5,25.7,20.2,9.9,6.9,3.1,79.1,52.8,45.5,25.7,20.2,9.9,6.9,79.1,45.5,20.2,6.9,ELITE
2,2026,REG,3,401872948,2026-09-25T00:15Z,00-0036932,Micah Parsons,GB,ATL,HOME,LB,1.649,1.5,3.0,1.65,0.0,12.5,1.2,1.0,,0.893,3.0,3.5,2.4,4.521,8.276,,110.3,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.2,1.0,66.0,90.0,MORE,20000,78.6,52.5,45.5,25.7,20.2,9.7,6.9,3.1,78.6,52.5,45.5,25.7,20.2,9.7,6.9,78.6,45.5,20.2,6.9,ELITE
3,2026,REG,3,401872950,2026-09-27T17:00Z,00-0036333,Alex Highsmith,PIT,CIN,HOME,LB,1.639,1.5,3.0,1.65,3.0,9.5,1.2,0.9,1.5,0.679,3.0,3.5,2.0,3.717,6.897,,92.0,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.176,1.0,66.0,90.0,MORE,20000,78.6,52.5,44.7,25.0,19.9,9.8,6.9,3.1,78.6,52.5,44.7,25.0,19.9,9.8,6.9,78.6,44.7,19.9,6.9,ELITE
4,2026,REG,3,401872959,2026-09-27T20:05Z,00-0039924,Dallas Turner,MIN,TB,AWAY,LB,1.641,1.5,3.0,1.65,3.0,8.0,1.1,0.95,1.5,0.471,3.5,4.0,2.8,5.349,9.655,,128.7,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.2,1.0,78.0,90.0,MORE,20000,78.0,53.0,45.4,25.6,19.9,9.9,6.9,2.9,78.0,53.0,45.4,25.6,19.9,9.9,6.9,78.0,45.4,19.9,6.9,ELITE
5,2026,REG,3,401872948,2026-09-25T00:15Z,00-0040578,James Pearce Jr.,ATL,GB,AWAY,LB,1.582,1.5,3.0,1.5737,0.0,10.5,1.1,1.0,,0.7,3.5,2.0,1.2,2.812,5.0,,47.6,10.5,2.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.1,1.0,78.0,90.0,MORE,20000,77.2,50.7,43.5,23.7,18.3,8.7,6.3,2.7,77.2,50.7,43.5,23.7,18.3,8.7,6.3,77.2,43.5,18.3,6.3,ELITE
6,2026,REG,3,401872959,2026-09-27T20:05Z,00-0035272,Andrew Van Ginkel,MIN,TB,AWAY,LB,1.536,1.0,3.0,1.5392,2.5,7.0,1.0,0.75,1.25,0.583,3.5,4.0,1.8,3.19,5.806,,61.1,9.5,2.9,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.132,1.0,78.0,90.0,MORE,20000,76.1,48.8,41.8,22.1,17.2,8.3,6.0,2.6,76.1,48.8,41.8,22.1,17.2,8.3,6.0,76.1,41.8,17.2,6.0,ELITE
7,2026,REG,3,401872954,2026-09-27T17:00Z,00-0037236,Aidan Hutchinson,DET,NYJ,HOME,DL,1.354,1.0,3.0,1.3756,3.0,14.5,1.6,1.05,1.5,0.853,2.0,3.5,2.6,4.288,7.879,,75.0,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,1.2,1.0,43.0,90.0,MORE,20000,72.0,42.6,36.1,17.6,13.5,5.3,3.6,1.3,72.0,42.6,36.1,17.6,13.5,5.3,3.6,72.0,36.1,13.5,3.6,ELITE
8,2026,REG,3,401872950,2026-09-27T17:00Z,00-0033886,T.J. Watt,PIT,CIN,HOME,LB,1.289,1.0,3.0,1.2828,3.5,7.0,0.7,0.65,1.75,0.467,3.0,3.5,1.4,2.501,4.516,,47.5,9.5,2.9,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.081,1.0,66.0,90.0,MORE,20000,69.9,40.1,33.4,16.1,12.2,4.8,3.3,1.3,69.9,40.1,33.4,16.1,12.2,4.8,3.3,69.9,33.4,12.2,3.3,ELITE
9,2026,REG,3,401872961,2026-09-27T20:25Z,00-0034973,Maxx Crosby,LV,NO,AWAY,DL,1.113,1.0,2.5,1.1168,1.5,10.0,0.7,0.75,0.75,0.667,4.0,4.0,1.4,2.349,4.242,,40.4,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.07,1.0,90.0,90.0,MORE,20000,64.4,33.6,27.6,11.5,8.6,3.2,1.9,0.6,64.4,33.6,27.6,11.5,8.6,3.2,1.9,64.4,27.6,8.6,1.9,STRONG
10,2026,REG,3,401872948,2026-09-25T00:15Z,00-0039112,Lukas Van Ness,GB,ATL,HOME,LB,1.081,1.0,2.5,1.0903,2.5,2.5,0.7,0.556,1.25,0.357,3.0,3.5,1.6,3.039,5.517,,73.6,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.121,1.0,66.0,85.0,MORE,20000,63.3,32.4,26.7,10.9,8.1,2.9,1.9,0.5,63.3,32.4,26.7,10.9,8.1,2.9,1.9,63.3,26.7,8.1,1.9,STRONG
11,2026,REG,3,401872959,2026-09-27T20:05Z,00-0033964,Al-Quadin Muhammad,TB,MIN,HOME,LB,1.009,1.0,2.0,1.0135,0.0,11.0,1.0,0.75,0.0,0.846,3.0,1.5,2.0,3.767,6.897,,92.0,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.176,1.0,66.0,90.0,MORE,20000,60.8,29.4,24.0,9.3,6.9,2.3,1.5,0.5,60.8,29.4,24.0,9.3,6.9,2.3,1.5,60.8,24.0,6.9,1.5,STRONG
12,2026,REG,3,401872957,2026-09-27T17:00Z,00-0035642,Josh Hines-Allen,JAX,NE,HOME,DL,0.983,1.0,2.0,0.9863,1.5,9.0,0.7,0.75,0.75,0.5,3.0,2.5,1.6,2.71,4.848,,46.2,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.094,1.0,66.0,90.0,MORE,20000,59.8,28.5,23.1,8.9,6.3,1.9,1.3,0.4,59.8,28.5,23.1,8.9,6.3,1.9,1.3,59.8,23.1,6.3,1.3,STRONG
13,2026,REG,3,401872953,2026-09-27T17:00Z,00-0034832,Bradley Chubb,BUF,LAC,HOME,LB,0.934,1.0,2.0,0.9438,1.5,8.5,0.7,0.6,0.75,0.5,3.0,3.5,1.6,2.883,5.161,,54.3,9.5,2.9,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.106,1.0,66.0,90.0,MORE,20000,58.0,26.2,21.2,8.0,5.8,1.8,1.2,0.4,58.0,26.2,21.2,8.0,5.8,1.8,1.2,58.0,21.2,5.8,1.2,STRONG
14,2026,REG,3,401872948,2026-09-25T00:15Z,00-0031576,Za'Darius Smith,ATL,GB,AWAY,LB,0.94,1.0,2.0,0.939,2.5,1.5,0.7,0.667,1.25,0.375,3.5,2.0,1.0,1.731,3.182,,30.3,10.5,3.3,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.027,0.75,78.0,70.0,MORE,20000,57.8,27.0,22.0,8.1,5.8,1.9,1.2,0.3,57.8,27.0,22.0,8.1,5.8,1.9,1.2,57.8,22.0,5.8,1.2,STRONG
15,2026,REG,3,401872962,2026-09-28T00:20Z,00-0033868,Myles Garrett,LAR,DEN,AWAY,LB,0.907,1.0,2.0,0.9041,0.0,23.0,0.8,1.8,,1.353,1.5,1.0,1.8,3.045,5.455,,51.9,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,1.118,1.0,31.0,90.0,MORE,20000,57.1,25.4,20.5,7.2,5.2,1.6,1.1,0.2,57.1,25.4,20.5,7.2,5.2,1.6,1.1,57.1,20.5,5.2,1.1,STRONG
16,2026,REG,3,401872961,2026-09-27T20:25Z,00-0036989,Malcolm Koonce,LV,NO,AWAY,DL,0.918,1.0,2.0,0.9201,1.5,4.5,0.6,0.5,0.75,0.3,4.0,4.0,1.8,3.095,5.455,,51.9,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.118,1.0,90.0,90.0,MORE,20000,56.9,25.7,20.9,7.8,5.7,1.8,1.2,0.4,56.9,25.7,20.9,7.8,5.7,1.8,1.2,56.9,20.9,5.7,1.2,STRONG
17,2026,REG,3,401872949,2026-09-27T17:00Z,00-0036934,Jaelan Phillips,CAR,CLE,AWAY,LB,0.907,1.0,2.0,0.9092,2.0,5.0,0.6,0.4,1.0,0.294,3.5,2.0,1.0,1.859,3.448,,46.0,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.038,1.0,78.0,90.0,MORE,20000,56.9,25.5,20.5,7.3,5.2,1.5,1.0,0.3,56.9,25.5,20.5,7.3,5.2,1.5,1.0,56.9,20.5,5.2,1.0,STRONG
18,2026,REG,3,401872950,2026-09-27T17:00Z,00-0039752,Cedric Johnson,CIN,PIT,AWAY,DL,0.907,1.0,2.0,0.9053,2.0,2.0,0.8,0.4,1.0,0.25,3.0,4.0,1.0,2.014,3.636,,34.6,10.5,2.9,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.045,1.0,66.0,90.0,MORE,20000,56.9,25.5,20.5,7.1,5.1,1.6,1.1,0.4,56.9,25.5,20.5,7.1,5.1,1.6,1.1,56.9,20.5,5.1,1.1,STRONG
19,2026,REG,3,401872951,2026-09-27T17:00Z,00-0031364,Jadeveon Clowney,HOU,IND,AWAY,DL,0.844,1.0,2.0,0.8528,1.0,8.5,1.5,0.95,1.0,0.708,1.0,3.5,2.0,3.744,6.818,,64.9,10.5,3.1,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,1.173,1.0,20.0,90.0,LEAN MORE,20000,54.1,23.3,18.5,6.1,4.4,1.3,0.8,0.1,54.1,23.3,18.5,6.1,4.4,1.3,0.8,54.1,18.5,4.4,0.8,WATCH
20,2026,REG,3,401872959,2026-09-27T20:05Z,00-0035276,Blake Cashman,MIN,TB,AWAY,LB,0.821,1.0,2.0,0.8173,1.5,2.0,0.7,0.35,0.75,0.154,3.5,4.0,1.0,1.834,3.448,,46.0,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.038,1.0,78.0,90.0,LEAN MORE,20000,53.2,21.9,17.6,5.8,4.2,1.2,0.8,0.2,53.2,21.9,17.6,5.8,4.2,1.2,0.8,53.2,17.6,4.2,0.8,WATCH
21,2026,REG,3,401872951,2026-09-27T17:00Z,00-0032378,DeForest Buckner,IND,HOU,HOME,DL,0.82,1.0,2.0,0.8204,1.5,4.0,0.5,0.55,0.75,0.4,3.5,2.0,0.8,1.482,2.759,,36.8,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.01,1.0,78.0,90.0,LEAN MORE,20000,53.0,22.4,17.5,5.9,4.1,1.2,0.8,0.2,53.0,22.4,17.5,5.9,4.1,1.2,0.8,53.0,17.5,4.1,0.8,WATCH
22,2026,REG,3,401872954,2026-09-27T17:00Z,00-0039142,Will McDonald IV,NYJ,DET,AWAY,LB,0.8,1.0,2.0,0.8039,1.0,8.0,0.4,0.7,1.0,0.667,2.5,3.0,1.8,3.145,5.455,,51.9,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.081,1.118,1.0,54.0,90.0,LEAN MORE,20000,52.1,21.3,17.0,5.5,3.9,1.0,0.6,0.2,52.1,21.3,17.0,5.5,3.9,1.0,0.6,52.1,17.0,3.9,0.6,WATCH
23,2026,REG,3,401872963,2026-09-29T00:15Z,00-0038386,Jalen Carter,PHI,CHI,AWAY,DL,0.786,1.0,2.0,0.7814,1.0,4.0,0.8,0.5,0.5,0.308,3.0,1.5,0.8,1.982,3.636,,48.5,7.5,1.6,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.045,1.0,66.0,90.0,LEAN MORE,20000,51.4,20.8,16.5,5.5,3.9,1.0,0.6,0.2,51.4,20.8,16.5,5.5,3.9,1.0,0.6,51.4,16.5,3.9,0.6,WATCH
24,2026,REG,3,401872961,2026-09-27T20:25Z,00-0036479,Kwity Paye,LV,NO,AWAY,DL,0.753,1.0,2.0,0.7617,2.0,4.0,0.4,0.3,1.0,0.25,4.0,4.0,1.2,2.064,3.636,,34.6,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.045,1.0,90.0,90.0,LEAN MORE,20000,50.2,19.4,15.4,4.8,3.3,0.8,0.5,0.1,50.2,19.4,15.4,4.8,3.3,0.8,0.5,50.2,15.4,3.3,0.5,WATCH
25,2026,REG,3,401872950,2026-09-27T17:00Z,00-0033523,Jonathan Allen,CIN,PIT,AWAY,DL,0.743,0.5,2.0,0.7408,2.0,3.5,0.6,0.3,1.0,0.206,3.0,4.0,0.6,1.486,2.727,,36.4,7.5,1.7,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.009,1.0,66.0,90.0,LESS,20000,49.5,19.1,15.1,4.6,3.2,0.9,0.6,0.1,49.5,19.1,15.1,4.6,3.2,0.9,0.6,49.5,15.1,3.2,0.6,WATCH
26,2026,REG,3,401872961,2026-09-27T20:25Z,00-0037615,Nakobe Dean,LV,NO,AWAY,LB,0.698,0.5,2.0,0.6983,1.5,4.0,0.3,0.55,0.75,0.4,4.0,4.0,0.6,1.13,2.069,,27.6,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,0.983,1.0,90.0,89.0,LESS,20000,47.3,17.3,13.6,4.0,3.0,0.7,0.4,0.1,47.3,17.3,13.6,4.0,3.0,0.7,0.4,47.3,13.6,3.0,0.4,WATCH
27,2026,REG,3,401872963,2026-09-29T00:15Z,00-0035647,Montez Sweat,CHI,PHI,HOME,DL,0.693,0.5,2.0,0.6929,1.0,11.0,0.5,0.45,0.5,0.579,3.0,2.5,1.4,2.399,4.242,,40.4,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.07,1.0,66.0,89.0,LESS,20000,47.1,17.1,13.6,4.0,2.8,0.7,0.4,0.1,47.1,17.1,13.6,4.0,2.8,0.7,0.4,47.1,13.6,2.8,0.4,WATCH
28,2026,REG,3,401872948,2026-09-25T00:15Z,00-0038980,Zach Harrison,ATL,GB,AWAY,DL,0.665,0.5,2.0,0.6541,0.0,4.5,0.6,0.562,0.0,0.643,3.5,2.0,0.6,1.548,2.727,,26.0,10.5,2.3,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.009,1.0,78.0,78.0,LESS,20000,45.8,15.8,12.7,3.5,2.5,0.6,0.3,0.1,45.8,15.8,12.7,3.5,2.5,0.6,0.3,45.8,12.7,2.5,0.3,WATCH
29,2026,REG,3,401872961,2026-09-27T20:25Z,00-0036321,Chase Young,NO,LV,HOME,LB,0.64,0.5,2.0,0.6507,1.5,10.0,1.1,0.85,0.75,0.833,1.0,2.0,1.6,2.712,5.0,,47.6,10.5,3.4,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,1.1,1.0,20.0,88.0,LESS,20000,44.6,14.8,11.8,3.2,2.3,0.5,0.3,0.1,44.6,14.8,11.8,3.2,2.3,0.5,0.3,44.6,11.8,2.3,0.3,LOW
30,2026,REG,3,401872957,2026-09-27T17:00Z,00-0037235,Travon Walker,JAX,NE,HOME,DL,0.641,0.0,2.0,0.6408,1.5,3.5,0.5,0.3,0.75,0.233,3.0,2.5,1.2,2.039,3.636,,34.6,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.045,1.0,66.0,87.0,LESS,20000,44.5,15.2,12.1,3.3,2.3,0.5,0.4,0.1,44.5,15.2,12.1,3.3,2.3,0.5,0.4,44.5,12.1,2.3,0.4,LOW
31,2026,REG,3,401872952,2026-09-27T17:00Z,00-0032762,Chris Jones,KC,MIA,AWAY,DL,0.634,0.0,2.0,0.6294,0.0,7.0,0.6,0.5,0.0,0.412,4.5,1.5,1.6,2.735,4.848,,46.2,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.094,1.0,90.0,87.0,LESS,20000,44.3,14.9,11.8,3.1,2.1,0.5,0.3,0.0,44.3,14.9,11.8,3.1,2.1,0.5,0.3,44.3,11.8,2.1,0.3,LOW
32,2026,REG,3,401872948,2026-09-25T00:15Z,00-0039859,Brandon Dorlus,ATL,GB,AWAY,DL,0.63,0.0,2.0,0.6376,0.0,8.5,0.5,0.7,0.0,0.607,3.5,2.0,0.8,1.317,2.424,,23.1,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,0.997,1.0,78.0,87.0,LESS,20000,44.2,14.7,11.5,3.1,2.1,0.4,0.3,0.1,44.2,14.7,11.5,3.1,2.1,0.4,0.3,44.2,11.5,2.1,0.3,LOW
33,2026,REG,3,401872961,2026-09-27T20:25Z,00-0040169,Tonka Hemingway,LV,NO,AWAY,DL,0.626,0.0,2.0,0.6285,0.0,4.0,0.6,0.444,0.0,0.571,4.0,4.0,1.2,2.26,4.138,,55.2,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.066,1.0,90.0,82.0,LESS,20000,44.1,14.3,11.4,3.0,2.1,0.5,0.3,0.0,44.1,14.3,11.4,3.0,2.1,0.5,0.3,44.1,11.4,2.1,0.3,LOW
34,2026,REG,3,401872956,2026-09-27T17:00Z,00-0035713,Brian Burns,NYG,TEN,HOME,LB,0.626,0.0,2.0,0.6241,0.0,16.5,0.7,0.55,0.0,0.971,2.5,0.5,1.4,2.637,4.828,,64.4,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.081,1.093,1.0,54.0,87.0,LESS,20000,43.7,14.6,11.5,2.9,2.1,0.4,0.2,0.0,43.7,14.6,11.5,2.9,2.1,0.4,0.2,43.7,11.5,2.1,0.2,LOW
35,2026,REG,3,401872950,2026-09-27T17:00Z,00-0040756,Shemar Stewart,CIN,PIT,AWAY,DL,0.604,0.0,2.0,0.5967,1.0,1.0,0.4,0.286,1.0,0.167,3.0,4.0,1.0,1.703,3.03,,28.9,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.021,0.875,66.0,71.0,LESS,20000,42.9,13.6,10.6,2.8,1.9,0.4,0.3,0.0,42.9,13.6,10.6,2.8,1.9,0.4,0.3,42.9,10.6,1.9,0.3,LOW
36,2026,REG,3,401872951,2026-09-27T17:00Z,00-0039340,Laiatu Latu,IND,HOU,HOME,DL,0.608,0.0,2.0,0.6031,0.5,8.5,0.5,0.4,0.25,0.531,3.5,2.0,0.8,1.317,2.424,,23.1,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,0.997,1.0,78.0,86.0,LESS,20000,42.7,14.2,11.1,2.8,2.0,0.4,0.3,0.1,42.7,14.2,11.1,2.8,2.0,0.4,0.3,42.7,11.1,2.0,0.3,LOW
37,2026,REG,3,401872963,2026-09-29T00:15Z,00-0039840,Austin Booker,CHI,PHI,HOME,DL,0.592,0.0,2.0,0.5947,1.0,5.5,0.4,0.55,0.5,0.458,3.0,2.5,0.6,0.982,1.818,,17.3,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.973,1.0,66.0,86.0,LESS,20000,41.9,13.5,10.4,2.6,1.9,0.4,0.3,0.0,41.9,13.5,10.4,2.6,1.9,0.4,0.3,41.9,10.4,1.9,0.3,LOW
38,2026,REG,3,401872956,2026-09-27T17:00Z,00-0040677,Abdul Carter,NYG,TEN,HOME,LB,0.588,0.0,2.0,0.587,1.0,4.0,0.5,0.45,0.5,0.267,2.5,0.5,2.2,4.294,7.586,,101.1,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.081,1.2,1.0,54.0,86.0,LESS,20000,41.8,13.0,10.3,2.7,1.8,0.4,0.2,0.1,41.8,13.0,10.3,2.7,1.8,0.4,0.2,41.8,10.3,1.8,0.2,LOW
39,2026,REG,3,401872951,2026-09-27T17:00Z,00-0039108,Will Anderson Jr.,HOU,IND,AWAY,DL,0.579,0.0,1.5,0.5783,1.5,15.5,1.0,0.65,0.75,0.816,1.0,3.5,1.4,2.48,4.545,,43.3,10.5,3.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,1.082,1.0,20.0,86.0,LESS,20000,41.5,12.8,9.7,2.5,1.7,0.4,0.3,0.0,41.5,12.8,9.7,2.5,1.7,0.4,0.3,41.5,9.7,1.7,0.3,LOW
40,2026,REG,3,401872956,2026-09-27T17:00Z,00-0035643,Jeffery Simmons,TEN,NYG,AWAY,DL,0.579,0.0,2.0,0.5678,1.0,11.0,0.6,0.75,0.5,0.733,2.0,1.5,1.0,1.859,3.448,,46.0,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,1.038,1.0,43.0,86.0,LESS,20000,41.4,12.8,10.0,2.5,1.7,0.4,0.3,0.0,41.4,12.8,10.0,2.5,1.7,0.4,0.3,41.4,10.0,1.7,0.3,LOW
41,2026,REG,3,401872951,2026-09-27T17:00Z,00-0031565,Danielle Hunter,HOU,IND,AWAY,DL,0.577,0.0,1.5,0.5801,1.0,18.0,1.0,0.8,0.5,1.0,1.0,3.5,0.8,2.63,4.545,,43.3,10.5,1.8,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,1.082,1.0,20.0,86.0,LESS,20000,41.3,12.6,9.8,2.4,1.6,0.3,0.2,0.0,41.3,12.6,9.8,2.4,1.6,0.3,0.2,41.3,9.8,1.6,0.2,LOW
42,2026,REG,3,401872953,2026-09-27T17:00Z,00-0035230,Ed Oliver,BUF,LAC,HOME,DL,0.578,0.0,2.0,0.573,0.0,3.0,0.75,0.75,0.0,1.0,3.0,3.5,1.5,2.825,5.172,,69.0,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.107,0.5,66.0,56.0,LESS,20000,41.1,13.0,10.3,2.5,1.7,0.3,0.2,0.1,41.1,13.0,10.3,2.5,1.7,0.3,0.2,41.1,10.3,1.7,0.2,LOW
43,2026,REG,3,401872948,2026-09-25T00:15Z,00-0039850,Edgerrin Cooper,GB,ATL,HOME,LB,0.561,0.0,1.5,0.5608,2.0,0.5,0.4,0.2,1.0,0.029,3.0,3.5,0.4,0.991,1.818,,24.2,7.5,1.6,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.973,1.0,66.0,85.0,LESS,20000,40.3,12.2,9.6,2.2,1.6,0.3,0.2,0.1,40.3,12.2,9.6,2.2,1.6,0.3,0.2,40.3,9.6,1.6,0.2,LOW
44,2026,REG,3,401872954,2026-09-27T17:00Z,00-0041026,David Bailey,NYJ,DET,AWAY,LB,0.55,0.0,1.5,0.5465,2.0,0.0,1.0,1.0,1.0,,2.5,3.0,1.0,2.477,4.545,,60.6,7.5,1.6,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.081,1.082,0.35,54.0,45.0,LESS,20000,39.9,12.1,9.1,2.1,1.5,0.3,0.2,0.0,39.9,12.1,9.1,2.1,1.5,0.3,0.2,39.9,9.1,1.5,0.2,LOW
45,2026,REG,3,401872960,2026-09-27T20:25Z,00-0038505,Tavius Robinson,BAL,DAL,AWAY,LB,0.55,0.0,1.5,0.5467,2.0,4.5,0.7,0.65,1.0,0.5,1.0,2.5,1.8,3.441,6.207,,82.8,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,1.148,1.0,20.0,85.0,LESS,20000,39.6,11.8,9.1,2.3,1.6,0.3,0.2,0.0,39.6,11.8,9.1,2.3,1.6,0.3,0.2,39.6,9.1,1.6,0.2,LOW
46,2026,REG,3,401872954,2026-09-27T17:00Z,00-0039431,Jowon Briggs,NYJ,DET,AWAY,DL,0.534,0.0,1.5,0.5341,1.0,4.0,0.4,0.3,1.0,0.286,2.5,3.0,0.4,1.032,1.818,,17.3,10.5,2.3,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.081,0.973,1.0,54.0,85.0,LESS,20000,38.9,11.2,8.7,2.0,1.4,0.2,0.2,0.0,38.9,11.2,8.7,2.0,1.4,0.2,0.2,38.9,8.7,1.4,0.2,LOW
47,2026,REG,3,401872956,2026-09-27T17:00Z,00-0039436,Jaylen Harrell,TEN,NYG,AWAY,LB,0.532,0.0,1.5,0.5274,0.0,4.5,0.8,0.45,,0.3,2.0,1.5,1.2,1.964,3.636,,34.6,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,1.045,1.0,43.0,84.0,LESS,20000,38.7,11.4,8.7,1.9,1.2,0.3,0.2,0.0,38.7,11.4,8.7,1.9,1.2,0.3,0.2,38.7,8.7,1.2,0.2,LOW
48,2026,REG,3,401872962,2026-09-28T00:20Z,00-0035248,Zach Allen,DEN,LAR,HOME,DL,0.53,0.0,1.5,0.5269,2.0,8.5,0.8,0.45,1.0,0.447,0.5,2.0,2.0,3.406,6.061,,57.7,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,1.142,1.0,20.0,84.0,LESS,20000,38.6,11.0,8.6,2.0,1.5,0.2,0.1,0.0,38.6,11.0,8.6,2.0,1.5,0.2,0.1,38.6,8.6,1.5,0.1,LOW
49,2026,REG,3,401872954,2026-09-27T17:00Z,00-0037083,Kingsley Enagbare,NYJ,DET,AWAY,LB,0.528,0.0,1.5,0.5261,2.0,2.0,0.4,0.35,1.0,0.118,2.5,3.0,0.6,1.105,2.069,,27.6,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.081,0.983,1.0,54.0,84.0,LESS,20000,38.4,10.9,8.4,2.1,1.4,0.3,0.2,0.0,38.4,10.9,8.4,2.1,1.4,0.3,0.2,38.4,8.4,1.4,0.2,LOW
50,2026,REG,3,401872959,2026-09-27T20:05Z,00-0039421,Levi Drake Rodriguez,MIN,TB,AWAY,DL,0.525,0.0,1.5,0.5255,1.0,2.0,0.4,0.3,0.5,0.133,3.5,4.0,0.8,1.467,2.667,,33.3,8.0,2.4,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.007,1.0,78.0,84.0,LESS,20000,38.4,11.0,8.7,2.0,1.4,0.2,0.1,0.0,38.4,11.0,8.7,2.0,1.4,0.2,0.1,38.4,8.7,1.4,0.1,LOW
