player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_receiving_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,projected_targets,projected_receptions,target_share,catch_rate,yards_per_target,yards_per_reception,last5_targets,target_trend_pct,targets,target_share_pct,projected_target_share,projected_rec,catch_rate_pct,receiving_yards_per_target,receiving_yards_per_reception,prob_10_plus,prob_20_plus,prob_30_plus,prob_40_plus,prob_50_plus,prob_60_plus,prob_70_plus,prob_80_plus,prob_90_plus,prob_100_plus,team_targets_pg,team_pass_attempts_pg,team_catch_rate,team_yards_per_target,team_yards_per_reception,team_explosive_rec_rate,team_epa_per_target,pace_plays_per_game,opp_rec_def_rating,opp_secondary_rating,opp_rec_yards_allowed_pg,opp_targets_allowed_pg,opp_receptions_allowed_pg,opp_catch_rate_allowed,opp_yards_per_target_allowed,opp_explosive_rec_rate_allowed,opp_epa_per_target_allowed,opp_pressure_rate,stadium_name,stadium_city,stadium_state,stadium_type,roof_type,projected_roof_status,field_surface,stadium_elevation_ft,weather_source_consensus,game_weather_window,kickoff_local,temperature_f,temperature_game_min_f,temperature_game_max_f,temperature_game_range_f,dew_point_f,humidity_pct,pressure_hpa,cloud_cover_pct,visibility_miles,wind_mph,wind_gust_mph,wind_gust_excess_mph,wind_direction_deg,precipitation_pct,precipitation_in,weather_condition,weather_uncertainty_score,weather_confidence_pct,receiving_weather_rating,receiving_weather_multiplier,receiving_weather_short_multiplier,receiving_weather_deep_multiplier,receiving_weather_risk,spread,game_total,team_implied_points,opp_implied_points,odds_details,receiving_matchup_score,projected_receiving_yards_pre_weather,weather_adjustment_yards
00-0035676,A.J. Brown,NE,CLE,WR,WR,ACT,7.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NE_CLE,,away,44.43,43.864,38.259,0.0,98.894,38.759,45,87.2,80.9,66.867,66.867,9.2,0.5,0.96,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,4.736,2.983,28.81,62.99,8.031,12.75,8.2,-2.38,4.736,28.81,28.81,2.983,62.99,8.031,12.75,72.48,65.31,57.24,48.58,40.55,32.73,25.66,19.06,13.79,9.46,34.27272727272727,34.27272727272727,0.0,6.4190981432360745,,8.010610079575597,,34.27272727272727,50.490592487918775,50.490592487918775,204.44230769230768,32.75,0.0,0.0,6.242513211978861,8.396946564885496,,0.0,Gillette Stadium,Foxborough,MA,OUTDOOR,OUTDOOR,OUTDOOR,—,289.0,Open-Meteo,Kickoff through +3h,2026-08-22T19:00:00-04:00,64.9,64.4,65.2,,62.5,92.2,1004.8,100.0,27.0,4.8,13.4,8.7,24.0,0.2,0.0,,0.0,100.0,95.2,1.0129,1.011,1.0144,FAVORABLE,,,,,,99.0,43.86,0.57
00-0037238,Drake London,ATL,MIA,WR,WR,ACT,4.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_ATL_MIA,,away,42.41,42.41,34.408,0.0,101.265,40.884,45,66.4,81.5,84.733,76.583,7.0,0.5,0.906,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,4.011,2.391,27.47,59.6,8.417,14.122,7.0,-39.66,4.011,27.47,27.47,2.391,59.6,8.417,14.122,68.14,61.23,53.42,45.96,38.31,31.31,24.72,19.18,14.31,10.48,34.11764705882353,34.11764705882353,0.0,6.822413793103448,,8.448275862068966,,34.11764705882353,49.682533954612566,49.682533954612566,235.21153846153845,35.23076923076923,0.0,0.0,6.676310043668122,8.460698689956333,,0.0,Lucas Oil Stadium,Indianapolis,IN,INDOOR,RETRACTABLE,INDOOR,TURF,715.0,Open-Meteo,Kickoff through +3h,2026-08-22T13:00:00-04:00,79.2,77.9,80.4,,68.1,69.2,988.7,36.5,51.7,12.2,17.9,5.7,292.0,1.0,0.0,,0.0,100.0,100.0,1.0,1.0,1.0,INDOOR / CONTROLLED,,,,,,99.5,42.41,0.0
00-0040735,Luther Burden III,CHI,TEN,WR,WR,ACT,1.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_CHI_TEN,,away,42.04,42.158,35.869,0.0,96.712,38.949,15,71.4,50.2,43.467,43.467,6.4,0.68,0.967,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,3.687,2.648,16.88,71.83,10.085,14.039,6.8,36.0,3.687,16.88,16.88,2.648,71.83,10.085,14.039,70.12,62.88,54.79,46.87,38.72,30.89,23.94,17.64,12.73,8.81,35.924528301886795,35.924528301886795,0.0,6.133403361344538,,8.403361344537815,,35.924528301886795,48.45874796798387,48.45874796798387,229.6078431372549,33.0,0.0,0.0,6.957813428401663,9.031491384432561,,0.0,Paycor Stadium,Cincinnati,OH,OUTDOOR,OUTDOOR,OUTDOOR,—,627.0,Open-Meteo,Kickoff through +3h,2026-08-22T19:00:00-04:00,75.7,70.1,78.9,,58.5,55.8,982.3,1.8,67.9,9.3,19.1,9.8,309.0,1.5,0.0,,0.0,100.0,86.5,0.9972,1.0005,0.9901,NEUTRAL,,,,,,97.7,42.16,-0.12
00-0039067,Rashee Rice,KC,SEA,WR,WR,ACT,3.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_SEA_KC,,home,42.57,41.963,39.269,0.0,87.81,33.566,27,71.2,75.6,80.4,71.375,10.4,0.5,0.997,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,4.781,3.517,28.4,73.57,8.007,10.883,10.4,13.04,4.781,28.4,28.4,3.517,73.57,8.007,10.883,76.57,68.52,59.16,49.3,38.86,29.74,20.8,13.85,9.15,5.49,37.793103448275865,37.793103448275865,0.0,6.499087591240876,,7.846715328467154,,37.793103448275865,50.81314176801998,50.81314176801998,235.5185185185185,37.370370370370374,0.0,0.0,6.302279484638255,8.077304261645194,,0.0,Raymond James Stadium,Tampa,FL,OUTDOOR,OUTDOOR,OUTDOOR,—,3.0,Open-Meteo,Kickoff through +3h,2026-08-22T19:30:00-04:00,84.7,81.9,88.4,,72.5,67.8,1014.5,75.5,51.4,5.8,10.2,4.4,222.0,3.5,0.0,,0.0,100.0,96.0,1.0144,1.012,1.0168,FAVORABLE,,,,,,99.3,41.96,0.6
00-0038606,Parker Washington,JAX,TB,WR,WR,ACT,3.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_TB_JAX,,home,42.52,41.919,37.24,0.0,92.976,36.364,33,85.2,69.2,56.467,56.467,7.0,0.5,1.15,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,4.374,2.573,23.06,58.82,8.608,14.633,8.8,57.14,4.374,23.06,23.06,2.573,58.82,8.608,14.633,73.44,65.6,56.87,47.27,38.13,29.59,22.32,16.18,11.45,7.31,36.28846153846154,36.28846153846154,0.0,6.5659777424483305,,8.691043985161633,,36.28846153846154,48.81234705806075,48.81234705806075,264.1296296296296,38.31481481481482,0.0,0.0,6.893668438859352,8.844852585790237,,0.0,EverBank Stadium,Jacksonville,FL,OUTDOOR,OUTDOOR,OUTDOOR,—,16.0,Open-Meteo,Kickoff through +3h,2026-08-21T19:30:00-04:00,82.7,80.9,84.3,,75.8,79.5,1015.0,33.2,39.6,6.6,13.1,6.5,161.0,12.2,0.0,,0.0,100.0,96.0,1.0144,1.012,1.0168,FAVORABLE,,,,,,98.7,41.92,0.6
00-0039338,Brock Bowers,LV,SF,TE,TE,ACT,2.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_SF_LV,,home,41.46,41.46,37.248,0.0,90.566,35.274,29,45.0,53.9,60.4,56.667,6.2,0.68,0.998,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,4.689,3.506,23.47,74.78,7.878,10.535,6.2,-20.51,4.689,23.47,23.47,3.506,74.78,7.878,10.535,74.04,66.11,57.0,47.6,37.88,29.59,21.66,15.17,10.24,6.39,36.627450980392155,36.627450980392155,0.0,5.983404710920771,,6.5310492505353315,,36.627450980392155,52.256545505987326,52.256545505987326,227.25,36.05357142857143,0.0,0.0,6.303120356612184,6.983655274888559,,0.0,Reliant Stadium,Houston,TX,INDOOR,DOME,INDOOR,—,39.0,Open-Meteo,Kickoff through +3h,2026-08-20T19:00:00-05:00,86.0,82.7,90.2,,74.8,69.8,1012.9,30.2,51.6,7.5,16.3,8.8,204.0,1.2,0.0,,0.0,100.0,100.0,1.0,1.0,1.0,INDOOR / CONTROLLED,,,,,,98.8,41.46,0.0
00-0036358,CeeDee Lamb,DAL,NO,WR,WR,ACT,6.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NO_DAL,,home,40.67,40.669,36.73,0.0,87.944,33.964,45,66.6,74.5,86.533,82.846,7.2,0.5,0.974,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,3.901,2.572,23.47,65.94,9.406,14.264,7.2,-26.53,3.901,23.47,23.47,2.572,65.94,9.406,14.264,75.16,66.1,56.55,46.99,37.45,28.07,20.57,13.94,9.04,5.83,39.55769230769231,39.55769230769231,0.0,6.794846864365581,,8.264462809917356,,39.55769230769231,50.09139705177316,50.09139705177316,225.41176470588235,34.666666666666664,0.0,0.0,6.502262443438914,8.3710407239819,,0.0,State Farm Stadium,Glendale,AZ,INDOOR,RETRACTABLE,INDOOR,GRASS,1152.0,Open-Meteo,Kickoff through +3h,2026-08-22T19:00:00-07:00,105.1,101.2,107.8,,43.0,12.8,969.3,39.0,180.1,6.8,17.5,10.7,175.0,1.0,0.0,,0.0,100.0,100.0,1.0,1.0,1.0,INDOOR / CONTROLLED,,,,,,99.6,40.67,0.0
00-0036554,Nico Collins,HOU,CAR,WR,WR,ACT,5.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_HOU_CAR,,away,40.5,40.5,36.635,0.0,87.049,33.534,42,84.0,80.5,74.467,74.467,7.0,0.5,0.904,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,3.984,2.319,23.16,58.2,9.123,15.676,6.4,-34.69,3.984,23.16,23.16,2.319,58.2,9.123,15.676,75.36,66.74,56.87,46.62,36.95,28.02,19.9,13.54,8.71,5.46,36.80701754385965,36.80701754385965,0.0,6.7016205910390845,,8.627264061010486,,36.80701754385965,49.97418894175862,49.97418894175862,216.09615384615384,31.826923076923077,0.0,0.0,6.789728096676737,8.09667673716012,,0.0,Reliant Stadium,Houston,TX,INDOOR,DOME,INDOOR,—,39.0,Open-Meteo,Kickoff through +3h,2026-08-20T19:00:00-05:00,86.0,82.7,90.2,,74.8,69.8,1012.9,30.2,51.6,7.5,16.3,8.8,204.0,1.2,0.0,,0.0,100.0,100.0,1.0,1.0,1.0,INDOOR / CONTROLLED,,,,,,99.4,40.5,0.0
00-0040126,Colston Loveland,CHI,TEN,TE,TE,ACT,1.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_CHI_TEN,,away,40.02,40.135,36.57,0.0,86.527,32.957,16,61.4,59.7,46.733,44.562,7.6,0.68,0.967,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,4.256,2.823,23.89,66.34,8.545,12.881,10.6,112.0,4.256,23.89,23.89,2.823,66.34,8.545,12.881,75.51,66.67,56.62,46.36,36.63,27.14,19.38,13.19,8.53,4.93,35.924528301886795,35.924528301886795,0.0,6.133403361344538,,8.403361344537815,,35.924528301886795,48.45874796798387,48.45874796798387,229.6078431372549,33.0,0.0,0.0,6.957813428401663,9.031491384432561,,0.0,Paycor Stadium,Cincinnati,OH,OUTDOOR,OUTDOOR,OUTDOOR,—,627.0,Open-Meteo,Kickoff through +3h,2026-08-22T19:00:00-04:00,75.7,70.1,78.9,,58.5,55.8,982.3,1.8,67.9,9.3,19.1,9.8,309.0,1.5,0.0,,0.0,100.0,86.5,0.9972,1.0005,0.9901,NEUTRAL,,,,,,97.7,40.13,-0.11
00-0037664,Alec Pierce,IND,DET,WR,WR,ACT,4.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_DET_IND,,home,39.91,39.905,34.27,0.0,92.45,36.778,48,62.8,68.6,66.867,66.867,5.0,0.5,1.087,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,2.89,1.617,15.95,55.95,11.94,21.34,5.0,-21.88,2.89,15.95,15.95,1.617,55.95,11.94,21.34,70.05,62.21,53.41,44.88,36.25,28.26,21.42,15.66,11.03,7.08,34.294117647058826,34.294117647058826,0.0,6.6506575185820465,,8.00457404230989,,34.294117647058826,46.53190399038676,46.53190399038676,260.94545454545454,37.09090909090909,0.0,0.0,7.035294117647059,10.392156862745098,,0.0,Lucas Oil Stadium,Indianapolis,IN,INDOOR,RETRACTABLE,INDOOR,TURF,715.0,Open-Meteo,Kickoff through +3h,2026-08-22T13:00:00-04:00,79.2,77.9,80.4,,68.1,69.2,988.7,36.5,51.7,12.2,17.9,5.7,292.0,1.0,0.0,,0.0,100.0,100.0,1.0,1.0,1.0,INDOOR / CONTROLLED,,,,,,98.1,39.91,0.0
