rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,roster_status,years_exp,jersey_number,headshot_url,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,data_through_season,last_5_avg,last_10_avg,last_15_avg,season_avg,prior_season_avg,last_5_attempts,last_10_attempts,season_attempts,last_5_ypa,last_10_ypa,season_ypa,normal_attempts,projected_ypa,baseline_yards,player_std,projection_source,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,projected_passing_yards,model_std,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,prob_100_plus,grade_100_plus,prob_110_plus,grade_110_plus,prob_120_plus,grade_120_plus,prob_130_plus,grade_130_plus,prob_140_plus,grade_140_plus,prob_150_plus,grade_150_plus,prob_160_plus,grade_160_plus,prob_170_plus,grade_170_plus,prob_180_plus,grade_180_plus,prob_190_plus,grade_190_plus,prob_200_plus,grade_200_plus,prob_210_plus,grade_210_plus,prob_220_plus,grade_220_plus,prob_230_plus,grade_230_plus,prob_240_plus,grade_240_plus,prob_250_plus,grade_250_plus,prob_260_plus,grade_260_plus,prob_270_plus,grade_270_plus,prob_280_plus,grade_280_plus,prob_290_plus,grade_290_plus,prob_300_plus,grade_300_plus,prob_310_plus,grade_310_plus,prob_320_plus,grade_320_plus,prob_330_plus,grade_330_plus,prob_340_plus,grade_340_plus,prob_350_plus,grade_350_plus,prob_360_plus,grade_360_plus,prob_370_plus,grade_370_plus,prob_380_plus,grade_380_plus,prob_390_plus,grade_390_plus,prob_400_plus,grade_400_plus,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,pass_depth_game_sample,pass_depth_avg_hist_attempts,pass_depth_avg_longest_completion,opponent,home_away,game_id,game_date,game_name
1,2026,PRE,0,2026 Hall of Fame Game,00-0041561,Carson Beck,ARI,RES,0,19.0,,TEAM_BLEND,31.5,6.83,215.0,0,,,,,,,,,,,,,31.5,6.83,215.0,67.84229878654799,TEAM_PRIOR_NO_NFL_HISTORY,31.5,18.0,AUTO_PRESEASON_USAGE,rookie,136.7,57.4,63.4,98.1,137.2,175.3,210.4,73.9,HIGH,68.0,SOLID,61.7,SOLID,54.9,LEAN,48.1,COIN FLIP,41.2,COIN FLIP,34.3,LOW,28.0,LOW,22.5,VERY LOW,17.7,VERY LOW,13.6,VERY LOW,10.1,VERY LOW,7.4,VERY LOW,5.2,VERY LOW,3.6,VERY LOW,2.4,VERY LOW,1.6,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.9,98.8,91.1,73.8,51.0,36.0,TEAM_3_SEASON_GAME_BOOTSTRAP,1888,51,37.0,33.5,CAR,home,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,Carolina Panthers at Arizona Cardinals
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ACT,0,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcloyq4ahyh0hfzo6i0i",TEAM_BLEND,29.5,6.6,195.7,0,,,,,,,,,,,,,29.5,6.6,195.7,73.01381465694534,TEAM_PRIOR_NO_NFL_HISTORY,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,130.3,63.9,48.7,87.3,130.2,173.1,212.2,68.2,SOLID,62.5,SOLID,56.4,LEAN,50.1,LEAN,43.8,COIN FLIP,37.6,LOW,32.0,LOW,26.5,LOW,21.7,VERY LOW,17.4,VERY LOW,13.7,VERY LOW,10.6,VERY LOW,8.0,VERY LOW,5.9,VERY LOW,4.3,VERY LOW,3.1,VERY LOW,2.2,VERY LOW,1.5,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.9,95.6,85.0,71.2,48.1,33.5,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,52,35.2,32.2,ARI,away,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,Carolina Panthers at Arizona Cardinals
3,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ACT,3,9.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",TEAM_BLEND,29.5,6.6,195.7,44,2025.0,176.0,186.1,190.5,188.2,195.8,27.0,27.9,29.9,6.58,6.43,6.2,28.0,6.46,184.9,93.45765412520761,NFL_HISTORY,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,115.6,66.8,30.1,70.3,115.0,160.3,201.1,59.0,LEAN,53.0,LEAN,47.0,COIN FLIP,41.1,COIN FLIP,35.5,LOW,30.2,LOW,25.2,LOW,20.6,VERY LOW,16.7,VERY LOW,13.3,VERY LOW,10.3,VERY LOW,7.9,VERY LOW,5.9,VERY LOW,4.4,VERY LOW,3.1,VERY LOW,2.2,VERY LOW,1.5,VERY LOW,1.1,VERY LOW,0.7,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,97.7,91.9,78.7,63.5,44.0,29.0,QB_3_SEASON_GAME_BOOTSTRAP,1554,47,33.1,31.1,ARI,away,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,Carolina Panthers at Arizona Cardinals
4,2026,PRE,0,2026 Hall of Fame Game,00-0038102,Kenny Pickett,CAR,ACT,4,12.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nfdzmyfr8eup5uuojjdw",TEAM_BLEND,29.5,6.6,195.7,16,2025.0,103.4,126.0,152.3,80.5,143.0,17.0,21.5,18.0,6.77,6.15,5.69,19.6,6.35,114.2,47.37187203251847,NFL_HISTORY,19.6,16.0,AUTO_PRESEASON_USAGE,young_backup,103.5,48.5,41.1,70.6,103.4,136.0,165.8,52.7,LEAN,44.5,COIN FLIP,36.5,LOW,29.1,LOW,22.5,VERY LOW,16.8,VERY LOW,12.2,VERY LOW,8.5,VERY LOW,5.8,VERY LOW,3.8,VERY LOW,2.4,VERY LOW,1.5,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.5,72.3,55.6,45.7,42.3,32.9,QB_3_SEASON_GAME_BOOTSTRAP,448,23,19.5,26.7,ARI,away,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,Carolina Panthers at Arizona Cardinals
5,2026,PRE,0,2026 Hall of Fame Game,00-0035251,Will Grier,CAR,ACT,7,14.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/c8cmoyu2wemjpl6ctk9g",TEAM_BLEND,29.5,6.6,195.7,0,,,,,,,,,,,,,29.5,6.6,195.7,73.01381465694534,TEAM_PRIOR_NO_NFL_HISTORY,29.5,13.0,AUTO_PRESEASON_USAGE,veteran_backup,102.2,54.3,32.7,65.6,102.0,139.0,172.0,51.5,LEAN,44.2,COIN FLIP,37.2,LOW,30.5,LOW,24.4,VERY LOW,19.0,VERY LOW,14.4,VERY LOW,10.6,VERY LOW,7.6,VERY LOW,5.4,VERY LOW,3.7,VERY LOW,2.4,VERY LOW,1.5,VERY LOW,0.9,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.2,90.8,75.6,57.9,37.6,25.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,52,35.2,32.2,ARI,away,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,Carolina Panthers at Arizona Cardinals
6,2026,PRE,0,2026 Hall of Fame Game,00-0033119,Jacoby Brissett,ARI,ACT,10,7.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rdxowm5dvpbb8p3aazbc",TEAM_BLEND,31.5,6.83,215.0,20,2025.0,235.6,276.7,255.1,280.5,138.0,36.6,40.4,40.3,6.5,6.87,6.98,37.8,6.74,240.1,55.814564748011584,NFL_HISTORY,37.8,9.0,AUTO_PRESEASON_USAGE,starter_like,87.6,28.7,50.9,68.1,87.4,106.9,124.3,33.0,LOW,21.6,VERY LOW,12.8,VERY LOW,7.1,VERY LOW,3.4,VERY LOW,1.4,VERY LOW,0.6,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,84.8,75.6,62.4,43.8,27.6,18.2,QB_3_SEASON_GAME_BOOTSTRAP,734,22,33.4,30.5,CAR,home,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,Carolina Panthers at Arizona Cardinals
7,2026,PRE,0,2026 Hall of Fame Game,00-0039577,Kedon Slovis,ARI,ACT,2,12.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nyfoex8q88tq9fatpleo",TEAM_BLEND,31.5,6.83,215.0,0,,,,,,,,,,,,,31.5,6.83,215.0,67.84229878654799,TEAM_PRIOR_NO_NFL_HISTORY,31.5,9.0,AUTO_PRESEASON_USAGE,starter_like,84.5,40.6,32.6,57.4,84.5,111.9,136.7,35.0,LOW,26.5,LOW,19.1,VERY LOW,13.1,VERY LOW,8.6,VERY LOW,5.4,VERY LOW,3.1,VERY LOW,1.8,VERY LOW,0.9,VERY LOW,0.5,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,95.3,86.0,68.2,46.6,28.9,18.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1888,51,37.0,33.5,CAR,home,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,Carolina Panthers at Arizona Cardinals
8,2026,PRE,0,2026 Hall of Fame Game,00-0035289,Gardner Minshew,ARI,ACT,7,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lggwtoj1m0jxxiawtzpw",TEAM_BLEND,31.5,6.83,215.0,26,2025.0,172.0,177.1,187.3,15.0,201.3,28.0,28.1,8.0,5.63,6.11,1.88,24.8,5.08,147.5,89.47943900658017,NFL_HISTORY,24.8,13.0,AUTO_PRESEASON_USAGE,veteran_backup,78.2,60.9,0.1,37.4,78.4,119.4,156.8,36.1,LOW,30.1,LOW,24.7,VERY LOW,19.8,VERY LOW,15.6,VERY LOW,12.1,VERY LOW,9.1,VERY LOW,6.7,VERY LOW,4.8,VERY LOW,3.4,VERY LOW,2.3,VERY LOW,1.5,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,96.2,93.8,72.7,52.4,39.6,28.5,QB_3_SEASON_GAME_BOOTSTRAP,876,28,31.3,32.4,CAR,home,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,Carolina Panthers at Arizona Cardinals
