player_key,player_id,player_name,team,opponent,position,season,season_type,week,ladder_yards,ladder_line,probability_pct,probability,grade,projected_rushing_yards,projected_carries,projected_ypc,matchup_score,data_quality_score
adonai mitchell__NYJ,00-0039890,Adonai Mitchell,NYJ,TEN,WR,2026,REG,1,30,30,0.1,0.1,VERY LOW,3.2,1.0,3.63,97.7,38.8
adonai mitchell__NYJ,00-0039890,Adonai Mitchell,NYJ,TEN,WR,2026,REG,1,40,40,0.0,0.0,VERY LOW,3.2,1.0,3.63,97.7,38.8
adonai mitchell__NYJ,00-0039890,Adonai Mitchell,NYJ,TEN,WR,2026,REG,1,50,50,0.0,0.0,VERY LOW,3.2,1.0,3.63,97.7,38.8
adonai mitchell__NYJ,00-0039890,Adonai Mitchell,NYJ,TEN,WR,2026,REG,1,60,60,0.0,0.0,VERY LOW,3.2,1.0,3.63,97.7,38.8
adonai mitchell__NYJ,00-0039890,Adonai Mitchell,NYJ,TEN,WR,2026,REG,1,70,70,0.0,0.0,VERY LOW,3.2,1.0,3.63,97.7,38.8
adonai mitchell__NYJ,00-0039890,Adonai Mitchell,NYJ,TEN,WR,2026,REG,1,80,80,0.0,0.0,VERY LOW,3.2,1.0,3.63,97.7,38.8
adonai mitchell__NYJ,00-0039890,Adonai Mitchell,NYJ,TEN,WR,2026,REG,1,90,90,0.0,0.0,VERY LOW,3.2,1.0,3.63,97.7,38.8
adonai mitchell__NYJ,00-0039890,Adonai Mitchell,NYJ,TEN,WR,2026,REG,1,100,100,0.0,0.0,VERY LOW,3.2,1.0,3.63,97.7,38.8
aidan o connell__LV,00-0038579,Aidan O'Connell,LV,MIA,QB,2026,REG,1,10,10,25.9,25.9,LOW,6.9,3.2,2.25,100.1,65.0
aidan o connell__LV,00-0038579,Aidan O'Connell,LV,MIA,QB,2026,REG,1,20,20,6.1,6.1,VERY LOW,6.9,3.2,2.25,100.1,65.0
aidan o connell__LV,00-0038579,Aidan O'Connell,LV,MIA,QB,2026,REG,1,30,30,1.2,1.2,VERY LOW,6.9,3.2,2.25,100.1,65.0
aidan o connell__LV,00-0038579,Aidan O'Connell,LV,MIA,QB,2026,REG,1,40,40,0.2,0.2,VERY LOW,6.9,3.2,2.25,100.1,65.0
aidan o connell__LV,00-0038579,Aidan O'Connell,LV,MIA,QB,2026,REG,1,50,50,0.1,0.1,VERY LOW,6.9,3.2,2.25,100.1,65.0
aidan o connell__LV,00-0038579,Aidan O'Connell,LV,MIA,QB,2026,REG,1,60,60,0.0,0.0,VERY LOW,6.9,3.2,2.25,100.1,65.0
aidan o connell__LV,00-0038579,Aidan O'Connell,LV,MIA,QB,2026,REG,1,70,70,0.0,0.0,VERY LOW,6.9,3.2,2.25,100.1,65.0
aidan o connell__LV,00-0038579,Aidan O'Connell,LV,MIA,QB,2026,REG,1,80,80,0.0,0.0,VERY LOW,6.9,3.2,2.25,100.1,65.0
aidan o connell__LV,00-0038579,Aidan O'Connell,LV,MIA,QB,2026,REG,1,90,90,0.0,0.0,VERY LOW,6.9,3.2,2.25,100.1,65.0
aidan o connell__LV,00-0038579,Aidan O'Connell,LV,MIA,QB,2026,REG,1,100,100,0.0,0.0,VERY LOW,6.9,3.2,2.25,100.1,65.0
aj dillon__CAR,00-0036265,AJ Dillon,CAR,CHI,RB,2026,REG,1,10,10,67.6,67.6,SOLID,25.8,6.3,4.12,103.4,65.0
aj dillon__CAR,00-0036265,AJ Dillon,CAR,CHI,RB,2026,REG,1,20,20,50.7,50.7,LEAN,25.8,6.3,4.12,103.4,65.0
aj dillon__CAR,00-0036265,AJ Dillon,CAR,CHI,RB,2026,REG,1,30,30,35.6,35.6,LOW,25.8,6.3,4.12,103.4,65.0
aj dillon__CAR,00-0036265,AJ Dillon,CAR,CHI,RB,2026,REG,1,40,40,23.8,23.8,VERY LOW,25.8,6.3,4.12,103.4,65.0
aj dillon__CAR,00-0036265,AJ Dillon,CAR,CHI,RB,2026,REG,1,50,50,15.4,15.4,VERY LOW,25.8,6.3,4.12,103.4,65.0
aj dillon__CAR,00-0036265,AJ Dillon,CAR,CHI,RB,2026,REG,1,60,60,9.8,9.8,VERY LOW,25.8,6.3,4.12,103.4,65.0
aj dillon__CAR,00-0036265,AJ Dillon,CAR,CHI,RB,2026,REG,1,70,70,6.0,6.0,VERY LOW,25.8,6.3,4.12,103.4,65.0
