rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,opponent,home_away,game_date,roster_status,years_exp,jersey_number,projection_source,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,preseason_expected_to_play,preseason_game_plan_role,preseason_game_plan_source,preseason_game_plan_note,preseason_game_plan_factor,projected_ypa,projected_passing_yards,model_std,last_5_avg,last_10_avg,last_15_avg,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,ladder_yards,probability_pct,grade
2,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,True,QB2,DEPTH ROTATION,,1.0,10.5,189.0,82.4,173.8,173.8,173.8,83.2,133.3,189.3,245.0,294.7,75.1,60.1,60.1,60.1,60.0,60.0,QB_3_SEASON_GAME_BOOTSTRAP,110,160,63.9,SOLID
2,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,True,QB2,DEPTH ROTATION,,1.0,10.5,189.0,82.4,173.8,173.8,173.8,83.2,133.3,189.3,245.0,294.7,75.1,60.1,60.1,60.1,60.0,60.0,QB_3_SEASON_GAME_BOOTSTRAP,110,170,59.2,LEAN
2,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,True,QB2,DEPTH ROTATION,,1.0,10.5,189.0,82.4,173.8,173.8,173.8,83.2,133.3,189.3,245.0,294.7,75.1,60.1,60.1,60.1,60.0,60.0,QB_3_SEASON_GAME_BOOTSTRAP,110,180,54.5,LEAN
2,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,True,QB2,DEPTH ROTATION,,1.0,10.5,189.0,82.4,173.8,173.8,173.8,83.2,133.3,189.3,245.0,294.7,75.1,60.1,60.1,60.1,60.0,60.0,QB_3_SEASON_GAME_BOOTSTRAP,110,190,49.6,COIN FLIP
2,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,True,QB2,DEPTH ROTATION,,1.0,10.5,189.0,82.4,173.8,173.8,173.8,83.2,133.3,189.3,245.0,294.7,75.1,60.1,60.1,60.1,60.0,60.0,QB_3_SEASON_GAME_BOOTSTRAP,110,200,44.7,COIN FLIP
2,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,True,QB2,DEPTH ROTATION,,1.0,10.5,189.0,82.4,173.8,173.8,173.8,83.2,133.3,189.3,245.0,294.7,75.1,60.1,60.1,60.1,60.0,60.0,QB_3_SEASON_GAME_BOOTSTRAP,110,210,39.9,LOW
2,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,True,QB2,DEPTH ROTATION,,1.0,10.5,189.0,82.4,173.8,173.8,173.8,83.2,133.3,189.3,245.0,294.7,75.1,60.1,60.1,60.1,60.0,60.0,QB_3_SEASON_GAME_BOOTSTRAP,110,220,35.4,LOW
2,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,True,QB2,DEPTH ROTATION,,1.0,10.5,189.0,82.4,173.8,173.8,173.8,83.2,133.3,189.3,245.0,294.7,75.1,60.1,60.1,60.1,60.0,60.0,QB_3_SEASON_GAME_BOOTSTRAP,110,230,31.0,LOW
2,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,True,QB2,DEPTH ROTATION,,1.0,10.5,189.0,82.4,173.8,173.8,173.8,83.2,133.3,189.3,245.0,294.7,75.1,60.1,60.1,60.1,60.0,60.0,QB_3_SEASON_GAME_BOOTSTRAP,110,240,27.0,LOW
2,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,True,QB2,DEPTH ROTATION,,1.0,10.5,189.0,82.4,173.8,173.8,173.8,83.2,133.3,189.3,245.0,294.7,75.1,60.1,60.1,60.1,60.0,60.0,QB_3_SEASON_GAME_BOOTSTRAP,110,250,23.1,VERY LOW
