date,rank,gamePk,player,mlb player id,team,opponent,lineup spot,lineup samples,probable pitcher,probable pitcher id,pitcher hand,batter side,park,projected pa,total bases line,best more line,best more threshold,projected tb,median tb,floor tb,ceiling tb,iqr upper tb,edge,fair line,more probability,push probability,less probability,recommendation,model confidence,ai score,tier,p 0 tb,p 1 tb,p 2 tb,p 3 tb,p 4 plus tb,p 1+ tb,p 2+ tb,p 3+ tb,p 4+ tb,p 5+ tb,p 6+ tb,single probability,double probability,triple probability,hr probability,season pa,season hits,season doubles,season triples,season hr,season slg,recent games used,last 14 total bases,last 14 avg tb,starter contribution,bullpen contribution,park contribution,weather contribution,pitcher era,pitcher whip,pitcher h9,pitcher hr9,simulation count,model version,more 0.5 %,push 0.5 %,less 0.5 %,side 0.5,confidence 0.5 %,ai score 0.5,tier 0.5,more 1.0 %,push 1.0 %,less 1.0 %,side 1.0,confidence 1.0 %,ai score 1.0,tier 1.0,more 1.5 %,push 1.5 %,less 1.5 %,side 1.5,confidence 1.5 %,ai score 1.5,tier 1.5,more 2.0 %,push 2.0 %,less 2.0 %,side 2.0,confidence 2.0 %,ai score 2.0,tier 2.0,more 2.5 %,push 2.5 %,less 2.5 %,side 2.5,confidence 2.5 %,ai score 2.5,tier 2.5,more 3.0 %,push 3.0 %,less 3.0 %,side 3.0,confidence 3.0 %,ai score 3.0,tier 3.0,more 3.5 %,push 3.5 %,less 3.5 %,side 3.5,confidence 3.5 %,ai score 3.5,tier 3.5,more 4.0 %,push 4.0 %,less 4.0 %,side 4.0,confidence 4.0 %,ai score 4.0,tier 4.0,more 4.5 %,push 4.5 %,less 4.5 %,side 4.5,confidence 4.5 %,ai score 4.5,tier 4.5
2026-08-10,50,823189,Rafael Devers,646240,SF,HOU,,0,Hayden Wesneski,669713,R,L,Oracle Park,4.15,0.5,0.5,1+ TB,1.552,1.0,0.0,4.0,2.0,1.052,1.0,63.7,0.0,36.3,MORE,63.7,82,Silver,36.3,26.51,14.65,5.47,17.07,63.7,37.19,22.54,17.07,7.84,3.49,13.81,4.04,0.23,3.83,499,111,27,1,24,0.475,14,"2,0,4,2,0,0,4,2,0,3,0,1,0,0",1.286,50.2,50.0,50.0,50.0,3.86,1.29,8.49,0.0,10000,TB_V2_MORE_LADDER,63.7,0.0,36.3,MORE,63.7,82,Silver,37.19,26.51,36.3,PASS,37.19,65,Pass,37.19,0.0,62.81,PASS,37.19,60,Pass,22.54,14.65,62.81,PASS,22.54,60,Pass,22.54,0.0,77.46,PASS,22.54,60,Pass,17.07,5.47,77.46,PASS,17.07,60,Pass,17.07,0.0,82.93,PASS,17.07,60,Pass,7.84,9.23,82.93,PASS,7.84,60,Pass,7.84,0.0,92.16,PASS,7.84,60,Pass
2026-08-10,51,823265,William Contreras,661388,MIL,SD,,0,Casey Mize,663554,R,R,Petco Park,4.15,0.5,0.5,1+ TB,1.387,1.0,0.0,4.0,2.0,0.887,1.0,63.7,0.0,36.3,MORE,63.7,81,Silver,36.3,28.82,16.17,6.57,12.14,63.7,34.88,18.71,12.14,5.44,2.22,15.22,3.75,0.48,2.27,468,111,17,1,11,0.388,14,"0,1,0,4,2,0,0,2,2,4,0,2,1,2",1.429,41.2,50.0,50.0,50.0,3.4,1.09,7.6,0.6,10000,TB_V2_MORE_LADDER,63.7,0.0,36.3,MORE,63.7,81,Silver,34.88,28.82,36.3,PASS,34.88,63,Pass,34.88,0.0,65.12,PASS,34.88,60,Pass,18.71,16.17,65.12,PASS,18.71,60,Pass,18.71,0.0,81.29,PASS,18.71,60,Pass,12.14,6.57,81.29,PASS,12.14,60,Pass,12.14,0.0,87.86,PASS,12.14,60,Pass,5.44,6.7,87.86,PASS,5.44,60,Pass,5.44,0.0,94.56,PASS,5.44,60,Pass
2026-08-10,52,823998,Joc Pederson,592626,TEX,LAA,,0,Reid Detmers,672282,L,L,Angel Stadium,4.15,0.5,0.5,1+ TB,1.731,1.0,0.0,5.0,3.0,1.231,1.0,63.64,0.0,36.36,MORE,63.64,84,Gold,36.36,23.17,13.51,4.87,22.09,63.64,40.47,26.96,22.09,10.24,4.66,12.5,3.65,0.41,5.33,355,77,11,2,21,0.502,14,"0,4,1,0,1,0,1,4,0,0,1,8,2,4",1.857,41.6,50.0,50.0,50.0,4.12,1.1,7.19,1.19,10000,TB_V2_MORE_LADDER,63.64,0.0,36.36,MORE,63.64,84,Gold,40.47,23.17,36.36,PASS,40.47,66,Pass,40.47,0.0,59.53,PASS,40.47,62,Pass,26.96,13.51,59.53,PASS,26.96,60,Pass,26.96,0.0,73.04,PASS,26.96,60,Pass,22.09,4.87,73.04,PASS,22.09,60,Pass,22.09,0.0,77.91,PASS,22.09,60,Pass,10.24,11.85,77.91,PASS,10.24,60,Pass,10.24,0.0,89.76,PASS,10.24,60,Pass
2026-08-10,53,825048,Hunter Goodman,696100,COL,AZ,,0,Michael Soroka,647336,R,R,Chase Field,4.15,0.5,0.5,1+ TB,1.736,1.0,0.0,5.0,3.0,1.236,1.0,63.58,0.0,36.42,MORE,63.58,84,Gold,36.42,24.67,12.46,3.81,22.64,63.58,38.91,26.45,22.64,11.07,5.06,12.76,3.02,0.11,5.57,449,103,16,0,34,0.546,14,"5,1,0,0,1,0,10,0,0,0,1,1,1,1",1.5,41.5,50.0,50.0,50.0,3.07,1.09,7.9,0.66,10000,TB_V2_MORE_LADDER,63.58,0.0,36.42,MORE,63.58,84,Gold,38.91,24.67,36.42,PASS,38.91,66,Pass,38.91,0.0,61.09,PASS,38.91,62,Pass,26.45,12.46,61.09,PASS,26.45,60,Pass,26.45,0.0,73.55,PASS,26.45,60,Pass,22.64,3.81,73.55,PASS,22.64,60,Pass,22.64,0.0,77.36,PASS,22.64,60,Pass,11.07,11.57,77.36,PASS,11.07,60,Pass,11.07,0.0,88.93,PASS,11.07,60,Pass
2026-08-10,54,823189,Christian Walker,572233,HOU,SF,,0,Blade Tidwell,694918,R,R,Oracle Park,4.15,0.5,0.5,1+ TB,1.592,1.0,0.0,4.0,2.0,1.092,1.0,63.2,0.0,36.8,MORE,63.2,82,Silver,36.8,23.13,16.61,6.11,17.35,63.2,40.07,23.46,17.35,8.02,3.93,12.26,4.95,0.22,3.68,476,102,24,1,22,0.456,14,"0,1,1,3,2,1,2,3,4,1,5,1,0,2",1.857,45.9,50.0,50.0,50.0,3.18,1.18,8.47,0.53,10000,TB_V2_MORE_LADDER,63.2,0.0,36.8,MORE,63.2,82,Silver,40.07,23.13,36.8,PASS,40.07,65,Pass,40.07,0.0,59.93,PASS,40.07,61,Pass,23.46,16.61,59.93,PASS,23.46,60,Pass,23.46,0.0,76.54,PASS,23.46,60,Pass,17.35,6.11,76.54,PASS,17.35,60,Pass,17.35,0.0,82.65,PASS,17.35,60,Pass,8.02,9.33,82.65,PASS,8.02,60,Pass,8.02,0.0,91.98,PASS,8.02,60,Pass
2026-08-10,55,823675,Brooks Lee,686797,MIN,BAL,,0,Trevor Rogers,669432,L,S,Target Field,4.15,0.5,0.5,1+ TB,1.529,1.0,0.0,4.0,2.0,1.029,1.0,63.15,0.0,36.85,MORE,63.15,81,Silver,36.85,25.91,15.13,5.94,16.17,63.15,37.24,22.11,16.17,7.4,3.65,13.37,4.0,0.5,3.55,453,100,17,3,17,0.417,14,"5,0,1,0,0,0,3,4,0,0,2,1,0,0",1.143,50.2,50.0,50.0,50.0,4.2,1.24,8.64,0.86,10000,TB_V2_MORE_LADDER,63.15,0.0,36.85,MORE,63.15,81,Silver,37.24,25.91,36.85,PASS,37.24,65,Pass,37.24,0.0,62.76,PASS,37.24,60,Pass,22.11,15.13,62.76,PASS,22.11,60,Pass,22.11,0.0,77.89,PASS,22.11,60,Pass,16.17,5.94,77.89,PASS,16.17,60,Pass,16.17,0.0,83.83,PASS,16.17,60,Pass,7.4,8.77,83.83,PASS,7.4,60,Pass,7.4,0.0,92.6,PASS,7.4,60,Pass
2026-08-10,56,823675,Leody Taveras,665750,BAL,MIN,,0,Dean Kremer,665152,R,S,Target Field,4.15,0.5,0.5,1+ TB,1.532,1.0,0.0,4.0,2.0,1.032,1.0,63.05,0.0,36.95,MORE,63.05,81,Silver,36.95,24.57,15.39,7.51,15.58,63.05,38.48,23.09,15.58,7.04,3.31,12.85,4.59,0.9,2.87,359,70,12,5,6,0.351,14,"3,0,3,0,4,0,0,0,0,1,0,4,0,0",1.071,57.0,50.0,50.0,50.0,5.93,1.32,9.0,2.63,10000,TB_V2_MORE_LADDER,63.05,0.0,36.95,MORE,63.05,81,Silver,38.48,24.57,36.95,PASS,38.48,65,Pass,38.48,0.0,61.52,PASS,38.48,60,Pass,23.09,15.39,61.52,PASS,23.09,60,Pass,23.09,0.0,76.91,PASS,23.09,60,Pass,15.58,7.51,76.91,PASS,15.58,60,Pass,15.58,0.0,84.42,PASS,15.58,60,Pass,7.04,8.54,84.42,PASS,7.04,60,Pass,7.04,0.0,92.96,PASS,7.04,60,Pass
2026-08-10,57,824969,Lawrence Butler,671732,ATH,TB,,0,Freddy Peralta,642547,R,L,Sutter Health Park,4.15,0.5,0.5,1+ TB,1.472,1.0,0.0,4.0,2.0,0.972,1.0,62.96,0.0,37.04,MORE,62.96,81,Silver,37.04,25.31,16.6,6.48,14.57,62.96,37.65,21.05,14.57,6.23,2.56,12.62,5.1,0.29,2.79,351,62,13,1,7,0.319,14,"0,0,0,1,4,0,1,2,0,4,6,2,0,0",1.429,63.8,50.0,50.0,50.0,5.37,1.52,9.89,1.46,10000,TB_V2_MORE_LADDER,62.96,0.0,37.04,MORE,62.96,81,Silver,37.65,25.31,37.04,PASS,37.65,64,Pass,37.65,0.0,62.35,PASS,37.65,60,Pass,21.05,16.6,62.35,PASS,21.05,60,Pass,21.05,0.0,78.95,PASS,21.05,60,Pass,14.57,6.48,78.95,PASS,14.57,60,Pass,14.57,0.0,85.43,PASS,14.57,60,Pass,6.23,8.34,85.43,PASS,6.23,60,Pass,6.23,0.0,93.77,PASS,6.23,60,Pass
2026-08-10,58,823998,Mike Trout,545361,LAA,TEX,,0,MacKenzie Gore,669022,L,R,Angel Stadium,4.15,0.5,0.5,1+ TB,1.501,1.0,0.0,4.0,2.0,1.001,1.0,62.62,0.0,37.38,MORE,62.62,81,Silver,37.38,26.43,14.78,5.2,16.21,62.62,36.19,21.41,16.21,7.43,3.47,13.2,3.96,0.11,3.65,442,84,16,0,19,0.44,14,"0,0,4,0,0,1,1,2,0,2,1,0,5,2",1.286,48.4,50.0,50.0,50.0,4.55,1.24,7.9,1.12,10000,TB_V2_MORE_LADDER,62.62,0.0,37.38,MORE,62.62,81,Silver,36.19,26.43,37.38,PASS,36.19,64,Pass,36.19,0.0,63.81,PASS,36.19,60,Pass,21.41,14.78,63.81,PASS,21.41,60,Pass,21.41,0.0,78.59,PASS,21.41,60,Pass,16.21,5.2,78.59,PASS,16.21,60,Pass,16.21,0.0,83.79,PASS,16.21,60,Pass,7.43,8.78,83.79,PASS,7.43,60,Pass,7.43,0.0,92.57,PASS,7.43,60,Pass
2026-08-10,59,823918,Kyle Tucker,663656,LAD,KC,,0,Noah Cameron,702070,L,L,UNIQLO Field at Dodger Stadium,4.15,0.5,0.5,1+ TB,1.461,1.0,0.0,4.0,2.0,0.961,1.0,62.46,0.0,37.54,MORE,62.46,80,Silver,37.54,26.89,14.55,6.53,14.49,62.46,35.57,21.02,14.49,6.8,3.05,14.14,3.48,0.76,3.02,457,96,18,3,11,0.388,14,"3,4,1,1,5,2,1,0,1,0,0,1,0,4",1.643,51.8,50.0,50.0,50.0,4.37,1.29,8.66,1.02,10000,TB_V2_MORE_LADDER,62.46,0.0,37.54,MORE,62.46,80,Silver,35.57,26.89,37.54,PASS,35.57,64,Pass,35.57,0.0,64.43,PASS,35.57,60,Pass,21.02,14.55,64.43,PASS,21.02,60,Pass,21.02,0.0,78.98,PASS,21.02,60,Pass,14.49,6.53,78.98,PASS,14.49,60,Pass,14.49,0.0,85.51,PASS,14.49,60,Pass,6.8,7.69,85.51,PASS,6.8,60,Pass,6.8,0.0,93.2,PASS,6.8,60,Pass
