Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
1,2026-07-18,824414,2026-07-18T17:10:00Z,Final,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Away,699013,Esmerlyn Valdez,Pittsburgh Pirates,Cleveland Guardians,RF,R,Yes,4.0,30,112,101,31,7,1,11,22,30,10,0,41,0.307,0.366,0.723,1.089,9,39,35,9,5,0.257,0.1282,21,86,77,29,9,0.377,0.1047,0.0982,0.064,4.48,3,1,9.2,0.33,32.7,Very recent HR,668909,Gavin Williams,R,RHB vs RHP,20,20,119.1,4.0,1.15,20,1.51,10.94,2.79,1.335,1.066,0.985,1.08,0.98,25.63,36.03,78.9,74.7,B+,Good
2,2026-07-18,823523,2026-07-19T00:08:00Z,Postponed,Yankee Stadium,Los Angeles Dodgers @ New York Yankees,Home,700250,Ben Rice,New York Yankees,Los Angeles Dodgers,1B,L,No,,92,394,341,96,16,3,29,64,68,48,3,91,0.282,0.373,0.601,0.974,9,38,34,14,5,0.412,0.1316,24,100,90,23,9,0.256,0.09,0.0736,0.0639,4.17,10,3,11.8,0.85,85.0,Near normal interval,686218,Emmet Sheehan,R,LHB vs RHP,17,17,82.1,4.81,1.24,15,1.64,10.17,2.84,1.307,1.086,1.025,1.08,1.0,24.07,35.67,85.0,74.3,B+,Lineup unconfirmed
3,2026-07-18,824412,2026-07-18T23:10:00Z,In Progress,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Away,699013,Esmerlyn Valdez,Pittsburgh Pirates,Cleveland Guardians,RF,R,Yes,4.0,30,112,101,31,7,1,11,22,30,10,0,41,0.307,0.366,0.723,1.089,9,39,35,9,5,0.257,0.1282,21,86,77,29,9,0.377,0.1047,0.0982,0.064,4.48,3,1,9.2,0.33,32.7,Very recent HR,671106,Logan Allen,L,RHB vs LHP,2,1,7.1,2.45,2.05,0,0.0,12.27,4.91,1.335,1.0,1.025,1.08,0.98,25.63,35.32,78.9,73.6,B+,Good
4,2026-07-18,824979,2026-07-19T02:05:00Z,In Progress,Sutter Health Park,Washington Nationals @ Athletics,Away,695578,James Wood,Washington Nationals,Athletics,RF,L,Yes,1.0,99,461,375,104,23,1,28,91,66,80,4,134,0.277,0.408,0.568,0.976,9,41,29,11,5,0.379,0.122,24,112,90,25,8,0.278,0.0714,0.0607,0.0548,4.75,6,2,13.4,0.45,44.8,Recently homered,669372,J.T. Ginn,R,LHB vs RHP,22,19,103.1,3.66,1.25,13,1.13,8.19,4.01,1.319,1.005,1.025,1.055,1.0,23.49,32.19,95.0,69.7,B,Good
5,2026-07-18,823441,2026-07-18T19:05:00Z,Final,Citizens Bank Park,New York Mets @ Philadelphia Phillies,Home,656941,Kyle Schwarber,Philadelphia Phillies,New York Mets,DH,L,Yes,2.0,95,423,357,91,10,1,33,59,61,61,4,145,0.255,0.369,0.566,0.935,10,43,37,9,3,0.243,0.0698,23,99,83,24,8,0.289,0.0808,0.078,0.0678,4.59,0,0,10.8,0.0,0.0,Very recent HR,640455,Sean Manaea,L,LHB vs LHP,21,7,79.2,4.74,1.36,12,1.36,9.15,2.94,1.041,1.042,0.985,1.03,0.98,27.56,29.43,95.0,64.7,B-,Good
6,2026-07-18,824738,2026-07-18T20:10:00Z,Final,Fenway Park,Tampa Bay Rays @ Boston Red Sox,Away,691406,Junior Caminero,Tampa Bay Rays,Boston Red Sox,3B,R,Yes,3.0,97,423,367,103,14,0,29,63,60,53,1,79,0.281,0.371,0.556,0.927,11,46,40,8,3,0.2,0.0652,26,112,99,30,14,0.303,0.125,0.0686,0.0605,4.55,4,1,12.7,0.32,31.6,Very recent HR,663776,Patrick Sandoval,L,RHB vs LHP,2,2,9.1,4.82,1.71,1,0.96,9.64,1.93,1.17,0.997,1.025,1.03,0.98,24.71,29.18,95.0,64.1,B-,Good
7,2026-07-18,824979,2026-07-19T02:05:00Z,In Progress,Sutter Health Park,Washington Nationals @ Athletics,Away,671277,Luis García Jr.,Washington Nationals,Athletics,1B,L,Yes,2.0,90,319,303,86,16,3,20,45,68,15,0,48,0.284,0.317,0.554,0.871,8,31,29,9,2,0.31,0.0645,22,80,73,26,11,0.356,0.1375,0.0627,0.0543,4.65,12,4,15.2,0.79,79.2,Recently homered,669372,J.T. Ginn,R,LHB vs RHP,22,19,103.1,3.66,1.25,13,1.13,8.19,4.01,1.194,1.005,1.025,1.03,1.0,22.87,28.21,93.2,61.7,B-,Good
8,2026-07-18,824738,2026-07-18T20:10:00Z,Final,Fenway Park,Tampa Bay Rays @ Boston Red Sox,Home,575929,Willson Contreras,Boston Red Sox,Tampa Bay Rays,1B,R,Yes,4.0,90,372,318,90,16,2,21,47,62,36,15,93,0.283,0.379,0.544,0.923,5,20,16,4,2,0.25,0.1,20,80,69,18,5,0.261,0.0625,0.0565,0.0505,4.42,2,1,15.1,0.13,13.2,Very recent HR,693855,Ian Seymour,L,RHB vs LHP,34,7,67.2,4.79,1.17,12,1.6,10.51,3.46,1.259,1.077,1.025,1.03,0.98,20.47,27.71,95.0,61.7,B-,Good
9,2026-07-18,823523,2026-07-19T00:08:00Z,Postponed,Yankee Stadium,Los Angeles Dodgers @ New York Yankees,Away,660271,Shohei Ohtani,Los Angeles Dodgers,New York Yankees,TWP,L,No,,93,410,339,98,16,2,22,65,58,60,5,93,0.289,0.4,0.543,0.943,8,33,30,9,4,0.3,0.1212,21,92,82,22,7,0.268,0.0761,0.0537,0.0488,4.31,4,1,15.4,0.26,26.0,Very recent HR,677960,Ryan Weathers,L,LHB vs LHP,18,18,97.2,4.15,1.24,16,1.47,10.14,2.49,1.35,1.059,0.985,1.03,0.98,19.38,26.63,84.4,58.8,C+,Lineup unconfirmed
10,2026-07-18,822790,2026-07-18T19:07:00Z,Final,Rogers Centre,Chicago White Sox @ Toronto Blue Jays,Away,808959,Munetaka Murakami,Chicago White Sox,Toronto Blue Jays,1B,L,Yes,2.0,62,268,218,51,6,0,20,46,42,48,1,89,0.234,0.373,0.537,0.91,5,22,18,3,0,0.167,0.0,5,22,18,3,0,0.167,0.0,0.0746,0.0614,4.65,22,7,10.9,2.02,201.8,Very long drought,669456,Shane Bieber,R,LHB vs RHP,5,5,23.2,5.7,1.73,7,2.66,7.23,4.56,0.857,1.083,1.025,1.03,1.06,25.54,26.4,84.9,63.8,B-,Good
