player_id,player_name,team,opponent,position,depth_chart_position,rushing_depth_role,rushing_qb_qualified,rushing_qb_starter_source,rushing_qb_weighted_carries,rushing_qb_weighted_yards,rushing_qb_last5_carries,rushing_qb_last5_yards,rushing_rb_current_games,rushing_rb_current_games_with_carry,rushing_rb_current_carries,rushing_rb_current_yards,rushing_rb_current_carries_pg,rushing_rb_last_game_carries,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_rushing_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,projected_rush_attempts,projected_ypc,carry_share,red_zone_rush_share,goal_line_share,prob_0_plus,prob_5_plus,prob_10_plus,prob_15_plus,prob_20_plus,prob_25_plus,prob_30_plus,prob_35_plus,prob_40_plus,prob_45_plus,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,prob_75_plus,prob_80_plus,prob_85_plus,prob_90_plus,prob_95_plus,prob_100_plus,prob_105_plus,prob_110_plus,prob_115_plus,prob_120_plus,prob_125_plus,prob_130_plus,prob_135_plus,prob_140_plus,prob_145_plus,prob_150_plus,prob_155_plus,prob_160_plus,prob_165_plus,prob_170_plus,prob_175_plus,prob_180_plus,prob_185_plus,prob_190_plus,prob_195_plus,prob_200_plus
00-0033280,Christian McCaffrey,SF,MIA,RB,RB,RB2,True,nan,,,,,1.0,1.0,10.0,68.0,10.0,10.0,ACT,9.0,2026,REG,2,2026 REG W2,401872942,2026-09-20T20:25Z,home,68.267,68.267,67.932,24.505,111.204,33.152,38,84.2,78.0,72.933,68.0,16.8,1.0,0.888,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,15.481,4.392,57.12,51.27,48.79,100.0,96.89,95.73,94.17,92.2,89.77,86.95,83.5,79.5,75.15,70.32,64.98,59.25,53.42,47.57,41.87,36.29,30.83,25.79,21.31,17.19,13.68,10.65,8.13,6.19,4.54,3.31,2.36,1.67,1.15,0.79,0.52,0.32,0.21,0.12,0.07,0.04,0.03,0.01,0.01,0.0
00-0037840,Kyren Williams,LAR,NYG,RB,RB,RB1,True,nan,,,,,1.0,1.0,11.0,41.0,11.0,11.0,ACT,4.0,2026,REG,2,2026 REG W2,401872947,2026-09-22T00:15Z,home,67.314,67.314,67.209,40.028,94.646,21.294,46,68.2,70.7,71.133,41.0,14.8,1.0,1.048,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,14.635,4.608,52.48,66.49,63.05,100.0,99.83,99.64,99.33,98.72,97.69,96.02,93.52,90.02,85.26,79.12,71.7,63.34,54.17,44.89,35.94,27.61,20.38,14.35,9.71,6.29,3.91,2.28,1.28,0.68,0.34,0.15,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039040,De'Von Achane,MIA,SF,RB,RB,RB1,True,nan,,,,,1.0,1.0,11.0,36.0,11.0,11.0,ACT,3.0,2026,REG,2,2026 REG W2,401872942,2026-09-20T20:25Z,away,65.09,65.09,63.817,10.988,116.969,39.161,45,70.4,91.4,86.733,36.0,12.6,1.0,0.894,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,13.789,4.635,55.05,44.78,41.74,100.0,92.33,90.42,88.24,85.69,82.82,79.48,75.87,72.04,67.79,63.33,58.59,53.74,48.89,44.12,39.44,34.99,30.66,26.52,22.68,19.17,16.04,13.25,10.87,8.76,6.99,5.43,4.22,3.26,2.52,1.9,1.4,1.05,0.74,0.52,0.37,0.25,0.18,0.12,0.09,0.06
00-0036997,Javonte Williams,DAL,WAS,RB,RB,RB1,True,nan,,,,,1.0,1.0,12.0,41.0,12.0,12.0,ACT,5.0,2026,REG,2,2026 REG W2,401872944,2026-09-20T20:25Z,home,64.395,64.395,64.2,21.929,106.205,32.057,49,57.4,65.0,72.733,41.0,13.2,1.0,1.072,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,13.923,4.608,53.28,53.06,54.8,100.0,96.49,95.06,93.24,91.01,88.25,84.95,81.21,76.84,71.89,66.49,60.92,54.97,49.02,43.04,37.0,31.5,26.29,21.46,17.39,13.73,10.63,8.09,6.1,4.42,3.06,2.14,1.45,0.96,0.65,0.45,0.29,0.15,0.09,0.05,0.04,0.02,0.01,0.0,0.0,0.0
00-0035261,Tony Pollard,TEN,PHI,RB,RB,RB1,True,nan,,,,,1.0,1.0,7.0,35.0,7.0,7.0,ACT,7.0,2026,REG,2,2026 REG W2,401872939,2026-09-20T17:00Z,home,56.598,56.598,55.804,11.219,100.295,33.125,51,74.8,69.3,61.333,35.0,14.8,1.0,0.889,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,14.355,3.883,61.25,49.8,45.68,100.0,92.78,90.62,87.94,84.83,81.2,77.13,72.54,67.5,62.21,56.61,50.93,45.31,39.66,34.3,29.12,24.32,20.05,16.18,12.94,10.14,7.76,5.88,4.43,3.26,2.3,1.59,1.12,0.78,0.53,0.34,0.22,0.15,0.1,0.07,0.03,0.01,0.01,0.0,0.0,0.0
00-0036158,J.K. Dobbins,DEN,JAX,RB,RB,RB1,True,nan,,,,,1.0,1.0,8.0,36.0,8.0,8.0,ACT,6.0,2026,REG,2,2026 REG W2,401872940,2026-09-20T20:05Z,home,56.32,56.32,56.264,28.818,83.797,21.328,25,73.2,74.5,69.533,36.0,14.0,1.0,0.85,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,14.224,3.959,56.75,25.19,27.86,100.0,99.15,98.46,97.33,95.54,92.82,88.98,83.96,77.65,70.08,61.55,52.35,43.05,34.08,26.14,19.17,13.48,9.03,5.78,3.5,2.06,1.14,0.61,0.31,0.14,0.07,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040715,Cam Skattebo,NYG,LAR,RB,RB,RB1,True,nan,,,,,1.0,1.0,18.0,81.0,18.0,18.0,ACT,1.0,2026,REG,2,2026 REG W2,401872947,2026-09-22T00:15Z,away,56.18,56.18,55.675,13.872,97.09,31.258,9,62.0,54.556,54.556,81.0,14.2,1.0,0.99,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,13.613,4.075,41.8,24.49,32.26,100.0,93.97,91.9,89.38,86.29,82.71,78.53,73.76,68.56,62.95,56.95,50.8,44.6,38.51,32.79,27.46,22.66,18.29,14.53,11.26,8.53,6.37,4.67,3.37,2.36,1.64,1.14,0.75,0.48,0.3,0.19,0.11,0.06,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0
00-0038597,Chase Brown,CIN,HOU,RB,RB,RB1,True,nan,,,,,1.0,1.0,16.0,56.0,16.0,16.0,ACT,3.0,2026,REG,2,2026 REG W2,401872934,2026-09-20T17:00Z,away,55.447,55.447,55.106,16.886,93.219,29.003,42,69.6,69.2,65.467,56.0,15.2,1.0,0.85,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,14.346,3.848,56.24,54.17,50.45,100.0,95.38,93.5,91.03,88.0,84.31,79.96,74.84,69.31,63.24,56.77,50.14,43.47,36.93,30.74,25.21,20.08,15.72,12.02,9.01,6.61,4.78,3.35,2.29,1.52,0.98,0.64,0.38,0.21,0.14,0.08,0.04,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
00-0040236,Kyle Monangai,CHI,MIN,RB,RB,RB2,True,nan,,,,,1.0,1.0,10.0,100.0,10.0,10.0,ACT,1.0,2026,REG,2,2026 REG W2,401872937,2026-09-20T17:00Z,home,54.798,54.798,51.911,0.0,110.217,40.643,17,47.0,52.1,55.933,100.0,8.8,1.0,0.867,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,10.31,5.032,33.87,37.84,40.62,100.0,84.95,82.21,79.19,75.95,72.27,68.39,64.39,60.2,55.84,51.62,47.3,42.95,38.69,34.58,30.57,26.79,23.34,20.16,17.19,14.56,12.13,10.08,8.35,6.78,5.45,4.34,3.41,2.67,2.06,1.6,1.2,0.9,0.68,0.49,0.35,0.24,0.18,0.12,0.08,0.05
00-0036875,Rhamondre Stevenson,NE,PIT,RB,RB,RB1,True,nan,,,,,1.0,1.0,18.0,51.0,18.0,18.0,ACT,5.0,2026,REG,2,2026 REG W2,401872946,2026-09-20T17:00Z,home,54.012,54.012,53.366,13.035,93.955,30.367,42,66.0,51.5,43.6,51.0,9.4,1.0,0.984,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,13.229,4.048,44.26,42.06,48.27,100.0,93.83,91.64,88.82,85.5,81.45,76.94,71.97,66.36,60.45,54.21,47.93,41.74,35.72,30.14,24.78,20.04,15.94,12.35,9.4,7.05,5.12,3.7,2.58,1.73,1.15,0.77,0.52,0.32,0.2,0.11,0.06,0.04,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0
