player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_rush_rec_td,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,prob_0_5_plus,prob_1_plus,prob_1_5_plus,prob_2_plus,prob_2_5_plus,prob_3_plus,prob_3_5_plus
00-0040124,Tetairoa McMillan,CAR,ARI,WR,WR,ACT,1.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.283,0.283,0.0,0.0,1.0,0.623,17,0.4,0.5,0.467,0.412,5.2,0.68,0.953,PLAYER_HISTORY,100000,NFL_RUSH_REC_TD_V1,21.42,21.42,5.1,5.1,1.34,1.34,0.35
00-0039491,Jalen Coker,CAR,ARI,WR,WR,ACT,2.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.247,0.247,0.0,0.0,1.0,0.573,22,0.6,0.3,0.267,0.273,4.8,0.68,0.953,PLAYER_HISTORY,100000,NFL_RUSH_REC_TD_V1,19.22,19.22,4.25,4.25,0.99,0.99,0.2
00-0039747,Ainias Smith,CAR,ARI,WR,WR,ACT,2.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.163,0.163,0.0,0.0,1.0,0.445,3,0.333,0.333,0.333,0.333,3.667,0.68,0.953,PLAYER_PRIOR_BLEND,100000,NFL_RUSH_REC_TD_V1,13.75,13.75,2.19,2.19,0.33,0.33,0.04
00-0041542,Malick Meiga,CAR,ARI,WR,WR,ACT,0.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.157,0.157,0.0,0.0,1.0,0.436,0,,,,,,0.68,0.953,TEAM_LEAGUE_PRIOR,100000,NFL_RUSH_REC_TD_V1,13.22,13.22,2.08,2.08,0.33,0.33,0.04
00-0041485,Miles Davis,CAR,ARI,RB,RB,ACT,0.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.157,0.157,0.0,0.0,1.0,0.434,0,,,,,,0.68,0.953,TEAM_LEAGUE_PRIOR,100000,NFL_RUSH_REC_TD_V1,13.32,13.32,1.98,1.98,0.3,0.3,0.06
00-0040394,Anthony Tyus III,CAR,ARI,RB,RB,ACT,1.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.157,0.157,0.0,0.0,1.0,0.435,0,,,,,,0.68,0.953,TEAM_LEAGUE_PRIOR,100000,NFL_RUSH_REC_TD_V1,13.41,13.41,1.95,1.95,0.31,0.31,0.06
00-0040292,Bryce Pierre,CAR,ARI,TE,TE,RES,1.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.155,0.155,0.0,0.0,1.0,0.433,0,,,,,,0.68,0.953,TEAM_LEAGUE_PRIOR,100000,NFL_RUSH_REC_TD_V1,13.14,13.14,2.03,2.03,0.3,0.3,0.04
00-0041047,Chris Brazzell,CAR,ARI,WR,WR,ACT,0.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.154,0.154,0.0,0.0,1.0,0.433,0,,,,,,0.68,0.953,TEAM_LEAGUE_PRIOR,100000,NFL_RUSH_REC_TD_V1,13.07,13.07,1.97,1.97,0.34,0.34,0.06
00-0040265,Ja'Seem Reed,CAR,ARI,WR,WR,ACT,1.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.153,0.153,0.0,0.0,1.0,0.429,0,,,,,,0.68,0.953,TEAM_LEAGUE_PRIOR,100000,NFL_RUSH_REC_TD_V1,13.02,13.02,1.96,1.96,0.29,0.29,0.05
00-0041152,Kobe Prentice,CAR,ARI,WR,WR,ACT,0.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.152,0.152,0.0,0.0,1.0,0.428,0,,,,,,0.68,0.953,TEAM_LEAGUE_PRIOR,100000,NFL_RUSH_REC_TD_V1,12.86,12.86,1.96,1.96,0.29,0.29,0.04
00-0036555,Chuba Hubbard,CAR,ARI,RB,RB,ACT,5.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.144,0.144,0.0,0.0,1.0,0.415,47,0.2,0.2,0.267,0.267,9.8,0.5,0.953,PLAYER_HISTORY,100000,NFL_RUSH_REC_TD_V1,12.33,12.33,1.77,1.77,0.27,0.27,0.03
00-0041149,Haynes King,CAR,ARI,QB,QB,ACT,0.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.143,0.143,0.0,0.0,1.0,0.411,0,,,,,,0.62,0.953,TEAM_LEAGUE_PRIOR,100000,NFL_RUSH_REC_TD_V1,12.24,12.24,1.73,1.73,0.25,0.25,0.04
00-0033589,David Moore,CAR,ARI,WR,WR,ACT,9.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.12,0.12,0.0,0.0,1.0,0.374,22,0.4,0.3,0.2,0.0,2.0,0.5,0.953,PLAYER_HISTORY,100000,NFL_RUSH_REC_TD_V1,10.57,10.57,1.28,1.28,0.16,0.16,0.03
