player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_rushing_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,projected_rush_attempts,projected_ypc,carry_share,red_zone_rush_share,goal_line_share,prob_0_plus,prob_5_plus,prob_10_plus,prob_15_plus,prob_20_plus,prob_25_plus,prob_30_plus,prob_35_plus,prob_40_plus,prob_45_plus,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,prob_75_plus,prob_80_plus,prob_85_plus,prob_90_plus,prob_95_plus,prob_100_plus,prob_105_plus,prob_110_plus,prob_115_plus,prob_120_plus,prob_125_plus,prob_130_plus,prob_135_plus,prob_140_plus,prob_145_plus,prob_150_plus,prob_155_plus,prob_160_plus,prob_165_plus,prob_170_plus,prob_175_plus,prob_180_plus,prob_185_plus,prob_190_plus,prob_195_plus,prob_200_plus
00-0036158,J.K. Dobbins,DEN,GB,RB,RB,ACT,6.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_GB_DEN,,home,35.877,35.877,34.802,1.882,67.997,23.865,24,74.0,77.2,70.467,77.2,15.2,0.5,0.941,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,7.493,4.662,56.69,25.19,27.86,100.0,87.7,83.2,77.86,71.63,64.66,57.21,49.7,42.01,34.58,27.82,21.73,16.55,12.18,8.72,6.0,4.0,2.61,1.64,1.0,0.56,0.32,0.18,0.09,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038120,Breece Hall,NYJ,PIT,RB,RB,ACT,4.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NYJ_PIT,,away,35.539,35.539,31.04,0.0,80.151,31.609,49,59.8,65.5,63.867,66.562,15.0,0.5,1.01,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,7.435,4.206,60.7,48.23,51.54,100.0,75.03,70.83,66.17,61.33,56.19,51.05,45.84,40.77,35.78,31.09,26.67,22.49,18.81,15.5,12.63,10.07,7.98,6.17,4.72,3.54,2.65,1.93,1.44,0.99,0.69,0.47,0.31,0.2,0.14,0.08,0.06,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0
00-0039391,Kimani Vidal,LAC,SF,RB,RB,ACT,2.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_SF_LAC,,home,34.959,34.959,26.112,0.0,87.458,36.222,21,45.2,50.1,46.667,53.583,11.8,0.68,0.87,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,7.232,3.582,35.88,25.66,23.19,100.0,67.12,63.31,59.28,55.14,50.95,46.78,42.6,38.51,34.6,30.95,27.37,23.95,20.9,18.02,15.44,13.06,10.89,9.14,7.52,6.09,4.95,4.01,3.16,2.48,1.95,1.52,1.15,0.87,0.66,0.48,0.36,0.25,0.18,0.12,0.09,0.07,0.04,0.03,0.01,0.01
00-0040666,Omarion Hampton,LAC,SF,RB,RB,ACT,1.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_SF_LAC,,home,34.771,34.771,30.422,0.0,78.489,30.881,9,55.0,60.556,60.556,60.556,14.0,0.68,0.87,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,8.31,3.643,46.09,32.91,34.78,100.0,75.11,70.73,65.99,60.98,55.79,50.46,45.02,39.88,34.69,29.92,25.42,21.32,17.69,14.48,11.77,9.28,7.22,5.56,4.26,3.17,2.28,1.68,1.17,0.82,0.55,0.36,0.23,0.15,0.1,0.07,0.04,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0
00-0040784,Quinshon Judkins,CLE,BUF,RB,RB,ACT,1.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_BUF_CLE,,home,34.611,34.611,30.506,0.0,77.192,30.319,14,41.4,48.0,59.071,59.071,14.6,0.68,0.915,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,10.567,2.896,63.77,54.1,50.0,100.0,75.86,71.33,66.55,61.31,55.94,50.55,45.06,39.68,34.56,29.69,24.99,20.88,17.15,13.88,11.05,8.72,6.67,5.03,3.82,2.86,2.08,1.48,1.04,0.72,0.51,0.35,0.23,0.15,0.09,0.06,0.04,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
00-0040583,Woody Marks,HOU,LV,RB,RB,ACT,1.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_LV_HOU,,home,34.35,34.35,32.617,0.0,68.78,25.254,16,56.2,55.1,46.667,43.938,16.2,0.68,0.925,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,9.713,3.362,50.01,47.67,36.0,100.0,83.7,78.9,73.42,67.28,60.73,53.76,46.59,39.57,32.95,26.86,21.39,16.53,12.51,9.27,6.66,4.63,3.13,2.08,1.37,0.86,0.54,0.34,0.21,0.13,0.06,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040242,Jacory Croskey-Merritt,WAS,DET,RB,RB,ACT,1.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_WAS_DET,,away,33.783,33.783,29.179,0.0,76.952,30.419,17,57.4,42.8,47.067,47.353,11.4,0.68,0.85,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,7.33,3.973,39.21,34.04,35.14,100.0,74.2,69.7,64.95,59.81,54.46,49.15,43.76,38.65,33.64,28.85,24.48,20.42,16.75,13.65,10.95,8.61,6.69,5.05,3.79,2.77,2.0,1.41,0.98,0.66,0.46,0.31,0.21,0.14,0.09,0.06,0.04,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0
00-0040715,Cam Skattebo,NYG,MIA,RB,RB,ACT,1.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NYG_MIA,,away,33.392,33.392,27.951,0.0,77.835,31.354,8,61.6,51.25,51.25,51.25,15.6,0.68,0.861,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,9.394,2.971,42.12,24.49,32.26,100.0,72.16,67.69,62.99,58.06,53.02,47.88,42.89,37.9,33.16,28.69,24.52,20.69,17.18,14.02,11.33,9.11,7.15,5.55,4.29,3.25,2.42,1.76,1.3,0.95,0.65,0.48,0.34,0.21,0.15,0.09,0.06,0.04,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0
00-0038597,Chase Brown,CIN,CHI,RB,RB,ACT,3.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_CHI_CIN,,home,33.36,33.36,29.047,0.0,75.193,29.787,41,63.0,70.9,61.933,59.941,14.4,0.5,0.912,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,6.924,4.195,56.24,54.17,50.45,100.0,74.81,70.06,65.05,59.73,54.32,48.96,43.54,38.19,32.95,28.14,23.69,19.61,15.95,12.77,10.1,7.85,6.07,4.62,3.4,2.5,1.8,1.28,0.87,0.6,0.4,0.27,0.18,0.11,0.07,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039405,Jawhar Jordan,HOU,LV,RB,RB,ACT,2.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_LV_HOU,,home,32.365,32.365,22.312,0.0,83.695,35.248,4,48.25,48.25,48.25,48.25,10.75,0.68,0.925,PLAYER_PRIOR_BLEND,100000,NFL_RUSHING_YARDS_V1,7.31,3.033,35.58,5.81,4.0,100.0,63.97,59.92,55.95,51.86,47.86,43.71,39.73,35.82,31.93,28.27,24.87,21.72,18.82,16.11,13.64,11.44,9.53,7.85,6.51,5.27,4.22,3.41,2.74,2.17,1.7,1.29,0.94,0.68,0.5,0.37,0.25,0.19,0.13,0.1,0.07,0.05,0.03,0.02,0.01,0.01
