Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-05,Pittsburgh Pirates @ Milwaukee Brewers,American Family Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Milwaukee Brewers,Brice Turang,Paul Skenes,0.0,0,3,4.7,0.92,1.28,0.38,0.68,2.33,53.3,1.6,1|0|1|2|4,08/04|08/03|08/02|08/01|07/31,2.1,1|0|1|2|4|4|5|0|2|2,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25,2.07,1|0|1|2|4|4|5|0|2|2|5|1|0|3|1,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/19,86.2,62.6,39.9,22.4,11.5,5.6,2.7,2.47,123.9
2026-08-05,Pittsburgh Pirates @ Milwaukee Brewers,American Family Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Milwaukee Brewers,Brandon Lockridge,Paul Skenes,0.0,0,2,4.8,0.92,1.08,0.31,0.54,1.91,46.7,2.4,0|5|0|3|4,08/01|05/08|05/06|05/03|05/02,1.9,0|5|0|3|4|2|1|3|0|1,08/01|05/08|05/06|05/03|05/02|04/29|04/28|04/26|04/24|04/23,1.67,0|5|0|3|4|2|1|3|0|1|2|1|2|0|1,08/01|05/08|05/06|05/03|05/02|04/29|04/28|04/26|04/24|04/23|04/22|04/19|04/18|04/16|04/15,81.2,53.4,30.2,14.7,6.6,2.8,1.2,1.98,101.7
2026-08-05,Minnesota Twins @ Kansas City Royals,Kauffman Stadium,0.995,1.007,82.3,68.0,7.9,ESE,110.0,20.0,Overcast,3.0,4.3,56.6,C,92.0,Minnesota Twins,Ryan Jeffers,Noah Cameron,0.455,5,11,3.7,1.09,1.23,0.41,0.82,2.45,46.7,1.4,0|1|1|3|2,08/04|08/02|08/01|07/31|07/30,2.0,0|1|1|3|2|1|6|1|2|3,08/04|08/02|08/01|07/31|07/30|07/28|07/26|07/24|07/23|07/21,2.0,0|1|1|3|2|1|6|1|2|3|0|1|5|3|1,08/04|08/02|08/01|07/31|07/30|07/28|07/26|07/24|07/23|07/21|07/19|07/18|07/17|07/12|07/10,87.7,65.5,42.3,24.4,13.4,6.4,2.8,2.43,121.0
2026-08-05,Minnesota Twins @ Kansas City Royals,Kauffman Stadium,0.995,1.007,82.3,68.0,7.9,ESE,110.0,20.0,Overcast,3.0,4.3,56.6,C,92.0,Minnesota Twins,Royce Lewis,Noah Cameron,0.154,2,13,3.8,1.09,1.22,0.61,0.61,2.44,66.7,3.2,4|6|1|3|2,08/04|08/02|08/01|07/31|07/30,2.5,4|6|1|3|2|1|3|3|2|0,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/26|07/25|07/24,2.13,4|6|1|3|2|1|3|3|2|0|2|1|0|2|2,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/26|07/25|07/24|07/23|07/22|07/21|07/20|07/19,88.1,65.0,42.4,24.0,12.9,6.2,2.9,2.56,132.4
2026-08-05,Minnesota Twins @ Kansas City Royals,Kauffman Stadium,0.995,1.007,82.3,68.0,7.9,ESE,110.0,20.0,Overcast,3.0,4.3,56.6,C,92.0,Minnesota Twins,Trevor Larnach,Noah Cameron,0.0,0,3,3.7,1.09,0.92,0.49,0.78,2.23,46.7,1.6,0|5|3|0|0,08/04|08/02|08/01|07/31|07/30,1.8,0|5|3|0|0|0|0|1|2|7,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/25|07/23|07/22,2.07,0|5|3|0|0|0|0|1|2|7|1|3|0|3|6,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/25|07/23|07/22|07/21|07/20|07/18|07/17|07/12,85.4,61.7,37.6,20.4,10.0,4.7,2.2,2.57,124.8
2026-08-05,New York Mets @ Cleveland Guardians,Progressive Field,0.995,1.006,83.6,51.0,7.9,N,7.0,4.0,Clear,2.8,4.1,56.2,C,92.0,New York Mets,Francisco Lindor,Tanner Bibee,0.0,0,3,3.8,0.92,1.1,0.37,0.79,2.24,53.3,2.0,0|1|2|4|3,08/04|08/02|08/01|07/31|07/30,2.3,0|1|2|4|3|0|0|11|2|0,08/04|08/02|08/01|07/31|07/30|07/29|07/29|07/27|07/26|07/25,2.47,0|1|2|4|3|0|0|11|2|0|0|1|4|2|7,08/04|08/02|08/01|07/31|07/30|07/29|07/29|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/19,85.7,61.5,38.3,21.0,9.7,4.5,2.0,3.02,142.8
2026-08-05,New York Mets @ Cleveland Guardians,Progressive Field,0.995,1.006,83.6,51.0,7.9,N,7.0,4.0,Clear,2.8,4.1,56.2,C,92.0,New York Mets,Bo Bichette,Tanner Bibee,0.111,1,9,4.8,0.92,1.39,0.46,0.23,2.1,53.3,1.6,4|0|1|0|3,08/04|08/02|08/01|07/31|07/30,1.8,4|0|1|0|3|0|0|4|3|3,08/04|08/02|08/01|07/31|07/30|07/29|07/29|07/27|07/26|07/25,1.8,4|0|1|0|3|0|0|4|3|3|0|1|2|3|3,08/04|08/02|08/01|07/31|07/30|07/29|07/29|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/19,83.2,56.2,33.8,18.8,9.9,4.5,2.0,2.02,106.2
2026-08-05,New York Mets @ Cleveland Guardians,Progressive Field,0.995,1.006,83.6,51.0,7.9,N,7.0,4.0,Clear,2.8,4.1,56.2,C,92.0,New York Mets,Brett Baty,Tanner Bibee,0.5,1,2,4.7,0.92,0.83,0.68,0.38,1.87,53.3,0.4,0|0|0|2|0,08/01|07/31|07/30|07/29|07/26,1.3,0|0|0|2|0|2|3|0|2|4,08/01|07/31|07/30|07/29|07/26|07/25|07/22|07/20|07/19|07/16,1.67,0|0|0|2|0|2|3|0|2|4|0|0|6|2|4,08/01|07/31|07/30|07/29|07/26|07/25|07/22|07/20|07/19|07/16|07/12|07/11|07/10|07/09|07/08,80.5,52.6,29.5,13.9,6.1,2.6,1.0,2.01,104.8
2026-08-05,St. Louis Cardinals @ New York Yankees,Yankee Stadium,1.035,1.004,78.9,73.0,6.0,SE,146.0,5.0,Overcast,1.8,2.6,53.9,C,92.0,New York Yankees,Luis García Jr.,Andre Pallante,0.2,2,10,3.7,0.95,1.2,0.27,0.68,2.15,53.3,2.6,1|5|1|0|6,08/04|08/03|08/01|07/31|07/30,2.5,1|5|1|0|6|2|5|3|2|0,08/04|08/03|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25,2.13,1|5|1|0|6|2|5|3|2|0|0|4|2|1|0,08/04|08/03|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/19,83.9,59.7,35.6,18.8,9.5,4.5,1.9,2.55,125.8
2026-08-05,St. Louis Cardinals @ New York Yankees,Yankee Stadium,1.035,1.004,78.9,73.0,6.0,SE,146.0,5.0,Overcast,1.8,2.6,53.9,C,92.0,New York Yankees,Jazz Chisholm Jr.,Andre Pallante,0.333,1,3,4.0,0.95,0.74,0.48,0.62,1.84,33.3,0.8,3|0|0|0|1,08/04|08/03|08/02|08/01|07/30,1.2,3|0|0|0|1|1|0|6|0|1,08/04|08/03|08/02|08/01|07/30|07/29|07/28|07/27|07/25|07/22,1.8,3|0|0|0|1|1|0|6|0|1|0|9|3|2|1,08/04|08/03|08/02|08/01|07/30|07/29|07/28|07/27|07/25|07/22|07/22|07/20|07/19|07/19|07/17,81.2,52.1,28.3,13.4,5.8,2.2,0.9,2.24,105.7
