Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-09-14,Miami Marlins @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Gabriel Moreno,Sandy Alcantara,0.0,0,0,4.8,0.95,1.35,0.56,0.64,2.54,66.7,2.6,3|3|5|0|2,09/13|09/12|09/11|09/09|09/08,2.3,3|3|5|0|2|3|1|3|3|0,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02,2.13,3|3|5|0|2|3|1|3|3|0|0|3|3|0|3,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31|08/29|08/28|08/27,88.2,67.2,44.3,26.2,14.5,7.5,3.4,2.54,132.4
2026-09-14,Miami Marlins @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Ketel Marte,Sandy Alcantara,0.25,2,8,3.8,0.95,0.95,0.57,0.5,1.99,53.3,2.6,1|0|7|2|3,09/13|09/12|09/11|09/09|09/08,2.2,1|0|7|2|3|2|2|3|1|1,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/01,2.13,1|0|7|2|3|2|2|3|1|1|1|1|0|4|4,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/01|08/31|08/16|08/14|08/12|08/11,82.9,55.7,32.2,15.6,7.1,3.0,1.3,2.58,125.7
2026-09-14,Miami Marlins @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Nolan Arenado,Sandy Alcantara,0.211,4,19,3.7,0.95,0.92,0.46,0.53,1.92,46.7,3.0,7|0|4|4|0,09/13|09/12|09/11|09/09|09/08,2.3,7|0|4|4|0|3|4|1|0|0,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02,1.93,7|0|4|4|0|3|4|1|0|0|0|1|0|2|3,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31|08/29|08/29|08/28,81.9,54.0,30.1,15.0,6.6,2.9,1.2,2.34,114.4
2026-09-14,Atlanta Braves @ Chicago Cubs,Wrigley Field,1.018,1.001,70.1,42.0,14.1,SE,136.0,2.0,Overcast,0.2,0.3,50.5,C,92.0,Atlanta Braves,Ronald Acuña Jr.,David Peterson,0.304,7,23,3.7,1.2,1.98,0.82,1.09,3.89,53.3,2.4,3|7|1|0|1,09/13|09/12|09/11|09/10|09/09,2.9,3|7|1|0|1|2|0|7|4|4,09/13|09/12|09/11|09/10|09/09|09/08|09/07|09/06|09/05|09/04,2.87,3|7|1|0|1|2|0|7|4|4|8|1|1|3|1,09/13|09/12|09/11|09/10|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31|08/30|08/29,95.0,83.8,67.5,50.6,35.1,22.8,14.2,3.45,164.5
2026-09-14,Atlanta Braves @ Chicago Cubs,Wrigley Field,1.018,1.001,70.1,42.0,14.1,SE,136.0,2.0,Overcast,0.2,0.3,50.5,C,92.0,Atlanta Braves,Austin Riley,David Peterson,0.346,9,26,5.0,1.2,1.49,0.75,0.87,3.09,60.0,1.6,0|2|3|3|0,09/13|09/12|09/11|09/10|09/09,1.7,0|2|3|3|0|1|0|2|3|3,09/13|09/12|09/11|09/10|09/09|09/08|09/07|09/06|09/05|09/04,1.67,0|2|3|3|0|1|0|2|3|3|4|0|2|2|0,09/13|09/12|09/11|09/10|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31|08/30|08/29,92.3,75.6,55.0,37.0,22.3,12.6,6.7,2.02,114.4
2026-09-14,Atlanta Braves @ Chicago Cubs,Wrigley Field,1.018,1.001,70.1,42.0,14.1,SE,136.0,2.0,Overcast,0.2,0.3,50.5,C,92.0,Atlanta Braves,Drake Baldwin,David Peterson,0.0,0,0,4.4,1.2,1.67,0.56,0.75,3.0,66.7,2.8,2|4|3|1|4,09/13|09/12|09/11|09/10|09/09,2.2,2|4|3|1|4|2|0|3|2|1,09/13|09/12|09/11|09/10|09/09|09/08|09/07|09/06|09/05|09/04,2.13,2|4|3|1|4|2|0|3|2|1|1|2|4|2|1,09/13|09/12|09/11|09/10|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31|08/30|08/29,91.5,73.4,53.2,34.7,21.1,11.9,6.7,2.52,133.6
2026-09-14,Baltimore Orioles @ New York Mets,Citi Field,1.0,0.998,66.6,49.0,7.6,NNW,336.0,0.0,Clear,-0.8,-1.1,48.3,C,92.0,Baltimore Orioles,Coby Mayo,Jonah Tong,0.0,0,0,4.7,1.07,1.32,0.96,0.79,3.07,53.3,1.8,1|1|3|4|0,09/13|09/12|09/11|09/09|09/08,2.0,1|1|3|4|0|7|2|0|1|1,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/03,2.33,1|1|3|4|0|7|2|0|1|1|1|2|5|3|4,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/03|09/02|08/31|08/30|08/29|08/28,92.2,75.6,54.8,36.2,21.8,12.6,7.0,2.85,141.1
2026-09-14,Baltimore Orioles @ New York Mets,Citi Field,1.0,0.998,66.6,49.0,7.6,NNW,336.0,0.0,Clear,-0.8,-1.1,48.3,C,92.0,Baltimore Orioles,Dylan Beavers,Jonah Tong,0.0,0,0,4.4,1.07,1.07,0.41,0.66,2.13,46.7,3.0,3|0|6|6|0,09/13|09/12|09/11|09/09|09/08,1.9,3|0|6|6|0|2|0|1|0|1,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/03|09/02,1.73,3|0|6|6|0|2|0|1|0|1|1|2|0|2|2,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/03|09/02|09/01|08/31|08/30|08/29|08/28,84.0,58.4,35.4,18.9,9.1,4.3,1.8,2.1,107.4
2026-09-14,Baltimore Orioles @ New York Mets,Citi Field,1.0,0.998,66.6,49.0,7.6,NNW,336.0,0.0,Clear,-0.8,-1.1,48.3,C,92.0,Baltimore Orioles,Pete Alonso,Jonah Tong,0.0,0,0,3.7,1.07,0.9,0.48,0.62,2.01,53.3,3.0,4|4|0|2|5,09/13|09/12|09/11|09/09|09/08,2.2,4|4|0|2|5|1|2|0|0|4,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/03,1.93,4|4|0|2|5|1|2|0|0|4|3|1|0|3|0,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/03|09/02|09/01|08/31|08/30|08/29,83.2,56.9,31.6,16.4,7.6,3.1,1.2,2.37,118.7
2026-09-14,Atlanta Braves @ Chicago Cubs,Wrigley Field,1.018,1.001,70.1,42.0,14.1,SE,136.0,2.0,Overcast,0.2,0.3,50.5,C,92.0,Chicago Cubs,Alex Bregman,Reynaldo López,0.167,2,12,5.0,1.04,2.04,1.17,1.37,4.59,60.0,2.2,1|2|7|1|0,09/13|09/12|09/11|09/09|09/08,1.9,1|2|7|1|0|3|1|0|3|1,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/03,3.13,1|2|7|1|0|3|1|0|3|1|7|2|10|2|7,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/03|09/02|09/01|08/31|08/30|08/29,97.2,89.1,76.7,61.0,45.0,32.2,21.8,3.84,182.1
2026-09-14,Atlanta Braves @ Chicago Cubs,Wrigley Field,1.018,1.001,70.1,42.0,14.1,SE,136.0,2.0,Overcast,0.2,0.3,50.5,C,92.0,Chicago Cubs,Pete Crow-Armstrong,Reynaldo López,0.0,0,0,3.7,1.04,1.15,1.23,1.02,3.38,73.3,1.4,0|0|3|3|1,09/13|09/12|09/11|09/09|09/08,2.5,0|0|3|3|1|5|4|2|3|4,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/03,3.33,0|0|3|3|1|5|4|2|3|4|3|0|2|6|14,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/03|09/02|09/01|08/31|08/30|08/29,93.7,79.6,60.3,41.9,27.3,16.4,9.0,4.19,196.2
2026-09-14,Atlanta Braves @ Chicago Cubs,Wrigley Field,1.018,1.001,70.1,42.0,14.1,SE,136.0,2.0,Overcast,0.2,0.3,50.5,C,92.0,Chicago Cubs,Carson Kelly,Reynaldo López,1.0,1,1,4.7,1.04,1.03,0.78,1.04,2.85,46.7,1.8,0|0|5|1|3,09/13|09/12|09/11|09/09|09/08,1.4,0|0|5|1|3|0|2|0|2|1,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/04|09/03|09/01,2.2,0|0|5|1|3|0|2|0|2|1|6|9|1|0|3,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/04|09/03|09/01|08/31|08/29|08/28|08/26|08/24,91.2,72.9,51.2,32.4,18.5,9.7,5.1,2.78,135.5
2026-09-14,Los Angeles Dodgers @ Cincinnati Reds,Great American Ball Park,1.045,1.003,78.3,33.0,6.5,ENE,68.0,0.0,Overcast,1.5,2.2,53.3,C,92.0,Cincinnati Reds,Elly De La Cruz,Tarik Skubal,0.167,1,6,4.7,0.85,1.78,1.01,0.94,3.78,86.7,3.0,4|3|0|3|5,09/13|09/12|09/11|09/09|09/08,3.8,4|3|0|3|5|4|7|4|5|3,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02,3.47,4|3|0|3|5|4|7|4|5|3|2|0|3|3|6,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31|08/30|08/29|08/28,94.9,83.0,66.5,48.3,33.6,21.4,13.2,4.18,201.5
2026-09-14,Los Angeles Dodgers @ Cincinnati Reds,Great American Ball Park,1.045,1.003,78.3,33.0,6.5,ENE,68.0,0.0,Overcast,1.5,2.2,53.3,C,92.0,Cincinnati Reds,Eugenio Suárez,Tarik Skubal,0.0,0,2,4.6,0.85,0.91,0.85,1.07,2.82,53.3,3.2,5|8|0|0|3,09/13|09/12|09/11|09/08|09/07,2.8,5|8|0|0|3|1|3|6|0|2,09/13|09/12|09/11|09/08|09/07|09/06|09/05|09/04|08/31|08/30,2.67,5|8|0|0|3|1|3|6|0|2|4|0|7|0|1,09/13|09/12|09/11|09/08|09/07|09/06|09/05|09/04|08/31|08/30|08/29|08/28|08/26|08/25|08/24,91.2,72.3,49.9,31.3,18.2,9.6,4.8,3.41,159.7
2026-09-14,Los Angeles Dodgers @ Cincinnati Reds,Great American Ball Park,1.045,1.003,78.3,33.0,6.5,ENE,68.0,0.0,Overcast,1.5,2.2,53.3,C,92.0,Cincinnati Reds,Dane Myers,Tarik Skubal,0.333,1,3,4.8,0.85,1.24,0.89,0.3,2.39,53.3,2.6,0|2|2|1|8,09/13|09/12|09/08|09/07|09/06,2.2,0|2|2|1|8|0|4|4|0|1,09/13|09/12|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31,2.2,0|2|2|1|8|0|4|4|0|1|3|0|5|0|3,09/13|09/12|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31|08/30|08/28|08/26|08/24|08/23,86.9,64.2,40.8,23.8,12.3,6.1,2.8,2.57,127.9
2026-09-14,Chicago White Sox @ Cleveland Guardians,Progressive Field,0.995,1.0,67.7,47.0,6.4,NNE,12.0,0.0,Partly cloudy,-0.2,-0.3,49.6,C,92.0,Cleveland Guardians,Angel Martínez,Sean Newcomb,0.0,0,2,4.8,0.85,1.07,0.64,0.57,2.25,40.0,3.0,3|1|6|4|1,09/13|09/12|09/11|09/08|09/07,1.6,3|1|6|4|1|0|1|0|0|0,09/13|09/12|09/11|09/08|09/07|09/06|09/05|09/04|09/03|09/02,2.13,3|1|6|4|1|0|1|0|0|0|7|6|0|2|1,09/13|09/12|09/11|09/08|09/07|09/06|09/05|09/04|09/03|09/02|09/01|08/29|08/26|08/25|08/24,85.9,61.4,38.0,21.2,10.6,4.6,2.0,2.58,122.7
2026-09-14,Chicago White Sox @ Cleveland Guardians,Progressive Field,0.995,1.0,67.7,47.0,6.4,NNE,12.0,0.0,Partly cloudy,-0.2,-0.3,49.6,C,92.0,Cleveland Guardians,Travis Bazzana,Sean Newcomb,0.333,1,3,3.7,0.85,0.82,0.55,0.82,2.2,60.0,3.8,7|2|4|1|5,09/13|09/12|09/11|09/09|09/08,3.2,7|2|4|1|5|3|6|4|0|0,09/13|09/12|09/11|09/09|09/08|09/06|09/04|09/04|09/03|09/02,2.67,7|2|4|1|5|3|6|4|0|0|0|0|0|5|3,09/13|09/12|09/11|09/09|09/08|09/06|09/04|09/04|09/03|09/02|09/01|08/30|08/28|08/26|08/25,85.4,60.0,37.3,20.1,9.7,4.4,2.1,3.37,156.9
2026-09-14,Chicago White Sox @ Cleveland Guardians,Progressive Field,0.995,1.0,67.7,47.0,6.4,NNE,12.0,0.0,Partly cloudy,-0.2,-0.3,49.6,C,92.0,Cleveland Guardians,Brayan Rocchio,Sean Newcomb,0.0,0,1,4.6,0.85,0.75,0.48,0.75,2.01,46.7,2.2,3|1|3|0|4,09/13|09/12|09/11|09/09|09/08,2.7,3|1|3|0|4|2|3|0|2|9,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/04,1.93,3|1|3|0|4|2|3|0|2|9|0|0|1|0|1,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/04|09/03|09/01|08/30|08/29|08/28,83.0,56.2,32.0,16.2,7.7,3.4,1.4,2.44,118.6
2026-09-14,San Diego Padres @ Colorado Rockies,Coors Field,1.08,1.013,86.9,19.0,13.8,WNW,283.0,5.0,Overcast,5.8,8.4,62.7,B,75.0,Colorado Rockies,Jake McCarthy,Casey Mize,0.0,0,1,4.0,0.9,1.31,0.54,0.68,2.53,60.0,2.2,0|4|3|3|1,09/13|09/12|09/11|09/10|09/09,2.7,0|4|3|3|1|1|8|3|1|3,09/13|09/12|09/11|09/10|09/09|09/08|09/06|09/05|09/04|09/02,2.53,0|4|3|3|1|1|8|3|1|3|3|1|3|1|3,09/13|09/12|09/11|09/10|09/09|09/08|09/06|09/05|09/04|09/02|09/01|08/31|08/30|08/29|08/28,87.8,67.0,44.0,25.6,14.3,7.3,3.6,3.03,147.2
2026-09-14,San Diego Padres @ Colorado Rockies,Coors Field,1.08,1.013,86.9,19.0,13.8,WNW,283.0,5.0,Overcast,5.8,8.4,62.7,B,75.0,Colorado Rockies,TJ Rumfield,Casey Mize,0.0,0,0,3.7,0.9,1.21,0.44,0.44,2.08,53.3,1.2,1|3|0|0|2,09/13|09/12|09/10|09/09|09/08,2.8,1|3|0|0|2|6|2|6|4|4,09/13|09/12|09/10|09/09|09/08|09/06|09/05|09/04|09/02|09/01,2.27,1|3|0|0|2|6|2|6|4|4|1|1|1|2|1,09/13|09/12|09/10|09/09|09/08|09/06|09/05|09/04|09/02|09/01|08/31|08/30|08/29|08/28|08/27,83.3,56.8,34.0,18.3,8.8,3.9,1.8,2.64,128.1
2026-09-14,San Diego Padres @ Colorado Rockies,Coors Field,1.08,1.013,86.9,19.0,13.8,WNW,283.0,5.0,Overcast,5.8,8.4,62.7,B,75.0,Colorado Rockies,Hunter Goodman,Casey Mize,0.0,0,2,4.2,0.9,0.62,0.49,0.64,1.74,40.0,1.8,5|0|0|0|4,09/12|09/11|09/10|09/09|09/08,1.7,5|0|0|0|4|1|4|1|2|0,09/12|09/11|09/10|09/09|09/08|09/06|09/05|09/04|09/02|09/01,1.67,5|0|0|0|4|1|4|1|2|0|2|1|1|4|0,09/12|09/11|09/10|09/09|09/08|09/06|09/05|09/04|09/02|09/01|08/31|08/30|08/29|08/28|08/27,79.4,49.6,25.7,11.6,4.9,1.8,0.7,2.11,102.7
2026-09-14,Detroit Tigers @ Toronto Blue Jays,Rogers Centre,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Detroit Tigers,Riley Greene,José Soriano,0.333,2,6,3.7,0.92,1.13,0.65,1.01,2.75,53.3,3.4,6|4|6|1|0,09/13|09/12|09/11|09/09|09/08,4.1,6|4|6|1|0|6|4|11|1|2,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02,3.13,6|4|6|1|0|6|4|11|1|2|1|1|1|2|1,09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/11|08/09|08/08|08/07,90.3,70.7,49.2,30.2,17.2,9.1,4.6,3.92,177.1
