Top 30 Rank,Overall Rank,Date,Player,Team,Opponent,Game,Side,Position,Projected FS,Sim Mean,P Over 2.5 FS %,P Over 3.0 FS %,P Over 3.5 FS %,P Over 4.0 FS %,P Over 4.5 FS %,P Over 5.0 FS %,P Over 5.5 FS %,P Over 6.0 FS %,P Over 6.5 FS %,P Over 7.0 FS %,P Over 7.5 FS %,P Over 8.0 FS %,P Over 8.5 FS %,P Over 9.0 FS %,P Over 9.5 FS %,AI Score,Grade,Suggested Lean,Lineup Spot,Expected PA,Rest/Usage Note,Recent Start Guess 14,Usage Factor,Opp Pitcher,Opp Pitcher Hand,Pitcher ERA,Pitcher WHIP,Pitcher H/BF,Pitcher HR/BF,Pitcher BB/BF,Bullpen ERA,Bullpen WHIP,Bullpen H/BF,Bullpen HR/BF,Venue,Park Factor,Weather Factor,Temp F,Wind MPH,Wind Direction,Precip %,Weather Note,PA,AB,AVG,OBP,SLG,OPS,Hand Split PA,Hand Split OPS,Season H,Season 2B,Season 3B,Season HR,Season R,Season RBI,Season BB,Season HBP,Season SB,Last 7 FS/G,Last 14 FS/G,Last 30 FS/G,Last 14 FS/PA,Last 14 Hit Rate,Last 14 XBH Rate,Last 14 HR Rate,Last 14 BB Rate,Last 14 SB Rate,Sim Median,Sim Std,P25,P75,P90,Single Rate,Double Rate,Triple Rate,HR Rate,BB Rate,HBP Rate,Run Rate Model,RBI Rate Model,SB Rate,Confidence
1,1,2026-07-09,Bryce Harper,PHI,CIN,PHI @ CIN,AWAY,1B,11.96,12.33,87.1,81.8,81.8,77.7,77.7,69.5,69.5,66.0,66.0,59.6,59.6,55.5,55.5,51.7,51.7,281.27,A+,Forecast 12.0 FS | Sim 12.3,3,4.92,Regular,14,1.04,Brady Singer,R,5.03,1.54,0.2594,0.0535,0.0802,4.57,1.46,0.2138,0.0346,Great American Ball Park,1.08,1.055,90.3,8.2,244.0,2.0,hot,391,326,0.264,0.371,0.509,0.88,238,1.022,86,16,2,20,57,57,59,0,5,5.0,8.5,8.83,1.919,0.1935,0.0806,0.0484,0.1774,0.0,10.0,9.53,5.0,18.25,26.0,0.1488,0.0573,0.0051,0.075,0.1367,0.0069,0.1252,0.1588,0.0103,Medium
2,2,2026-07-09,Kyle Schwarber,PHI,CIN,PHI @ CIN,AWAY,DH,11.57,12.17,86.2,80.3,80.3,76.1,76.1,68.6,68.6,64.8,64.8,58.3,58.3,54.7,54.7,51.0,51.0,277.69,A+,Forecast 11.6 FS | Sim 12.2,2,5.02,Regular,13,1.04,Brady Singer,R,5.03,1.54,0.2594,0.0535,0.0802,4.57,1.46,0.2138,0.0346,Great American Ball Park,1.08,1.055,90.3,8.2,244.0,2.0,hot,397,334,0.254,0.37,0.575,0.945,245,0.927,85,9,1,32,57,58,58,4,2,7.71,7.93,9.5,1.85,0.2167,0.05,0.05,0.1833,0.0167,10.0,9.54,5.0,18.0,25.0,0.1505,0.0381,0.0038,0.078,0.135,0.01,0.1288,0.128,0.0097,Medium
3,3,2026-07-09,Trea Turner,PHI,CIN,PHI @ CIN,AWAY,SS,10.89,11.17,86.9,78.6,78.6,76.6,76.6,66.7,66.7,63.3,63.3,57.7,57.7,52.0,52.0,48.5,48.5,267.57,A+,Forecast 10.9 FS | Sim 11.2,1,5.13,Regular,14,1.04,Brady Singer,R,5.03,1.54,0.2594,0.0535,0.0802,4.57,1.46,0.2138,0.0346,Great American Ball Park,1.08,1.055,90.3,8.2,244.0,2.0,hot,398,373,0.241,0.286,0.365,0.651,262,0.692,90,16,0,10,62,32,22,2,16,10.86,10.5,8.53,2.227,0.3182,0.1061,0.0455,0.0152,0.0152,9.0,8.82,5.0,17.0,24.0,0.1846,0.0578,0.0031,0.0523,0.0663,0.0091,0.1493,0.0931,0.0196,Medium
4,4,2026-07-09,Pete Crow-Armstrong,CHC,BAL,CHC @ BAL,AWAY,CF,10.2,9.58,83.1,75.3,75.3,70.9,70.9,61.0,61.0,56.8,56.8,49.5,49.5,44.5,44.5,40.6,40.6,262.99,A+,Forecast 10.2 FS | Sim 9.6,4,4.82,Regular,14,1.04,Trevor Rogers,L,4.7,1.32,0.2284,0.0251,0.0808,4.4,1.37,0.2254,0.0295,Oriole Park at Camden Yards,1.01,1.03,84.2,6.7,200.0,17.0,warm,400,345,0.296,0.386,0.542,0.928,130,0.881,102,14,4,21,60,52,42,10,23,17.14,12.93,15.17,2.742,0.2727,0.0909,0.0606,0.1818,0.0758,7.0,7.91,4.0,14.0,21.0,0.1646,0.0411,0.0059,0.0402,0.1043,0.0181,0.1378,0.15,0.03,Low
5,5,2026-07-09,Riley Greene,DET,ATH,ATH @ DET,HOME,LF,10.5,10.46,86.0,78.5,78.5,75.0,75.0,64.8,64.8,60.3,60.3,53.7,53.7,48.4,48.4,44.5,44.5,262.69,A+,Forecast 10.5 FS | Sim 10.5,2,5.02,Regular,14,1.04,Jack Perkins,R,6.75,1.45,0.2311,0.0319,0.0837,5.13,1.47,0.2336,0.0394,Comerica Park,0.97,1.03,84.7,5.3,292.0,27.0,warm,384,332,0.292,0.38,0.47,0.85,265,0.881,97,18,1,13,46,45,47,2,2,15.43,10.79,8.43,2.475,0.2623,0.1311,0.082,0.1148,0.0164,8.0,8.29,5.0,16.0,22.0,0.1763,0.0496,0.0044,0.0475,0.1079,0.0083,0.1277,0.1333,0.0097,Medium
6,6,2026-07-09,Brandon Marsh,PHI,CIN,PHI @ CIN,AWAY,LF,10.65,11.13,85.5,76.4,76.4,74.5,74.5,64.9,64.9,60.9,60.9,55.3,55.3,50.1,50.1,47.6,47.6,259.57,A+,Forecast 10.7 FS | Sim 11.1,5,4.52,Regular,13,1.04,Brady Singer,R,5.03,1.54,0.2594,0.0535,0.0802,4.57,1.46,0.2138,0.0346,Great American Ball Park,1.08,1.055,90.3,8.2,244.0,2.0,hot,347,325,0.305,0.34,0.502,0.842,251,0.897,99,15,2,15,50,46,17,2,8,4.43,8.21,9.17,1.949,0.2373,0.0847,0.0678,0.0678,0.0169,9.0,8.98,4.0,17.0,24.0,0.1907,0.0559,0.0046,0.0701,0.0746,0.0088,0.1188,0.1433,0.0147,Medium
7,7,2026-07-09,Ketel Marte,ARI,SD,ARI @ SD,AWAY,2B,10.29,10.21,84.0,76.9,76.9,72.8,72.8,63.3,63.3,59.8,59.8,52.6,52.6,47.7,47.7,43.3,43.3,257.29,A+,Forecast 10.3 FS | Sim 10.2,1,5.13,Regular,14,1.04,Griffin Canning,R,6.71,1.61,0.2291,0.0352,0.1322,4.21,1.34,0.2188,0.0289,Petco Park,0.94,1.0,74.9,7.2,309.0,0.0,neutral,386,352,0.267,0.324,0.483,0.807,276,0.759,94,19,3,17,50,54,29,2,4,8.86,11.07,8.9,2.541,0.2623,0.1475,0.082,0.082,0.0492,8.0,8.29,4.0,15.0,22.0,0.1541,0.0494,0.0059,0.0443,0.1084,0.0126,0.1323,0.1156,0.0138,Medium
8,8,2026-07-09,Fernando Tatis Jr.,SD,ARI,ARI @ SD,HOME,RF,10.09,10.02,86.7,78.3,78.3,75.5,75.5,65.4,65.4,60.9,60.9,54.4,54.4,48.0,48.0,44.4,44.4,254.56,A+,Forecast 10.1 FS | Sim 10.0,1,5.13,Regular,14,1.04,Merrill Kelly,R,5.71,1.56,0.2584,0.0491,0.0904,4.3,1.29,0.2271,0.0326,Petco Park,0.94,1.0,74.9,7.2,309.0,0.0,neutral,398,356,0.284,0.345,0.385,0.73,317,0.692,101,19,1,5,44,35,32,4,23,11.29,10.07,10.33,2.203,0.25,0.1094,0.0312,0.0469,0.0781,8.0,7.71,5.0,14.0,21.0,0.1949,0.0554,0.0033,0.0319,0.0787,0.012,0.1248,0.0928,0.029,Medium
9,9,2026-07-09,Kevin McGonigle,DET,ATH,ATH @ DET,HOME,SS,10.1,10.09,87.0,80.8,80.8,76.5,76.5,66.5,66.5,62.4,62.4,54.5,54.5,48.5,48.5,43.7,43.7,251.47,A+,Forecast 10.1 FS | Sim 10.1,1,5.13,Regular,14,1.04,Jack Perkins,R,6.75,1.45,0.2311,0.0319,0.0837,5.13,1.47,0.2336,0.0394,Comerica Park,0.97,1.03,84.7,5.3,292.0,27.0,warm,396,334,0.287,0.399,0.422,0.821,287,0.848,96,18,3,7,57,32,59,3,11,8.29,8.5,8.57,1.831,0.2462,0.0308,0.0154,0.1692,0.0308,8.0,7.63,5.0,14.0,21.0,0.1846,0.0488,0.0055,0.0298,0.133,0.0104,0.1425,0.0875,0.0165,Medium
10,10,2026-07-09,Junior Caminero,TB,NYY,NYY @ TB,HOME,3B,9.75,9.63,78.6,70.6,70.6,66.5,66.5,57.2,57.2,53.4,53.4,47.1,47.1,42.9,42.9,39.7,39.7,250.4,A,Forecast 9.8 FS | Sim 9.6,1,5.13,Regular,14,1.04,TBD,R,4.2,1.25,0.224,0.03,0.085,3.4,1.19,0.2042,0.0264,Tropicana Field,1.0,1.0,,,,,Indoor/retractable neutral,393,342,0.278,0.366,0.541,0.907,288,0.874,95,12,0,26,57,56,49,0,1,6.0,13.64,9.63,3.183,0.2333,0.1667,0.1667,0.1,0.0167,7.0,8.6,3.0,15.0,21.0,0.1307,0.0317,0.0024,0.0555,0.0989,0.0062,0.133,0.1276,0.0089,Low
