Date,Away,Home,Game,First Pitch PT,First Pitch Local,Stadium,Projected Roof Status,Roof Status Basis,Weather Conditions,First Pitch Temperature F,First Pitch Relative Humidity %,First Pitch Wind,First Pitch Wind Speed MPH,First Pitch Wind Direction,First Pitch Wind Toward LF MPH,First Pitch Wind Toward CF MPH,First Pitch Wind Toward RF MPH,First Pitch Crosswind MPH,Official MLB Wind Text,Wind Data Source,First Pitch Precipitation %,Ball Flight AI Score,Ball Flight Grade,Ball Flight AI Summary,Estimated HR Distance Change,Estimated Fly Ball Distance Change,Expected HR Boost (%),Weather Confidence (%),HR Weather Rating,Game Effective Wind Vector MPH,Estimated FT Change by Wind2,Game Probability Wind Blowing Out %,Game Probability Wind Blowing In %,Game Wind Direction Spread Degrees,Game Wind Toward CF Spread MPH,Game Avg Air Density kg/m3,Game Avg Density Altitude Ft,Game Avg Pressure hPa,Game Avg Dew Point F,Game Avg Temp F,Game Avg RH %,Forecast Trend,Carry Score Change Since Last Run,Park Learned Calibration Points,Park Calibration Settled Games,Max Delay Risk,Max Delay Risk Score,Forecast Uncertainty,Forecast Uncertainty Score,Forecast Run PT,Forecast Age Minutes,Models Available
2026-07-18,Pittsburgh Pirates,Cleveland Guardians,Pittsburgh Pirates @ Cleveland Guardians,10:10 AM,01:10 PM EDT,Progressive Field,OPEN,OPEN-AIR PARK,Code 26,87.7,60.4,🟡 13.2 mph Cross (LF → RF),13.7,W,-5.6,1.3,7.8,13.2,,FORECAST MODEL,20.6,60.5,B+,Density 81 | Wind 52 | Temp 67 | Altitude 69 | Confidence 80%,7,5,3.1,80.0,🟢 Good,0.9,1,73.8,9.4,11.8,2.0,1.1219,2709.0,990.5,71.8,88.3,59.1,IMPROVING,3.9,0.0,0,HIGH,72.7,MEDIUM,25.0,2026-07-18 09:09:18 AM PDT,141.0,5
2026-07-18,Minnesota Twins,Chicago Cubs,Minnesota Twins @ Chicago Cubs,11:20 AM,01:20 PM CDT,Wrigley Field,OPEN,OPEN-AIR PARK,Code 36,81.4,69.8,🟡 8.0 mph Cross (LF → RF),12.2,N,-9.4,-8.2,-1.7,8.0,,FORECAST MODEL,47.9,45.6,C,Density 70 | Wind 21 | Temp 58 | Altitude 62 | Confidence 59%,-3,-2,-1.3,59.0,🟧 Below Average,-9.4,-10,0.0,100.0,44.1,2.7,1.1577,1640.0,1005.3,69.6,79.8,73.0,WORSENING RAPIDLY,-19.4,0.0,1,MODERATE,44.3,HIGH,47.6,2026-07-18 09:09:19 AM PDT,78.0,5
2026-07-18,New York Mets,Philadelphia Phillies,New York Mets @ Philadelphia Phillies,12:05 PM,03:05 PM EDT,Citizens Bank Park,OPEN,OPEN-AIR PARK,Code 15,85.9,72.5,🟢 8.3 mph Out to CF,9.0,SSW,4.6,8.3,8.1,3.0,,FORECAST MODEL,71.2,65.8,B+,Density 74 | Wind 70 | Temp 64 | Altitude 64 | Confidence 78%,10,7,4.7,78.0,🟢 Good,7.7,6,100.0,0.0,11.9,1.5,1.1444,1987.0,1006.5,75.3,85.7,73.6,IMPROVING RAPIDLY,4.9,0.0,2,HIGH,73.3,LOW,17.7,2026-07-18 09:09:20 AM PDT,480.9,5
2026-07-18,Chicago White Sox,Toronto Blue Jays,Chicago White Sox @ Toronto Blue Jays,12:07 PM,03:07 PM EDT,Rogers Centre,CLOSED,PROJECTED: WEATHER,Code 29,76.9,75.2,⚪ Calm,8.0,W,-0.0,-0.0,0.0,0.0,,FORECAST MODEL,38.0,50.0,B,Density 69 | Wind 45 | Temp 56 | Altitude 61 | Confidence 89%,0,0,0.0,89.1,🟨 Neutral,-1.7,0,0.0,100.0,6.4,0.8,1.1633,1548.0,992.4,67.9,78.0,71.6,WORSENING,-2.7,0.0,1,MODERATE,22.2,LOW,8.2,2026-07-18 09:09:25 AM PDT,0.0,4
2026-07-18,Cincinnati Reds,Colorado Rockies,Cincinnati Reds @ Colorado Rockies,12:10 PM,01:10 PM MDT,Coors Field,OPEN,OPEN-AIR PARK,Clear,90.8,25.0,🟡 4.5 mph Cross (RF → LF),5.5,ENE,0.2,-3.0,-4.9,-4.5,,FORECAST MODEL,0.0,64.5,B+,Density 100 | Wind 43 | Temp 72 | Altitude 100 | Confidence 94%,9,7,4.4,93.9,🟢 Good,-2.4,-2,0.0,97.5,14.1,1.1,0.9569,8237.0,846.8,47.9,92.5,22.4,IMPROVING,3.7,0.0,1,LOW,1.9,LOW,7.5,2026-07-18 09:09:26 AM PDT,563.0,5
2026-07-18,Baltimore Orioles,Houston Astros,Baltimore Orioles @ Houston Astros,01:10 PM,03:10 PM CDT,Daikin Park,CLOSED,PROJECTED: TEMPERATURE,Partly cloudy,94.1,49.3,⚪ Calm,6.0,S,0.0,0.0,0.0,0.0,,FORECAST MODEL,2.0,50.0,B,Density 61 | Wind 50 | Temp 74 | Altitude 56 | Confidence 90%,0,0,0.0,90.2,🟨 Neutral,0.0,0,100.0,0.0,4.6,0.6,1.1896,858.0,1014.5,72.1,94.4,49.0,IMPROVING,3.3,0.0,1,NONE (ROOF),0.0,LOW,11.0,2026-07-18 09:09:27 AM PDT,228.8,5
2026-07-18,San Diego Padres,Kansas City Royals,San Diego Padres @ Kansas City Royals,01:10 PM,03:10 PM CDT,Kauffman Stadium,OPEN,OPEN-AIR PARK,Code 14,92.2,48.7,🟢 6.7 mph Out to CF,6.8,SW,5.5,6.7,4.9,-0.6,,FORECAST MODEL,17.7,69.0,B+,Density 86 | Wind 65 | Temp 71 | Altitude 73 | Confidence 90%,12,9,5.7,89.8,🟢 Good,5.9,4,100.0,0.0,15.5,1.6,1.1057,3251.0,982.0,68.9,92.1,48.4,IMPROVING,3.7,0.0,1,MODERATE,21.1,LOW,4.5,2026-07-18 09:09:28 AM PDT,149.4,5
2026-07-18,St. Louis Cardinals,Arizona Diamondbacks,St. Louis Cardinals @ Arizona Diamondbacks,01:10 PM,01:10 PM MST,Chase Field,CLOSED,PROJECTED: TEMPERATURE,Partly cloudy,93.9,44.6,⚪ Calm,3.4,ESE,0.0,0.0,-0.0,-0.0,,FORECAST MODEL,8.6,50.0,B,Density 61 | Wind 50 | Temp 74 | Altitude 57 | Confidence 86%,0,0,0.0,85.8,🟨 Neutral,0.0,0,92.5,0.0,18.1,0.6,1.1896,858.0,973.9,67.3,95.1,41.2,IMPROVING,3.3,0.0,1,NONE (ROOF),0.0,LOW,8.4,2026-07-18 09:09:29 AM PDT,181.6,5
2026-07-18,Tampa Bay Rays,Boston Red Sox,Tampa Bay Rays @ Boston Red Sox,01:10 PM,04:10 PM EDT,Fenway Park,OPEN,OPEN-AIR PARK,Code 32,77.9,72.2,🟢 11.5 mph Out to CF,14.8,SSW,10.3,11.5,6.4,-5.0,,FORECAST MODEL,50.2,65.7,B+,Density 69 | Wind 77 | Temp 56 | Altitude 60 | Confidence 74%,10,7,4.7,73.9,🟢 Good,10.6,9,100.0,0.0,5.0,1.2,1.1631,1499.0,1004.5,67.5,77.3,74.6,IMPROVING RAPIDLY,10.5,0.0,1,ELEVATED,49.4,MEDIUM,32.3,2026-07-18 09:09:31 AM PDT,212.9,5
2026-07-18,Texas Rangers,Atlanta Braves,Texas Rangers @ Atlanta Braves,01:10 PM,04:10 PM EDT,Truist Park,OPEN,OPEN-AIR PARK,Code 15,89.6,59.1,🟢 7.6 mph Out to LF,8.9,NW,7.6,7.4,3.8,-3.8,,FORECAST MODEL,24.0,67.8,B+,Density 84 | Wind 66 | Temp 67 | Altitude 72 | Confidence 86%,11,8,5.3,85.5,🟢 Good,6.3,4,100.0,0.0,14.8,1.7,1.112,3005.0,981.8,72.2,88.3,61.2,IMPROVING RAPIDLY,5.6,0.0,1,MODERATE,28.7,LOW,8.4,2026-07-18 09:09:32 AM PDT,582.6,5
